datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:LKQ	2.21	2.24	2.19	2.23	492432.00
2004-04-08 15:30:00	:LKQ	2.23	2.25	2.22	2.23	544200.00
2004-04-12 15:30:00	:LKQ	2.22	2.23	2.15	2.22	981648.00
2004-04-13 15:30:00	:LKQ	2.22	2.24	2.20	2.23	402272.00
2004-04-14 15:30:00	:LKQ	2.23	2.25	2.21	2.25	630288.00
2004-04-15 15:30:00	:LKQ	2.25	2.25	2.23	2.25	147832.00
2004-04-16 15:30:00	:LKQ	2.23	2.25	2.23	2.25	259416.00
2004-04-19 15:30:00	:LKQ	2.21	2.31	2.21	2.31	431232.00
2004-04-20 15:30:00	:LKQ	2.31	2.31	2.27	2.31	201080.00
2004-04-21 15:30:00	:LKQ	2.31	2.31	2.27	2.29	114344.00
2004-04-22 15:30:00	:LKQ	2.27	2.27	2.24	2.27	185696.00
2004-04-23 15:30:00	:LKQ	2.26	2.26	2.16	2.25	279056.00
2004-04-26 15:30:00	:LKQ	2.22	2.25	2.19	2.25	178264.00
2004-04-27 15:30:00	:LKQ	2.25	2.25	2.17	2.22	76264.00
2004-04-28 15:30:00	:LKQ	2.18	2.24	2.17	2.24	125664.00
2004-04-29 15:30:00	:LKQ	2.24	2.26	2.18	2.18	505472.00
2004-04-30 15:30:00	:LKQ	2.19	2.23	2.12	2.22	525216.00
2004-05-03 15:30:00	:LKQ	2.20	2.25	2.17	2.25	115680.00
2004-05-04 15:30:00	:LKQ	2.23	2.23	2.19	2.22	597152.00
2004-05-05 15:30:00	:LKQ	2.25	2.29	2.21	2.25	555008.00
2004-05-06 15:30:00	:LKQ	2.25	2.26	2.21	2.23	1284672.00
2004-05-07 15:30:00	:LKQ	2.25	2.28	2.22	2.27	1226296.00
2004-05-10 15:30:00	:LKQ	2.25	2.27	2.23	2.26	1435272.00
2004-05-11 15:30:00	:LKQ	2.23	2.28	2.23	2.28	1439248.00
2004-05-12 15:30:00	:LKQ	2.24	2.27	2.23	2.27	902136.00
2004-05-13 15:30:00	:LKQ	2.24	2.28	2.24	2.27	1195896.00
2004-05-14 15:30:00	:LKQ	2.27	2.28	2.25	2.27	137360.00
2004-05-17 15:30:00	:LKQ	2.24	2.26	2.24	2.25	89608.00
2004-05-18 15:30:00	:LKQ	2.26	2.26	2.23	2.25	144032.00
2004-05-19 15:30:00	:LKQ	2.24	2.25	2.24	2.24	205272.00
2004-05-20 15:30:00	:LKQ	2.24	2.26	2.22	2.22	1950600.00
2004-05-21 15:30:00	:LKQ	2.26	2.26	2.20	2.22	158288.00
2004-05-24 15:30:00	:LKQ	2.22	2.25	2.20	2.23	256272.00
2004-05-25 15:30:00	:LKQ	2.25	2.25	2.23	2.25	156136.00
2004-05-26 15:30:00	:LKQ	2.23	2.27	2.23	2.27	665640.00
2004-05-27 15:30:00	:LKQ	2.27	2.28	2.25	2.28	193856.00
2004-05-28 15:30:00	:LKQ	2.28	2.39	2.28	2.31	753488.00
2004-06-01 15:30:00	:LKQ	2.36	2.36	2.28	2.32	158048.00
2004-06-02 15:30:00	:LKQ	2.29	2.33	2.27	2.31	210440.00
2004-06-03 15:30:00	:LKQ	2.30	2.32	2.27	2.31	304552.00
2004-06-04 15:30:00	:LKQ	2.32	2.33	2.28	2.33	110376.00
2004-06-07 15:30:00	:LKQ	2.33	2.33	2.27	2.33	465456.00
2004-06-08 15:30:00	:LKQ	2.26	2.34	2.26	2.34	481840.00
2004-06-09 15:30:00	:LKQ	2.34	2.36	2.28	2.31	1204064.00
2004-06-10 15:30:00	:LKQ	2.32	2.32	2.28	2.30	329984.00
2004-06-14 15:30:00	:LKQ	2.31	2.31	2.25	2.31	187560.00
2004-06-15 15:30:00	:LKQ	2.28	2.31	2.28	2.31	394576.00
2004-06-16 15:30:00	:LKQ	2.31	2.32	2.31	2.31	953232.00
2004-06-17 15:30:00	:LKQ	2.27	2.32	2.27	2.32	1493488.00
2004-06-18 15:30:00	:LKQ	2.31	2.33	2.31	2.32	336904.00
2004-06-21 15:30:00	:LKQ	2.32	2.32	2.30	2.31	238136.00
2004-06-22 15:30:00	:LKQ	2.32	2.46	2.32	2.44	1612440.00
2004-06-23 15:30:00	:LKQ	2.38	2.52	2.38	2.52	1256520.00
2004-06-24 15:30:00	:LKQ	2.52	2.52	2.42	2.48	1101600.00
2004-06-25 15:30:00	:LKQ	2.45	2.50	2.40	2.46	8559184.00
2004-06-28 15:30:00	:LKQ	2.47	2.49	2.41	2.41	548576.00
2004-06-29 15:30:00	:LKQ	2.45	2.46	2.40	2.42	880872.00
2004-06-30 15:30:00	:LKQ	2.42	2.42	2.32	2.33	483328.00
2004-07-01 15:30:00	:LKQ	2.36	2.36	2.22	2.26	664232.00
2004-07-02 15:30:00	:LKQ	2.29	2.31	2.26	2.30	255736.00
2004-07-06 15:30:00	:LKQ	2.33	2.39	2.31	2.36	1627152.00
2004-07-07 15:30:00	:LKQ	2.34	2.38	2.34	2.37	515056.00
2004-07-08 15:30:00	:LKQ	2.34	2.38	2.34	2.38	606616.00
2004-07-09 15:30:00	:LKQ	2.35	2.36	2.27	2.30	244560.00
2004-07-12 15:30:00	:LKQ	2.28	2.34	2.28	2.34	299208.00
2004-07-13 15:30:00	:LKQ	2.32	2.35	2.30	2.34	661744.00
2004-07-14 15:30:00	:LKQ	2.30	2.31	2.28	2.28	498000.00
2004-07-15 15:30:00	:LKQ	2.28	2.33	2.27	2.30	722176.00
2004-07-16 15:30:00	:LKQ	2.29	2.29	2.27	2.27	328544.00
2004-07-19 15:30:00	:LKQ	2.27	2.31	2.27	2.30	191520.00
2004-07-20 15:30:00	:LKQ	2.31	2.31	2.27	2.31	1772208.00
2004-07-21 15:30:00	:LKQ	2.34	2.34	2.19	2.26	1550152.00
2004-07-22 15:30:00	:LKQ	2.25	2.27	2.21	2.24	968008.00
2004-07-23 15:30:00	:LKQ	2.22	2.23	2.06	2.13	1680880.00
2004-07-26 15:30:00	:LKQ	2.12	2.14	2.11	2.12	531024.00
2004-07-27 15:30:00	:LKQ	2.13	2.15	2.09	2.13	488320.00
2004-07-28 15:30:00	:LKQ	2.12	2.15	2.12	2.14	362824.00
2004-07-29 15:30:00	:LKQ	2.13	2.15	2.07	2.15	1345960.00
2004-07-30 15:30:00	:LKQ	2.13	2.23	2.12	2.22	2440576.00
2004-08-02 15:30:00	:LKQ	2.17	2.20	2.12	2.19	664640.00
2004-08-03 15:30:00	:LKQ	2.16	2.17	2.12	2.13	384056.00
2004-08-04 15:30:00	:LKQ	2.12	2.28	2.12	2.24	425232.00
2004-08-05 15:30:00	:LKQ	2.19	2.24	2.09	2.20	585968.00
2004-08-06 15:30:00	:LKQ	2.09	2.27	2.09	2.14	412600.00
2004-08-09 15:30:00	:LKQ	2.16	2.16	2.09	2.15	653992.00
2004-08-10 15:30:00	:LKQ	2.12	2.24	2.12	2.24	799184.00
2004-08-11 15:30:00	:LKQ	2.22	2.27	2.13	2.25	1951856.00
2004-08-12 15:30:00	:LKQ	2.22	2.28	2.17	2.19	383808.00
2004-08-13 15:30:00	:LKQ	2.27	2.29	2.17	2.21	204976.00
2004-08-16 15:30:00	:LKQ	2.29	2.33	2.20	2.28	906384.00
2004-08-17 15:30:00	:LKQ	2.31	2.31	2.21	2.26	435120.00
2004-08-18 15:30:00	:LKQ	2.17	2.29	2.12	2.29	317896.00
2004-08-19 15:30:00	:LKQ	2.21	2.29	2.20	2.25	115624.00
2004-08-20 15:30:00	:LKQ	2.26	2.35	2.23	2.34	193240.00
2004-08-23 15:30:00	:LKQ	2.35	2.37	2.28	2.29	174248.00
2004-08-24 15:30:00	:LKQ	2.34	2.34	2.25	2.28	162256.00
2004-08-25 15:30:00	:LKQ	2.26	2.28	2.23	2.28	159064.00
2004-08-26 15:30:00	:LKQ	2.25	2.30	2.25	2.27	162848.00
2004-08-27 15:30:00	:LKQ	2.23	2.28	2.23	2.24	75024.00
2004-08-30 15:30:00	:LKQ	2.23	2.27	2.22	2.22	74736.00
2004-08-31 15:30:00	:LKQ	2.25	2.28	2.18	2.28	167512.00
2004-09-01 15:30:00	:LKQ	2.25	2.38	2.20	2.21	635352.00
2004-09-02 15:30:00	:LKQ	2.25	2.26	2.17	2.24	167984.00
2004-09-03 15:30:00	:LKQ	2.28	2.28	2.18	2.21	583536.00
2004-09-07 15:30:00	:LKQ	2.20	2.26	2.20	2.25	777976.00
2004-09-08 15:30:00	:LKQ	2.25	2.31	2.20	2.23	224208.00
2004-09-09 15:30:00	:LKQ	2.25	2.31	2.24	2.31	138880.00
