datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:LLY	68.75	69.89	68.47	69.40	3914400.00
2004-04-08 15:30:00	:LLY	69.90	70.15	68.21	68.88	3592400.00
2004-04-12 15:30:00	:LLY	69.48	69.48	68.77	69.21	1516100.00
2004-04-13 15:30:00	:LLY	69.70	69.82	69.10	69.34	3434100.00
2004-04-14 15:30:00	:LLY	69.02	70.41	69.02	70.41	3321900.00
2004-04-15 15:30:00	:LLY	70.98	72.90	70.81	72.90	6063801.00
2004-04-16 15:30:00	:LLY	72.98	73.35	72.02	72.45	4938301.00
2004-04-19 15:30:00	:LLY	72.50	73.74	72.50	73.40	4933398.00
2004-04-20 15:30:00	:LLY	73.40	73.82	72.25	72.25	3665700.00
2004-04-21 15:30:00	:LLY	72.25	73.85	71.73	73.41	3355900.00
2004-04-22 15:30:00	:LLY	73.41	74.76	73.02	74.02	3648000.00
2004-04-23 15:30:00	:LLY	73.77	74.12	72.89	73.15	2891700.00
2004-04-26 15:30:00	:LLY	73.31	73.93	72.80	73.35	2140300.00
2004-04-27 15:30:00	:LLY	73.70	74.88	73.42	73.78	2968000.00
2004-04-28 15:30:00	:LLY	73.65	73.85	73.08	73.65	2685700.00
2004-04-29 15:30:00	:LLY	73.73	74.67	72.76	73.40	2793700.00
2004-04-30 15:30:00	:LLY	73.68	74.72	73.43	73.81	3089200.00
2004-05-03 15:30:00	:LLY	73.82	74.99	73.81	74.64	3011600.00
2004-05-04 15:30:00	:LLY	74.69	75.97	74.50	75.33	3909600.00
2004-05-05 15:30:00	:LLY	75.08	75.84	75.00	75.33	2844400.00
2004-05-06 15:30:00	:LLY	74.80	76.63	74.75	76.26	3639800.00
2004-05-07 15:30:00	:LLY	76.50	76.95	75.51	75.55	3479000.00
2004-05-10 15:30:00	:LLY	75.55	76.15	73.58	74.38	5019801.00
2004-05-11 15:30:00	:LLY	73.95	74.69	73.59	73.85	3235800.00
2004-05-12 15:30:00	:LLY	73.25	74.00	72.09	73.71	3512400.00
2004-05-13 15:30:00	:LLY	73.55	73.95	73.07	73.26	2206400.00
2004-05-14 15:30:00	:LLY	73.26	74.49	72.98	73.85	1971400.00
2004-05-17 15:30:00	:LLY	72.84	73.35	72.35	72.93	3885800.00
2004-05-18 15:30:00	:LLY	72.93	73.31	72.27	72.57	2687000.00
2004-05-19 15:30:00	:LLY	72.70	73.00	71.70	71.88	2757000.00
2004-05-20 15:30:00	:LLY	72.20	72.56	71.44	72.31	2966200.00
2004-05-21 15:30:00	:LLY	72.40	72.69	71.50	71.98	2124700.00
2004-05-24 15:30:00	:LLY	72.10	72.10	70.31	70.77	3351600.00
2004-05-25 15:30:00	:LLY	70.78	72.24	70.50	72.07	3059400.00
2004-05-26 15:30:00	:LLY	72.95	73.89	72.75	73.42	4106801.00
2004-05-27 15:30:00	:LLY	73.95	74.48	73.61	73.96	2397400.00
2004-05-28 15:30:00	:LLY	73.67	73.95	73.10	73.67	2249400.00
2004-06-01 15:30:00	:LLY	73.85	74.75	73.67	74.74	2898100.00
2004-06-02 15:30:00	:LLY	74.95	74.99	74.09	74.50	2447300.00
2004-06-03 15:30:00	:LLY	74.51	75.40	74.30	74.36	2252400.00
2004-06-04 15:30:00	:LLY	74.60	75.83	74.50	75.00	2801200.00
2004-06-07 15:30:00	:LLY	75.65	75.67	74.81	75.66	2056700.00
2004-06-08 15:30:00	:LLY	75.20	75.65	74.85	75.38	1872800.00
2004-06-09 15:30:00	:LLY	75.10	75.10	73.46	73.57	3608900.00
