datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:LMT	48.10	48.16	47.52	47.76	7075398.00
2004-04-08 15:30:00	:LMT	47.76	47.98	47.39	47.54	2358800.00
2004-04-12 15:30:00	:LMT	47.15	47.82	46.75	46.91	2721900.00
2004-04-13 15:30:00	:LMT	47.42	47.49	46.38	46.45	2684500.00
2004-04-14 15:30:00	:LMT	46.70	46.88	46.37	46.77	1901200.00
2004-04-15 15:30:00	:LMT	46.98	47.40	46.44	46.78	1243000.00
2004-04-16 15:30:00	:LMT	47.30	47.44	46.95	47.00	1509700.00
2004-04-19 15:30:00	:LMT	46.60	47.20	46.60	46.93	968800.00
2004-04-20 15:30:00	:LMT	46.86	47.39	45.73	45.73	1748600.00
2004-04-21 15:30:00	:LMT	45.82	46.30	45.78	45.99	1470900.00
2004-04-22 15:30:00	:LMT	45.75	46.82	45.75	46.30	1537600.00
2004-04-23 15:30:00	:LMT	46.11	46.29	45.90	46.21	1872400.00
2004-04-26 15:30:00	:LMT	46.27	46.60	46.03	46.50	2099800.00
2004-04-27 15:30:00	:LMT	47.25	48.06	46.80	46.88	4646199.00
2004-04-28 15:30:00	:LMT	46.98	47.61	46.75	47.35	3017000.00
2004-04-29 15:30:00	:LMT	47.68	47.80	47.17	47.38	2266300.00
2004-04-30 15:30:00	:LMT	47.43	47.84	46.99	47.70	2303800.00
2004-05-03 15:30:00	:LMT	47.55	47.69	47.18	47.53	2355500.00
2004-05-04 15:30:00	:LMT	47.75	48.26	47.25	47.87	2538200.00
2004-05-05 15:30:00	:LMT	47.80	48.40	47.58	48.30	2509300.00
2004-05-06 15:30:00	:LMT	48.55	49.03	48.40	48.88	3414900.00
2004-05-07 15:30:00	:LMT	48.51	49.12	48.44	48.57	2325400.00
2004-05-10 15:30:00	:LMT	48.30	48.34	47.63	47.76	2047500.00
2004-05-11 15:30:00	:LMT	47.77	47.89	47.36	47.53	2122000.00
2004-05-12 15:30:00	:LMT	47.19	48.08	47.11	47.91	2722200.00
2004-05-13 15:30:00	:LMT	47.85	47.92	47.31	47.62	2321300.00
2004-05-14 15:30:00	:LMT	47.42	47.54	46.98	47.43	2318400.00
