datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:LOW	28.00	28.00	27.00	27.03	9837796.00
2004-04-08 15:30:00	:LOW	27.41	27.42	26.57	26.75	9995398.00
2004-04-12 15:30:00	:LOW	26.90	27.02	26.72	26.91	4696000.00
2004-04-13 15:30:00	:LOW	27.00	27.14	26.41	26.58	10545796.00
2004-04-14 15:30:00	:LOW	26.38	26.51	26.05	26.22	10705204.00
2004-04-15 15:30:00	:LOW	26.30	26.75	26.25	26.61	6731800.00
2004-04-16 15:30:00	:LOW	26.61	26.70	26.34	26.62	5036400.00
2004-04-19 15:30:00	:LOW	26.62	26.66	26.25	26.43	5127200.00
2004-04-20 15:30:00	:LOW	26.70	26.98	26.32	26.32	5512000.00
2004-04-21 15:30:00	:LOW	26.32	26.39	25.90	26.02	6352200.00
2004-04-22 15:30:00	:LOW	26.02	26.80	25.93	26.64	6288800.00
2004-04-23 15:30:00	:LOW	26.56	26.88	26.41	26.77	3539600.00
2004-04-26 15:30:00	:LOW	26.90	27.18	26.55	26.64	6153000.00
2004-04-27 15:30:00	:LOW	26.65	26.84	26.52	26.65	8529602.00
2004-04-28 15:30:00	:LOW	26.55	26.68	26.18	26.40	6934400.00
2004-04-29 15:30:00	:LOW	26.40	26.60	25.85	26.12	7720400.00
2004-04-30 15:30:00	:LOW	26.62	26.62	26.00	26.03	6992600.00
2004-05-03 15:30:00	:LOW	26.27	26.50	26.11	26.18	6252000.00
2004-05-04 15:30:00	:LOW	26.18	26.19	25.77	25.88	7229400.00
2004-05-05 15:30:00	:LOW	25.82	26.35	25.80	26.23	5995800.00
2004-05-06 15:30:00	:LOW	26.15	26.16	25.55	25.75	6652400.00
2004-05-07 15:30:00	:LOW	25.62	25.84	24.79	25.00	13397602.00
2004-05-10 15:30:00	:LOW	24.50	24.77	24.05	24.52	15046602.00
2004-05-11 15:30:00	:LOW	24.65	25.16	24.65	24.98	9013398.00
2004-05-12 15:30:00	:LOW	24.98	24.98	24.15	24.77	10292602.00
2004-05-13 15:30:00	:LOW	24.77	25.25	24.60	25.21	10685796.00
