datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:LRCX	26.26	26.74	25.78	26.44	1539129.00
2004-04-08 15:30:00	:LRCX	26.79	26.93	26.45	26.66	1459098.00
2004-04-12 15:30:00	:LRCX	26.67	27.26	26.50	27.10	1612743.00
2004-04-13 15:30:00	:LRCX	27.25	27.50	26.70	26.84	2908811.00
2004-04-14 15:30:00	:LRCX	26.25	27.27	26.22	26.82	2793480.00
2004-04-15 15:30:00	:LRCX	26.79	26.98	24.72	25.33	4634254.00
2004-04-16 15:30:00	:LRCX	25.07	25.15	24.33	24.71	3485973.00
2004-04-19 15:30:00	:LRCX	24.80	25.56	24.64	25.47	2083976.00
2004-04-20 15:30:00	:LRCX	25.44	25.84	24.40	24.50	2196573.00
2004-04-21 15:30:00	:LRCX	24.71	24.81	23.83	24.66	3703677.00
2004-04-22 15:30:00	:LRCX	24.14	24.62	23.46	24.52	4494715.00
2004-04-23 15:30:00	:LRCX	24.51	25.11	24.51	25.07	1824913.00
2004-04-26 15:30:00	:LRCX	25.11	25.13	24.28	24.53	1998160.00
2004-04-27 15:30:00	:LRCX	24.71	24.75	23.68	23.86	2399307.00
2004-04-28 15:30:00	:LRCX	23.93	24.24	23.43	23.59	1663744.00
2004-04-29 15:30:00	:LRCX	23.50	23.52	21.69	22.08	5225574.00
2004-04-30 15:30:00	:LRCX	22.18	22.34	21.81	22.07	4519414.00
2004-05-03 15:30:00	:LRCX	22.12	22.50	21.25	21.73	4731723.00
2004-05-04 15:30:00	:LRCX	21.90	22.50	21.88	22.09	4486633.00
2004-05-05 15:30:00	:LRCX	22.21	22.70	22.15	22.24	4127301.00
2004-05-06 15:30:00	:LRCX	22.06	22.37	21.79	22.10	1993046.00
2004-05-07 15:30:00	:LRCX	22.02	22.66	21.92	22.09	3325433.00
2004-05-10 15:30:00	:LRCX	22.01	22.47	21.69	22.10	3490374.00
2004-05-11 15:30:00	:LRCX	22.52	23.08	22.46	23.04	3086346.00
2004-05-12 15:30:00	:LRCX	22.66	22.87	21.75	22.45	2235310.00
2004-05-13 15:30:00	:LRCX	22.48	22.52	21.96	22.15	1381957.00
2004-05-14 15:30:00	:LRCX	22.45	22.60	21.78	21.87	1942418.00
2004-05-17 15:30:00	:LRCX	21.39	21.89	20.91	21.37	3042686.00
2004-05-18 15:30:00	:LRCX	21.74	22.47	21.67	22.15	2011864.00
2004-05-19 15:30:00	:LRCX	22.50	23.31	22.47	22.47	2692819.00
2004-05-20 15:30:00	:LRCX	22.49	22.76	22.13	22.20	1389622.00
2004-05-21 15:30:00	:LRCX	22.51	22.60	22.25	22.55	995507.00
2004-05-24 15:30:00	:LRCX	22.85	23.02	22.60	22.77	935116.00
2004-05-25 15:30:00	:LRCX	22.84	23.68	22.40	23.54	1467392.00
2004-05-26 15:30:00	:LRCX	23.48	24.00	23.36	23.90	1537369.00
2004-05-27 15:30:00	:LRCX	24.05	24.72	24.05	24.54	2727452.00
2004-05-28 15:30:00	:LRCX	24.84	25.30	24.50	25.13	2723848.00
2004-06-01 15:30:00	:LRCX	24.82	25.31	24.50	24.94	2351990.00
2004-06-02 15:30:00	:LRCX	24.98	24.98	23.91	24.27	2315404.00
2004-06-03 15:30:00	:LRCX	24.15	24.21	23.50	23.52	2258327.00
2004-06-04 15:30:00	:LRCX	24.04	24.68	23.94	24.27	2001436.00
2004-06-07 15:30:00	:LRCX	24.43	25.17	24.43	25.17	1287926.00
2004-06-08 15:30:00	:LRCX	24.79	24.99	24.58	24.89	1147220.00
