datetime	symbol	open	high	low	close	volume
2007-07-27 15:30:00	:LULU	12.50	14.32	12.46	14.00	29257172.00
2007-07-30 15:30:00	:LULU	14.43	15.93	14.18	14.99	5767802.00
2007-07-31 15:30:00	:LULU	16.00	17.09	15.11	16.07	4441496.00
2007-08-01 15:30:00	:LULU	16.49	16.62	15.20	15.54	3061546.00
2007-08-02 15:30:00	:LULU	16.00	16.91	15.99	16.52	1969342.00
2007-08-03 15:30:00	:LULU	17.23	17.25	15.04	15.50	2315404.00
2007-08-06 15:30:00	:LULU	16.00	16.43	15.04	16.38	3002138.00
2007-08-07 15:30:00	:LULU	16.50	18.52	16.07	18.12	3980664.00
2007-08-08 15:30:00	:LULU	18.50	19.43	18.20	18.88	4068200.00
2007-08-09 15:30:00	:LULU	18.32	18.88	17.25	17.68	1828562.00
2007-08-10 15:30:00	:LULU	17.00	18.10	16.13	18.07	2232672.00
2007-08-13 15:30:00	:LULU	19.00	19.00	18.25	18.44	962774.00
2007-08-14 15:30:00	:LULU	18.50	18.59	16.75	16.75	2153220.00
2007-08-15 15:30:00	:LULU	17.62	17.62	16.06	16.73	1529156.00
2007-08-16 15:30:00	:LULU	15.97	16.70	14.35	16.02	2732328.00
2007-08-17 15:30:00	:LULU	17.50	17.50	15.84	16.47	1149822.00
2007-08-20 15:30:00	:LULU	17.00	17.09	16.00	16.50	582160.00
2007-08-21 15:30:00	:LULU	16.88	17.35	16.15	17.01	1251148.00
2007-08-22 15:30:00	:LULU	17.40	18.00	17.05	17.14	819596.00
2007-08-23 15:30:00	:LULU	17.62	17.62	16.81	16.89	618996.00
2007-08-24 15:30:00	:LULU	17.11	17.25	16.64	17.18	354014.00
2007-08-27 15:30:00	:LULU	17.25	17.25	16.43	16.52	374924.00
2007-08-28 15:30:00	:LULU	16.46	16.49	16.04	16.15	636838.00
2007-08-29 15:30:00	:LULU	16.18	16.88	16.18	16.75	1069462.00
2007-08-30 15:30:00	:LULU	16.19	16.89	16.19	16.79	682062.00
2007-08-31 15:30:00	:LULU	16.90	17.39	16.84	17.04	776016.00
2007-09-04 15:30:00	:LULU	17.00	17.62	17.00	17.48	665394.00
2007-09-05 15:30:00	:LULU	17.45	17.61	16.66	17.42	621374.00
2007-09-06 15:30:00	:LULU	17.62	18.62	17.14	18.48	1377118.00
2007-09-07 15:30:00	:LULU	17.77	18.30	17.38	17.95	1053454.00
2007-09-10 15:30:00	:LULU	18.49	18.49	17.82	18.33	1854404.00
2007-09-11 15:30:00	:LULU	17.25	18.22	17.18	17.81	2988328.00
2007-09-12 15:30:00	:LULU	17.59	18.27	17.54	17.91	673944.00
