datetime	symbol	open	high	low	close	volume
2010-04-28 15:30:00	:LYB	22.25	22.25	21.70	22.00	5244395.00
2010-04-29 15:30:00	:LYB	22.00	23.25	21.90	23.00	8773508.00
2010-04-30 15:30:00	:LYB	22.95	23.00	22.25	22.30	1644399.00
2010-05-03 15:30:00	:LYB	22.75	22.95	22.65	22.80	3302650.00
2010-05-04 15:30:00	:LYB	22.80	22.80	21.50	21.50	2276463.00
2010-05-05 15:30:00	:LYB	22.00	22.00	20.00	20.59	7052945.00
2010-05-06 15:30:00	:LYB	20.50	20.55	18.45	19.45	8029371.00
2010-05-07 15:30:00	:LYB	19.50	19.55	17.90	18.60	3881474.00
2010-05-10 15:30:00	:LYB	19.75	19.85	18.70	19.01	3861035.00
2010-05-11 15:30:00	:LYB	18.75	19.28	18.75	18.90	2626838.00
2010-05-12 15:30:00	:LYB	19.20	20.04	19.20	19.80	5714262.00
2010-05-13 15:30:00	:LYB	19.85	20.10	19.60	19.65	2475870.00
2010-05-14 15:30:00	:LYB	19.30	19.40	18.75	18.75	3083401.00
2010-05-17 15:30:00	:LYB	19.00	19.20	18.70	18.85	10116941.00
2010-05-18 15:30:00	:LYB	19.05	19.32	18.25	18.79	6219777.00
2010-05-19 15:30:00	:LYB	18.90	18.93	17.55	17.70	6227672.00
2010-05-20 15:30:00	:LYB	17.14	17.14	16.20	16.90	10248426.00
2010-05-21 15:30:00	:LYB	16.35	17.12	16.25	16.55	4470504.00
2010-05-24 15:30:00	:LYB	16.70	17.15	16.68	16.90	1711292.00
2010-05-25 15:30:00	:LYB	16.79	16.79	16.20	16.57	4649523.00
2010-05-26 15:30:00	:LYB	16.99	17.40	16.80	17.15	2079286.00
2010-05-27 15:30:00	:LYB	17.65	18.00	17.65	17.90	3156080.00
2010-05-28 15:30:00	:LYB	17.90	17.90	16.25	17.77	222111.00
2010-06-01 15:30:00	:LYB	17.65	17.80	17.20	17.50	900720.00
2010-06-02 15:30:00	:LYB	17.61	17.66	17.22	17.33	829884.00
2010-06-03 15:30:00	:LYB	17.45	17.50	17.15	17.33	2173553.00
2010-06-04 15:30:00	:LYB	17.05	17.10	16.75	17.05	3147113.00
2010-06-07 15:30:00	:LYB	17.15	17.20	16.74	16.89	2826772.00
2010-06-08 15:30:00	:LYB	17.03	17.03	16.50	16.75	2037651.00
2010-06-09 15:30:00	:LYB	16.79	17.10	16.70	16.79	1410168.00
2010-06-10 15:30:00	:LYB	16.97	17.07	16.85	16.97	1400980.00
2010-06-11 15:30:00	:LYB	16.94	17.19	16.94	17.14	452409.00
2010-06-14 15:30:00	:LYB	17.19	17.58	17.19	17.49	1008485.00
2010-06-15 15:30:00	:LYB	17.48	18.00	17.35	17.97	1969269.00
2010-06-16 15:30:00	:LYB	17.93	17.97	17.63	17.64	1041440.00
2010-06-17 15:30:00	:LYB	17.68	17.75	17.14	17.30	1090525.00
2010-06-18 15:30:00	:LYB	17.33	17.35	17.15	17.21	1373625.00
2010-06-21 15:30:00	:LYB	17.45	17.53	17.09	17.10	514026.00
2010-06-22 15:30:00	:LYB	17.09	17.10	16.80	16.84	1502897.00
2010-06-23 15:30:00	:LYB	16.90	16.95	16.60	16.65	1125631.00
2010-06-24 15:30:00	:LYB	16.69	16.92	16.35	16.80	2151603.00
2010-06-25 15:30:00	:LYB	16.90	16.92	16.70	16.82	611909.00
2010-06-28 15:30:00	:LYB	16.87	16.87	16.70	16.87	355895.00
2010-06-29 15:30:00	:LYB	16.74	16.74	16.25	16.25	2560983.00
2010-06-30 15:30:00	:LYB	16.27	16.50	16.15	16.15	1534029.00
2010-07-01 15:30:00	:LYB	16.24	16.30	15.40	15.55	4006079.00
2010-07-02 15:30:00	:LYB	15.58	15.69	15.40	15.48	231669.00
2010-07-06 15:30:00	:LYB	15.50	15.59	14.90	15.06	833669.00
2010-07-07 15:30:00	:LYB	15.05	15.15	14.86	15.00	2137181.00
2010-07-08 15:30:00	:LYB	14.95	15.15	14.95	15.05	2422195.00
2010-07-09 15:30:00	:LYB	15.10	16.02	15.00	15.80	1478679.00
2010-07-12 15:30:00	:LYB	15.82	16.02	15.80	15.82	786066.00
2010-07-13 15:30:00	:LYB	15.83	16.50	15.83	16.40	1647223.00
2010-07-14 15:30:00	:LYB	16.40	16.45	16.25	16.40	1537147.00
2010-07-15 15:30:00	:LYB	16.43	16.43	16.00	16.37	905811.00
2010-07-16 15:30:00	:LYB	16.30	16.30	16.00	16.20	624691.00
2010-07-19 15:30:00	:LYB	16.18	16.70	16.11	16.45	497216.00
