datetime	symbol	open	high	low	close	volume
2005-12-14 15:30:00	:LYV	11.50	11.50	11.05	11.05	246300.00
2005-12-15 15:30:00	:LYV	10.90	10.90	10.55	10.55	373000.00
2005-12-16 15:30:00	:LYV	10.56	10.75	10.56	10.75	179000.00
2005-12-19 15:30:00	:LYV	10.75	10.80	10.75	10.80	781300.00
2005-12-20 15:30:00	:LYV	10.75	11.24	10.75	11.00	611400.00
2005-12-21 15:30:00	:LYV	11.00	11.05	10.55	10.85	5796898.00
2005-12-22 15:30:00	:LYV	10.60	11.12	10.59	10.60	4152500.00
2005-12-23 15:30:00	:LYV	10.90	12.78	10.90	11.95	8844699.00
2005-12-27 15:30:00	:LYV	12.20	12.79	12.13	12.50	3324100.00
2005-12-28 15:30:00	:LYV	12.25	14.00	12.25	13.30	3187700.00
2005-12-29 15:30:00	:LYV	13.80	13.83	13.21	13.21	1092100.00
2005-12-30 15:30:00	:LYV	13.65	13.65	12.66	13.10	1208400.00
2006-01-03 15:30:00	:LYV	12.90	13.50	12.81	13.50	1875500.00
2006-01-04 15:30:00	:LYV	13.47	13.85	13.00	13.00	2342000.00
2006-01-05 15:30:00	:LYV	13.30	13.31	12.95	13.00	2880600.00
2006-01-06 15:30:00	:LYV	13.00	13.08	12.77	12.93	1627700.00
2006-01-09 15:30:00	:LYV	12.83	13.75	12.82	13.75	1133600.00
2006-01-10 15:30:00	:LYV	13.85	13.85	13.45	13.65	1382200.00
2006-01-11 15:30:00	:LYV	13.60	14.60	13.48	14.32	2884200.00
2006-01-12 15:30:00	:LYV	14.00	14.65	13.90	14.40	2363900.00
2006-01-13 15:30:00	:LYV	14.40	14.77	14.37	14.77	2023000.00
2006-01-17 15:30:00	:LYV	14.45	15.14	14.40	14.87	1754300.00
2006-01-18 15:30:00	:LYV	14.40	14.65	14.31	14.49	1714500.00
2006-01-19 15:30:00	:LYV	14.40	15.22	14.29	15.22	4355102.00
2006-01-20 15:30:00	:LYV	15.40	16.75	15.30	16.56	3528300.00
2006-01-23 15:30:00	:LYV	16.57	18.50	16.57	17.59	3088500.00
2006-01-24 15:30:00	:LYV	17.39	17.80	17.30	17.59	1375600.00
2006-01-25 15:30:00	:LYV	17.65	17.65	16.36	16.73	1517700.00
2006-01-26 15:30:00	:LYV	16.80	17.45	16.45	16.57	811900.00
2006-01-27 15:30:00	:LYV	16.57	17.40	16.57	17.05	1063900.00
2006-01-30 15:30:00	:LYV	17.06	17.30	16.78	17.24	941200.00
2006-01-31 15:30:00	:LYV	17.20	18.00	17.20	17.75	1478000.00
2006-02-01 15:30:00	:LYV	17.76	17.85	17.26	17.51	403700.00
2006-02-02 15:30:00	:LYV	17.50	17.58	17.25	17.40	804400.00
2006-02-03 15:30:00	:LYV	17.28	17.74	17.25	17.65	243700.00
2006-02-06 15:30:00	:LYV	17.70	17.75	17.49	17.64	338300.00
2006-02-07 15:30:00	:LYV	17.75	18.15	17.54	17.76	322000.00
2006-02-08 15:30:00	:LYV	17.76	17.87	17.51	17.87	210600.00
2006-02-09 15:30:00	:LYV	17.92	19.00	17.90	18.95	836800.00
2006-02-10 15:30:00	:LYV	19.00	19.30	18.98	19.07	456100.00
2006-02-13 15:30:00	:LYV	19.00	19.56	19.00	19.40	718000.00
2006-02-14 15:30:00	:LYV	19.40	19.40	18.92	19.02	436300.00
2006-02-15 15:30:00	:LYV	19.00	19.12	18.97	19.07	674500.00
2006-02-16 15:30:00	:LYV	19.08	19.08	18.45	18.50	1359700.00
2006-02-17 15:30:00	:LYV	18.40	18.47	17.90	17.94	257000.00
2006-02-21 15:30:00	:LYV	17.55	19.20	17.46	18.93	861700.00
2006-02-22 15:30:00	:LYV	18.68	19.00	18.57	18.94	117900.00
2006-02-23 15:30:00	:LYV	18.51	18.93	18.30	18.71	131000.00
2006-02-24 15:30:00	:LYV	18.60	18.70	17.78	18.49	670600.00
2006-02-27 15:30:00	:LYV	18.35	18.58	17.84	17.91	270300.00
2006-02-28 15:30:00	:LYV	17.85	17.98	17.72	17.85	174200.00
2006-03-01 15:30:00	:LYV	17.75	17.88	17.65	17.79	147200.00
2006-03-02 15:30:00	:LYV	17.75	17.81	17.59	17.72	181000.00
2006-03-03 15:30:00	:LYV	17.65	17.67	17.50	17.55	188000.00
2006-03-06 15:30:00	:LYV	17.55	18.34	17.55	18.22	112700.00
2006-03-07 15:30:00	:LYV	18.15	18.15	17.67	17.95	142100.00
2006-03-08 15:30:00	:LYV	17.91	18.13	17.90	17.95	66400.00
2006-03-09 15:30:00	:LYV	17.90	18.11	17.90	18.11	198000.00
2006-03-10 15:30:00	:LYV	18.06	18.49	18.00	18.08	1187800.00
2006-03-13 15:30:00	:LYV	18.00	18.03	17.93	17.98	90200.00
2006-03-14 15:30:00	:LYV	17.90	18.23	17.83	18.21	141100.00
2006-03-15 15:30:00	:LYV	18.12	18.12	17.94	18.00	143700.00
2006-03-16 15:30:00	:LYV	18.00	18.70	18.00	18.50	263100.00
2006-03-17 15:30:00	:LYV	18.50	18.60	18.23	18.51	556600.00
2006-03-20 15:30:00	:LYV	18.45	18.88	18.39	18.61	171600.00
2006-03-21 15:30:00	:LYV	18.55	18.95	18.55	18.85	254900.00
2006-03-22 15:30:00	:LYV	18.85	19.00	18.60	19.00	116100.00
2006-03-23 15:30:00	:LYV	19.00	19.02	18.82	18.85	258200.00
2006-03-24 15:30:00	:LYV	18.82	19.11	18.51	18.85	271200.00
2006-03-27 16:30:00	:LYV	18.83	18.85	18.47	18.72	120100.00
2006-03-28 16:30:00	:LYV	18.62	19.09	18.61	18.93	123400.00
2006-03-29 16:30:00	:LYV	18.98	19.03	18.65	18.99	114500.00
2006-03-30 16:30:00	:LYV	18.92	19.10	18.90	19.02	237200.00
2006-03-31 16:30:00	:LYV	19.09	19.99	19.09	19.84	238000.00
2006-04-03 15:30:00	:LYV	19.86	19.90	19.15	19.17	150000.00
2006-04-04 15:30:00	:LYV	19.10	19.28	18.92	19.02	156900.00
2006-04-05 15:30:00	:LYV	19.06	19.10	18.95	19.00	119000.00
2006-04-06 15:30:00	:LYV	18.98	19.25	18.97	19.19	810600.00
2006-04-07 15:30:00	:LYV	19.10	19.25	19.05	19.20	57600.00
2006-04-10 15:30:00	:LYV	19.18	19.21	19.00	19.06	98600.00
2006-04-11 15:30:00	:LYV	19.06	19.15	18.96	19.00	135900.00
2006-04-12 15:30:00	:LYV	19.00	19.25	18.87	19.17	256000.00
2006-04-13 15:30:00	:LYV	19.10	19.25	19.10	19.20	216800.00
2006-04-17 15:30:00	:LYV	19.16	19.44	19.16	19.39	128900.00
2006-04-18 15:30:00	:LYV	19.33	19.55	19.26	19.30	86600.00
2006-04-19 15:30:00	:LYV	19.35	19.44	19.18	19.24	179400.00
2006-04-20 15:30:00	:LYV	19.24	19.25	19.15	19.23	77400.00
2006-04-21 15:30:00	:LYV	19.23	19.43	19.11	19.16	223400.00
2006-04-24 15:30:00	:LYV	19.15	19.35	19.15	19.25	228500.00
2006-04-25 15:30:00	:LYV	19.25	19.44	19.16	19.21	136100.00
2006-04-26 15:30:00	:LYV	19.21	19.56	19.21	19.36	144500.00
2006-04-27 15:30:00	:LYV	19.25	19.38	19.01	19.15	116800.00
2006-04-28 15:30:00	:LYV	19.00	19.25	19.00	19.00	211200.00
2006-05-01 15:30:00	:LYV	19.05	19.57	19.05	19.41	207500.00
2006-05-02 15:30:00	:LYV	19.30	19.49	19.30	19.36	176500.00
2006-05-03 15:30:00	:LYV	19.35	19.49	19.30	19.39	71200.00
2006-05-04 15:30:00	:LYV	19.44	19.60	19.33	19.50	168500.00
2006-05-05 15:30:00	:LYV	19.60	20.50	19.55	20.24	316700.00
2006-05-08 15:30:00	:LYV	20.34	20.34	19.97	20.14	113400.00
2006-05-09 15:30:00	:LYV	20.12	21.18	20.12	21.00	393800.00
2006-05-10 15:30:00	:LYV	20.95	21.35	20.95	21.25	166500.00
2006-05-11 15:30:00	:LYV	21.20	21.20	20.71	20.95	206700.00
2006-05-12 15:30:00	:LYV	20.87	21.16	20.72	21.06	211400.00
2006-05-15 15:30:00	:LYV	21.13	21.71	21.00	21.69	201900.00
2006-05-16 15:30:00	:LYV	21.61	21.62	21.15	21.61	149900.00
2006-05-17 15:30:00	:LYV	21.65	21.65	20.68	20.81	167500.00
2006-05-18 15:30:00	:LYV	21.00	21.70	21.00	21.66	247300.00
2006-05-19 15:30:00	:LYV	21.62	21.99	20.94	21.80	183400.00
2006-05-22 15:30:00	:LYV	21.79	21.86	21.28	21.31	474200.00
2006-05-23 15:30:00	:LYV	21.35	21.44	21.29	21.41	276200.00
2006-05-24 15:30:00	:LYV	21.41	21.48	21.00	21.23	570900.00
2006-05-25 15:30:00	:LYV	21.33	22.12	21.08	22.05	254100.00
2006-05-26 15:30:00	:LYV	22.18	23.72	22.18	23.34	326400.00
2006-05-30 15:30:00	:LYV	23.40	23.40	22.57	22.65	192400.00
2006-05-31 15:30:00	:LYV	22.60	22.99	22.30	22.80	1011000.00
2006-06-01 15:30:00	:LYV	22.80	23.85	22.80	23.46	482300.00
2006-06-02 15:30:00	:LYV	23.50	24.06	23.47	23.68	503900.00
2006-06-05 15:30:00	:LYV	23.62	23.99	23.55	23.90	176200.00
2006-06-06 15:30:00	:LYV	23.90	24.27	23.71	24.27	220000.00
2006-06-07 15:30:00	:LYV	24.27	24.90	24.21	24.58	398300.00
2006-06-08 15:30:00	:LYV	24.68	24.70	24.02	24.13	597700.00
