datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:L	20.08	20.18	19.95	20.08	1176911.00
2004-04-08 15:30:00	:L	20.10	20.25	19.98	20.03	1061410.00
2004-04-12 15:30:00	:L	20.00	20.32	20.00	20.22	951309.00
2004-04-13 15:30:00	:L	20.28	20.33	19.91	20.00	1096510.00
2004-04-14 15:30:00	:L	19.97	20.12	19.91	20.06	1323013.00
2004-04-15 15:30:00	:L	20.06	20.19	19.92	20.04	1529415.00
2004-04-16 15:30:00	:L	20.17	20.18	19.97	20.16	1546215.00
2004-04-19 15:30:00	:L	20.10	20.18	19.94	20.16	748807.00
2004-04-20 15:30:00	:L	20.13	20.20	19.95	19.98	1263912.00
2004-04-21 15:30:00	:L	20.03	20.06	19.71	19.96	1200612.00
2004-04-22 15:30:00	:L	19.92	20.45	19.82	20.34	1468514.00
2004-04-23 15:30:00	:L	20.26	20.26	19.99	20.02	1122011.00
2004-04-26 15:30:00	:L	19.99	20.04	19.60	19.70	1404314.00
2004-04-27 15:30:00	:L	19.69	19.83	19.58	19.70	1706717.00
2004-04-28 15:30:00	:L	19.53	19.59	19.27	19.39	1676416.00
2004-04-29 15:30:00	:L	19.49	19.85	19.41	19.47	2059520.00
2004-04-30 15:30:00	:L	19.49	19.51	19.27	19.34	1769417.00
2004-05-03 15:30:00	:L	19.34	19.40	19.20	19.37	1678216.00
2004-05-04 15:30:00	:L	19.33	19.43	19.13	19.24	1467614.00
2004-05-05 15:30:00	:L	19.21	19.33	19.19	19.23	1435214.00
2004-05-06 15:30:00	:L	19.20	19.22	19.03	19.12	1245912.00
2004-05-07 15:30:00	:L	19.08	19.25	18.86	18.86	1417514.00
2004-05-10 15:30:00	:L	18.86	19.10	18.68	18.97	1710017.00
2004-05-11 15:30:00	:L	18.97	19.10	18.92	18.99	1212012.00
2004-05-12 15:30:00	:L	19.00	19.02	18.48	18.97	3204032.00
2004-05-13 15:30:00	:L	18.97	19.50	18.94	19.41	2361623.00
2004-05-14 15:30:00	:L	19.44	19.87	19.44	19.76	2144721.00
2004-05-17 15:30:00	:L	19.65	19.67	19.42	19.52	1559715.00
2004-05-18 15:30:00	:L	19.57	19.73	19.37	19.42	1596015.00
2004-05-19 15:30:00	:L	19.50	19.76	19.36	19.43	1090210.00
2004-05-20 15:30:00	:L	19.43	19.53	19.34	19.45	1148711.00
2004-05-21 15:30:00	:L	19.53	19.65	19.39	19.44	943809.00
2004-05-24 15:30:00	:L	19.44	19.50	18.80	18.80	3324033.00
2004-05-25 15:30:00	:L	18.83	19.00	18.77	18.91	3210332.00
2004-05-26 15:30:00	:L	18.93	19.19	18.89	19.08	1496714.00
2004-05-27 15:30:00	:L	19.04	19.21	19.03	19.09	1506015.00
2004-05-28 15:30:00	:L	19.12	19.21	19.02	19.21	1086010.00
2004-06-01 15:30:00	:L	19.18	19.55	19.18	19.53	1818618.00
2004-06-02 15:30:00	:L	19.61	19.87	19.59	19.79	1376713.00
2004-06-03 15:30:00	:L	19.74	19.80	19.60	19.73	771307.00
2004-06-04 15:30:00	:L	19.77	19.85	19.61	19.67	821108.00
2004-06-07 15:30:00	:L	19.75	19.91	19.69	19.89	1545615.00
2004-06-08 15:30:00	:L	19.83	19.88	19.66	19.81	1618216.00
2004-06-09 15:30:00	:L	19.77	19.79	19.42	19.45	1363213.00
2004-06-10 15:30:00	:L	19.45	19.50	19.28	19.38	2016020.00
2004-06-14 15:30:00	:L	19.38	19.47	19.25	19.32	1130411.00
2004-06-15 15:30:00	:L	19.43	19.63	19.40	19.48	1631416.00
2004-06-16 15:30:00	:L	19.50	19.52	19.35	19.37	706807.00
2004-06-17 15:30:00	:L	19.33	19.40	19.23	19.35	1248912.00
2004-06-18 15:30:00	:L	19.23	19.55	19.23	19.38	1356013.00
2004-06-21 15:30:00	:L	19.34	19.50	19.34	19.35	1037110.00
2004-06-22 15:30:00	:L	19.38	19.75	19.36	19.70	1043110.00
2004-06-23 15:30:00	:L	19.70	19.78	19.55	19.67	915009.00
2004-06-24 15:30:00	:L	19.75	19.98	19.68	19.88	1416314.00
2004-06-25 15:30:00	:L	19.93	20.02	19.80	20.02	3789337.00
2004-06-28 15:30:00	:L	20.15	20.38	20.01	20.04	2415924.00
2004-06-29 15:30:00	:L	20.09	20.20	19.94	19.94	987009.00
2004-06-30 15:30:00	:L	20.00	20.08	19.85	19.99	1176611.00
2004-07-01 15:30:00	:L	20.00	20.05	19.78	19.84	1094710.00
2004-07-02 15:30:00	:L	19.87	19.98	19.81	19.87	708607.00
2004-07-06 15:30:00	:L	19.73	19.88	19.72	19.79	661806.00
2004-07-07 15:30:00	:L	19.71	19.80	19.59	19.62	1073110.00
2004-07-08 15:30:00	:L	19.62	19.63	19.41	19.50	895208.00
2004-07-09 15:30:00	:L	19.53	19.53	19.36	19.42	770107.00
2004-07-12 15:30:00	:L	19.47	19.81	19.47	19.67	1229412.00
2004-07-13 15:30:00	:L	19.64	19.67	19.33	19.37	1117811.00
2004-07-14 15:30:00	:L	19.37	19.37	19.20	19.27	788107.00
2004-07-15 15:30:00	:L	19.30	19.30	19.06	19.06	847808.00
2004-07-16 15:30:00	:L	19.33	19.33	19.00	19.04	932409.00
2004-07-19 15:30:00	:L	19.08	19.24	19.00	19.05	854408.00
2004-07-20 15:30:00	:L	19.10	19.11	18.83	18.92	797707.00
2004-07-21 15:30:00	:L	18.97	19.00	18.62	18.62	911709.00
2004-07-22 15:30:00	:L	18.61	18.62	18.10	18.31	1246512.00
2004-07-23 15:30:00	:L	18.33	18.35	18.13	18.16	1196711.00
2004-07-26 15:30:00	:L	18.23	18.33	18.12	18.24	908409.00
2004-07-27 15:30:00	:L	18.23	18.38	18.23	18.27	849008.00
2004-07-28 15:30:00	:L	18.25	18.32	18.00	18.07	1262112.00
2004-07-29 15:30:00	:L	18.23	18.75	18.17	18.66	2025620.00
2004-07-30 15:30:00	:L	18.70	18.94	18.63	18.88	1084510.00
2004-08-02 15:30:00	:L	18.87	18.91	18.67	18.85	888908.00
2004-08-03 15:30:00	:L	18.87	18.95	18.78	18.85	933309.00
2004-08-04 15:30:00	:L	18.80	18.90	18.69	18.75	816308.00
2004-08-05 15:30:00	:L	18.70	18.72	18.29	18.35	1182911.00
2004-08-06 15:30:00	:L	18.30	18.31	17.94	18.01	1056910.00
2004-08-09 15:30:00	:L	18.02	18.13	17.96	18.06	811808.00
2004-08-10 15:30:00	:L	18.12	18.22	18.11	18.20	837608.00
2004-08-11 15:30:00	:L	18.18	18.24	18.04	18.21	568505.00
2004-08-12 15:30:00	:L	18.15	18.22	17.97	18.00	589805.00
2004-08-13 15:30:00	:L	18.02	18.06	17.78	17.87	1192811.00
2004-08-16 15:30:00	:L	17.87	18.35	17.81	18.32	805508.00
2004-08-17 15:30:00	:L	18.33	18.55	18.33	18.44	923709.00
2004-08-18 15:30:00	:L	18.44	18.63	18.40	18.63	778507.00
2004-08-19 15:30:00	:L	18.57	18.68	18.55	18.67	520805.00
2004-08-20 15:30:00	:L	18.70	18.87	18.64	18.87	554705.00
2004-08-23 15:30:00	:L	18.88	18.97	18.66	18.70	670206.00
2004-08-24 15:30:00	:L	18.73	18.78	18.61	18.65	760807.00
2004-08-25 15:30:00	:L	18.67	18.81	18.59	18.80	589505.00
2004-08-26 15:30:00	:L	18.74	18.78	18.65	18.76	527705.00
2004-08-27 15:30:00	:L	18.78	18.83	18.70	18.72	699906.00
2004-08-30 15:30:00	:L	18.63	18.66	18.44	18.62	1051510.00
2004-08-31 15:30:00	:L	18.67	18.93	18.67	18.93	1227012.00
2004-09-01 15:30:00	:L	19.00	19.00	18.70	18.81	1014010.00
2004-09-02 15:30:00	:L	18.86	19.13	18.75	19.10	525905.00
2004-09-03 15:30:00	:L	19.13	19.23	19.05	19.10	884708.00
2004-09-07 15:30:00	:L	19.15	19.53	19.15	19.53	1139111.00
2004-09-08 15:30:00	:L	19.53	19.54	19.33	19.34	900609.00
2004-09-09 15:30:00	:L	19.38	19.49	19.28	19.42	1088410.00
2004-09-10 15:30:00	:L	19.38	19.52	19.29	19.51	873908.00
2004-09-13 15:30:00	:L	19.47	19.67	19.43	19.57	987609.00
2004-09-14 15:30:00	:L	19.63	19.80	19.62	19.75	1116011.00
2004-09-15 15:30:00	:L	19.90	19.98	19.65	19.69	1363813.00
2004-09-16 15:30:00	:L	19.73	19.82	19.63	19.71	1246212.00
2004-09-17 15:30:00	:L	19.85	19.98	19.80	19.84	1245912.00
2004-09-20 15:30:00	:L	19.84	19.84	19.67	19.69	1003810.00
