datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:MAR	20.81	20.81	20.54	20.70	1405422.00
2004-04-08 15:30:00	:MAR	20.79	20.86	20.73	20.82	2325424.00
2004-04-12 15:30:00	:MAR	20.77	21.06	20.76	20.87	1945324.00
2004-04-13 15:30:00	:MAR	20.94	20.97	20.62	20.65	1985866.00
2004-04-14 15:30:00	:MAR	20.61	20.75	20.58	20.75	1623999.00
2004-04-15 15:30:00	:MAR	20.84	21.03	20.68	20.76	1625715.00
2004-04-16 15:30:00	:MAR	20.76	20.94	20.69	20.88	967191.00
2004-04-19 15:30:00	:MAR	20.88	20.98	20.75	20.96	1060930.00
2004-04-20 15:30:00	:MAR	20.97	21.00	20.57	20.57	1641803.00
2004-04-21 15:30:00	:MAR	20.63	20.75	20.22	20.69	2081963.00
2004-04-22 15:30:00	:MAR	21.21	22.48	21.16	22.32	6608831.00
2004-04-23 15:30:00	:MAR	22.10	22.38	21.93	22.07	3077042.00
2004-04-26 15:30:00	:MAR	22.00	22.27	21.96	22.14	1820269.00
2004-04-27 15:30:00	:MAR	22.15	22.52	22.09	22.38	3024060.00
2004-04-28 15:30:00	:MAR	22.38	22.49	22.17	22.25	2334861.00
2004-04-29 15:30:00	:MAR	22.31	22.34	22.04	22.09	2509896.00
2004-04-30 15:30:00	:MAR	22.17	22.25	21.86	21.99	2188999.00
2004-05-03 15:30:00	:MAR	22.05	22.37	22.05	22.31	2009031.00
2004-05-04 15:30:00	:MAR	22.34	22.60	22.20	22.35	2199724.00
2004-05-05 15:30:00	:MAR	22.33	22.62	22.19	22.49	2330572.00
2004-05-06 15:30:00	:MAR	22.38	22.42	22.00	22.28	1404348.00
2004-05-07 15:30:00	:MAR	22.10	22.23	21.75	21.77	1716664.00
2004-05-10 15:30:00	:MAR	21.65	21.78	21.44	21.45	2309765.00
2004-05-11 15:30:00	:MAR	21.49	21.83	21.46	21.79	1408638.00
2004-05-12 15:30:00	:MAR	21.70	21.96	21.58	21.93	2044855.00
2004-05-13 15:30:00	:MAR	21.81	21.96	21.63	21.90	2131727.00
2004-05-14 15:30:00	:MAR	21.90	22.14	21.69	22.06	1640087.00
2004-05-17 15:30:00	:MAR	21.86	21.93	21.52	21.52	1578953.00
2004-05-18 15:30:00	:MAR	21.58	22.20	21.58	22.15	1636012.00
2004-05-19 15:30:00	:MAR	22.19	22.61	22.14	22.21	3998761.00
2004-05-20 15:30:00	:MAR	22.21	22.39	22.18	22.33	1971064.00
2004-05-21 15:30:00	:MAR	22.59	22.84	22.55	22.64	2564595.00
2004-05-24 15:30:00	:MAR	22.79	22.84	22.53	22.76	2640313.00
2004-05-25 15:30:00	:MAR	22.82	23.14	22.66	23.12	2721181.00
2004-05-26 15:30:00	:MAR	22.98	23.17	22.88	22.98	1793456.00
2004-05-27 15:30:00	:MAR	23.02	23.09	22.76	23.01	1853302.00
2004-05-28 15:30:00	:MAR	22.96	23.18	22.88	23.00	958397.00
2004-06-01 15:30:00	:MAR	23.00	23.18	22.76	22.97	1289803.00
2004-06-02 15:30:00	:MAR	23.07	23.45	23.00	23.37	3237918.00
2004-06-03 15:30:00	:MAR	23.29	23.38	23.25	23.27	2237477.00
2004-06-04 15:30:00	:MAR	23.50	23.78	23.36	23.54	3233199.00
2004-06-07 15:30:00	:MAR	23.59	23.89	23.59	23.84	3304844.00
2004-06-08 15:30:00	:MAR	23.61	23.89	23.60	23.87	1838503.00
2004-06-09 15:30:00	:MAR	23.74	24.01	23.67	23.67	3847321.00
