datetime	symbol	open	high	low	close	volume
2006-05-25 15:30:00	:MA	4.03	4.61	4.02	4.60	395221920.00
2006-05-26 15:30:00	:MA	4.63	4.67	4.41	4.49	103043980.00
2006-05-30 15:30:00	:MA	4.50	4.50	4.29	4.40	49896990.00
2006-05-31 15:30:00	:MA	4.44	4.54	4.44	4.49	29950000.00
2006-06-01 15:30:00	:MA	4.49	4.81	4.49	4.75	62321020.00
2006-06-02 15:30:00	:MA	4.85	4.87	4.68	4.70	37253000.00
2006-06-05 15:30:00	:MA	4.71	4.92	4.70	4.91	37141000.00
2006-06-06 15:30:00	:MA	5.00	5.06	4.78	4.83	49043980.00
2006-06-07 15:30:00	:MA	4.83	4.84	4.67	4.76	25005000.00
2006-06-08 15:30:00	:MA	4.76	4.77	4.55	4.77	34437000.00
2006-06-09 15:30:00	:MA	4.88	4.88	4.77	4.78	13372000.00
2006-06-12 15:30:00	:MA	4.80	4.83	4.63	4.70	14546000.00
2006-06-13 15:30:00	:MA	4.62	4.74	4.53	4.55	16716000.00
2006-06-14 15:30:00	:MA	4.49	4.54	4.44	4.51	15971000.00
2006-06-15 15:30:00	:MA	4.54	4.61	4.51	4.59	16500000.00
2006-06-16 15:30:00	:MA	4.55	4.60	4.50	4.50	12280000.00
2006-06-19 15:30:00	:MA	4.54	4.54	4.41	4.43	11488000.00
2006-06-20 15:30:00	:MA	4.47	4.50	4.35	4.40	23792000.00
2006-06-21 15:30:00	:MA	4.40	4.59	4.40	4.53	18063000.00
2006-06-22 15:30:00	:MA	4.64	4.70	4.59	4.66	13037000.00
2006-06-23 15:30:00	:MA	4.70	4.79	4.69	4.70	11612000.00
2006-06-26 15:30:00	:MA	4.70	4.75	4.64	4.75	8565000.00
2006-06-27 15:30:00	:MA	4.75	4.80	4.72	4.73	9826000.00
2006-06-28 15:30:00	:MA	4.69	4.74	4.65	4.70	8756000.00
2006-06-29 15:30:00	:MA	4.70	4.81	4.70	4.80	14471000.00
2006-06-30 15:30:00	:MA	4.76	4.80	4.66	4.80	25964000.00
2006-07-03 15:30:00	:MA	4.79	4.80	4.68	4.73	7029000.00
2006-07-05 15:30:00	:MA	4.74	4.78	4.67	4.76	13266000.00
2006-07-06 15:30:00	:MA	4.72	4.74	4.68	4.68	8097000.00
2006-07-07 15:30:00	:MA	4.67	4.69	4.58	4.61	8380000.00
2006-07-10 15:30:00	:MA	4.62	4.66	4.61	4.65	4978000.00
2006-07-11 15:30:00	:MA	4.65	4.65	4.53	4.64	8079000.00
2006-07-12 15:30:00	:MA	4.64	4.64	4.55	4.55	7672000.00
2006-07-13 15:30:00	:MA	4.52	4.52	4.43	4.47	16625000.00
2006-07-14 15:30:00	:MA	4.46	4.47	4.39	4.39	9663000.00
2006-07-17 15:30:00	:MA	4.39	4.42	4.38	4.40	6458000.00
2006-07-18 15:30:00	:MA	4.40	4.41	4.37	4.39	12483000.00
2006-07-19 15:30:00	:MA	4.39	4.54	4.38	4.53	15840000.00
2006-07-20 15:30:00	:MA	4.54	4.58	4.51	4.55	8829000.00
2006-07-21 15:30:00	:MA	4.55	4.55	4.48	4.53	8511000.00
2006-07-24 15:30:00	:MA	4.54	4.55	4.50	4.50	5017000.00
2006-07-25 15:30:00	:MA	4.52	4.64	4.52	4.61	6900000.00
2006-07-26 15:30:00	:MA	4.61	4.79	4.58	4.67	10338000.00
2006-07-27 15:30:00	:MA	4.69	4.72	4.65	4.65	6009000.00
2006-07-28 15:30:00	:MA	4.65	4.68	4.63	4.63	4339000.00
2006-07-31 15:30:00	:MA	4.63	4.64	4.59	4.59	4616000.00
2006-08-01 15:30:00	:MA	4.59	4.59	4.47	4.50	7404000.00
2006-08-02 15:30:00	:MA	4.80	5.00	4.73	5.00	53373980.00
2006-08-03 15:30:00	:MA	4.91	5.02	4.86	5.00	21690000.00
2006-08-04 15:30:00	:MA	5.03	5.15	5.00	5.00	14216000.00
2006-08-07 15:30:00	:MA	5.05	5.13	5.03	5.11	6918000.00
2006-08-08 15:30:00	:MA	5.11	5.27	5.11	5.26	14073000.00
2006-08-09 15:30:00	:MA	5.30	5.45	5.20	5.29	15043000.00
2006-08-10 15:30:00	:MA	5.22	5.39	5.21	5.36	8725000.00
2006-08-11 15:30:00	:MA	5.35	5.45	5.33	5.37	9078000.00
2006-08-14 15:30:00	:MA	5.38	5.45	5.35	5.42	6314000.00
2006-08-15 15:30:00	:MA	5.47	5.49	5.43	5.45	8554000.00
2006-08-16 15:30:00	:MA	5.46	5.54	5.42	5.43	15344000.00
2006-08-17 15:30:00	:MA	5.42	5.42	5.32	5.35	10217000.00
2006-08-18 15:30:00	:MA	5.31	5.36	5.25	5.34	9343000.00
2006-08-21 15:30:00	:MA	5.33	5.55	5.28	5.43	12487000.00
2006-08-22 15:30:00	:MA	5.42	5.55	5.42	5.52	9761000.00
2006-08-23 15:30:00	:MA	5.55	5.58	5.45	5.46	10439000.00
2006-08-24 15:30:00	:MA	5.49	5.59	5.48	5.56	5420000.00
2006-08-25 15:30:00	:MA	5.58	5.59	5.49	5.50	8016000.00
2006-08-28 15:30:00	:MA	5.49	5.54	5.48	5.50	3748000.00
2006-08-29 15:30:00	:MA	5.53	5.56	5.52	5.54	3214000.00
2006-08-30 15:30:00	:MA	5.55	5.58	5.52	5.53	5801000.00
2006-08-31 15:30:00	:MA	5.53	5.62	5.53	5.59	7023000.00
2006-09-01 15:30:00	:MA	5.60	5.75	5.60	5.66	20559000.00
2006-09-05 15:30:00	:MA	5.69	5.72	5.63	5.69	4618000.00
2006-09-06 15:30:00	:MA	5.69	5.89	5.66	5.89	15753000.00
2006-09-07 15:30:00	:MA	5.85	6.09	5.85	6.01	26549000.00
2006-09-08 15:30:00	:MA	6.10	6.12	5.93	5.97	15177000.00
2006-09-11 15:30:00	:MA	5.97	6.20	5.96	6.19	17064000.00
2006-09-12 15:30:00	:MA	6.10	6.21	6.10	6.21	16995000.00
2006-09-13 15:30:00	:MA	6.20	6.23	6.09	6.14	12355000.00
2006-09-14 15:30:00	:MA	6.09	6.33	6.07	6.28	13010000.00
2006-09-15 15:30:00	:MA	6.28	6.52	6.28	6.50	19315000.00
2006-09-18 15:30:00	:MA	6.57	6.75	6.43	6.51	23656000.00
2006-09-19 15:30:00	:MA	6.50	6.61	6.43	6.48	17268000.00
2006-09-20 15:30:00	:MA	6.51	6.67	6.45	6.66	13476000.00
2006-09-21 15:30:00	:MA	6.75	6.96	6.70	6.91	29064000.00
