datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:MCD	28.91	29.33	28.74	28.90	5193398.00
2004-04-08 15:30:00	:MCD	29.02	29.20	28.42	28.67	3396200.00
2004-04-12 15:30:00	:MCD	28.82	29.16	28.78	29.02	3120300.00
2004-04-13 15:30:00	:MCD	29.04	29.22	28.26	28.27	4632801.00
2004-04-14 15:30:00	:MCD	27.31	27.85	26.40	27.00	15812898.00
2004-04-15 15:30:00	:MCD	26.99	27.05	26.52	26.93	6686801.00
2004-04-16 15:30:00	:MCD	27.20	27.66	27.04	27.46	4317898.00
2004-04-19 15:30:00	:MCD	26.45	27.14	26.45	26.75	15180000.00
2004-04-20 15:30:00	:MCD	27.05	27.23	26.55	26.55	5193898.00
2004-04-21 15:30:00	:MCD	26.75	27.00	26.55	26.95	5134699.00
2004-04-22 15:30:00	:MCD	27.00	27.58	26.95	27.40	5902801.00
2004-04-23 15:30:00	:MCD	27.35	27.55	27.15	27.34	3784200.00
2004-04-26 15:30:00	:MCD	27.46	27.55	27.02	27.32	3956900.00
2004-04-27 15:30:00	:MCD	27.48	27.80	27.05	27.20	3953100.00
2004-04-28 15:30:00	:MCD	27.77	27.98	27.42	27.61	6286000.00
2004-04-29 15:30:00	:MCD	27.79	27.80	27.12	27.18	3574200.00
2004-04-30 15:30:00	:MCD	27.56	27.66	27.20	27.23	4072100.00
2004-05-03 15:30:00	:MCD	27.43	27.88	27.25	27.76	3786300.00
2004-05-04 15:30:00	:MCD	27.88	27.88	27.33	27.61	3017400.00
2004-05-05 15:30:00	:MCD	27.48	27.88	27.35	27.81	3161100.00
2004-05-06 15:30:00	:MCD	27.52	27.62	27.02	27.27	2731000.00
2004-05-07 15:30:00	:MCD	26.98	27.29	26.65	26.71	3515500.00
2004-05-10 15:30:00	:MCD	26.72	27.32	26.51	26.64	4418602.00
2004-05-11 15:30:00	:MCD	26.58	26.70	26.23	26.45	5243699.00
2004-05-12 15:30:00	:MCD	26.27	26.83	25.71	26.07	5934301.00
2004-05-13 15:30:00	:MCD	26.14	26.25	25.80	26.09	3763200.00
2004-05-14 15:30:00	:MCD	26.09	26.48	25.90	26.17	2746000.00
2004-05-17 15:30:00	:MCD	25.75	26.05	25.50	25.87	2849700.00
2004-05-18 15:30:00	:MCD	25.93	26.00	25.63	25.79	3529900.00
2004-05-19 15:30:00	:MCD	26.01	26.03	25.62	25.75	3845100.00
2004-05-20 15:30:00	:MCD	25.70	25.92	25.05	25.31	5335398.00
2004-05-21 15:30:00	:MCD	25.33	25.54	25.33	25.45	4331500.00
2004-05-24 15:30:00	:MCD	25.40	25.57	25.18	25.35	4298102.00
2004-05-25 15:30:00	:MCD	25.20	25.57	25.19	25.45	5841398.00
2004-05-26 15:30:00	:MCD	25.54	25.88	25.50	25.75	4708199.00
2004-05-27 15:30:00	:MCD	25.95	26.45	25.87	26.27	6268000.00
2004-05-28 15:30:00	:MCD	26.36	26.51	26.15	26.40	4617898.00
2004-06-01 15:30:00	:MCD	26.21	26.64	26.15	26.47	3041300.00
2004-06-02 15:30:00	:MCD	26.20	26.45	26.20	26.43	3638900.00
2004-06-03 15:30:00	:MCD	26.43	27.03	26.41	26.52	4844102.00
2004-06-04 15:30:00	:MCD	26.86	27.20	26.66	26.86	3534400.00
2004-06-07 15:30:00	:MCD	26.97	27.00	26.51	26.61	5373199.00
2004-06-08 15:30:00	:MCD	26.69	26.94	26.62	26.84	4501898.00
2004-06-09 15:30:00	:MCD	26.89	26.94	26.52	26.58	3523100.00
2004-06-10 15:30:00	:MCD	26.74	27.05	26.65	27.05	4980602.00
2004-06-14 15:30:00	:MCD	26.83	27.21	26.81	27.00	4753000.00
2004-06-15 15:30:00	:MCD	27.00	27.10	26.56	26.68	6445301.00
2004-06-16 15:30:00	:MCD	26.74	26.80	26.60	26.71	3503200.00
2004-06-17 15:30:00	:MCD	26.61	26.83	26.53	26.72	4083500.00
2004-06-18 15:30:00	:MCD	26.72	26.93	26.59	26.92	4214102.00
2004-06-21 15:30:00	:MCD	26.80	26.97	26.68	26.86	2389600.00
2004-06-22 15:30:00	:MCD	26.72	26.99	26.70	26.90	3009300.00
2004-06-23 15:30:00	:MCD	26.90	27.15	26.76	27.11	4084800.00
2004-06-24 15:30:00	:MCD	27.00	27.38	26.98	27.08	3484500.00
2004-06-25 15:30:00	:MCD	27.04	27.16	26.99	26.99	3837100.00
2004-06-28 15:30:00	:MCD	26.80	27.00	26.40	26.58	6603000.00
2004-06-29 15:30:00	:MCD	26.60	26.63	26.38	26.41	3617300.00
2004-06-30 15:30:00	:MCD	26.42	26.44	25.80	26.00	7797500.00
2004-07-01 15:30:00	:MCD	26.09	26.46	26.09	26.31	5094699.00
2004-07-02 15:30:00	:MCD	26.30	26.48	26.04	26.12	2391600.00
2004-07-06 15:30:00	:MCD	26.00	26.17	25.74	26.13	3250600.00
2004-07-07 15:30:00	:MCD	26.05	26.61	26.04	26.42	3277600.00
2004-07-08 15:30:00	:MCD	26.30	26.59	26.28	26.50	2683600.00
2004-07-09 15:30:00	:MCD	26.42	26.62	26.42	26.51	2364900.00
2004-07-12 15:30:00	:MCD	26.42	26.85	26.42	26.82	2617000.00
2004-07-13 15:30:00	:MCD	26.83	26.98	26.56	26.68	3136400.00
2004-07-14 15:30:00	:MCD	27.10	27.99	27.02	27.79	10356301.00
2004-07-15 15:30:00	:MCD	27.80	28.07	27.76	27.91	6123602.00
2004-07-16 15:30:00	:MCD	28.00	28.00	27.64	27.81	3930500.00
2004-07-19 15:30:00	:MCD	27.76	28.20	27.76	27.93	3274800.00
2004-07-20 15:30:00	:MCD	28.03	28.25	27.96	28.16	2711300.00
2004-07-21 15:30:00	:MCD	28.20	28.21	27.60	27.66	4406602.00
2004-07-22 15:30:00	:MCD	27.70	27.88	27.31	27.57	5644398.00
2004-07-23 15:30:00	:MCD	27.37	27.59	26.98	27.08	2999600.00
2004-07-26 15:30:00	:MCD	27.21	27.35	26.98	26.98	3152100.00
2004-07-27 15:30:00	:MCD	26.90	27.63	26.90	27.49	3530900.00
2004-07-28 15:30:00	:MCD	27.25	27.42	26.96	27.31	2685000.00
2004-07-29 15:30:00	:MCD	27.29	27.39	27.05	27.24	2399500.00
2004-07-30 15:30:00	:MCD	27.25	27.52	27.20	27.50	2589700.00
2004-08-02 15:30:00	:MCD	27.32	27.59	27.32	27.46	2600500.00
2004-08-03 15:30:00	:MCD	27.50	27.59	27.08	27.25	2694600.00
2004-08-04 15:30:00	:MCD	27.08	27.20	26.58	27.16	3312800.00
2004-08-05 15:30:00	:MCD	27.15	27.30	26.79	26.88	2744300.00
2004-08-06 15:30:00	:MCD	26.58	26.78	26.24	26.34	4789801.00
2004-08-09 15:30:00	:MCD	26.28	26.66	26.13	26.16	3177000.00
2004-08-10 15:30:00	:MCD	26.38	26.75	26.17	26.74	3209800.00
2004-08-11 15:30:00	:MCD	26.68	26.69	26.15	26.35	3860400.00
2004-08-12 15:30:00	:MCD	26.18	26.37	25.82	25.85	4205602.00
2004-08-13 15:30:00	:MCD	25.85	26.05	25.69	25.81	2753200.00
2004-08-16 15:30:00	:MCD	25.70	25.95	25.64	25.75	3761300.00
2004-08-17 15:30:00	:MCD	25.80	26.44	25.70	26.37	3679000.00
2004-08-18 15:30:00	:MCD	26.37	26.74	26.27	26.48	2768700.00
2004-08-19 15:30:00	:MCD	26.46	26.74	26.40	26.60	1998500.00
2004-08-20 15:30:00	:MCD	26.46	27.07	26.46	27.07	3070900.00
2004-08-23 15:30:00	:MCD	27.07	27.18	26.64	26.64	1867300.00
2004-08-24 15:30:00	:MCD	26.60	27.04	26.60	26.87	2189000.00
2004-08-25 15:30:00	:MCD	26.84	27.00	26.56	26.95	2886500.00
2004-08-26 15:30:00	:MCD	27.00	27.29	26.95	27.10	2330900.00
2004-08-27 15:30:00	:MCD	27.07	27.28	26.98	27.17	1871900.00
2004-08-30 15:30:00	:MCD	27.05	27.36	27.00	27.00	1494800.00
2004-08-31 15:30:00	:MCD	27.00	27.09	26.66	27.02	2548700.00
2004-09-01 15:30:00	:MCD	27.03	27.78	26.86	27.19	2260800.00
2004-09-02 15:30:00	:MCD	27.18	27.53	27.01	27.50	2762400.00
2004-09-03 15:30:00	:MCD	27.40	27.90	27.40	27.76	2448200.00
2004-09-07 15:30:00	:MCD	27.74	27.77	27.10	27.38	4508301.00
2004-09-08 15:30:00	:MCD	27.85	27.98	27.48	27.50	5029898.00
2004-09-09 15:30:00	:MCD	27.75	27.92	27.37	27.44	4708801.00
2004-09-10 15:30:00	:MCD	27.23	27.30	26.98	27.05	4260398.00
2004-09-13 15:30:00	:MCD	26.89	27.17	26.89	27.17	4100898.00
