datetime	symbol	open	high	low	close	volume
2012-05-18 15:30:00	:META	42.05	45.00	38.00	38.23	580587776.00
2012-05-21 15:30:00	:META	36.53	36.66	33.00	34.03	168309808.00
2012-05-22 15:30:00	:META	32.61	33.59	30.94	31.00	102053808.00
2012-05-23 15:30:00	:META	31.37	32.50	31.36	32.00	73721120.00
2012-05-24 15:30:00	:META	32.95	33.21	31.77	33.03	50275872.00
2012-05-25 15:30:00	:META	32.90	32.95	31.11	31.91	37189632.00
2012-05-29 15:30:00	:META	31.48	31.69	28.65	28.84	78060816.00
2012-05-30 15:30:00	:META	28.70	29.55	27.86	28.19	57267872.00
2012-05-31 15:30:00	:META	28.55	29.67	26.83	29.60	111639184.00
2012-06-01 15:30:00	:META	28.89	29.15	27.39	27.72	41855504.00
2012-06-04 15:30:00	:META	27.20	27.65	26.44	26.90	35230288.00
2012-06-05 15:30:00	:META	26.70	27.76	25.75	25.87	42473264.00
2012-06-06 15:30:00	:META	26.07	27.17	25.52	26.81	61487024.00
2012-06-07 15:30:00	:META	27.00	27.35	26.15	26.31	26167760.00
2012-06-08 15:30:00	:META	26.55	27.76	26.44	27.10	38033424.00
2012-06-11 15:30:00	:META	27.18	28.07	26.84	27.00	28225888.00
2012-06-12 15:30:00	:META	27.48	27.77	26.96	27.40	15822414.00
2012-06-13 15:30:00	:META	27.66	28.10	27.10	27.27	17118672.00
2012-06-14 15:30:00	:META	27.65	28.32	27.38	28.29	16854128.00
2012-06-15 15:30:00	:META	28.50	30.10	28.35	30.01	43563744.00
2012-06-18 15:30:00	:META	29.95	32.08	29.41	31.41	42978208.00
2012-06-19 15:30:00	:META	31.54	32.18	30.70	31.91	30848912.00
2012-06-20 15:30:00	:META	31.92	31.93	31.15	31.60	15558922.00
2012-06-21 15:30:00	:META	31.67	32.50	31.51	31.84	21875232.00
2012-06-22 15:30:00	:META	32.41	33.45	32.06	33.05	74834000.00
2012-06-25 15:30:00	:META	32.86	33.02	31.55	32.06	24352816.00
2012-06-26 15:30:00	:META	32.69	33.44	32.50	33.10	24858608.00
2012-06-27 15:30:00	:META	32.46	32.90	31.90	32.23	28599504.00
2012-06-28 15:30:00	:META	31.96	32.19	30.90	31.36	17713296.00
2012-06-29 15:30:00	:META	31.92	31.99	30.76	31.09	19526832.00
2012-07-02 15:30:00	:META	31.25	31.73	30.55	30.77	14131477.00
2012-07-03 15:30:00	:META	30.91	31.44	30.80	31.20	8765496.00
2012-07-05 15:30:00	:META	31.32	31.62	31.02	31.47	10036688.00
2012-07-06 15:30:00	:META	31.44	31.90	31.26	31.73	10949008.00
2012-07-09 15:30:00	:META	32.10	32.88	31.99	32.17	17785184.00
2012-07-10 15:30:00	:META	32.43	32.48	31.16	31.47	14276996.00
2012-07-11 15:30:00	:META	31.48	31.56	30.55	30.97	13027754.00
2012-07-12 15:30:00	:META	30.70	31.40	30.60	30.81	11306637.00
2012-07-13 15:30:00	:META	31.04	31.07	30.56	30.72	8117348.00
2012-07-16 15:30:00	:META	30.50	30.50	28.21	28.25	24672080.00
2012-07-17 15:30:00	:META	28.48	28.59	27.15	28.09	30438544.00
2012-07-18 15:30:00	:META	28.31	29.29	28.15	29.11	16841776.00
2012-07-19 15:30:00	:META	29.41	29.50	28.63	29.00	13685031.00
2012-07-20 15:30:00	:META	29.00	29.47	28.72	28.76	11869047.00
2012-07-23 15:30:00	:META	28.12	29.00	28.01	28.75	12393863.00
2012-07-24 15:30:00	:META	28.82	29.45	28.10	28.45	11539801.00
2012-07-25 15:30:00	:META	28.39	29.49	28.08	29.34	17230160.00
2012-07-26 15:30:00	:META	27.75	28.23	26.73	26.84	64597376.00
2012-07-27 15:30:00	:META	23.19	24.54	22.28	23.70	123098320.00
2012-07-30 15:30:00	:META	24.00	24.04	23.03	23.15	29285888.00
2012-07-31 15:30:00	:META	23.37	23.37	21.61	21.71	56179328.00
2012-08-01 15:30:00	:META	21.50	21.58	20.84	20.88	44604368.00
2012-08-02 15:30:00	:META	20.77	20.84	19.82	20.04	56374432.00
2012-08-03 15:30:00	:META	20.36	22.16	19.90	21.09	80647008.00
2012-08-06 15:30:00	:META	21.39	22.15	21.30	21.92	27778032.00
