datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:MGM	23.82	23.83	23.45	23.55	2253600.00
2004-04-08 15:30:00	:MGM	23.55	23.62	23.16	23.21	1030200.00
2004-04-12 15:30:00	:MGM	23.30	23.48	23.12	23.12	657400.00
2004-04-13 15:30:00	:MGM	22.88	23.23	22.50	22.50	1426400.00
2004-04-14 15:30:00	:MGM	22.50	22.57	22.39	22.48	1173800.00
2004-04-15 15:30:00	:MGM	22.55	22.55	21.93	22.00	1458800.00
2004-04-16 15:30:00	:MGM	21.98	22.32	21.93	22.25	2303800.00
2004-04-19 15:30:00	:MGM	22.38	23.00	22.33	22.88	2042000.00
2004-04-20 15:30:00	:MGM	22.95	23.23	22.75	23.07	1837800.00
2004-04-21 15:30:00	:MGM	23.34	23.68	22.91	23.48	4146600.00
2004-04-22 15:30:00	:MGM	23.55	24.07	23.43	23.80	1578800.00
2004-04-23 15:30:00	:MGM	23.82	23.85	23.38	23.64	902800.00
2004-04-26 15:30:00	:MGM	23.68	23.68	23.10	23.35	1310800.00
2004-04-27 15:30:00	:MGM	23.35	23.79	23.21	23.69	2056400.00
2004-04-28 15:30:00	:MGM	23.69	23.69	23.33	23.41	1483200.00
2004-04-29 15:30:00	:MGM	23.32	23.47	23.05	23.24	1800800.00
2004-04-30 15:30:00	:MGM	23.35	23.43	22.77	22.91	1728600.00
2004-05-03 15:30:00	:MGM	22.91	23.75	22.91	23.74	1672800.00
2004-05-04 15:30:00	:MGM	22.98	23.07	22.00	22.25	5137800.00
2004-05-05 15:30:00	:MGM	22.27	22.86	22.25	22.77	2333000.00
2004-05-06 15:30:00	:MGM	22.77	22.90	22.55	22.70	1756400.00
2004-05-07 15:30:00	:MGM	22.55	22.64	21.38	21.38	2456600.00
2004-05-10 15:30:00	:MGM	21.38	21.38	20.50	20.92	3372800.00
2004-05-11 15:30:00	:MGM	21.05	21.57	21.05	21.45	2620600.00
2004-05-12 15:30:00	:MGM	21.45	21.46	20.93	21.41	1720200.00
2004-05-13 15:30:00	:MGM	21.15	21.15	20.62	20.86	3239200.00
2004-05-14 15:30:00	:MGM	20.85	21.34	20.57	21.16	2279600.00
2004-05-17 15:30:00	:MGM	21.00	21.24	20.85	21.05	1344200.00
2004-05-18 15:30:00	:MGM	21.08	21.89	21.08	21.70	1973400.00
2004-05-19 15:30:00	:MGM	22.00	22.14	21.68	21.71	1908800.00
2004-05-20 15:30:00	:MGM	21.72	21.95	21.71	21.77	923600.00
2004-05-21 15:30:00	:MGM	21.85	22.00	21.75	21.93	707000.00
2004-05-24 15:30:00	:MGM	21.98	22.08	21.94	22.06	843600.00
2004-05-25 15:30:00	:MGM	21.98	22.39	21.90	22.39	619000.00
2004-05-26 15:30:00	:MGM	22.39	22.43	22.27	22.29	1334600.00
2004-05-27 15:30:00	:MGM	22.35	22.40	22.13	22.20	1380200.00
2004-05-28 15:30:00	:MGM	22.25	22.55	22.20	22.20	1636000.00
2004-06-01 15:30:00	:MGM	22.20	22.79	22.15	22.65	2084800.00
2004-06-02 15:30:00	:MGM	22.70	22.91	22.51	22.54	1364800.00
2004-06-03 15:30:00	:MGM	22.55	22.70	22.27	22.27	1850000.00
2004-06-04 15:30:00	:MGM	22.80	23.15	22.80	23.02	2837800.00
2004-06-07 15:30:00	:MGM	22.75	23.02	22.25	22.42	6980400.00
2004-06-08 15:30:00	:MGM	22.43	24.06	22.38	24.00	5281400.00
2004-06-09 15:30:00	:MGM	23.82	24.14	23.61	23.76	2784200.00
2004-06-10 15:30:00	:MGM	23.75	23.95	23.68	23.80	933200.00
2004-06-14 15:30:00	:MGM	23.62	24.10	23.12	24.10	4230800.00
2004-06-15 15:30:00	:MGM	24.10	24.89	24.09	24.75	4205800.00
2004-06-16 15:30:00	:MGM	24.70	24.71	24.35	24.44	1842600.00
2004-06-17 15:30:00	:MGM	24.45	24.60	23.90	24.10	2521400.00
2004-06-18 15:30:00	:MGM	24.10	24.36	23.77	23.77	1992800.00
2004-06-21 15:30:00	:MGM	24.10	24.19	23.89	23.94	1560000.00
2004-06-22 15:30:00	:MGM	23.94	24.12	23.94	24.02	893600.00
2004-06-23 15:30:00	:MGM	24.05	24.15	23.88	23.93	947800.00
