datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:MMM	82.62	82.99	82.28	82.75	2952600.00
2004-04-08 15:30:00	:MMM	82.95	83.24	82.09	82.43	2340900.00
2004-04-12 15:30:00	:MMM	82.63	83.62	82.60	83.62	1512900.00
2004-04-13 15:30:00	:MMM	83.52	83.65	82.31	82.39	2397800.00
2004-04-14 15:30:00	:MMM	81.64	82.97	81.60	82.66	1861400.00
2004-04-15 15:30:00	:MMM	82.66	83.12	82.10	82.85	2101100.00
2004-04-16 15:30:00	:MMM	83.30	83.83	82.58	83.73	2234400.00
2004-04-19 15:30:00	:MMM	83.95	85.12	82.76	83.76	5273199.00
2004-04-20 15:30:00	:MMM	84.00	84.91	83.18	83.20	2724800.00
2004-04-21 15:30:00	:MMM	83.20	84.38	82.90	83.92	2143100.00
2004-04-22 15:30:00	:MMM	83.78	87.18	83.78	86.95	4795699.00
2004-04-23 15:30:00	:MMM	86.30	88.70	86.00	87.90	5057199.00
2004-04-26 15:30:00	:MMM	87.51	88.26	87.50	87.75	2909000.00
2004-04-27 15:30:00	:MMM	87.28	88.57	87.28	88.38	3211000.00
2004-04-28 15:30:00	:MMM	87.90	88.05	86.61	86.72	2698200.00
2004-04-29 15:30:00	:MMM	86.72	87.50	85.94	86.12	3166400.00
2004-04-30 15:30:00	:MMM	86.05	87.34	86.02	86.48	2990900.00
2004-05-03 15:30:00	:MMM	86.50	87.65	86.27	87.03	2296300.00
2004-05-04 15:30:00	:MMM	86.43	87.25	86.02	86.50	2872700.00
2004-05-05 15:30:00	:MMM	86.50	86.85	85.71	85.75	2443100.00
2004-05-06 15:30:00	:MMM	85.12	85.55	84.03	84.77	2819500.00
2004-05-07 15:30:00	:MMM	84.45	85.67	84.11	84.43	2243300.00
2004-05-10 15:30:00	:MMM	83.65	83.95	82.89	83.54	3089400.00
2004-05-11 15:30:00	:MMM	84.47	85.19	83.58	84.15	2745500.00
2004-05-12 15:30:00	:MMM	83.60	85.40	83.51	85.35	2814700.00
2004-05-13 15:30:00	:MMM	85.00	85.50	84.24	84.51	2509700.00
2004-05-14 15:30:00	:MMM	84.01	84.58	83.36	83.81	2735800.00
2004-05-17 15:30:00	:MMM	82.76	83.89	82.75	83.22	2774500.00
2004-05-18 15:30:00	:MMM	83.32	83.60	82.70	83.12	2958200.00
2004-05-19 15:30:00	:MMM	83.00	84.43	82.21	82.31	2578000.00
2004-05-20 15:30:00	:MMM	82.45	82.76	82.03	82.20	2439700.00
2004-05-21 15:30:00	:MMM	82.45	83.60	82.42	82.92	1974800.00
2004-05-24 15:30:00	:MMM	82.93	83.95	82.44	82.55	2246700.00
2004-05-25 15:30:00	:MMM	82.54	83.90	81.67	83.64	3102700.00
2004-05-26 15:30:00	:MMM	83.72	84.30	83.52	84.00	1837100.00
2004-05-27 15:30:00	:MMM	84.55	85.77	84.41	84.95	2742900.00
2004-05-28 15:30:00	:MMM	85.00	85.25	84.26	84.56	1650600.00
2004-06-01 15:30:00	:MMM	84.13	85.31	84.01	84.83	2365200.00
2004-06-02 15:30:00	:MMM	85.45	85.86	84.80	85.61	1832700.00
2004-06-03 15:30:00	:MMM	85.46	85.89	84.77	84.77	1630900.00
2004-06-04 15:30:00	:MMM	85.30	85.65	84.75	84.86	1738000.00
2004-06-07 15:30:00	:MMM	84.86	85.50	84.65	85.18	2443100.00
2004-06-08 15:30:00	:MMM	84.80	86.19	84.79	86.13	1950300.00
2004-06-09 15:30:00	:MMM	86.00	86.31	85.41	85.41	1766000.00
2004-06-10 15:30:00	:MMM	85.44	86.27	85.44	86.22	1655500.00
2004-06-14 15:30:00	:MMM	85.60	85.95	84.88	85.15	1975500.00
2004-06-15 15:30:00	:MMM	85.95	86.02	85.03	85.55	1927200.00
2004-06-16 15:30:00	:MMM	85.55	85.74	85.04	85.25	2371600.00
2004-06-17 15:30:00	:MMM	85.00	86.24	85.00	85.93	1497900.00
2004-06-18 15:30:00	:MMM	85.93	87.59	85.93	87.09	3702700.00
2004-06-21 15:30:00	:MMM	86.90	87.89	86.90	87.28	2429200.00
2004-06-22 15:30:00	:MMM	87.79	89.50	87.29	89.50	3797100.00
2004-06-23 15:30:00	:MMM	89.02	89.70	88.55	89.55	2989400.00
2004-06-24 15:30:00	:MMM	89.15	89.32	88.47	88.58	1875800.00
2004-06-25 15:30:00	:MMM	88.60	89.35	88.07	88.66	3245700.00
2004-06-28 15:30:00	:MMM	89.05	89.56	88.29	88.69	1867500.00
2004-06-29 15:30:00	:MMM	88.69	90.00	88.51	89.80	2577700.00
2004-06-30 15:30:00	:MMM	89.98	90.29	89.16	90.01	3070000.00
2004-07-01 15:30:00	:MMM	90.00	90.11	87.79	88.17	2627200.00
2004-07-02 15:30:00	:MMM	88.33	88.39	87.41	87.50	1711900.00
2004-07-06 15:30:00	:MMM	87.07	87.97	87.00	87.55	2305900.00
2004-07-07 15:30:00	:MMM	87.55	88.44	87.37	88.43	2454300.00
2004-07-08 15:30:00	:MMM	88.43	89.00	87.64	87.74	2370200.00
2004-07-09 15:30:00	:MMM	88.20	88.69	87.30	87.65	1781300.00
2004-07-12 15:30:00	:MMM	87.77	88.00	86.95	87.90	1605900.00
