datetime	symbol	open	high	low	close	volume
2011-06-23 15:30:00	:MPC	19.00	19.50	18.25	19.50	5097542.00
2011-06-24 15:30:00	:MPC	19.38	19.57	18.42	18.62	1675312.00
2011-06-27 15:30:00	:MPC	18.34	18.98	18.30	18.82	895100.00
2011-06-28 15:30:00	:MPC	19.17	20.00	18.85	19.35	4151702.00
2011-06-29 15:30:00	:MPC	19.50	20.48	19.35	20.04	3695160.00
2011-06-30 15:30:00	:MPC	20.34	21.00	20.09	20.70	3025792.00
2011-07-01 15:30:00	:MPC	20.60	23.71	20.50	21.10	8334164.00
2011-07-05 15:30:00	:MPC	21.11	21.50	20.82	21.11	11822946.00
2011-07-06 15:30:00	:MPC	20.80	21.12	20.50	20.95	10982852.00
2011-07-07 15:30:00	:MPC	21.09	21.63	20.85	20.89	16707602.00
2011-07-08 15:30:00	:MPC	20.40	21.30	20.26	20.70	16416852.00
2011-07-11 15:30:00	:MPC	20.39	20.39	19.75	20.05	9495016.00
2011-07-12 15:30:00	:MPC	19.93	20.50	19.72	20.24	8011122.00
2011-07-13 15:30:00	:MPC	20.26	20.62	19.62	19.98	11642742.00
2011-07-14 15:30:00	:MPC	19.98	20.01	19.11	19.32	11532688.00
2011-07-15 15:30:00	:MPC	19.50	19.73	19.05	19.58	9938774.00
2011-07-18 15:30:00	:MPC	19.36	19.80	18.88	19.56	8311406.00
2011-07-19 15:30:00	:MPC	19.63	19.97	19.57	19.87	6422988.00
2011-07-20 15:30:00	:MPC	19.89	19.97	19.70	19.77	5448966.00
2011-07-21 15:30:00	:MPC	19.77	20.12	19.55	20.05	7249604.00
2011-07-22 15:30:00	:MPC	20.14	20.41	19.95	20.29	6645548.00
2011-07-25 15:30:00	:MPC	20.62	21.06	20.32	20.68	8899062.00
2011-07-26 15:30:00	:MPC	20.70	21.86	20.64	21.52	11324110.00
2011-07-27 15:30:00	:MPC	21.51	21.65	20.98	21.03	6998306.00
2011-07-28 15:30:00	:MPC	21.21	21.47	21.09	21.39	6654416.00
2011-07-29 15:30:00	:MPC	21.18	22.30	20.99	21.89	10709546.00
2011-08-01 15:30:00	:MPC	22.52	22.69	22.00	22.48	11521570.00
2011-08-02 15:30:00	:MPC	22.27	22.45	21.12	21.16	10995422.00
2011-08-03 15:30:00	:MPC	21.64	22.70	19.51	20.71	13413710.00
2011-08-04 15:30:00	:MPC	20.36	20.36	18.61	19.21	15377930.00
2011-08-05 15:30:00	:MPC	19.45	19.61	16.72	18.66	12348476.00
2011-08-08 15:30:00	:MPC	17.62	18.00	14.74	16.16	16542860.00
2011-08-09 15:30:00	:MPC	16.54	18.20	16.21	18.05	12054016.00
2011-08-10 15:30:00	:MPC	17.77	18.42	17.06	17.56	9682476.00
2011-08-11 15:30:00	:MPC	17.95	19.30	17.71	18.67	8756312.00
2011-08-12 15:30:00	:MPC	18.80	19.56	18.45	18.70	5906768.00
