datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:MRK	43.05	43.15	42.68	42.76	5141868.00
2004-04-08 15:30:00	:MRK	42.99	43.10	42.22	42.56	6347604.00
2004-04-12 15:30:00	:MRK	42.56	42.91	42.34	42.80	5457958.00
2004-04-13 15:30:00	:MRK	42.84	43.00	42.32	42.51	6378018.00
2004-04-14 15:30:00	:MRK	42.34	43.39	42.24	43.33	9207414.00
2004-04-15 15:30:00	:MRK	43.53	44.96	43.53	44.80	13241184.00
2004-04-16 15:30:00	:MRK	45.05	45.18	44.55	44.89	8021079.00
2004-04-19 15:30:00	:MRK	44.72	44.87	44.35	44.76	5788206.00
2004-04-20 15:30:00	:MRK	44.76	44.76	44.05	44.06	4714296.00
2004-04-21 15:30:00	:MRK	43.96	45.04	43.91	44.34	6098109.00
2004-04-22 15:30:00	:MRK	44.10	44.96	43.66	44.57	7474161.00
2004-04-23 15:30:00	:MRK	44.96	44.96	44.23	44.59	4036810.00
2004-04-26 15:30:00	:MRK	44.62	44.80	44.45	44.47	3819721.00
2004-04-27 15:30:00	:MRK	44.72	45.39	44.68	45.05	6143205.00
2004-04-28 15:30:00	:MRK	45.05	45.29	44.82	45.24	6200256.00
2004-04-29 15:30:00	:MRK	45.15	45.20	44.68	44.80	5815159.00
2004-04-30 15:30:00	:MRK	44.82	45.29	44.78	44.82	4855352.00
2004-05-03 15:30:00	:MRK	44.83	45.54	44.83	45.48	5790514.00
2004-05-04 15:30:00	:MRK	45.63	45.73	45.30	45.63	5670957.00
2004-05-05 15:30:00	:MRK	45.58	45.89	45.44	45.59	4906635.00
2004-05-06 15:30:00	:MRK	45.58	46.13	45.46	45.87	5998269.00
2004-05-07 15:30:00	:MRK	45.88	46.16	45.48	45.49	6961222.00
2004-05-10 15:30:00	:MRK	44.86	45.33	44.01	44.54	9202905.00
2004-05-11 15:30:00	:MRK	44.53	44.57	43.85	44.24	6701974.00
2004-05-12 15:30:00	:MRK	43.91	44.82	43.73	44.67	5190110.00
2004-05-13 15:30:00	:MRK	44.24	44.61	43.92	43.96	5370179.00
2004-05-14 15:30:00	:MRK	43.86	44.76	43.86	44.29	4668991.00
2004-05-17 15:30:00	:MRK	43.86	44.71	43.86	44.47	4884926.00
2004-05-18 15:30:00	:MRK	44.58	44.82	44.47	44.67	3991924.00
2004-05-19 15:30:00	:MRK	44.77	44.87	44.15	44.28	4737474.00
2004-05-20 15:30:00	:MRK	44.22	44.56	44.05	44.34	5499593.00
2004-05-21 15:30:00	:MRK	44.53	44.68	44.22	44.42	3712120.00
2004-05-24 15:30:00	:MRK	44.44	44.55	43.70	44.10	3833145.00
2004-05-25 15:30:00	:MRK	43.89	44.74	43.86	44.65	4093233.00
2004-05-26 15:30:00	:MRK	44.58	44.88	44.42	44.74	5747410.00
2004-05-27 15:30:00	:MRK	44.82	45.29	44.58	45.23	5392412.00
2004-05-28 15:30:00	:MRK	45.15	45.53	45.03	45.10	4985501.00
2004-06-01 15:30:00	:MRK	45.20	46.15	45.05	46.11	8084843.00
2004-06-02 15:30:00	:MRK	45.76	45.97	45.38	45.61	5017592.00
2004-06-03 15:30:00	:MRK	45.39	46.02	45.36	45.75	5237198.00
2004-06-04 15:30:00	:MRK	45.86	46.15	45.80	45.96	4790750.00
2004-06-07 15:30:00	:MRK	46.01	46.26	45.65	45.82	4659552.00
2004-06-08 15:30:00	:MRK	45.58	46.18	45.58	46.12	5064051.00
2004-06-09 15:30:00	:MRK	45.86	46.13	45.60	45.63	3962664.00
2004-06-10 15:30:00	:MRK	45.40	45.58	45.06	45.56	4398206.00
2004-06-14 15:30:00	:MRK	45.32	45.41	44.70	44.72	6904695.00
2004-06-15 15:30:00	:MRK	45.15	45.89	45.01	45.72	7877402.00
2004-06-16 15:30:00	:MRK	45.96	46.22	45.82	45.85	5484806.00
2004-06-17 15:30:00	:MRK	45.88	46.23	45.69	46.07	4340735.00
2004-06-18 15:30:00	:MRK	46.08	46.51	45.99	46.11	8646233.00
2004-06-21 15:30:00	:MRK	45.86	46.25	45.69	45.72	4347552.00
2004-06-22 15:30:00	:MRK	45.48	45.70	45.20	45.38	5425552.00
2004-06-23 15:30:00	:MRK	45.25	45.67	44.96	45.59	6247450.00
2004-06-24 15:30:00	:MRK	45.62	46.17	45.40	45.68	4429459.00
2004-06-25 15:30:00	:MRK	45.69	45.77	44.82	44.82	7493773.00
