datetime	symbol	open	high	low	close	volume
2018-12-07 15:30:00	:MRNA	22.00	22.75	18.51	18.60	12995569.00
2018-12-10 15:30:00	:MRNA	18.90	19.44	18.00	18.80	4233345.00
2018-12-11 15:30:00	:MRNA	20.55	20.66	17.99	18.01	3435271.00
2018-12-12 15:30:00	:MRNA	18.55	19.48	18.02	18.68	2590873.00
2018-12-13 15:30:00	:MRNA	19.25	19.29	18.68	18.76	1608629.00
2018-12-14 15:30:00	:MRNA	18.75	18.88	18.25	18.32	746412.00
2018-12-17 15:30:00	:MRNA	18.33	18.47	16.90	17.00	1581242.00
2018-12-18 15:30:00	:MRNA	17.10	17.25	16.25	17.00	1621904.00
2018-12-19 15:30:00	:MRNA	16.86	17.37	16.00	16.18	941528.00
2018-12-20 15:30:00	:MRNA	16.00	16.14	14.75	15.50	2365203.00
2018-12-21 15:30:00	:MRNA	15.40	15.50	13.95	14.47	2063235.00
2018-12-24 15:30:00	:MRNA	14.32	14.32	13.75	14.03	665427.00
2018-12-26 15:30:00	:MRNA	14.15	14.31	13.03	13.52	1817977.00
2018-12-27 15:30:00	:MRNA	13.49	14.95	13.27	14.65	1769545.00
2018-12-28 15:30:00	:MRNA	14.72	14.85	13.82	14.15	929098.00
2018-12-31 15:30:00	:MRNA	14.24	15.30	14.21	15.27	994726.00
2019-01-02 15:30:00	:MRNA	14.93	15.45	14.51	15.33	2318094.00
2019-01-03 15:30:00	:MRNA	15.49	16.08	15.20	15.50	1588921.00
2019-01-04 15:30:00	:MRNA	16.00	17.50	15.89	16.96	1652033.00
2019-01-07 15:30:00	:MRNA	17.54	17.94	16.18	16.27	1585442.00
2019-01-08 15:30:00	:MRNA	17.35	17.47	16.05	16.95	1892977.00
2019-01-09 15:30:00	:MRNA	17.20	17.25	16.15	16.33	1187350.00
2019-01-10 15:30:00	:MRNA	16.36	16.51	16.00	16.48	487284.00
2019-01-11 15:30:00	:MRNA	16.60	17.06	16.53	17.00	580570.00
2019-01-14 15:30:00	:MRNA	17.00	17.06	16.72	16.74	612922.00
2019-01-15 15:30:00	:MRNA	17.00	17.00	16.41	16.59	468080.00
2019-01-16 15:30:00	:MRNA	16.80	16.95	16.26	16.26	272804.00
2019-01-17 15:30:00	:MRNA	16.05	16.53	16.05	16.31	315678.00
2019-01-18 15:30:00	:MRNA	16.46	16.80	16.25	16.69	629965.00
2019-01-22 15:30:00	:MRNA	16.62	16.63	15.35	15.56	637008.00
2019-01-23 15:30:00	:MRNA	15.59	15.92	14.76	14.79	652602.00
2019-01-24 15:30:00	:MRNA	14.90	15.20	14.64	14.64	452909.00
2019-01-25 15:30:00	:MRNA	14.80	14.92	14.40	14.91	942270.00
2019-01-28 15:30:00	:MRNA	14.84	14.84	14.45	14.45	656524.00
2019-01-29 15:30:00	:MRNA	14.46	14.88	14.45	14.63	592755.00
2019-01-30 15:30:00	:MRNA	14.72	15.54	14.65	15.13	758899.00
2019-01-31 15:30:00	:MRNA	15.24	17.48	15.24	16.60	2259191.00
2019-02-01 15:30:00	:MRNA	16.80	17.01	15.90	16.22	617271.00
2019-02-04 15:30:00	:MRNA	16.22	16.49	15.95	16.27	297821.00
2019-02-05 15:30:00	:MRNA	16.29	17.49	16.21	17.18	652724.00
2019-02-06 15:30:00	:MRNA	17.25	18.39	17.11	18.14	1016165.00
2019-02-07 15:30:00	:MRNA	17.95	18.07	17.04	17.05	527579.00
2019-02-08 15:30:00	:MRNA	17.10	18.15	17.10	17.99	685755.00
2019-02-11 15:30:00	:MRNA	17.99	18.65	17.75	18.17	597966.00
2019-02-12 15:30:00	:MRNA	18.21	18.76	17.60	18.69	753128.00
2019-02-13 15:30:00	:MRNA	18.99	19.22	18.30	18.53	1333533.00
2019-02-14 15:30:00	:MRNA	18.64	19.96	18.63	19.66	1091396.00
2019-02-15 15:30:00	:MRNA	19.94	21.47	19.70	21.44	2087409.00
2019-02-19 15:30:00	:MRNA	21.51	21.51	20.05	20.83	1204705.00
2019-02-20 15:30:00	:MRNA	21.12	21.24	19.13	19.92	1160160.00
2019-02-21 15:30:00	:MRNA	19.74	19.98	18.88	19.34	822625.00
2019-02-22 15:30:00	:MRNA	19.35	20.04	19.35	19.88	567612.00
2019-02-25 15:30:00	:MRNA	20.54	22.30	19.83	21.65	1917872.00
2019-02-26 15:30:00	:MRNA	21.60	24.40	21.56	23.70	2522800.00
2019-02-27 15:30:00	:MRNA	23.37	23.83	21.53	22.10	1553011.00
2019-02-28 15:30:00	:MRNA	22.45	23.03	22.05	22.60	511289.00
2019-03-01 15:30:00	:MRNA	23.09	23.39	21.64	22.27	867388.00
2019-03-04 15:30:00	:MRNA	22.47	22.80	20.52	21.12	1134144.00
2019-03-05 15:30:00	:MRNA	21.18	21.49	20.29	21.37	1086443.00
2019-03-06 15:30:00	:MRNA	21.40	22.05	20.06	20.65	1061369.00
2019-03-07 15:30:00	:MRNA	20.42	21.16	19.61	20.59	1018084.00
2019-03-08 15:30:00	:MRNA	20.37	21.08	19.90	20.93	631133.00
2019-03-11 14:30:00	:MRNA	20.99	20.99	19.97	20.43	915642.00
2019-03-12 14:30:00	:MRNA	20.52	20.89	19.12	19.26	1627932.00
2019-03-13 14:30:00	:MRNA	19.30	20.25	19.23	19.97	756588.00
2019-03-14 14:30:00	:MRNA	19.92	21.00	19.92	20.82	883581.00
2019-03-15 14:30:00	:MRNA	20.99	22.19	20.89	21.82	2686871.00
2019-03-18 14:30:00	:MRNA	21.74	22.22	21.22	22.18	1245672.00
2019-03-19 14:30:00	:MRNA	22.47	22.60	20.18	20.35	976101.00
2019-03-20 14:30:00	:MRNA	20.41	20.98	19.90	20.00	985298.00
2019-03-21 14:30:00	:MRNA	20.00	20.25	19.21	19.34	860506.00
2019-03-22 14:30:00	:MRNA	19.38	19.70	18.75	19.00	579495.00
2019-03-25 14:30:00	:MRNA	19.00	19.59	18.21	19.40	671669.00
2019-03-26 14:30:00	:MRNA	19.61	19.94	19.24	19.90	393884.00
2019-03-27 14:30:00	:MRNA	20.08	20.08	18.89	19.27	602641.00
2019-03-28 14:30:00	:MRNA	19.30	19.74	19.00	19.66	453586.00
2019-03-29 14:30:00	:MRNA	19.87	20.80	19.47	20.35	660854.00
2019-04-01 15:30:00	:MRNA	20.54	20.91	20.04	20.59	547566.00
2019-04-02 15:30:00	:MRNA	20.68	20.68	19.54	19.70	546568.00
2019-04-03 15:30:00	:MRNA	19.92	21.67	19.81	21.33	909317.00
2019-04-04 15:30:00	:MRNA	21.12	23.18	21.04	23.08	1705896.00
2019-04-05 15:30:00	:MRNA	23.80	26.23	22.66	25.96	1978459.00
2019-04-08 15:30:00	:MRNA	25.90	29.79	25.60	27.23	2673297.00
2019-04-09 15:30:00	:MRNA	27.30	28.40	26.31	26.82	1051702.00
2019-04-10 15:30:00	:MRNA	26.90	27.74	26.50	26.80	639414.00
2019-04-11 15:30:00	:MRNA	26.82	26.99	24.26	25.73	1030056.00
2019-04-12 15:30:00	:MRNA	26.00	26.05	24.27	24.61	708634.00
2019-04-15 15:30:00	:MRNA	24.99	25.94	24.62	25.84	636494.00
2019-04-16 15:30:00	:MRNA	26.00	26.22	23.65	23.78	964841.00
2019-04-17 15:30:00	:MRNA	24.00	24.12	22.31	23.50	918561.00
2019-04-18 15:30:00	:MRNA	23.47	23.55	22.43	22.51	736355.00
2019-04-22 15:30:00	:MRNA	22.70	23.99	22.51	23.63	494149.00
2019-04-23 15:30:00	:MRNA	23.73	24.98	23.73	24.70	617759.00
2019-04-24 15:30:00	:MRNA	24.80	25.76	24.29	25.76	702199.00
2019-04-25 15:30:00	:MRNA	25.76	26.72	25.43	25.74	603274.00
2019-04-26 15:30:00	:MRNA	25.83	27.30	25.69	26.26	593558.00
2019-04-29 15:30:00	:MRNA	26.28	27.20	24.97	25.14	1057858.00
2019-04-30 15:30:00	:MRNA	25.28	26.03	25.00	26.03	620718.00
2019-05-01 15:30:00	:MRNA	26.31	27.09	25.87	26.40	1121529.00
2019-05-02 15:30:00	:MRNA	26.33	28.49	26.19	28.34	1079697.00
2019-05-03 15:30:00	:MRNA	28.89	28.95	26.85	27.20	837921.00
2019-05-06 15:30:00	:MRNA	26.38	27.81	26.25	27.10	667204.00
2019-05-07 15:30:00	:MRNA	27.18	27.26	24.16	24.55	1061288.00
2019-05-08 15:30:00	:MRNA	23.70	26.00	23.53	23.54	1023854.00
2019-05-09 15:30:00	:MRNA	23.50	24.00	22.75	23.26	523118.00
2019-05-10 15:30:00	:MRNA	23.04	24.93	22.80	24.92	536230.00
2019-05-13 15:30:00	:MRNA	24.46	24.77	23.23	24.43	491784.00
2019-05-14 15:30:00	:MRNA	24.50	24.89	23.57	23.59	473926.00
2019-05-15 15:30:00	:MRNA	23.46	23.84	22.81	23.12	847323.00
2019-05-16 15:30:00	:MRNA	23.50	24.05	23.15	23.46	536569.00
2019-05-17 15:30:00	:MRNA	23.31	23.43	21.68	23.08	1275232.00
2019-05-20 15:30:00	:MRNA	22.85	23.60	22.55	22.60	553004.00
2019-05-21 15:30:00	:MRNA	22.65	23.16	22.43	22.70	475913.00
2019-05-22 15:30:00	:MRNA	22.65	22.77	21.93	22.00	569589.00
2019-05-23 15:30:00	:MRNA	21.75	21.94	21.01	21.38	739551.00
2019-05-24 15:30:00	:MRNA	21.56	22.00	21.41	21.83	743997.00
2019-05-28 15:30:00	:MRNA	22.30	22.46	21.44	21.54	616013.00
2019-05-29 15:30:00	:MRNA	21.71	21.90	21.16	21.70	490742.00
2019-05-30 15:30:00	:MRNA	21.84	21.90	21.05	21.49	361293.00
2019-05-31 15:30:00	:MRNA	21.16	21.38	20.74	20.78	443530.00
2019-06-03 15:30:00	:MRNA	20.79	20.99	18.82	19.85	1031947.00
2019-06-04 15:30:00	:MRNA	19.76	20.74	19.23	19.47	1077687.00
2019-06-05 15:30:00	:MRNA	19.20	19.20	17.20	17.70	5046143.00
2019-06-06 15:30:00	:MRNA	17.83	18.92	17.61	17.94	6066383.00
2019-06-07 15:30:00	:MRNA	17.71	18.40	17.30	17.52	1892799.00
2019-06-10 15:30:00	:MRNA	17.85	17.99	15.67	15.67	2574686.00
2019-06-11 15:30:00	:MRNA	16.09	16.88	15.75	16.00	5614358.00
2019-06-12 15:30:00	:MRNA	16.11	16.36	15.62	16.30	2042477.00
2019-06-13 15:30:00	:MRNA	16.42	17.59	16.05	16.16	1607294.00
2019-06-14 15:30:00	:MRNA	16.25	16.68	15.32	15.40	2080053.00
2019-06-17 15:30:00	:MRNA	15.54	15.85	15.28	15.77	1220436.00
2019-06-18 15:30:00	:MRNA	15.90	16.19	15.58	15.74	1120185.00
2019-06-19 15:30:00	:MRNA	15.75	16.30	15.37	15.50	2831087.00
2019-06-20 15:30:00	:MRNA	15.85	15.94	14.86	15.18	1605381.00
2019-06-21 15:30:00	:MRNA	15.20	15.32	14.50	14.70	2115818.00
2019-06-24 15:30:00	:MRNA	14.41	14.69	14.02	14.04	1327256.00
2019-06-25 15:30:00	:MRNA	14.11	14.25	13.65	13.77	1936251.00
2019-06-26 15:30:00	:MRNA	13.92	14.18	13.65	13.70	1112795.00
2019-06-27 15:30:00	:MRNA	13.50	14.40	13.50	14.34	1724611.00
2019-06-28 15:30:00	:MRNA	14.41	14.64	14.11	14.64	1657027.00
2019-07-01 15:30:00	:MRNA	14.86	15.08	14.47	14.73	1135482.00
2019-07-02 15:30:00	:MRNA	14.71	14.71	14.00	14.40	1202267.00
2019-07-03 15:30:00	:MRNA	14.50	15.33	14.40	15.31	954475.00
2019-07-05 15:30:00	:MRNA	15.47	15.47	14.83	14.96	970638.00
2019-07-08 15:30:00	:MRNA	14.89	14.90	14.14	14.29	938422.00
2019-07-09 15:30:00	:MRNA	14.31	14.85	14.15	14.85	739829.00
2019-07-10 15:30:00	:MRNA	14.94	15.22	14.05	14.48	1770209.00
2019-07-11 15:30:00	:MRNA	14.56	14.70	14.12	14.44	1135170.00
2019-07-12 15:30:00	:MRNA	14.27	14.48	14.06	14.20	1084328.00
2019-07-15 15:30:00	:MRNA	14.28	14.46	14.00	14.32	727620.00
2019-07-16 15:30:00	:MRNA	14.32	14.47	14.00	14.14	1111014.00
2019-07-17 15:30:00	:MRNA	14.17	14.59	14.00	14.03	1202450.00
2019-07-18 15:30:00	:MRNA	14.09	14.28	13.90	14.26	756865.00
2019-07-19 15:30:00	:MRNA	14.29	14.40	14.01	14.11	1042632.00
2019-07-22 15:30:00	:MRNA	14.22	14.32	13.91	14.05	1058910.00
2019-07-23 15:30:00	:MRNA	14.06	14.13	13.12	13.60	2053347.00
2019-07-24 15:30:00	:MRNA	13.75	14.52	13.47	14.47	1167362.00
2019-07-25 15:30:00	:MRNA	14.51	14.65	13.50	13.51	895579.00
2019-07-26 15:30:00	:MRNA	13.59	14.18	13.36	14.12	669060.00
2019-07-29 15:30:00	:MRNA	14.17	14.33	13.56	13.69	1049628.00
2019-07-30 15:30:00	:MRNA	13.61	13.76	13.29	13.40	929543.00
2019-07-31 15:30:00	:MRNA	13.42	13.51	13.04	13.10	1087643.00
2019-08-01 15:30:00	:MRNA	13.20	13.40	12.71	13.01	1502334.00
2019-08-02 15:30:00	:MRNA	13.00	13.04	12.40	12.73	1180381.00
2019-08-05 15:30:00	:MRNA	12.55	12.69	12.20	12.26	1038153.00
2019-08-06 15:30:00	:MRNA	12.50	12.87	11.90	12.29	2007725.00
2019-08-07 15:30:00	:MRNA	12.26	14.50	11.54	12.85	3003267.00
2019-08-08 15:30:00	:MRNA	12.91	13.30	12.30	13.19	1500881.00
2019-08-09 15:30:00	:MRNA	13.14	13.55	12.97	13.33	745194.00
2019-08-12 15:30:00	:MRNA	13.42	13.68	12.98	13.02	780306.00
2019-08-13 15:30:00	:MRNA	13.00	13.39	12.76	13.30	558994.00
2019-08-14 15:30:00	:MRNA	13.08	13.22	12.50	12.74	1362976.00
2019-08-15 15:30:00	:MRNA	12.72	12.95	12.47	12.67	1162846.00
2019-08-16 15:30:00	:MRNA	12.85	13.24	12.79	13.16	1105105.00
2019-08-19 15:30:00	:MRNA	13.25	13.50	13.02	13.40	1955457.00
2019-08-20 15:30:00	:MRNA	13.87	14.65	13.60	14.15	3367012.00
2019-08-21 15:30:00	:MRNA	14.25	14.41	13.76	14.29	1417709.00
2019-08-22 15:30:00	:MRNA	14.37	14.43	14.04	14.16	1023419.00
2019-08-23 15:30:00	:MRNA	14.08	14.36	13.83	13.88	1501049.00
2019-08-26 15:30:00	:MRNA	14.01	15.38	14.00	14.97	3153425.00
2019-08-27 15:30:00	:MRNA	15.17	15.50	14.12	14.51	2720189.00
2019-08-28 15:30:00	:MRNA	14.51	15.04	14.38	14.82	1451650.00
2019-08-29 15:30:00	:MRNA	14.91	15.20	14.61	15.18	1684181.00
2019-08-30 15:30:00	:MRNA	15.30	15.75	15.20	15.73	1601551.00
2019-09-03 15:30:00	:MRNA	16.10	16.50	14.35	14.88	2508895.00
2019-09-04 15:30:00	:MRNA	15.11	15.59	14.80	15.42	1555729.00
2019-09-05 15:30:00	:MRNA	15.65	16.13	15.02	15.53	1394529.00
2019-09-06 15:30:00	:MRNA	15.56	16.18	15.14	15.88	2042503.00
2019-09-09 15:30:00	:MRNA	15.98	16.23	15.36	16.03	2311752.00
2019-09-10 15:30:00	:MRNA	16.06	17.34	15.97	17.09	3077421.00
2019-09-11 15:30:00	:MRNA	17.34	17.59	15.89	15.92	3590692.00
2019-09-12 15:30:00	:MRNA	16.23	18.46	16.20	16.40	8290874.00
2019-09-13 15:30:00	:MRNA	16.45	17.04	16.06	16.71	3162383.00
2019-09-16 15:30:00	:MRNA	16.73	17.31	16.69	17.05	3053899.00
2019-09-17 15:30:00	:MRNA	17.46	17.95	17.19	17.66	5239640.00
2019-09-18 15:30:00	:MRNA	17.77	18.00	17.35	17.78	5834569.00
2019-09-19 15:30:00	:MRNA	17.71	18.42	17.62	17.90	5866926.00
2019-09-20 15:30:00	:MRNA	18.14	18.39	17.75	18.07	25237508.00
2019-09-23 15:30:00	:MRNA	18.24	18.48	17.56	17.83	4861272.00
2019-09-24 15:30:00	:MRNA	17.83	17.99	17.25	17.82	5213302.00
2019-09-25 15:30:00	:MRNA	17.71	17.71	17.10	17.18	3045069.00
2019-09-26 15:30:00	:MRNA	17.41	17.51	16.14	16.34	4449091.00
2019-09-27 15:30:00	:MRNA	16.29	16.54	15.68	15.90	2309047.00
2019-09-30 15:30:00	:MRNA	15.79	16.27	15.67	15.92	1532173.00
2019-10-01 15:30:00	:MRNA	15.87	16.06	14.80	14.81	1544925.00
2019-10-02 15:30:00	:MRNA	14.78	15.01	14.42	14.86	1783307.00
2019-10-03 15:30:00	:MRNA	15.24	15.24	14.41	15.07	1464168.00
2019-10-04 15:30:00	:MRNA	15.05	15.57	14.89	15.51	1022019.00
2019-10-07 15:30:00	:MRNA	15.45	15.63	15.07	15.47	1373936.00
2019-10-08 15:30:00	:MRNA	15.36	15.48	15.01	15.31	1226190.00
2019-10-09 15:30:00	:MRNA	15.33	15.55	14.18	14.20	2386365.00
2019-10-10 15:30:00	:MRNA	14.13	14.41	13.87	14.16	1345771.00
2019-10-11 15:30:00	:MRNA	14.24	14.70	13.99	14.05	941288.00
2019-10-14 15:30:00	:MRNA	14.19	14.27	13.67	13.93	960535.00
2019-10-15 15:30:00	:MRNA	13.93	14.45	13.53	14.33	1157446.00
2019-10-16 15:30:00	:MRNA	14.27	14.32	14.02	14.15	915084.00
2019-10-17 15:30:00	:MRNA	14.23	14.72	14.15	14.54	1033914.00
2019-10-18 15:30:00	:MRNA	14.50	14.85	14.07	14.81	1596568.00
2019-10-21 15:30:00	:MRNA	14.90	15.59	14.66	15.50	931443.00
2019-10-22 15:30:00	:MRNA	15.56	16.09	15.55	15.92	594156.00
2019-10-23 15:30:00	:MRNA	16.16	17.01	16.09	16.90	1512239.00
2019-10-24 15:30:00	:MRNA	16.92	17.03	16.05	16.59	1112146.00
2019-10-25 15:30:00	:MRNA	16.73	17.10	16.43	17.01	737109.00
2019-10-28 14:30:00	:MRNA	17.01	17.15	16.81	17.03	652386.00
2019-10-29 14:30:00	:MRNA	16.96	17.16	16.66	16.99	751727.00
2019-10-30 14:30:00	:MRNA	16.95	17.24	16.52	17.14	961150.00
2019-10-31 14:30:00	:MRNA	17.03	17.15	16.49	16.75	1015552.00
2019-11-01 14:30:00	:MRNA	16.80	16.89	15.52	15.66	1603732.00
2019-11-04 15:30:00	:MRNA	15.90	16.80	15.83	16.80	1357932.00
2019-11-05 15:30:00	:MRNA	16.94	17.72	16.71	16.89	1742360.00
2019-11-06 15:30:00	:MRNA	16.83	17.49	16.05	16.13	1575549.00
2019-11-07 15:30:00	:MRNA	16.33	17.61	16.28	17.50	2043611.00
2019-11-08 15:30:00	:MRNA	17.25	17.50	17.11	17.49	973669.00
2019-11-11 15:30:00	:MRNA	17.33	17.52	17.20	17.40	949933.00
2019-11-12 15:30:00	:MRNA	17.34	18.10	17.30	17.99	1978343.00
2019-11-13 15:30:00	:MRNA	18.00	18.50	17.71	18.25	2014902.00
2019-11-14 15:30:00	:MRNA	18.16	18.50	17.91	18.34	1532586.00
2019-11-15 15:30:00	:MRNA	18.39	19.43	18.35	19.37	1882089.00
2019-11-18 15:30:00	:MRNA	19.21	19.45	18.67	19.45	923140.00
2019-11-19 15:30:00	:MRNA	19.27	19.87	19.08	19.36	1144750.00
2019-11-20 15:30:00	:MRNA	19.38	20.40	19.35	20.18	2316542.00
2019-11-21 15:30:00	:MRNA	19.98	20.32	19.69	20.20	1202497.00
2019-11-22 15:30:00	:MRNA	20.07	20.73	19.86	20.69	1443557.00
2019-11-25 15:30:00	:MRNA	20.90	21.00	19.95	20.00	1927782.00
2019-11-26 15:30:00	:MRNA	20.00	20.65	19.82	20.33	1549446.00
2019-11-27 15:30:00	:MRNA	20.28	20.70	19.99	20.37	1561222.00
2019-11-29 15:30:00	:MRNA	20.60	20.93	20.28	20.36	1186734.00
2019-12-02 15:30:00	:MRNA	20.30	20.54	19.60	19.76	1186785.00
2019-12-03 15:30:00	:MRNA	19.48	21.37	19.41	21.28	1795347.00
2019-12-04 15:30:00	:MRNA	21.00	21.47	20.93	21.27	1980055.00
2019-12-05 15:30:00	:MRNA	21.49	21.50	20.57	20.64	1478421.00
2019-12-06 15:30:00	:MRNA	20.78	21.04	18.82	18.94	3537657.00
2019-12-09 15:30:00	:MRNA	19.07	19.30	18.67	18.78	2823956.00
2019-12-10 15:30:00	:MRNA	18.78	19.09	18.58	18.87	1619895.00
2019-12-11 15:30:00	:MRNA	19.03	19.11	18.53	18.65	1233120.00
2019-12-12 15:30:00	:MRNA	18.56	19.05	18.32	18.45	1313402.00
2019-12-13 15:30:00	:MRNA	18.47	18.72	18.32	18.62	1302439.00
2019-12-16 15:30:00	:MRNA	18.60	18.97	18.22	18.52	1785541.00
2019-12-17 15:30:00	:MRNA	18.54	18.70	18.31	18.44	1647786.00
2019-12-18 15:30:00	:MRNA	18.48	19.00	18.48	18.64	1277655.00
2019-12-19 15:30:00	:MRNA	18.58	19.67	18.50	19.41	2101681.00
2019-12-20 15:30:00	:MRNA	19.40	20.00	19.05	19.83	10931559.00
2019-12-23 15:30:00	:MRNA	19.79	19.85	19.34	19.70	1789840.00
2019-12-24 15:30:00	:MRNA	19.69	19.79	19.35	19.75	488921.00
2019-12-26 15:30:00	:MRNA	19.82	20.11	19.66	19.86	750317.00
2019-12-27 15:30:00	:MRNA	19.99	20.00	19.25	19.52	1046852.00
2019-12-30 15:30:00	:MRNA	19.54	19.94	18.94	19.05	1183298.00
2019-12-31 15:30:00	:MRNA	18.96	19.64	18.96	19.56	1112406.00
2020-01-02 15:30:00	:MRNA	19.57	19.81	18.88	19.23	1229434.00
2020-01-03 15:30:00	:MRNA	19.02	19.36	18.72	18.89	1750976.00
2020-01-06 15:30:00	:MRNA	18.70	18.74	18.01	18.13	1606505.00
2020-01-07 15:30:00	:MRNA	18.15	18.32	17.68	17.78	1461935.00
2020-01-08 15:30:00	:MRNA	17.99	18.08	17.76	17.98	1041551.00
2020-01-09 15:30:00	:MRNA	18.00	18.55	17.90	18.40	1531344.00
2020-01-10 15:30:00	:MRNA	21.00	21.00	19.05	19.14	4504819.00
2020-01-13 15:30:00	:MRNA	19.26	20.36	18.60	20.26	2207943.00
2020-01-14 15:30:00	:MRNA	20.45	20.50	19.55	20.00	1782859.00
2020-01-15 15:30:00	:MRNA	19.94	20.58	19.94	20.24	2054963.00
2020-01-16 15:30:00	:MRNA	21.68	21.87	20.77	21.01	4928102.00
2020-01-17 15:30:00	:MRNA	21.50	21.50	20.55	20.62	3348525.00
2020-01-21 15:30:00	:MRNA	20.79	21.49	20.64	20.94	2089578.00
2020-01-22 15:30:00	:MRNA	22.08	23.20	21.70	21.97	10920657.00
2020-01-23 15:30:00	:MRNA	22.17	22.65	21.40	21.47	3663943.00
2020-01-24 15:30:00	:MRNA	21.60	21.88	20.90	21.12	2947764.00
2020-01-27 15:30:00	:MRNA	22.10	23.12	21.12	22.74	10294739.00
2020-01-28 15:30:00	:MRNA	23.50	23.50	21.85	22.36	5649269.00
2020-01-29 15:30:00	:MRNA	22.23	22.34	20.45	20.55	4675832.00
2020-01-30 15:30:00	:MRNA	21.05	21.74	20.80	20.99	3061810.00
