datetime	symbol	open	high	low	close	volume
2007-11-15 15:30:00	:MSCI	23.00	28.45	21.03	24.97	11769801.00
2007-11-16 15:30:00	:MSCI	25.30	25.98	23.50	24.96	1242850.00
2007-11-19 15:30:00	:MSCI	24.71	25.75	24.53	25.75	469500.00
2007-11-20 15:30:00	:MSCI	25.42	29.21	25.26	27.32	522200.00
2007-11-21 15:30:00	:MSCI	27.00	27.13	25.94	26.65	167500.00
2007-11-23 15:30:00	:MSCI	27.30	28.33	26.82	27.40	100700.00
2007-11-26 15:30:00	:MSCI	27.99	29.49	27.53	27.80	438300.00
2007-11-27 15:30:00	:MSCI	28.23	28.75	26.28	26.98	305800.00
2007-11-28 15:30:00	:MSCI	27.12	27.62	26.68	27.30	273600.00
2007-11-29 15:30:00	:MSCI	26.61	27.99	26.60	27.30	110563.00
2007-11-30 15:30:00	:MSCI	27.60	28.70	27.10	27.65	524000.00
2007-12-03 15:30:00	:MSCI	27.70	28.20	27.40	27.97	83600.00
2007-12-04 15:30:00	:MSCI	27.71	29.75	27.24	29.35	387400.00
2007-12-05 15:30:00	:MSCI	32.68	32.68	28.89	29.28	207200.00
2007-12-06 15:30:00	:MSCI	29.00	29.42	28.44	28.91	97700.00
2007-12-07 15:30:00	:MSCI	29.06	29.10	28.50	28.88	82500.00
2007-12-10 15:30:00	:MSCI	28.59	29.95	28.59	29.00	177803.00
2007-12-11 15:30:00	:MSCI	28.99	29.40	28.25	29.00	236200.00
2007-12-12 15:30:00	:MSCI	29.36	29.36	28.30	28.48	64700.00
2007-12-13 15:30:00	:MSCI	27.93	29.00	27.93	28.94	77925.00
2007-12-14 15:30:00	:MSCI	28.83	28.94	28.33	28.72	118200.00
2007-12-17 15:30:00	:MSCI	27.94	29.06	27.67	27.98	128601.00
2007-12-18 15:30:00	:MSCI	28.00	28.80	28.00	28.50	132400.00
2007-12-19 15:30:00	:MSCI	28.56	29.35	28.56	28.95	197600.00
2007-12-20 15:30:00	:MSCI	28.95	29.01	28.89	28.89	197800.00
2007-12-21 15:30:00	:MSCI	29.50	34.33	29.40	33.72	498600.00
2007-12-24 15:30:00	:MSCI	33.60	34.40	32.55	33.92	142000.00
2007-12-26 15:30:00	:MSCI	33.92	36.00	33.80	34.35	228300.00
2007-12-27 15:30:00	:MSCI	34.35	37.19	33.80	36.55	194600.00
2007-12-28 15:30:00	:MSCI	36.45	38.27	36.00	37.32	165900.00
2007-12-31 15:30:00	:MSCI	37.45	38.40	36.00	38.40	136200.00
2008-01-02 15:30:00	:MSCI	37.82	37.95	33.12	33.85	442900.00
2008-01-03 15:30:00	:MSCI	33.85	33.85	30.56	30.79	395900.00
2008-01-04 15:30:00	:MSCI	28.74	31.00	28.11	30.15	354079.00
2008-01-07 15:30:00	:MSCI	29.75	29.75	27.75	28.14	383000.00
2008-01-08 15:30:00	:MSCI	28.00	28.15	26.01	26.63	183900.00
2008-01-09 15:30:00	:MSCI	27.30	29.75	24.74	27.76	383400.00
2008-01-10 15:30:00	:MSCI	29.30	31.40	26.80	29.64	531428.00
2008-01-11 15:30:00	:MSCI	29.42	32.77	29.21	30.43	121900.00
2008-01-14 15:30:00	:MSCI	30.10	30.50	29.75	30.50	198300.00
2008-01-15 15:30:00	:MSCI	30.50	30.93	29.72	30.71	74200.00
2008-01-16 15:30:00	:MSCI	30.76	30.76	28.50	29.30	123681.00
2008-01-17 15:30:00	:MSCI	29.45	29.45	28.65	28.99	122305.00
2008-01-18 15:30:00	:MSCI	29.71	29.75	29.00	29.32	238900.00
2008-01-22 15:30:00	:MSCI	28.15	29.20	27.33	28.90	193000.00
2008-01-23 15:30:00	:MSCI	28.98	32.47	28.38	31.16	193100.00
2008-01-24 15:30:00	:MSCI	30.78	33.00	30.24	32.17	305000.00
2008-01-25 15:30:00	:MSCI	32.40	32.58	31.13	31.78	148700.00
2008-01-28 15:30:00	:MSCI	31.30	34.00	30.03	33.06	222500.00
2008-01-29 15:30:00	:MSCI	32.66	33.46	32.35	32.78	142507.00
2008-01-30 15:30:00	:MSCI	32.77	33.00	31.00	32.70	117300.00
2008-01-31 15:30:00	:MSCI	32.50	33.00	32.10	32.97	115400.00
2008-02-01 15:30:00	:MSCI	32.97	35.97	32.40	34.60	134600.00
2008-02-04 15:30:00	:MSCI	34.60	34.90	33.00	33.48	75300.00
2008-02-05 15:30:00	:MSCI	33.48	33.48	31.98	32.87	109100.00
2008-02-06 15:30:00	:MSCI	32.70	32.72	31.09	31.37	146000.00
2008-02-07 15:30:00	:MSCI	31.40	32.00	29.52	29.71	128000.00
