datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:MS	48.32	48.70	47.91	48.02	4364588.00
2004-04-08 15:30:00	:MS	48.24	48.27	47.43	47.77	3858117.00
2004-04-12 15:30:00	:MS	47.98	48.25	47.86	47.90	3522117.00
2004-04-13 15:30:00	:MS	48.02	48.30	46.10	46.26	8221056.00
2004-04-14 15:30:00	:MS	45.77	45.98	44.71	45.35	10131296.00
2004-04-15 15:30:00	:MS	45.42	45.98	44.23	45.48	10118589.00
2004-04-16 15:30:00	:MS	45.79	46.51	45.23	46.35	8321644.00
2004-04-19 15:30:00	:MS	46.16	46.24	45.29	46.13	5723997.00
2004-04-20 15:30:00	:MS	46.15	46.33	45.04	45.08	6026236.00
2004-04-21 15:30:00	:MS	45.05	45.40	44.37	44.86	8924351.00
2004-04-22 15:30:00	:MS	44.54	45.70	44.29	45.46	14099645.00
2004-04-23 15:30:00	:MS	45.15	45.36	44.80	45.08	6532472.00
2004-04-26 15:30:00	:MS	45.25	46.01	45.19	45.61	5757412.00
2004-04-27 15:30:00	:MS	45.39	46.17	45.33	45.53	4817529.00
2004-04-28 15:30:00	:MS	45.05	45.17	44.41	44.54	6096236.00
2004-04-29 15:30:00	:MS	44.54	45.14	44.11	44.51	10022941.00
2004-04-30 15:30:00	:MS	44.59	44.74	43.41	43.68	7574351.00
2004-05-03 15:30:00	:MS	43.77	44.08	43.55	43.75	5628823.00
2004-05-04 15:30:00	:MS	43.75	45.01	43.74	44.61	8488469.00
2004-05-05 15:30:00	:MS	45.35	45.35	44.51	44.62	5846350.00
2004-05-06 15:30:00	:MS	44.03	44.70	43.73	44.47	6552232.00
2004-05-07 15:30:00	:MS	44.26	45.06	43.65	44.15	7727058.00
2004-05-10 15:30:00	:MS	43.62	44.33	42.69	44.29	8516470.00
2004-05-11 15:30:00	:MS	44.80	44.88	43.87	44.57	6281410.00
2004-05-12 15:30:00	:MS	44.24	44.92	43.17	44.86	6854351.00
2004-05-13 15:30:00	:MS	44.61	45.73	44.60	44.75	6161884.00
2004-05-14 15:30:00	:MS	45.05	45.31	44.14	44.27	6393763.00
2004-05-17 15:30:00	:MS	43.56	43.78	42.80	43.02	8586236.00
2004-05-18 15:30:00	:MS	43.12	43.86	43.12	43.62	4629647.00
2004-05-19 15:30:00	:MS	44.20	44.95	44.04	44.20	5851530.00
2004-05-20 15:30:00	:MS	44.42	44.81	44.12	44.42	4841530.00
2004-05-21 15:30:00	:MS	44.92	45.20	44.47	44.65	4295294.00
2004-05-24 15:30:00	:MS	44.91	45.30	44.73	45.29	4344588.00
2004-05-25 15:30:00	:MS	44.75	45.94	44.37	45.80	6399645.00
2004-05-26 15:30:00	:MS	45.81	46.33	45.37	46.07	5202941.00
2004-05-27 15:30:00	:MS	46.28	46.58	45.65	45.94	4530235.00
2004-05-28 15:30:00	:MS	45.94	45.98	45.08	45.48	4212352.00
2004-06-01 15:30:00	:MS	45.62	45.63	44.79	45.33	3718941.00
2004-06-02 15:30:00	:MS	45.46	45.56	44.74	45.29	3919764.00
2004-06-03 15:30:00	:MS	44.88	45.01	44.20	44.20	6726002.00
2004-06-04 15:30:00	:MS	44.84	45.21	44.57	45.08	4498470.00
2004-06-07 15:30:00	:MS	45.48	46.53	45.42	46.44	3622941.00
2004-06-08 15:30:00	:MS	45.88	46.44	45.83	46.38	3211882.00
2004-06-09 15:30:00	:MS	46.16	46.31	45.57	45.81	2657764.00
2004-06-10 15:30:00	:MS	45.65	45.77	45.08	45.25	3143529.00
2004-06-14 15:30:00	:MS	44.85	44.90	43.84	44.39	3952941.00
2004-06-15 15:30:00	:MS	44.80	45.00	43.21	43.46	7312707.00
2004-06-16 15:30:00	:MS	43.59	44.37	43.39	44.32	5587412.00
2004-06-17 15:30:00	:MS	44.16	44.16	43.60	43.88	4044000.00
2004-06-18 15:30:00	:MS	43.42	44.44	43.41	43.90	3119411.00
2004-06-21 15:30:00	:MS	43.80	44.45	43.44	43.56	3926588.00
2004-06-22 15:30:00	:MS	43.05	44.45	42.94	44.33	7874237.00
2004-06-23 15:30:00	:MS	44.34	44.62	43.70	44.62	4839880.00
2004-06-24 15:30:00	:MS	44.67	45.36	44.55	44.89	5357647.00
2004-06-25 15:30:00	:MS	45.20	45.50	44.45	44.57	4296352.00
2004-06-28 15:30:00	:MS	45.03	45.03	44.38	44.47	4667764.00
2004-06-29 15:30:00	:MS	44.47	44.84	44.21	44.51	3836823.00
2004-06-30 15:30:00	:MS	44.40	44.96	44.40	44.85	7009531.00
2004-07-01 15:30:00	:MS	44.75	45.12	43.69	43.86	7859880.00
2004-07-02 15:30:00	:MS	43.86	44.17	43.44	43.92	3980117.00
2004-07-06 15:30:00	:MS	43.73	43.77	42.99	43.33	5157178.00
2004-07-07 15:30:00	:MS	42.97	43.21	42.08	42.40	8053763.00
2004-07-08 15:30:00	:MS	42.44	43.16	41.64	42.35	6621530.00
2004-07-09 15:30:00	:MS	42.63	42.90	42.29	42.50	3416235.00
2004-07-12 15:30:00	:MS	42.41	43.04	42.07	42.79	4545529.00
2004-07-13 15:30:00	:MS	42.58	42.93	41.75	42.08	5408943.00
2004-07-14 15:30:00	:MS	42.03	42.26	41.39	41.73	6788115.00
2004-07-15 15:30:00	:MS	41.61	41.69	40.60	40.77	7082352.00
2004-07-16 15:30:00	:MS	41.23	41.35	39.98	40.01	7486002.00
2004-07-19 15:30:00	:MS	40.42	40.64	40.13	40.33	5210468.00
2004-07-20 15:30:00	:MS	40.50	41.30	40.04	41.19	7401998.00
2004-07-21 15:30:00	:MS	41.69	42.03	40.57	40.69	7985174.00
2004-07-22 15:30:00	:MS	40.59	41.51	39.88	41.12	7685174.00
2004-07-23 15:30:00	:MS	40.89	41.42	40.58	40.80	4570941.00
2004-07-26 15:30:00	:MS	40.90	41.11	40.01	40.29	4859411.00
2004-07-27 15:30:00	:MS	40.46	41.54	40.43	41.35	5279057.00
2004-07-28 15:30:00	:MS	41.27	41.86	40.59	41.48	6082352.00
2004-07-29 15:30:00	:MS	41.95	42.58	41.82	42.41	5985528.00
2004-07-30 15:30:00	:MS	41.99	42.13	41.61	41.93	4772117.00
2004-08-02 15:30:00	:MS	41.40	42.36	41.37	42.06	5932118.00
2004-08-03 15:30:00	:MS	41.95	42.36	41.82	41.91	5367647.00
2004-08-04 15:30:00	:MS	41.74	42.13	41.33	41.68	4763647.00
2004-08-05 15:30:00	:MS	41.72	41.92	40.84	40.85	3738470.00
2004-08-06 15:30:00	:MS	40.38	40.88	39.65	39.78	6448589.00
2004-08-09 15:30:00	:MS	39.86	40.15	39.56	39.91	4124705.00
2004-08-10 15:30:00	:MS	40.16	40.99	39.95	40.93	5473409.00
2004-08-11 15:30:00	:MS	40.46	41.11	40.33	40.68	3780470.00
2004-08-12 15:30:00	:MS	40.59	40.89	40.04	40.16	3751294.00
2004-08-13 15:30:00	:MS	40.18	40.35	39.81	40.18	3386352.00
2004-08-16 15:30:00	:MS	40.25	41.19	40.20	41.17	3810588.00
2004-08-17 15:30:00	:MS	41.56	42.31	41.56	41.96	5080942.00
2004-08-18 15:30:00	:MS	41.75	42.36	41.68	42.35	5258235.00
2004-08-19 15:30:00	:MS	42.24	42.41	41.68	42.12	3772705.00
2004-08-20 15:30:00	:MS	42.12	42.93	41.92	42.76	3864588.00
2004-08-23 15:30:00	:MS	42.76	42.86	42.46	42.67	3215764.00
2004-08-24 15:30:00	:MS	43.01	43.13	42.28	42.36	4335882.00
2004-08-25 15:30:00	:MS	42.41	43.39	42.19	43.33	4512235.00
2004-08-26 15:30:00	:MS	42.74	44.29	42.74	44.19	4424588.00
2004-08-27 15:30:00	:MS	44.12	44.17	43.73	43.83	2288941.00
2004-08-30 15:30:00	:MS	43.69	43.77	42.95	43.01	2634941.00
2004-08-31 15:30:00	:MS	43.09	43.38	42.69	43.12	3333647.00
2004-09-01 15:30:00	:MS	43.15	43.39	42.77	42.80	3524823.00
2004-09-02 15:30:00	:MS	42.91	43.67	42.57	43.56	2891529.00
2004-09-03 15:30:00	:MS	43.56	44.11	43.32	43.35	2876352.00
2004-09-07 15:30:00	:MS	43.92	44.92	43.74	44.81	5040234.00
2004-09-08 15:30:00	:MS	44.75	44.96	44.33	44.37	5036590.00
2004-09-09 15:30:00	:MS	44.20	44.36	43.59	44.17	4635882.00
2004-09-10 15:30:00	:MS	43.90	45.13	43.75	45.01	3553529.00
2004-09-13 15:30:00	:MS	44.92	45.21	44.25	44.40	3603647.00
2004-09-14 15:30:00	:MS	44.50	44.53	43.95	44.35	3856823.00
2004-09-15 15:30:00	:MS	44.16	44.32	43.86	43.90	2951647.00
2004-09-16 15:30:00	:MS	44.06	44.51	44.00	44.41	3356470.00
2004-09-17 15:30:00	:MS	44.45	44.57	43.57	43.73	4158588.00
2004-09-20 15:30:00	:MS	43.44	43.60	43.07	43.32	3623882.00
2004-09-21 15:30:00	:MS	43.82	44.61	43.66	44.52	5311764.00
2004-09-22 15:30:00	:MS	41.23	42.30	40.84	41.41	23412705.00
2004-09-23 15:30:00	:MS	41.23	42.41	41.23	42.09	9101884.00
2004-09-24 15:30:00	:MS	42.09	42.67	41.93	42.53	7938115.00
2004-09-27 15:30:00	:MS	42.24	42.30	41.44	41.45	7110588.00
2004-09-28 15:30:00	:MS	41.56	41.75	41.19	41.52	6436590.00
2004-09-29 15:30:00	:MS	41.44	42.13	41.40	42.08	4392588.00
2004-09-30 15:30:00	:MS	41.91	42.21	41.40	41.91	5601644.00
2004-10-01 15:30:00	:MS	42.03	43.03	41.95	42.98	4840468.00
2004-10-04 15:30:00	:MS	43.35	43.65	42.76	43.01	5777292.00
2004-10-05 15:30:00	:MS	42.82	42.92	41.97	42.09	5234351.00
2004-10-06 15:30:00	:MS	41.65	42.39	41.63	42.03	5830708.00
2004-10-07 15:30:00	:MS	42.03	42.08	41.44	41.54	4982707.00
2004-10-08 15:30:00	:MS	41.31	41.91	41.00	41.05	5736002.00
2004-10-11 15:30:00	:MS	40.94	41.73	40.94	41.48	2766352.00
2004-10-12 15:30:00	:MS	40.89	42.03	40.89	41.56	5669411.00
2004-10-13 15:30:00	:MS	41.73	41.85	40.90	41.10	4832941.00
2004-10-14 15:30:00	:MS	41.17	41.28	40.18	40.20	5850588.00
