datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:MTCH	9.33	9.39	9.12	9.18	16481025.00
2004-04-08 15:30:00	:MTCH	9.43	9.44	9.11	9.17	15272462.00
2004-04-12 15:30:00	:MTCH	9.16	9.24	9.11	9.17	10388727.00
2004-04-13 15:30:00	:MTCH	9.26	9.26	8.92	8.94	13922311.00
2004-04-14 15:30:00	:MTCH	8.94	9.11	8.91	9.03	11963182.00
2004-04-15 15:30:00	:MTCH	9.03	9.04	8.75	8.86	16369777.00
2004-04-16 15:30:00	:MTCH	8.82	8.84	8.71	8.77	14698883.00
2004-04-19 15:30:00	:MTCH	8.78	9.10	8.75	9.10	13545222.00
2004-04-20 15:30:00	:MTCH	9.05	9.11	8.89	8.89	13376182.00
2004-04-21 15:30:00	:MTCH	8.91	9.08	8.78	9.01	17547638.00
2004-04-22 15:30:00	:MTCH	9.10	9.54	9.01	9.49	31380733.00
2004-04-23 15:30:00	:MTCH	9.43	9.58	9.26	9.47	17223283.00
2004-04-26 15:30:00	:MTCH	9.50	9.51	9.15	9.24	19792473.00
2004-04-27 15:30:00	:MTCH	9.26	9.49	9.23	9.27	14948830.00
2004-04-28 15:30:00	:MTCH	9.29	9.33	9.03	9.08	18329989.00
2004-04-29 15:30:00	:MTCH	9.12	9.27	9.00	9.04	16634895.00
2004-04-30 15:30:00	:MTCH	9.08	9.20	8.82	8.93	18991700.00
2004-05-03 15:30:00	:MTCH	8.58	9.14	8.41	8.60	45714446.00
2004-05-04 15:30:00	:MTCH	8.65	8.96	8.54	8.81	24691739.00
2004-05-05 15:30:00	:MTCH	8.78	8.89	8.68	8.76	12653428.00
2004-05-06 15:30:00	:MTCH	8.67	8.84	8.60	8.73	13428194.00
2004-05-07 15:30:00	:MTCH	8.66	8.85	8.46	8.54	22437513.00
2004-05-10 15:30:00	:MTCH	8.47	8.50	8.06	8.30	29018148.00
2004-05-11 15:30:00	:MTCH	8.32	8.44	8.26	8.32	25738125.00
2004-05-12 15:30:00	:MTCH	8.25	8.28	8.03	8.18	19997993.00
2004-05-13 15:30:00	:MTCH	8.14	8.32	8.10	8.21	15279325.00
2004-05-14 15:30:00	:MTCH	8.24	8.29	8.01	8.10	14957138.00
2004-05-17 15:30:00	:MTCH	8.03	8.06	7.87	7.97	12159673.00
2004-05-18 15:30:00	:MTCH	8.08	8.15	8.02	8.06	13274686.00
2004-05-19 15:30:00	:MTCH	8.23	8.46	8.18	8.18	20457796.00
2004-05-20 15:30:00	:MTCH	8.26	8.36	8.18	8.26	13230620.00
2004-05-21 15:30:00	:MTCH	8.34	8.42	8.25	8.32	10620254.00
2004-05-24 15:30:00	:MTCH	8.33	8.39	8.19	8.31	14519729.00
2004-05-25 15:30:00	:MTCH	8.30	8.64	8.26	8.62	21357897.00
2004-05-26 15:30:00	:MTCH	8.56	8.68	8.52	8.67	10183929.00
2004-05-27 15:30:00	:MTCH	8.72	8.81	8.58	8.73	16147280.00
2004-05-28 15:30:00	:MTCH	8.75	8.75	8.62	8.65	10137335.00
2004-06-01 15:30:00	:MTCH	8.58	8.76	8.49	8.74	12904459.00
2004-06-02 15:30:00	:MTCH	8.75	8.80	8.53	8.70	12032532.00
2004-06-03 15:30:00	:MTCH	8.67	8.71	8.37	8.41	13413024.00
2004-06-04 15:30:00	:MTCH	8.57	8.57	8.34	8.38	15565392.00
2004-06-07 15:30:00	:MTCH	8.47	8.57	8.38	8.54	10041257.00
2004-06-08 15:30:00	:MTCH	8.54	8.63	8.46	8.51	11278715.00
2004-06-09 15:30:00	:MTCH	8.44	8.56	8.38	8.43	10821441.00
2004-06-10 15:30:00	:MTCH	8.49	8.51	8.29	8.39	11616434.00
2004-06-14 15:30:00	:MTCH	8.33	8.39	8.00	8.19	21012232.00
2004-06-15 15:30:00	:MTCH	8.37	8.45	8.30	8.34	12880621.00
2004-06-16 15:30:00	:MTCH	8.33	8.36	8.23	8.29	16406980.00
2004-06-17 15:30:00	:MTCH	8.25	8.32	8.21	8.26	12463078.00
2004-06-18 15:30:00	:MTCH	8.05	8.42	8.05	8.29	19592370.00
2004-06-21 15:30:00	:MTCH	8.54	8.55	8.32	8.32	15014929.00
2004-06-22 15:30:00	:MTCH	8.48	8.65	8.38	8.62	19912390.00
2004-06-23 15:30:00	:MTCH	8.58	8.62	8.49	8.59	15109202.00
2004-06-24 15:30:00	:MTCH	8.61	8.62	8.46	8.51	15755382.00
2004-06-25 15:30:00	:MTCH	8.48	8.54	8.18	8.18	28898953.00
2004-06-28 15:30:00	:MTCH	8.28	8.45	8.27	8.36	17193665.00
2004-06-29 15:30:00	:MTCH	8.37	8.54	8.31	8.39	9167884.00
2004-06-30 15:30:00	:MTCH	8.40	8.44	8.28	8.34	11305805.00
2004-07-01 15:30:00	:MTCH	8.33	8.43	8.25	8.31	16725916.00
2004-07-02 15:30:00	:MTCH	8.33	8.46	8.32	8.41	11947289.00
2004-07-06 15:30:00	:MTCH	8.47	8.51	8.28	8.32	11836402.00
2004-07-07 15:30:00	:MTCH	8.37	8.49	8.36	8.39	9207616.00
2004-07-08 15:30:00	:MTCH	8.32	8.40	8.17	8.19	16841499.00
2004-07-09 15:30:00	:MTCH	8.30	8.38	8.20	8.28	11633049.00
2004-07-12 15:30:00	:MTCH	8.22	8.29	8.10	8.16	11656888.00
2004-07-13 15:30:00	:MTCH	8.17	8.26	8.06	8.12	9297915.00
2004-07-14 15:30:00	:MTCH	8.14	8.27	7.47	8.07	18843610.00
2004-07-15 15:30:00	:MTCH	8.16	8.17	8.03	8.07	8779598.00
2004-07-16 15:30:00	:MTCH	8.15	8.23	8.01	8.01	15978962.00
2004-07-19 15:30:00	:MTCH	8.00	8.07	7.89	7.96	10618087.00
2004-07-20 15:30:00	:MTCH	8.03	8.22	8.01	8.20	18518172.00
2004-07-21 15:30:00	:MTCH	8.20	8.25	7.94	7.95	14711163.00
2004-07-22 15:30:00	:MTCH	7.71	7.99	7.70	7.92	19820285.00
2004-07-23 15:30:00	:MTCH	7.84	7.90	7.69	7.75	12345689.00
2004-07-26 15:30:00	:MTCH	7.75	7.82	7.60	7.72	10374641.00
2004-07-27 15:30:00	:MTCH	7.77	7.88	7.74	7.84	11159881.00
2004-07-28 15:30:00	:MTCH	7.82	7.84	7.58	7.77	13944705.00
2004-07-29 15:30:00	:MTCH	7.85	7.87	7.56	7.72	15377570.00
2004-07-30 15:30:00	:MTCH	7.67	7.71	7.49	7.56	15190471.00
2004-08-02 15:30:00	:MTCH	7.51	7.68	7.39	7.63	22652786.00
2004-08-03 15:30:00	:MTCH	7.48	7.62	7.36	7.48	50458759.00
2004-08-04 15:30:00	:MTCH	6.17	6.45	5.99	6.31	315392257.00
2004-08-05 15:30:00	:MTCH	6.28	6.35	6.17	6.19	73014022.00
2004-08-06 15:30:00	:MTCH	6.09	6.13	6.02	6.07	53953333.00
2004-08-09 15:30:00	:MTCH	6.06	6.17	5.99	6.14	26721662.00
2004-08-10 15:30:00	:MTCH	6.16	6.34	6.14	6.28	40565232.00
2004-08-11 15:30:00	:MTCH	6.22	6.32	6.09	6.29	27328833.00
2004-08-12 15:30:00	:MTCH	6.23	6.31	6.13	6.18	19129316.00
2004-08-13 15:30:00	:MTCH	6.20	6.30	6.16	6.26	17558474.00
2004-08-16 15:30:00	:MTCH	6.24	6.47	6.22	6.37	19655218.00
2004-08-17 15:30:00	:MTCH	6.34	6.42	6.29	6.33	12865811.00
2004-08-18 15:30:00	:MTCH	6.37	6.59	6.28	6.54	20675597.00
2004-08-19 15:30:00	:MTCH	6.51	6.56	6.40	6.49	21123120.00
2004-08-20 15:30:00	:MTCH	6.49	6.58	6.45	6.51	14131804.00
2004-08-23 15:30:00	:MTCH	6.54	6.56	6.45	6.50	18436181.00
2004-08-24 15:30:00	:MTCH	6.50	6.60	6.50	6.58	19259708.00
