datetime	symbol	open	high	low	close	volume
2022-02-25 09:00:00	:MXWO	86.13	88.25	85.71	88.12	55345.00
2022-02-28 09:00:00	:MXWO	87.06	88.57	86.79	88.57	7222.00
2022-03-01 09:00:00	:MXWO	88.64	88.64	87.23	87.23	66182.00
2022-03-02 09:00:00	:MXWO	86.45	87.89	86.45	87.82	2606.00
2022-03-03 09:00:00	:MXWO	88.09	88.46	87.21	87.21	40319.00
2022-03-04 09:00:00	:MXWO	86.95	86.95	85.46	85.46	6935.00
2022-03-07 09:00:00	:MXWO	84.56	85.28	84.11	84.65	37786.00
2022-03-08 09:00:00	:MXWO	82.87	84.07	82.87	83.00	13845.00
2022-03-09 09:00:00	:MXWO	84.16	85.34	83.91	85.34	6254.00
2022-03-10 09:00:00	:MXWO	85.52	85.57	84.39	84.39	5451.00
2022-03-11 09:00:00	:MXWO	85.24	86.54	84.98	85.07	14198.00
2022-03-14 09:00:00	:MXWO	84.83	85.27	84.32	84.39	34264.00
2022-03-15 09:00:00	:MXWO	83.57	84.88	83.50	84.88	3785.00
2022-03-16 09:00:00	:MXWO	86.11	87.09	86.06	86.99	11677.00
2022-03-17 09:00:00	:MXWO	87.67	88.08	87.16	88.08	3336.00
2022-03-18 09:00:00	:MXWO	88.17	89.00	87.99	89.00	1089.00
2022-03-21 09:00:00	:MXWO	89.48	89.74	89.29	89.74	2000.00
2022-03-22 09:00:00	:MXWO	89.53	90.35	89.53	90.20	8300.00
2022-03-23 09:00:00	:MXWO	90.53	90.53	89.92	89.99	3034.00
2022-03-24 09:00:00	:MXWO	89.74	89.97	89.74	89.97	1115.00
2022-03-25 09:00:00	:MXWO	90.55	90.77	90.15	90.33	33.00
2022-03-28 09:00:00	:MXWO	90.32	90.86	90.32	90.57	445.00
2022-03-29 09:00:00	:MXWO	91.51	92.19	91.43	92.19	4126.00
2022-03-30 09:00:00	:MXWO	92.44	92.46	92.18	92.18	6466.00
2022-03-31 09:00:00	:MXWO	92.20	92.27	91.64	91.68	28286.00
2022-04-01 09:00:00	:MXWO	91.09	91.30	90.79	90.79	1901.00
2022-04-04 09:00:00	:MXWO	91.10	91.56	90.88	91.50	221.00
2022-04-05 09:00:00	:MXWO	91.67	91.88	91.00	91.11	21576.00
2022-04-06 09:00:00	:MXWO	90.58	90.61	89.22	89.33	6573.00
2022-04-07 09:00:00	:MXWO	89.56	89.80	89.04	89.04	1442.00
2022-04-08 09:00:00	:MXWO	90.05	90.23	89.93	89.93	79.00
2022-04-11 09:00:00	:MXWO	89.16	89.53	88.69	88.69	3313.00
2022-04-12 09:00:00	:MXWO	88.91	88.98	87.96	88.97	929.00
2022-04-13 09:00:00	:MXWO	88.22	88.59	87.87	88.59	4796.00
2022-04-14 09:00:00	:MXWO	88.99	89.16	88.60	88.71	548.00
2022-04-19 09:00:00	:MXWO	88.17	88.70	87.54	88.70	83.00
2022-04-20 09:00:00	:MXWO	88.79	89.54	88.79	89.27	339.00
2022-04-21 09:00:00	:MXWO	89.41	89.98	89.40	89.40	0.00
2022-04-22 09:00:00	:MXWO	87.62	87.85	86.45	86.74	741.00
2022-04-25 09:00:00	:MXWO	84.61	84.90	84.50	84.50	69974.00
2022-04-26 09:00:00	:MXWO	85.74	85.81	84.22	84.22	11716.00
2022-04-27 09:00:00	:MXWO	84.33	84.33	83.23	83.94	20115.00
2022-04-28 09:00:00	:MXWO	84.55	84.93	83.65	84.21	2157.00
2022-04-29 09:00:00	:MXWO	85.45	85.45	84.55	84.55	3081.00
2022-05-03 09:00:00	:MXWO	83.41	83.90	82.88	83.90	24113.00
2022-05-04 09:00:00	:MXWO	83.72	83.93	83.18	83.18	4146.00
2022-05-05 09:00:00	:MXWO	85.64	85.64	82.95	82.95	10966.00
2022-05-06 09:00:00	:MXWO	82.65	82.76	81.46	82.70	45291.00
2022-05-09 09:00:00	:MXWO	81.40	81.68	79.79	79.79	16227.00
2022-05-10 09:00:00	:MXWO	80.27	80.68	78.86	78.86	13259.00
2022-05-11 09:00:00	:MXWO	80.08	80.74	80.08	80.44	180.00
