datetime	symbol	open	high	low	close	volume
2013-01-18 15:30:00	:NCLH	25.10	25.49	24.16	24.79	17763552.00
2013-01-22 15:30:00	:NCLH	25.00	27.36	24.85	26.95	2071934.00
2013-01-23 15:30:00	:NCLH	28.00	28.86	26.49	27.49	1572111.00
2013-01-24 15:30:00	:NCLH	27.17	27.90	26.64	27.34	508646.00
2013-01-25 15:30:00	:NCLH	27.50	27.90	26.27	27.35	870620.00
2013-01-28 15:30:00	:NCLH	27.88	27.88	26.94	27.76	172175.00
2013-01-29 15:30:00	:NCLH	27.90	27.96	27.00	27.11	437357.00
2013-01-30 15:30:00	:NCLH	26.69	27.23	26.17	26.29	816367.00
2013-01-31 15:30:00	:NCLH	26.02	26.92	25.75	26.37	970389.00
2013-02-01 15:30:00	:NCLH	26.47	27.80	26.18	27.65	1099294.00
2013-02-04 15:30:00	:NCLH	27.71	29.08	27.60	28.41	952099.00
2013-02-05 15:30:00	:NCLH	28.96	28.96	27.97	28.54	447164.00
2013-02-06 15:30:00	:NCLH	28.10	28.74	27.80	27.98	377202.00
2013-02-07 15:30:00	:NCLH	27.93	28.09	27.43	27.55	276266.00
2013-02-08 15:30:00	:NCLH	27.60	28.31	27.32	27.91	380107.00
2013-02-11 15:30:00	:NCLH	27.78	27.84	27.43	27.68	576836.00
2013-02-12 15:30:00	:NCLH	28.91	29.50	28.24	28.32	1876780.00
2013-02-13 15:30:00	:NCLH	28.81	29.54	28.29	28.92	772492.00
2013-02-14 15:30:00	:NCLH	28.82	29.40	28.60	29.25	431874.00
2013-02-15 15:30:00	:NCLH	29.48	30.41	29.48	30.27	1418622.00
2013-02-19 15:30:00	:NCLH	30.47	31.33	30.45	31.19	497729.00
2013-02-20 15:30:00	:NCLH	31.19	31.91	30.56	30.80	612603.00
2013-02-21 15:30:00	:NCLH	30.54	31.00	29.76	30.47	481358.00
2013-02-22 15:30:00	:NCLH	30.95	31.31	29.46	29.99	571182.00
2013-02-25 15:30:00	:NCLH	31.34	31.41	30.18	30.78	471692.00
2013-02-26 15:30:00	:NCLH	30.81	31.08	29.79	30.21	418210.00
2013-02-27 15:30:00	:NCLH	30.56	30.70	29.83	30.26	294344.00
2013-02-28 15:30:00	:NCLH	30.55	31.08	30.03	30.98	234810.00
2013-03-01 15:30:00	:NCLH	30.50	31.68	30.26	30.99	688121.00
2013-03-04 15:30:00	:NCLH	30.55	31.25	30.26	30.45	274401.00
2013-03-05 15:30:00	:NCLH	30.12	30.74	29.85	30.03	365952.00
2013-03-06 15:30:00	:NCLH	30.19	30.39	29.85	30.02	153019.00
2013-03-07 15:30:00	:NCLH	29.85	30.42	29.85	30.29	306776.00
2013-03-08 15:30:00	:NCLH	30.98	30.98	29.12	30.30	679211.00
2013-03-11 14:30:00	:NCLH	30.50	30.69	29.99	30.66	315923.00
2013-03-12 14:30:00	:NCLH	30.33	31.00	30.33	30.85	770655.00
2013-03-13 14:30:00	:NCLH	30.93	31.00	30.48	30.78	321593.00
2013-03-14 14:30:00	:NCLH	30.73	30.96	29.88	30.00	785477.00
2013-03-15 14:30:00	:NCLH	29.60	30.09	29.55	29.82	798637.00
2013-03-18 14:30:00	:NCLH	29.80	30.62	29.62	30.29	389523.00
2013-03-19 14:30:00	:NCLH	30.29	30.69	29.78	30.26	133403.00
2013-03-20 14:30:00	:NCLH	30.27	30.99	30.25	30.50	162824.00
2013-03-21 14:30:00	:NCLH	30.39	30.75	29.93	30.03	96880.00
2013-03-22 14:30:00	:NCLH	30.03	30.26	29.91	30.18	112742.00
2013-03-25 14:30:00	:NCLH	30.14	30.16	29.31	29.48	563117.00
2013-03-26 14:30:00	:NCLH	29.93	30.00	29.02	29.54	410896.00
2013-03-27 14:30:00	:NCLH	29.41	30.33	29.26	30.15	215385.00
2013-03-28 14:30:00	:NCLH	30.01	30.44	29.43	29.65	2345693.00
2013-04-01 15:30:00	:NCLH	29.79	29.95	29.34	29.93	640018.00
2013-04-02 15:30:00	:NCLH	29.98	30.54	29.18	29.92	638973.00
2013-04-03 15:30:00	:NCLH	29.82	30.39	28.57	29.19	1083653.00
2013-04-04 15:30:00	:NCLH	29.10	29.36	28.51	29.27	441956.00
2013-04-05 15:30:00	:NCLH	29.02	29.39	28.59	29.30	334645.00
2013-04-08 15:30:00	:NCLH	29.41	30.16	29.12	29.99	246162.00
2013-04-09 15:30:00	:NCLH	30.15	30.37	29.45	30.34	250154.00
2013-04-10 15:30:00	:NCLH	30.46	30.95	29.80	30.53	265775.00
2013-04-11 15:30:00	:NCLH	30.33	30.87	30.06	30.64	112666.00
2013-04-12 15:30:00	:NCLH	30.51	30.85	29.76	30.50	115050.00
2013-04-15 15:30:00	:NCLH	30.41	30.52	29.94	30.07	144251.00
2013-04-16 15:30:00	:NCLH	30.18	30.48	29.00	30.00	451955.00
2013-04-17 15:30:00	:NCLH	29.95	29.95	29.21	29.55	224220.00
2013-04-18 15:30:00	:NCLH	29.65	29.85	29.33	29.34	175882.00
2013-04-19 15:30:00	:NCLH	29.52	29.52	28.86	29.43	118352.00
2013-04-22 15:30:00	:NCLH	29.42	29.71	29.01	29.38	210727.00
2013-04-23 15:30:00	:NCLH	29.51	29.79	29.15	29.34	137140.00
