datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:NKE	9.65	9.66	9.55	9.59	8756000.00
2004-04-08 15:30:00	:NKE	9.62	9.69	9.57	9.60	9340000.00
2004-04-12 15:30:00	:NKE	9.61	9.70	9.61	9.66	4072000.00
2004-04-13 15:30:00	:NKE	9.82	9.82	9.49	9.55	9755200.00
2004-04-14 15:30:00	:NKE	9.50	9.57	9.42	9.48	9268000.00
2004-04-15 15:30:00	:NKE	9.48	9.54	9.41	9.45	6162400.00
2004-04-16 15:30:00	:NKE	9.49	9.50	9.44	9.49	7409600.00
2004-04-19 15:30:00	:NKE	9.49	9.56	9.47	9.54	7864800.00
2004-04-20 15:30:00	:NKE	9.56	9.62	9.47	9.47	12067200.00
2004-04-21 15:30:00	:NKE	9.41	9.51	9.38	9.43	10742400.00
2004-04-22 15:30:00	:NKE	9.37	9.52	9.31	9.46	9660000.00
2004-04-23 15:30:00	:NKE	9.44	9.44	9.37	9.40	7835200.00
2004-04-26 15:30:00	:NKE	9.41	9.43	9.14	9.19	14578400.00
2004-04-27 15:30:00	:NKE	9.19	9.35	9.19	9.31	9455200.00
2004-04-28 15:30:00	:NKE	9.29	9.29	9.17	9.20	7884000.00
2004-04-29 15:30:00	:NKE	9.20	9.22	8.91	9.02	20531200.00
2004-04-30 15:30:00	:NKE	9.02	9.11	8.98	8.99	9295200.00
2004-05-03 15:30:00	:NKE	8.97	8.99	8.84	8.88	15716000.00
2004-05-04 15:30:00	:NKE	8.87	8.87	8.78	8.81	12489600.00
2004-05-05 15:30:00	:NKE	8.80	8.84	8.70	8.84	13635200.00
2004-05-06 15:30:00	:NKE	8.78	8.78	8.50	8.54	21284000.00
2004-05-07 15:30:00	:NKE	8.50	8.57	8.32	8.32	18808000.00
2004-05-10 15:30:00	:NKE	8.26	8.35	8.24	8.30	17345600.00
2004-05-11 15:30:00	:NKE	8.40	8.47	8.39	8.44	14385600.00
2004-05-12 15:30:00	:NKE	8.53	8.55	8.34	8.50	13611200.00
2004-05-13 15:30:00	:NKE	8.51	8.59	8.51	8.52	15292800.00
2004-05-14 15:30:00	:NKE	8.53	8.56	8.41	8.46	7753600.00
2004-05-17 15:30:00	:NKE	8.41	8.41	8.23	8.26	10924800.00
2004-05-18 15:30:00	:NKE	8.28	8.36	8.27	8.31	13390400.00
2004-05-19 15:30:00	:NKE	8.37	8.45	8.31	8.32	9228800.00
2004-05-20 15:30:00	:NKE	8.32	8.34	8.23	8.30	7484000.00
2004-05-21 15:30:00	:NKE	8.37	8.44	8.35	8.44	13424000.00
2004-05-24 15:30:00	:NKE	8.46	8.68	8.46	8.62	14978400.00
2004-05-25 15:30:00	:NKE	8.64	8.83	8.59	8.83	13948800.00
2004-05-26 15:30:00	:NKE	8.80	8.97	8.76	8.86	9414400.00
2004-05-27 15:30:00	:NKE	8.91	8.99	8.85	8.87	6826400.00
2004-05-28 15:30:00	:NKE	8.90	8.93	8.82	8.89	6405600.00
2004-06-01 15:30:00	:NKE	8.90	8.93	8.81	8.88	6445600.00
2004-06-02 15:30:00	:NKE	8.88	8.90	8.78	8.83	8231200.00
2004-06-03 15:30:00	:NKE	8.83	8.83	8.73	8.78	7546400.00
2004-06-04 15:30:00	:NKE	8.80	8.81	8.66	8.66	9521600.00
2004-06-07 15:30:00	:NKE	8.68	8.81	8.68	8.79	9579200.00
2004-06-08 15:30:00	:NKE	8.78	8.87	8.75	8.81	9711200.00
2004-06-09 15:30:00	:NKE	8.81	8.82	8.76	8.81	7371200.00
2004-06-10 15:30:00	:NKE	8.82	8.97	8.81	8.91	9232800.00
2004-06-14 15:30:00	:NKE	8.88	8.90	8.84	8.90	4993600.00
2004-06-15 15:30:00	:NKE	8.94	9.13	8.93	8.96	9236000.00
2004-06-16 15:30:00	:NKE	8.99	9.00	8.92	8.99	4156800.00
2004-06-17 15:30:00	:NKE	8.97	9.05	8.92	8.97	7485600.00
2004-06-18 15:30:00	:NKE	8.94	9.03	8.94	8.95	6189600.00
2004-06-21 15:30:00	:NKE	8.96	9.03	8.88	8.90	8449600.00
2004-06-22 15:30:00	:NKE	8.88	8.97	8.82	8.96	7303200.00
2004-06-23 15:30:00	:NKE	8.97	9.08	8.96	9.04	9116000.00
2004-06-24 15:30:00	:NKE	9.03	9.11	9.01	9.05	10239200.00
2004-06-25 15:30:00	:NKE	9.41	9.47	9.19	9.41	35171184.00
2004-06-28 15:30:00	:NKE	9.44	9.67	9.42	9.49	14855200.00
2004-06-29 15:30:00	:NKE	9.49	9.53	9.38	9.42	8068000.00
2004-06-30 15:30:00	:NKE	9.43	9.47	9.40	9.47	7740800.00
