datetime	symbol	open	high	low	close	volume
2012-06-29 15:30:00	:NOW	23.75	24.75	22.83	24.60	10922574.00
2012-07-02 15:30:00	:NOW	24.75	25.20	24.10	24.77	656652.00
2012-07-03 15:30:00	:NOW	24.85	25.32	24.60	25.31	401048.00
2012-07-05 15:30:00	:NOW	25.50	26.26	25.14	25.96	540959.00
2012-07-06 15:30:00	:NOW	25.75	26.12	25.10	25.84	355017.00
2012-07-09 15:30:00	:NOW	25.96	26.30	25.18	25.27	152336.00
2012-07-10 15:30:00	:NOW	25.22	25.69	25.05	25.05	303969.00
2012-07-11 15:30:00	:NOW	25.02	25.35	23.49	23.74	296479.00
2012-07-12 15:30:00	:NOW	23.30	24.47	22.62	24.08	325426.00
2012-07-13 15:30:00	:NOW	24.69	24.92	23.98	24.18	89055.00
2012-07-16 15:30:00	:NOW	24.08	24.56	23.80	24.38	118051.00
2012-07-17 15:30:00	:NOW	24.48	24.48	23.93	24.27	227454.00
2012-07-18 15:30:00	:NOW	24.43	24.69	24.00	24.23	103725.00
2012-07-19 15:30:00	:NOW	24.67	24.67	23.90	24.00	254456.00
2012-07-20 15:30:00	:NOW	24.04	25.23	23.90	25.23	260839.00
2012-07-23 15:30:00	:NOW	25.01	25.01	23.91	24.35	603333.00
2012-07-24 15:30:00	:NOW	24.83	25.96	24.60	24.84	291458.00
2012-07-25 15:30:00	:NOW	25.06	25.47	24.84	24.93	110704.00
2012-07-26 15:30:00	:NOW	24.93	25.35	24.00	24.42	157915.00
2012-07-27 15:30:00	:NOW	24.48	25.44	24.32	25.33	100051.00
2012-07-30 15:30:00	:NOW	25.25	25.45	25.05	25.39	84203.00
2012-07-31 15:30:00	:NOW	25.44	27.56	25.41	27.00	283931.00
2012-08-01 15:30:00	:NOW	27.32	27.98	26.76	27.71	111834.00
2012-08-02 15:30:00	:NOW	27.50	29.30	27.00	29.08	556879.00
2012-08-03 15:30:00	:NOW	29.43	31.43	28.58	28.67	430928.00
2012-08-06 15:30:00	:NOW	29.00	29.16	27.23	28.02	583736.00
2012-08-07 15:30:00	:NOW	28.30	28.75	27.79	28.00	197951.00
2012-08-08 15:30:00	:NOW	27.91	27.91	27.01	27.57	296624.00
2012-08-09 15:30:00	:NOW	27.48	30.02	27.30	29.51	135433.00
2012-08-10 15:30:00	:NOW	29.37	32.00	29.37	31.65	221263.00
2012-08-13 15:30:00	:NOW	32.03	32.55	31.72	32.43	214803.00
2012-08-14 15:30:00	:NOW	32.65	33.96	32.20	32.28	553200.00
2012-08-15 15:30:00	:NOW	32.11	32.11	29.47	29.68	467714.00
2012-08-16 15:30:00	:NOW	30.06	30.57	29.60	29.75	300501.00
2012-08-17 15:30:00	:NOW	30.00	30.04	29.44	29.60	389247.00
2012-08-20 15:30:00	:NOW	29.55	29.95	29.55	29.89	277662.00
2012-08-21 15:30:00	:NOW	30.19	30.61	29.95	30.26	196645.00
2012-08-22 15:30:00	:NOW	30.27	30.52	29.83	29.85	617755.00
2012-08-23 15:30:00	:NOW	29.93	30.67	28.81	29.03	292194.00
2012-08-24 15:30:00	:NOW	28.79	29.94	28.79	29.70	145544.00
2012-08-27 15:30:00	:NOW	29.70	31.31	29.13	29.27	259951.00
2012-08-28 15:30:00	:NOW	29.27	29.70	29.05	29.32	152466.00
2012-08-29 15:30:00	:NOW	29.39	29.79	29.25	29.49	116549.00
2012-08-30 15:30:00	:NOW	29.24	31.00	29.03	29.78	186469.00
2012-08-31 15:30:00	:NOW	30.24	31.50	29.92	31.10	285934.00
2012-09-04 15:30:00	:NOW	31.11	33.84	31.11	33.67	332776.00
2012-09-05 15:30:00	:NOW	33.66	34.33	33.01	34.19	331630.00
2012-09-06 15:30:00	:NOW	34.20	36.08	34.11	36.06	396188.00
2012-09-07 15:30:00	:NOW	36.50	37.31	35.62	36.55	410974.00
2012-09-10 15:30:00	:NOW	37.00	37.00	34.24	34.39	457263.00
2012-09-11 15:30:00	:NOW	34.80	35.17	32.84	33.01	288458.00
2012-09-12 15:30:00	:NOW	33.54	35.44	33.26	35.05	350491.00
2012-09-13 15:30:00	:NOW	35.13	38.32	34.71	37.51	460486.00
2012-09-14 15:30:00	:NOW	37.88	39.33	37.72	39.06	724049.00
2012-09-17 15:30:00	:NOW	39.00	39.77	38.03	38.19	812252.00
2012-09-18 15:30:00	:NOW	38.65	38.65	36.38	36.80	677909.00
2012-09-19 15:30:00	:NOW	36.88	38.73	36.84	38.65	406231.00
2012-09-20 15:30:00	:NOW	38.50	38.63	37.18	38.00	739402.00
2012-09-21 15:30:00	:NOW	38.48	39.83	38.10	39.63	353590.00
2012-09-24 15:30:00	:NOW	39.90	40.70	38.58	40.37	378688.00
2012-09-25 15:30:00	:NOW	40.90	41.77	39.61	39.99	605401.00
2012-09-26 15:30:00	:NOW	39.85	39.85	36.77	38.08	853831.00
2012-09-27 15:30:00	:NOW	38.40	40.33	38.40	40.04	478750.00
2012-09-28 15:30:00	:NOW	39.99	39.99	36.16	38.68	1582523.00
2012-10-01 15:30:00	:NOW	37.98	38.14	34.62	36.48	903815.00
2012-10-02 15:30:00	:NOW	36.07	36.75	35.59	36.50	586650.00
2012-10-03 15:30:00	:NOW	36.53	37.68	36.52	37.03	283021.00
2012-10-04 15:30:00	:NOW	36.70	37.20	36.70	37.15	145658.00
2012-10-05 15:30:00	:NOW	37.20	37.45	36.50	37.00	449418.00
2012-10-08 15:30:00	:NOW	36.60	36.66	35.97	36.53	251337.00
2012-10-09 15:30:00	:NOW	36.61	36.80	35.78	36.00	505221.00
2012-10-10 15:30:00	:NOW	35.95	36.06	34.62	34.78	445937.00
2012-10-11 15:30:00	:NOW	35.01	35.29	34.36	34.50	267280.00
2012-10-12 15:30:00	:NOW	34.83	34.83	32.89	33.32	597628.00
2012-10-15 15:30:00	:NOW	32.88	34.91	32.80	34.51	754758.00
2012-10-16 15:30:00	:NOW	34.64	34.64	33.70	34.31	503221.00
2012-10-17 15:30:00	:NOW	34.33	35.46	34.02	34.77	684487.00
2012-10-18 15:30:00	:NOW	34.77	34.88	34.50	34.79	261446.00
2012-10-19 15:30:00	:NOW	34.80	35.48	33.90	34.35	534525.00
