datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:NSC	22.37	22.45	21.89	22.20	1127300.00
2004-04-08 15:30:00	:NSC	22.22	22.33	21.85	21.92	651800.00
2004-04-12 15:30:00	:NSC	21.96	22.01	21.82	21.94	722700.00
2004-04-13 15:30:00	:NSC	21.98	22.20	21.92	22.01	1380200.00
2004-04-14 15:30:00	:NSC	21.85	22.19	21.80	21.89	1170200.00
2004-04-15 15:30:00	:NSC	22.10	22.20	21.93	22.12	1013400.00
2004-04-16 15:30:00	:NSC	22.15	22.15	21.99	22.10	1770300.00
2004-04-19 15:30:00	:NSC	22.10	22.10	21.85	21.89	797600.00
2004-04-20 15:30:00	:NSC	21.90	21.94	21.54	21.54	1325800.00
2004-04-21 15:30:00	:NSC	21.90	22.97	21.76	22.71	6374301.00
2004-04-22 15:30:00	:NSC	22.98	24.31	22.90	24.24	5140199.00
2004-04-23 15:30:00	:NSC	23.65	24.98	23.65	24.74	5433699.00
2004-04-26 15:30:00	:NSC	24.86	24.99	23.70	23.93	2185900.00
2004-04-27 15:30:00	:NSC	24.25	24.56	24.16	24.48	2768700.00
2004-04-28 15:30:00	:NSC	24.30	24.47	24.11	24.33	1799700.00
2004-04-29 15:30:00	:NSC	24.62	24.62	23.89	24.05	1680500.00
2004-04-30 15:30:00	:NSC	24.06	24.20	23.82	23.82	1672700.00
2004-05-03 15:30:00	:NSC	23.82	24.04	23.78	23.99	1166700.00
2004-05-04 15:30:00	:NSC	23.98	24.30	23.82	24.01	1232700.00
2004-05-05 15:30:00	:NSC	23.94	24.10	23.82	23.96	715400.00
2004-05-06 15:30:00	:NSC	23.88	24.30	23.72	24.26	1234500.00
2004-05-07 15:30:00	:NSC	23.97	24.04	23.60	23.67	1492100.00
2004-05-10 15:30:00	:NSC	23.48	23.70	23.21	23.46	1265500.00
2004-05-11 15:30:00	:NSC	23.41	23.79	23.25	23.62	1079500.00
2004-05-12 15:30:00	:NSC	23.35	24.00	22.89	23.85	1601300.00
2004-05-13 15:30:00	:NSC	23.82	24.31	23.80	24.17	1234200.00
2004-05-14 15:30:00	:NSC	24.03	24.12	23.65	23.81	1780200.00
2004-05-17 15:30:00	:NSC	23.81	23.81	23.21	23.49	1564000.00
2004-05-18 15:30:00	:NSC	23.51	23.57	23.24	23.51	1019000.00
2004-05-19 15:30:00	:NSC	23.69	24.01	23.38	23.49	1276400.00
2004-05-20 15:30:00	:NSC	23.52	23.68	23.40	23.63	1259300.00
2004-05-21 15:30:00	:NSC	23.63	23.88	23.52	23.84	998700.00
2004-05-24 15:30:00	:NSC	24.05	24.15	23.61	23.74	1094300.00
2004-05-25 15:30:00	:NSC	23.54	23.84	23.36	23.76	1619800.00
2004-05-26 15:30:00	:NSC	23.79	23.90	23.56	23.67	1316700.00
2004-05-27 15:30:00	:NSC	23.67	24.20	23.67	24.10	2926600.00
2004-05-28 15:30:00	:NSC	24.13	24.24	23.85	24.23	1139500.00
2004-06-01 15:30:00	:NSC	24.26	24.26	23.89	23.99	1041400.00
2004-06-02 15:30:00	:NSC	23.95	24.50	23.95	24.41	1991800.00
2004-06-03 15:30:00	:NSC	24.30	24.43	24.06	24.41	1985400.00
2004-06-04 15:30:00	:NSC	24.51	24.85	24.46	24.80	2134100.00
2004-06-07 15:30:00	:NSC	24.90	25.50	24.85	25.45	3101900.00
2004-06-08 15:30:00	:NSC	25.33	25.44	25.17	25.44	1928100.00
2004-06-09 15:30:00	:NSC	24.90	25.11	24.76	24.77	3041700.00
2004-06-10 15:30:00	:NSC	25.00	25.04	24.82	24.99	1692700.00
2004-06-14 15:30:00	:NSC	24.74	24.82	24.30	24.49	1411500.00
2004-06-15 15:30:00	:NSC	24.55	25.02	24.51	24.82	1854100.00
2004-06-16 15:30:00	:NSC	24.78	25.11	24.74	25.07	958200.00
