datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:NTAP	22.40	22.46	22.00	22.19	2104483.00
2004-04-08 15:30:00	:NTAP	22.70	22.86	22.41	22.62	2876818.00
2004-04-12 15:30:00	:NTAP	22.55	22.82	22.42	22.69	1564338.00
2004-04-13 15:30:00	:NTAP	22.83	22.94	21.72	21.90	2640449.00
2004-04-14 15:30:00	:NTAP	21.49	22.75	21.42	22.51	4105477.00
2004-04-15 15:30:00	:NTAP	22.55	22.82	21.70	22.15	3640502.00
2004-04-16 15:30:00	:NTAP	22.11	22.20	21.46	21.69	3802912.00
2004-04-19 15:30:00	:NTAP	21.55	22.04	21.52	21.93	2478107.00
2004-04-20 15:30:00	:NTAP	21.95	22.53	21.12	21.13	3356154.00
2004-04-21 15:30:00	:NTAP	21.17	21.61	20.95	21.42	3400193.00
2004-04-22 15:30:00	:NTAP	21.23	22.18	20.91	21.96	3526187.00
2004-04-23 15:30:00	:NTAP	21.82	21.94	21.46	21.85	2281414.00
2004-04-26 15:30:00	:NTAP	21.77	21.95	20.96	21.23	3241824.00
2004-04-27 15:30:00	:NTAP	21.50	21.61	20.57	20.73	4361309.00
2004-04-28 15:30:00	:NTAP	20.74	20.93	20.25	20.41	3369661.00
2004-04-29 15:30:00	:NTAP	20.51	20.63	19.13	19.49	4626766.00
2004-04-30 15:30:00	:NTAP	19.66	19.92	18.34	18.61	6393406.00
2004-05-03 15:30:00	:NTAP	18.59	19.79	18.59	19.17	5369156.00
2004-05-04 15:30:00	:NTAP	19.15	19.41	18.77	19.28	4235516.00
2004-05-05 15:30:00	:NTAP	19.25	20.11	19.25	19.93	4212215.00
2004-05-06 15:30:00	:NTAP	19.67	19.89	19.45	19.73	2512687.00
2004-05-07 15:30:00	:NTAP	19.30	20.24	19.23	19.66	3027106.00
2004-05-10 15:30:00	:NTAP	19.49	19.96	19.39	19.73	3448636.00
2004-05-11 15:30:00	:NTAP	19.66	20.42	19.63	20.10	3162821.00
2004-05-12 15:30:00	:NTAP	20.05	20.20	19.32	19.99	4296344.00
2004-05-13 15:30:00	:NTAP	19.86	21.45	19.79	21.01	6456645.00
2004-05-14 15:30:00	:NTAP	20.83	21.11	20.42	20.53	5290805.00
2004-05-17 15:30:00	:NTAP	20.12	21.28	20.02	21.05	7113770.00
2004-05-18 15:30:00	:NTAP	21.10	21.39	20.59	20.70	5840926.00
2004-05-19 15:30:00	:NTAP	20.28	20.50	19.28	19.31	17824752.00
2004-05-20 15:30:00	:NTAP	19.35	19.40	18.04	18.45	14668289.00
2004-05-21 15:30:00	:NTAP	18.61	18.95	18.49	18.67	6343836.00
2004-05-24 15:30:00	:NTAP	18.82	19.43	18.67	19.02	5110582.00
2004-05-25 15:30:00	:NTAP	19.15	20.09	18.83	20.05	6021848.00
2004-05-26 15:30:00	:NTAP	19.91	20.25	19.80	20.13	4019107.00
2004-05-27 15:30:00	:NTAP	20.10	20.46	19.38	19.63	5069262.00
2004-05-28 15:30:00	:NTAP	19.59	19.90	19.28	19.80	2837304.00
2004-06-01 15:30:00	:NTAP	19.26	19.76	19.17	19.66	2739943.00
2004-06-02 15:30:00	:NTAP	19.63	19.72	19.33	19.43	2313116.00
2004-06-03 15:30:00	:NTAP	19.30	19.45	18.99	19.01	2954120.00
2004-06-04 15:30:00	:NTAP	19.36	19.57	19.09	19.29	3223694.00
2004-06-07 15:30:00	:NTAP	19.40	20.16	19.31	20.00	4298641.00
2004-06-08 15:30:00	:NTAP	20.00	20.08	19.68	19.94	2478793.00
2004-06-09 15:30:00	:NTAP	19.89	19.98	19.45	19.56	2314788.00
2004-06-10 15:30:00	:NTAP	19.57	19.83	19.49	19.65	1565871.00
2004-06-14 15:30:00	:NTAP	19.44	19.46	19.00	19.23	2371596.00
2004-06-15 15:30:00	:NTAP	19.40	19.95	19.35	19.58	2330385.00
2004-06-16 15:30:00	:NTAP	19.55	19.73	19.40	19.58	2297499.00
2004-06-17 15:30:00	:NTAP	19.40	19.45	19.11	19.22	2677880.00
2004-06-18 15:30:00	:NTAP	19.05	19.67	18.92	19.34	4261363.00
2004-06-21 15:30:00	:NTAP	19.29	19.59	19.18	19.20	2559060.00
2004-06-22 15:30:00	:NTAP	19.11	19.58	19.11	19.44	3293016.00
2004-06-23 15:30:00	:NTAP	19.37	20.83	19.36	20.70	7617594.00
2004-06-24 15:30:00	:NTAP	20.45	21.20	20.32	21.05	5370734.00
2004-06-25 15:30:00	:NTAP	21.12	21.55	20.87	21.13	5054129.00
2004-06-28 15:30:00	:NTAP	21.35	21.35	20.53	20.73	4820832.00
2004-06-29 15:30:00	:NTAP	20.54	21.42	20.52	21.28	4338375.00
2004-06-30 15:30:00	:NTAP	21.26	21.83	21.00	21.53	4679266.00
2004-07-01 15:30:00	:NTAP	21.36	21.40	20.40	20.86	3952021.00
2004-07-02 15:30:00	:NTAP	20.82	21.11	20.19	21.04	2894502.00
2004-07-06 15:30:00	:NTAP	20.35	20.50	19.58	19.69	4927602.00
2004-07-07 15:30:00	:NTAP	19.68	20.16	19.50	19.58	4837012.00
2004-07-08 15:30:00	:NTAP	19.60	19.74	19.07	19.11	2938004.00
2004-07-09 15:30:00	:NTAP	19.04	19.31	18.53	19.05	6508629.00
2004-07-12 15:30:00	:NTAP	19.17	19.22	18.24	18.45	5049840.00
2004-07-13 15:30:00	:NTAP	18.45	18.68	18.36	18.53	2504194.00
2004-07-14 15:30:00	:NTAP	18.13	18.17	17.63	17.86	7748660.00
