datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:NVDA	2.19	2.20	2.13	2.17	44795476.00
2004-04-08 15:30:00	:NVDA	2.22	2.25	2.20	2.23	44712364.00
2004-04-12 15:30:00	:NVDA	2.25	2.26	2.17	2.19	44377696.00
2004-04-13 15:30:00	:NVDA	2.21	2.21	2.13	2.14	44318320.00
2004-04-14 15:30:00	:NVDA	2.13	2.19	2.10	2.15	51200980.00
2004-04-15 15:30:00	:NVDA	2.12	2.13	2.03	2.03	82823824.00
2004-04-16 15:30:00	:NVDA	2.02	2.03	1.96	1.97	65484896.00
2004-04-19 15:30:00	:NVDA	1.97	1.98	1.93	1.97	52279188.00
2004-04-20 15:30:00	:NVDA	1.97	1.99	1.88	1.88	51395836.00
2004-04-21 15:30:00	:NVDA	1.89	1.95	1.87	1.88	68885088.00
2004-04-22 15:30:00	:NVDA	1.87	1.93	1.83	1.90	69570588.00
2004-04-23 15:30:00	:NVDA	1.92	1.97	1.91	1.94	44392492.00
2004-04-26 15:30:00	:NVDA	1.94	1.95	1.86	1.86	43000152.00
2004-04-27 15:30:00	:NVDA	1.88	1.93	1.84	1.85	49469848.00
2004-04-28 15:30:00	:NVDA	1.85	1.87	1.82	1.84	46876780.00
2004-04-29 15:30:00	:NVDA	1.83	1.84	1.76	1.79	64515852.00
2004-04-30 15:30:00	:NVDA	1.79	1.79	1.70	1.71	51315628.00
2004-05-03 15:30:00	:NVDA	1.73	1.75	1.66	1.69	61069336.00
2004-05-04 15:30:00	:NVDA	1.71	1.82	1.71	1.80	77245064.00
2004-05-05 15:30:00	:NVDA	1.80	1.83	1.78	1.81	46437880.00
2004-05-06 15:30:00	:NVDA	1.79	1.84	1.75	1.83	72492476.00
2004-05-07 15:30:00	:NVDA	1.88	1.91	1.83	1.84	95711892.00
2004-05-10 15:30:00	:NVDA	1.79	1.81	1.73	1.77	66986292.00
2004-05-11 15:30:00	:NVDA	1.79	1.83	1.78	1.81	40065276.00
2004-05-12 15:30:00	:NVDA	1.80	1.80	1.72	1.79	48246236.00
2004-05-13 15:30:00	:NVDA	1.77	1.83	1.77	1.79	34818460.00
2004-05-14 15:30:00	:NVDA	1.80	1.83	1.78	1.79	46015232.00
2004-05-17 15:30:00	:NVDA	1.77	1.79	1.74	1.76	30862752.00
2004-05-18 15:30:00	:NVDA	1.78	1.81	1.77	1.79	20486056.00
2004-05-19 15:30:00	:NVDA	1.83	1.86	1.78	1.79	49826280.00
2004-05-20 15:30:00	:NVDA	1.79	1.82	1.75	1.76	42149344.00
2004-05-21 15:30:00	:NVDA	1.78	1.79	1.74	1.77	28231848.00
2004-05-24 15:30:00	:NVDA	1.76	1.78	1.74	1.76	30205384.00
2004-05-25 15:30:00	:NVDA	1.77	1.85	1.73	1.84	68256124.00
2004-05-26 15:30:00	:NVDA	1.83	1.90	1.83	1.88	52459428.00
2004-05-27 15:30:00	:NVDA	1.91	1.93	1.88	1.88	55746188.00
2004-05-28 15:30:00	:NVDA	1.90	1.97	1.89	1.95	63813196.00
2004-06-01 15:30:00	:NVDA	1.93	1.97	1.92	1.95	31861004.00
2004-06-02 15:30:00	:NVDA	2.00	2.01	1.94	1.94	64388820.00
2004-06-03 15:30:00	:NVDA	1.94	1.94	1.84	1.84	70126424.00
2004-06-04 15:30:00	:NVDA	1.89	1.89	1.82	1.83	64975220.00
2004-06-07 15:30:00	:NVDA	1.85	1.89	1.83	1.87	57244872.00
2004-06-08 15:30:00	:NVDA	1.86	1.86	1.81	1.84	61462432.00
2004-06-09 15:30:00	:NVDA	1.85	1.85	1.75	1.75	49840296.00
2004-06-10 15:30:00	:NVDA	1.77	1.78	1.72	1.73	56450476.00
2004-06-14 15:30:00	:NVDA	1.72	1.72	1.67	1.68	42475500.00
2004-06-15 15:30:00	:NVDA	1.71	1.73	1.69	1.70	40117452.00
2004-06-16 15:30:00	:NVDA	1.70	1.71	1.67	1.68	25260088.00
2004-06-17 15:30:00	:NVDA	1.67	1.71	1.64	1.64	48239744.00
2004-06-18 15:30:00	:NVDA	1.65	1.69	1.63	1.65	53524040.00
2004-06-21 15:30:00	:NVDA	1.65	1.68	1.61	1.62	26720432.00
2004-06-22 15:30:00	:NVDA	1.63	1.67	1.62	1.66	43343312.00
2004-06-23 15:30:00	:NVDA	1.66	1.70	1.65	1.69	26465876.00
2004-06-24 15:30:00	:NVDA	1.74	1.74	1.66	1.68	59077960.00
2004-06-25 15:30:00	:NVDA	1.67	1.71	1.67	1.69	33505860.00
2004-06-28 15:30:00	:NVDA	1.71	1.72	1.67	1.67	35336856.00
2004-06-29 15:30:00	:NVDA	1.68	1.73	1.68	1.73	36386060.00
2004-06-30 15:30:00	:NVDA	1.69	1.73	1.69	1.71	32996520.00
2004-07-01 15:30:00	:NVDA	1.73	1.73	1.63	1.63	50661824.00
2004-07-02 15:30:00	:NVDA	1.64	1.65	1.59	1.61	29496272.00
2004-07-06 15:30:00	:NVDA	1.60	1.60	1.49	1.51	57537972.00
2004-07-07 15:30:00	:NVDA	1.53	1.56	1.51	1.52	34460740.00
2004-07-08 15:30:00	:NVDA	1.50	1.53	1.47	1.47	43024260.00
2004-07-09 15:30:00	:NVDA	1.47	1.47	1.38	1.41	111480004.00
2004-07-12 15:30:00	:NVDA	1.37	1.41	1.36	1.38	67612400.00
2004-07-13 15:30:00	:NVDA	1.39	1.42	1.36	1.37	56751508.00
2004-07-14 15:30:00	:NVDA	1.33	1.36	1.29	1.31	90166192.00
2004-07-15 15:30:00	:NVDA	1.33	1.34	1.30	1.30	61195804.00
2004-07-16 15:30:00	:NVDA	1.34	1.35	1.27	1.27	46486816.00
2004-07-19 15:30:00	:NVDA	1.28	1.29	1.25	1.28	46109516.00
2004-07-20 15:30:00	:NVDA	1.28	1.31	1.27	1.31	34223048.00
2004-07-21 15:30:00	:NVDA	1.33	1.33	1.22	1.23	61341016.00
2004-07-22 15:30:00	:NVDA	1.23	1.26	1.20	1.25	52230492.00
2004-07-23 15:30:00	:NVDA	1.26	1.26	1.21	1.22	37149928.00
2004-07-26 15:30:00	:NVDA	1.23	1.25	1.17	1.18	50325024.00
2004-07-27 15:30:00	:NVDA	1.17	1.23	1.15	1.22	79006812.00
2004-07-28 15:30:00	:NVDA	1.22	1.23	1.16	1.19	50522744.00
2004-07-29 15:30:00	:NVDA	1.21	1.30	1.20	1.27	74746964.00
2004-07-30 15:30:00	:NVDA	1.27	1.31	1.25	1.29	40400172.00
2004-08-02 15:30:00	:NVDA	1.28	1.31	1.26	1.30	42129472.00
2004-08-03 15:30:00	:NVDA	1.31	1.31	1.22	1.23	74226096.00
2004-08-04 15:30:00	:NVDA	1.23	1.26	1.22	1.25	50795132.00
2004-08-05 15:30:00	:NVDA	1.25	1.27	1.19	1.21	89860612.00
2004-08-06 15:30:00	:NVDA	0.85	0.85	0.78	0.79	509206412.00
2004-08-09 15:30:00	:NVDA	0.81	0.84	0.79	0.82	158273256.00
2004-08-10 15:30:00	:NVDA	0.87	0.89	0.85	0.89	205224124.00
2004-08-11 15:30:00	:NVDA	0.87	0.87	0.85	0.86	96451772.00
2004-08-12 15:30:00	:NVDA	0.86	0.87	0.84	0.84	65487704.00
