datetime	symbol	open	high	low	close	volume
2010-08-06 15:30:00	:NXPI	13.00	14.08	12.99	14.00	10678484.00
2010-08-09 15:30:00	:NXPI	14.00	14.00	13.70	14.00	1819535.00
2010-08-10 15:30:00	:NXPI	13.77	13.84	13.58	13.60	1579277.00
2010-08-11 15:30:00	:NXPI	13.25	13.38	12.45	12.75	2588211.00
2010-08-12 15:30:00	:NXPI	12.26	12.51	12.10	12.39	1780340.00
2010-08-13 15:30:00	:NXPI	12.25	12.53	11.85	12.00	957570.00
2010-08-16 15:30:00	:NXPI	11.79	12.23	11.69	11.78	551620.00
2010-08-17 15:30:00	:NXPI	11.86	12.30	11.75	12.22	1086654.00
2010-08-18 15:30:00	:NXPI	12.08	12.60	12.00	12.00	1010606.00
2010-08-19 15:30:00	:NXPI	11.95	12.10	11.31	11.55	745978.00
2010-08-20 15:30:00	:NXPI	11.45	11.50	11.03	11.15	450646.00
2010-08-23 15:30:00	:NXPI	11.28	11.50	10.46	10.98	761813.00
2010-08-24 15:30:00	:NXPI	10.76	11.30	10.50	10.68	746734.00
2010-08-25 15:30:00	:NXPI	10.50	11.13	10.23	10.75	1112174.00
2010-08-26 15:30:00	:NXPI	10.94	11.15	10.80	11.00	581369.00
2010-08-27 15:30:00	:NXPI	11.15	11.49	10.99	11.11	370888.00
2010-08-30 15:30:00	:NXPI	11.01	11.27	11.01	11.10	226858.00
2010-08-31 15:30:00	:NXPI	11.01	11.23	10.87	11.07	236017.00
2010-09-01 15:30:00	:NXPI	11.08	11.95	10.76	11.73	412770.00
2010-09-02 15:30:00	:NXPI	11.08	11.91	11.08	11.87	98504.00
2010-09-03 15:30:00	:NXPI	11.90	12.32	11.58	11.89	231399.00
2010-09-07 15:30:00	:NXPI	12.00	12.36	11.78	12.03	468400.00
2010-09-08 15:30:00	:NXPI	11.49	12.18	11.42	12.16	1483732.00
2010-09-09 15:30:00	:NXPI	12.21	12.62	11.51	11.90	235614.00
2010-09-10 15:30:00	:NXPI	11.98	12.12	11.81	11.98	362921.00
2010-09-13 15:30:00	:NXPI	12.09	12.24	11.84	11.94	303904.00
2010-09-14 15:30:00	:NXPI	11.85	12.25	11.85	12.24	250639.00
2010-09-15 15:30:00	:NXPI	12.52	12.92	12.35	12.47	561118.00
2010-09-16 15:30:00	:NXPI	12.46	12.64	12.01	12.02	323293.00
2010-09-17 15:30:00	:NXPI	12.01	12.25	11.82	12.08	252296.00
2010-09-20 15:30:00	:NXPI	12.21	12.97	12.10	12.69	404113.00
2010-09-21 15:30:00	:NXPI	12.61	12.85	12.36	12.51	178759.00
2010-09-22 15:30:00	:NXPI	12.40	12.60	12.01	12.18	184632.00
2010-09-23 15:30:00	:NXPI	12.00	12.49	11.89	12.00	320792.00
2010-09-24 15:30:00	:NXPI	12.10	12.37	11.82	12.22	146945.00
2010-09-27 15:30:00	:NXPI	12.17	12.39	12.02	12.25	186598.00
2010-09-28 15:30:00	:NXPI	12.21	12.62	12.11	12.61	168759.00
2010-09-29 15:30:00	:NXPI	12.63	12.88	12.49	12.55	238483.00
2010-09-30 15:30:00	:NXPI	12.62	12.95	12.26	12.39	196787.00
2010-10-01 15:30:00	:NXPI	12.47	12.77	12.26	12.36	170466.00
2010-10-04 15:30:00	:NXPI	12.38	12.71	12.25	12.35	140715.00
2010-10-05 15:30:00	:NXPI	12.43	12.69	12.22	12.35	256858.00
2010-10-06 15:30:00	:NXPI	12.32	12.49	12.13	12.47	90378.00
2010-10-07 15:30:00	:NXPI	12.50	12.50	11.61	11.85	252790.00
2010-10-08 15:30:00	:NXPI	11.80	12.11	11.72	11.98	251877.00
2010-10-11 15:30:00	:NXPI	11.95	12.15	11.91	12.05	63685.00
2010-10-12 15:30:00	:NXPI	12.01	12.30	11.91	12.30	59597.00
2010-10-13 15:30:00	:NXPI	12.31	12.33	12.02	12.07	222010.00
2010-10-14 15:30:00	:NXPI	12.07	12.23	12.00	12.15	223688.00
2010-10-15 15:30:00	:NXPI	12.35	12.35	11.86	11.94	396195.00
2010-10-18 15:30:00	:NXPI	11.96	12.29	11.65	12.24	53545.00
2010-10-19 15:30:00	:NXPI	12.06	12.25	12.01	12.11	130104.00
2010-10-20 15:30:00	:NXPI	12.17	12.45	11.52	12.20	124758.00
2010-10-21 15:30:00	:NXPI	12.11	12.40	12.11	12.25	58771.00
2010-10-22 15:30:00	:NXPI	12.20	12.61	12.18	12.33	94233.00
2010-10-25 15:30:00	:NXPI	12.20	12.59	12.20	12.37	128276.00
2010-10-26 15:30:00	:NXPI	12.25	12.49	11.91	12.28	186145.00
2010-10-27 15:30:00	:NXPI	12.28	12.80	12.28	12.77	263757.00
2010-10-28 15:30:00	:NXPI	12.82	13.35	12.60	13.19	409914.00
2010-10-29 15:30:00	:NXPI	13.16	13.47	12.88	13.19	434606.00
2010-11-01 14:30:00	:NXPI	13.27	13.50	12.56	12.69	432059.00
2010-11-02 14:30:00	:NXPI	12.90	13.43	12.47	13.27	300886.00
2010-11-03 14:30:00	:NXPI	13.21	13.80	13.11	13.64	359900.00
2010-11-04 14:30:00	:NXPI	13.74	14.00	13.53	13.97	274634.00
2010-11-05 14:30:00	:NXPI	13.90	14.00	13.64	13.97	175556.00
2010-11-08 15:30:00	:NXPI	14.00	14.00	13.61	13.77	179929.00
2010-11-09 15:30:00	:NXPI	13.72	13.95	13.20	13.63	269772.00
2010-11-10 15:30:00	:NXPI	13.60	13.73	13.05	13.32	172291.00
2010-11-11 15:30:00	:NXPI	13.20	13.20	12.58	12.86	317160.00
2010-11-12 15:30:00	:NXPI	12.69	13.08	12.64	12.82	115650.00
2010-11-15 15:30:00	:NXPI	12.90	13.14	12.78	12.98	51776.00
2010-11-16 15:30:00	:NXPI	12.73	13.27	12.63	12.84	206457.00
2010-11-17 15:30:00	:NXPI	12.80	12.90	12.76	12.80	67597.00
2010-11-18 15:30:00	:NXPI	13.00	13.00	12.61	12.90	118709.00
