datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:ODFL	4.66	4.66	4.56	4.57	314837.00
2004-04-08 15:30:00	:ODFL	4.67	4.67	4.54	4.57	367318.00
2004-04-12 15:30:00	:ODFL	4.68	4.68	4.49	4.54	269954.00
2004-04-13 15:30:00	:ODFL	4.53	4.64	4.52	4.53	381572.00
2004-04-14 15:30:00	:ODFL	4.52	4.66	4.52	4.60	266947.00
2004-04-15 15:30:00	:ODFL	4.60	4.72	4.44	4.54	470005.00
2004-04-16 15:30:00	:ODFL	4.57	4.69	4.55	4.68	531302.00
2004-04-19 15:30:00	:ODFL	4.66	4.66	4.45	4.61	453800.00
2004-04-20 15:30:00	:ODFL	4.64	4.75	4.63	4.75	476006.00
2004-04-21 15:30:00	:ODFL	4.71	4.85	4.69	4.85	434129.00
2004-04-22 15:30:00	:ODFL	4.86	5.10	4.83	4.98	2054436.00
2004-04-23 15:30:00	:ODFL	4.98	5.15	4.96	4.99	1615992.00
2004-04-26 15:30:00	:ODFL	5.03	5.06	4.96	4.98	367973.00
2004-04-27 15:30:00	:ODFL	5.00	5.07	4.99	5.05	810842.00
2004-04-28 15:30:00	:ODFL	5.02	5.08	4.91	4.91	1400964.00
2004-04-29 15:30:00	:ODFL	4.98	4.99	4.79	4.82	961031.00
2004-04-30 15:30:00	:ODFL	4.86	4.98	4.84	4.91	571568.00
2004-05-03 15:30:00	:ODFL	4.90	5.00	4.90	4.97	1584215.00
2004-05-04 15:30:00	:ODFL	4.95	5.08	4.95	5.01	492499.00
2004-05-05 15:30:00	:ODFL	5.01	5.04	4.87	4.87	861566.00
2004-05-06 15:30:00	:ODFL	4.94	4.94	4.69	4.83	829615.00
2004-05-07 15:30:00	:ODFL	4.80	4.85	4.69	4.69	295598.00
2004-05-10 15:30:00	:ODFL	4.68	4.69	4.61	4.65	827546.00
2004-05-11 15:30:00	:ODFL	4.64	4.86	4.64	4.80	848717.00
2004-05-12 15:30:00	:ODFL	4.76	4.82	4.75	4.78	546901.00
2004-05-13 15:30:00	:ODFL	4.82	4.94	4.80	4.92	469640.00
2004-05-14 15:30:00	:ODFL	4.90	4.98	4.87	4.93	1360059.00
2004-05-17 15:30:00	:ODFL	4.95	4.95	4.84	4.91	447616.00
2004-05-18 15:30:00	:ODFL	4.92	4.92	4.86	4.89	347837.00
2004-05-19 15:30:00	:ODFL	4.89	4.90	4.86	4.86	416929.00
2004-05-20 15:30:00	:ODFL	4.86	4.89	4.85	4.89	405833.00
2004-05-21 15:30:00	:ODFL	4.84	4.89	4.73	4.83	427001.00
2004-05-24 15:30:00	:ODFL	4.90	5.12	4.88	5.09	1060739.00
2004-05-25 15:30:00	:ODFL	5.14	5.72	5.11	5.69	2201602.00
2004-05-26 15:30:00	:ODFL	5.58	5.72	5.54	5.71	888143.00
2004-05-27 15:30:00	:ODFL	5.63	5.86	5.63	5.73	1751810.00
