datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:OKE	9.99	10.05	9.91	9.99	554426.00
2004-04-08 15:30:00	:OKE	10.04	10.04	9.78	9.78	1200000.00
2004-04-12 15:30:00	:OKE	9.85	9.90	9.70	9.75	1354426.00
2004-04-13 15:30:00	:OKE	9.76	9.76	9.57	9.65	1992233.00
2004-04-14 15:30:00	:OKE	9.61	9.63	9.46	9.46	1410165.00
2004-04-15 15:30:00	:OKE	9.51	9.58	9.46	9.58	1326556.00
2004-04-16 15:30:00	:OKE	9.59	9.76	9.58	9.75	2254254.00
2004-04-19 15:30:00	:OKE	9.72	9.72	9.61	9.61	620902.00
2004-04-20 15:30:00	:OKE	9.62	9.67	9.48	9.48	602855.00
2004-04-21 15:30:00	:OKE	9.48	9.50	9.37	9.42	1359451.00
2004-04-22 15:30:00	:OKE	9.44	9.65	9.42	9.61	716162.00
2004-04-23 15:30:00	:OKE	9.65	9.65	9.53	9.59	977270.00
2004-04-26 15:30:00	:OKE	9.57	9.65	9.57	9.62	1085779.00
2004-04-27 15:30:00	:OKE	9.63	9.72	9.60	9.65	1401713.00
2004-04-28 15:30:00	:OKE	9.56	9.56	9.31	9.41	1364249.00
2004-04-29 15:30:00	:OKE	9.46	9.46	9.06	9.18	1724500.00
2004-04-30 15:30:00	:OKE	9.21	9.24	9.08	9.17	1147001.00
2004-05-03 15:30:00	:OKE	9.19	9.32	9.19	9.30	1168703.00
2004-05-04 15:30:00	:OKE	9.22	9.32	9.22	9.26	1149743.00
2004-05-05 15:30:00	:OKE	9.24	9.31	9.14	9.27	1176927.00
2004-05-06 15:30:00	:OKE	9.24	9.32	9.17	9.32	1302569.00
2004-05-07 15:30:00	:OKE	9.32	9.32	8.98	8.99	932952.00
2004-05-10 15:30:00	:OKE	8.99	8.99	8.78	8.86	1292975.00
2004-05-11 15:30:00	:OKE	8.82	8.94	8.80	8.80	1414277.00
2004-05-12 15:30:00	:OKE	8.80	8.82	8.62	8.67	1715362.00
2004-05-13 15:30:00	:OKE	8.71	8.86	8.67	8.83	1221245.00
2004-05-14 15:30:00	:OKE	8.82	8.98	8.82	8.97	1790291.00
2004-05-17 15:30:00	:OKE	8.86	8.91	8.82	8.84	1566419.00
2004-05-18 15:30:00	:OKE	8.89	8.95	8.86	8.93	680068.00
2004-05-19 15:30:00	:OKE	8.97	9.07	8.92	8.92	2492290.00
2004-05-20 15:30:00	:OKE	8.93	9.06	8.91	9.02	743575.00
2004-05-21 15:30:00	:OKE	9.06	9.13	9.05	9.08	1380925.00
2004-05-24 15:30:00	:OKE	9.15	9.24	9.11	9.22	1110679.00
2004-05-25 15:30:00	:OKE	9.20	9.36	9.20	9.29	1063849.00
2004-05-26 15:30:00	:OKE	9.24	9.35	9.24	9.33	868532.00
2004-05-27 15:30:00	:OKE	9.35	9.39	9.25	9.32	705425.00
2004-05-28 15:30:00	:OKE	9.32	9.36	9.27	9.35	771673.00
2004-06-01 15:30:00	:OKE	9.36	9.41	9.30	9.31	638949.00
2004-06-02 15:30:00	:OKE	9.39	9.40	9.27	9.35	1186978.00
2004-06-03 15:30:00	:OKE	9.35	9.36	9.19	9.19	791776.00
2004-06-04 15:30:00	:OKE	9.26	9.31	9.19	9.29	661336.00
2004-06-07 15:30:00	:OKE	9.37	9.49	9.31	9.46	783780.00
2004-06-08 15:30:00	:OKE	9.48	9.48	9.30	9.32	1599314.00
2004-06-09 15:30:00	:OKE	9.28	9.39	9.28	9.35	931581.00
2004-06-10 15:30:00	:OKE	9.40	9.43	9.32	9.32	965391.00
2004-06-14 15:30:00	:OKE	9.33	9.39	9.28	9.32	554426.00
2004-06-15 15:30:00	:OKE	9.32	9.43	9.31	9.35	553740.00
2004-06-16 15:30:00	:OKE	9.35	9.43	9.30	9.35	798172.00
2004-06-17 15:30:00	:OKE	9.35	9.39	9.29	9.32	733295.00
2004-06-18 15:30:00	:OKE	9.29	9.35	9.18	9.26	1718332.00
2004-06-21 15:30:00	:OKE	9.24	9.24	9.15	9.19	1582638.00
2004-06-22 15:30:00	:OKE	9.25	9.51	9.22	9.49	1518903.00
2004-06-23 15:30:00	:OKE	9.49	9.52	9.45	9.50	1259394.00
2004-06-24 15:30:00	:OKE	9.54	9.68	9.51	9.64	1573272.00
2004-06-25 15:30:00	:OKE	9.70	9.70	9.47	9.65	1329982.00
2004-06-28 15:30:00	:OKE	9.65	9.71	9.53	9.54	877441.00
2004-06-29 15:30:00	:OKE	9.61	9.61	9.45	9.47	1189491.00
2004-06-30 15:30:00	:OKE	9.54	9.66	9.50	9.63	1494460.00
2004-07-01 15:30:00	:OKE	9.67	9.67	9.48	9.51	1134209.00
2004-07-02 15:30:00	:OKE	9.54	9.66	9.52	9.63	1072986.00
2004-07-06 15:30:00	:OKE	9.63	9.70	9.59	9.70	977041.00
2004-07-07 15:30:00	:OKE	9.67	9.72	9.59	9.61	1564820.00
2004-07-08 15:30:00	:OKE	9.59	9.67	9.55	9.57	1631753.00
2004-07-09 15:30:00	:OKE	9.58	9.62	9.56	9.60	767332.00
2004-07-12 15:30:00	:OKE	9.61	9.64	9.52	9.54	1199771.00
2004-07-13 15:30:00	:OKE	9.59	9.60	9.50	9.54	1858823.00
2004-07-14 15:30:00	:OKE	9.52	9.61	9.49	9.54	721644.00
2004-07-15 15:30:00	:OKE	9.54	9.58	9.52	9.56	650828.00
2004-07-16 15:30:00	:OKE	9.58	9.62	9.49	9.54	1228783.00
2004-07-19 15:30:00	:OKE	9.56	9.62	9.54	9.59	793375.00
2004-07-20 15:30:00	:OKE	9.59	9.62	9.53	9.58	677784.00
2004-07-21 15:30:00	:OKE	9.60	9.60	9.44	9.44	1151570.00
2004-07-22 15:30:00	:OKE	9.44	9.44	9.32	9.33	712050.00
2004-07-23 15:30:00	:OKE	9.32	9.37	9.25	9.26	482238.00
2004-07-26 15:30:00	:OKE	9.28	9.31	9.18	9.20	728954.00
2004-07-27 15:30:00	:OKE	9.24	9.24	9.11	9.18	1181267.00
2004-07-28 15:30:00	:OKE	9.12	9.21	9.07	9.19	1267846.00
2004-07-29 15:30:00	:OKE	9.22	9.26	9.12	9.21	861907.00
2004-07-30 15:30:00	:OKE	9.19	9.24	9.14	9.19	923358.00
2004-08-02 15:30:00	:OKE	9.17	9.51	9.02	9.48	3139691.00
2004-08-03 15:30:00	:OKE	9.46	9.94	9.32	9.87	2761850.00
2004-08-04 15:30:00	:OKE	9.87	9.99	9.81	9.93	1538092.00
2004-08-05 15:30:00	:OKE	9.93	9.99	9.79	9.79	915591.00
2004-08-06 15:30:00	:OKE	9.79	9.85	9.72	9.76	1035522.00
2004-08-09 15:30:00	:OKE	9.74	9.81	9.65	9.67	1072986.00
2004-08-10 15:30:00	:OKE	9.67	9.71	9.65	9.67	1600228.00
2004-08-11 15:30:00	:OKE	9.71	9.83	9.64	9.81	2221587.00
2004-08-12 15:30:00	:OKE	9.83	9.85	9.77	9.84	1232667.00
2004-08-13 15:30:00	:OKE	9.82	9.91	9.81	9.89	1371102.00
2004-08-16 15:30:00	:OKE	9.91	10.00	9.87	10.00	862821.00
2004-08-17 15:30:00	:OKE	10.02	10.04	9.88	9.92	1192233.00
2004-08-18 15:30:00	:OKE	9.89	10.10	9.88	10.09	972015.00
2004-08-19 15:30:00	:OKE	10.10	10.10	9.99	10.06	984351.00
2004-08-20 15:30:00	:OKE	10.11	10.17	10.08	10.16	1041918.00
2004-08-23 15:30:00	:OKE	10.16	10.20	10.06	10.11	1116847.00
2004-08-24 15:30:00	:OKE	10.16	10.16	9.96	9.99	2517190.00
2004-08-25 15:30:00	:OKE	10.02	10.10	9.98	10.09	3936264.00
2004-08-26 15:30:00	:OKE	10.09	10.14	10.07	10.13	1394860.00
2004-08-27 15:30:00	:OKE	10.13	10.21	10.11	10.16	678241.00
2004-08-30 15:30:00	:OKE	10.13	10.20	10.10	10.13	616105.00
2004-08-31 15:30:00	:OKE	10.13	10.33	10.11	10.31	779440.00
2004-09-01 15:30:00	:OKE	10.32	10.41	10.29	10.37	944831.00
2004-09-02 15:30:00	:OKE	10.38	10.41	10.32	10.37	765276.00
2004-09-03 15:30:00	:OKE	10.35	10.40	10.28	10.36	506453.00
2004-09-07 15:30:00	:OKE	10.40	10.54	10.34	10.48	1109308.00
2004-09-08 15:30:00	:OKE	10.48	10.56	10.47	10.49	1071159.00
2004-09-09 15:30:00	:OKE	10.52	10.62	10.52	10.60	841347.00
2004-09-10 15:30:00	:OKE	10.58	10.62	10.53	10.61	1656653.00
2004-09-13 15:30:00	:OKE	10.63	10.68	10.60	10.64	951456.00
2004-09-14 15:30:00	:OKE	10.64	10.72	10.63	10.65	1099029.00
2004-09-15 15:30:00	:OKE	10.67	10.73	10.62	10.72	751113.00
2004-09-16 15:30:00	:OKE	10.73	10.86	10.72	10.86	1640434.00
2004-09-17 15:30:00	:OKE	10.83	11.02	10.83	10.94	2440434.00
2004-09-20 15:30:00	:OKE	10.90	10.92	10.71	10.77	1957281.00
2004-09-21 15:30:00	:OKE	10.81	10.85	10.72	10.74	1436893.00
2004-09-22 15:30:00	:OKE	10.71	10.89	10.62	10.87	2341062.00
2004-09-23 15:30:00	:OKE	10.87	11.09	10.83	11.03	2315705.00
2004-09-24 15:30:00	:OKE	11.05	11.14	11.03	11.11	961736.00
2004-09-27 15:30:00	:OKE	11.08	11.15	11.02	11.14	1271501.00
2004-09-28 15:30:00	:OKE	11.15	11.40	11.15	11.36	1512278.00
2004-09-29 15:30:00	:OKE	11.36	11.44	11.25	11.36	753169.00
2004-09-30 15:30:00	:OKE	11.36	11.41	11.32	11.39	2478126.00
2004-10-01 15:30:00	:OKE	11.42	11.49	11.40	11.49	1052884.00
2004-10-04 15:30:00	:OKE	11.51	11.53	11.36	11.40	1207766.00
2004-10-05 15:30:00	:OKE	11.43	11.46	11.36	11.42	1133752.00
2004-10-06 15:30:00	:OKE	11.44	11.60	11.42	11.60	1834380.00
2004-10-07 15:30:00	:OKE	11.60	11.60	11.43	11.50	1327470.00
2004-10-08 15:30:00	:OKE	11.52	11.60	11.48	11.60	1877555.00
2004-10-11 15:30:00	:OKE	11.56	11.60	11.50	11.58	644431.00
2004-10-12 15:30:00	:OKE	11.54	11.62	11.49	11.57	1129183.00
2004-10-13 15:30:00	:OKE	11.57	11.57	11.36	11.42	1234723.00
2004-10-14 15:30:00	:OKE	11.42	11.58	11.41	11.51	1000571.00
2004-10-15 15:30:00	:OKE	11.54	11.56	11.44	11.51	909194.00
2004-10-18 15:30:00	:OKE	11.51	11.53	11.38	11.38	760936.00
2004-10-19 15:30:00	:OKE	11.32	11.36	11.23	11.23	898458.00
2004-10-20 15:30:00	:OKE	11.24	11.39	11.24	11.33	465562.00
2004-10-21 15:30:00	:OKE	11.32	11.51	11.27	11.50	1071616.00
2004-10-22 15:30:00	:OKE	11.50	11.53	11.48	11.50	1531924.00
2004-10-25 15:30:00	:OKE	11.47	11.58	11.45	11.58	3227641.00
2004-10-26 15:30:00	:OKE	11.59	11.78	11.57	11.74	1552484.00
2004-10-27 15:30:00	:OKE	11.65	11.78	11.64	11.74	1159337.00
2004-10-28 15:30:00	:OKE	11.71	11.74	11.63	11.64	879725.00
2004-10-29 15:30:00	:OKE	11.64	11.74	11.58	11.74	823986.00
2004-11-01 15:30:00	:OKE	11.76	11.80	11.60	11.76	1705311.00
2004-11-02 15:30:00	:OKE	11.76	11.82	11.44	11.44	1561393.00
2004-11-03 15:30:00	:OKE	11.73	11.83	11.59	11.83	2101656.00
2004-11-04 15:30:00	:OKE	11.87	12.15	11.86	12.11	1658480.00
2004-11-05 15:30:00	:OKE	12.13	12.13	11.84	11.84	1253455.00
2004-11-08 15:30:00	:OKE	11.84	12.14	11.84	11.96	1241347.00
2004-11-09 15:30:00	:OKE	11.96	12.05	11.91	11.99	1415648.00
2004-11-10 15:30:00	:OKE	12.00	12.10	11.96	12.02	1251170.00
2004-11-11 15:30:00	:OKE	12.04	12.14	11.99	12.11	920845.00
2004-11-12 15:30:00	:OKE	12.15	12.39	12.07	12.38	1605939.00
2004-11-15 15:30:00	:OKE	12.38	12.39	12.16	12.19	1571216.00
2004-11-16 15:30:00	:OKE	12.19	12.35	12.14	12.20	1856310.00
2004-11-17 15:30:00	:OKE	12.24	12.32	12.11	12.17	1140605.00
2004-11-18 15:30:00	:OKE	12.17	12.21	12.06	12.10	1365162.00
2004-11-19 15:30:00	:OKE	12.10	12.11	11.97	11.98	1217818.00
2004-11-22 15:30:00	:OKE	11.98	12.24	11.98	12.17	1793946.00
2004-11-23 15:30:00	:OKE	12.20	12.38	12.13	12.38	1625128.00
2004-11-24 15:30:00	:OKE	12.39	12.45	12.27	12.45	1327241.00
2004-11-26 15:30:00	:OKE	12.45	12.48	12.38	12.42	463735.00
2004-11-29 15:30:00	:OKE	12.42	12.50	12.26	12.29	1471616.00
2004-11-30 15:30:00	:OKE	12.28	12.30	12.17	12.22	1152027.00
2004-12-01 15:30:00	:OKE	12.25	12.43	12.02	12.17	3187207.00
2004-12-02 15:30:00	:OKE	12.10	12.14	11.81	11.88	1620331.00
2004-12-03 15:30:00	:OKE	11.95	12.14	11.92	12.10	2368018.00
2004-12-06 15:30:00	:OKE	12.10	12.21	11.99	12.17	1630611.00
2004-12-07 15:30:00	:OKE	12.18	12.20	11.99	11.99	2029468.00
2004-12-08 15:30:00	:OKE	11.97	12.01	11.75	11.88	3129411.00
2004-12-09 15:30:00	:OKE	11.89	12.05	11.86	12.02	1508623.00
2004-12-10 15:30:00	:OKE	11.99	12.09	11.92	12.06	817589.00
2004-12-13 15:30:00	:OKE	12.08	12.33	12.03	12.31	1425928.00
2004-12-14 15:30:00	:OKE	12.32	12.41	12.25	12.39	1151798.00
2004-12-15 15:30:00	:OKE	12.32	12.54	12.27	12.54	1560479.00
2004-12-16 15:30:00	:OKE	12.54	12.54	12.43	12.46	2358880.00
2004-12-17 15:30:00	:OKE	12.41	12.48	12.38	12.44	1326784.00
2004-12-20 15:30:00	:OKE	12.43	12.54	12.42	12.47	598972.00
2004-12-21 15:30:00	:OKE	12.48	12.65	12.48	12.65	794288.00
2004-12-22 15:30:00	:OKE	12.61	12.69	12.48	12.49	985722.00
2004-12-23 15:30:00	:OKE	12.51	12.55	12.46	12.48	825813.00
2004-12-27 15:30:00	:OKE	12.50	12.50	12.27	12.28	886807.00
2004-12-28 15:30:00	:OKE	12.32	12.45	12.30	12.38	1003312.00
2004-12-29 15:30:00	:OKE	12.45	12.47	12.32	12.38	779440.00
2004-12-30 15:30:00	:OKE	12.43	12.48	12.38	12.45	681439.00
2004-12-31 15:30:00	:OKE	12.46	12.50	12.39	12.44	633009.00
2005-01-03 15:30:00	:OKE	12.48	12.50	12.19	12.20	1428669.00
2005-01-04 15:30:00	:OKE	12.21	12.31	11.99	11.99	2207195.00
2005-01-05 15:30:00	:OKE	12.08	12.08	11.83	11.91	1457681.00
2005-01-06 15:30:00	:OKE	11.99	11.99	11.91	11.93	1762193.00
2005-01-07 15:30:00	:OKE	12.02	12.04	11.87	11.90	667732.00
2005-01-10 15:30:00	:OKE	11.97	12.08	11.91	11.92	1221016.00
2005-01-11 15:30:00	:OKE	11.98	11.98	11.83	11.86	1043289.00
2005-01-12 15:30:00	:OKE	11.93	11.93	11.76	11.87	1137178.00
2005-01-13 15:30:00	:OKE	11.94	12.03	11.88	11.91	1099714.00
