datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:ON	7.50	7.54	7.20	7.38	5771133.00
2004-04-08 15:30:00	:ON	7.44	7.50	7.25	7.40	2972036.00
2004-04-12 15:30:00	:ON	7.40	7.50	7.20	7.50	1811545.00
2004-04-13 15:30:00	:ON	7.55	7.58	7.16	7.32	2307629.00
2004-04-14 15:30:00	:ON	7.20	7.46	7.15	7.32	3141155.00
2004-04-15 15:30:00	:ON	7.30	7.40	6.91	7.20	6824961.00
2004-04-16 15:30:00	:ON	7.15	7.15	6.61	6.74	3667417.00
2004-04-19 15:30:00	:ON	6.57	6.67	6.31	6.49	4272969.00
2004-04-20 15:30:00	:ON	6.44	6.80	6.30	6.40	4113207.00
2004-04-21 15:30:00	:ON	6.60	6.69	6.31	6.50	4295105.00
2004-04-22 15:30:00	:ON	6.45	6.57	6.37	6.50	3142426.00
2004-04-23 15:30:00	:ON	6.48	6.54	6.20	6.25	2854632.00
2004-04-26 15:30:00	:ON	6.31	6.47	6.15	6.19	2388297.00
2004-04-27 15:30:00	:ON	6.24	6.45	6.18	6.32	3362093.00
2004-04-28 15:30:00	:ON	6.35	6.35	5.87	6.00	4575156.00
2004-04-29 15:30:00	:ON	6.34	6.42	4.93	4.99	14618418.00
2004-04-30 15:30:00	:ON	5.10	5.32	4.51	4.84	12102457.00
2004-05-03 15:30:00	:ON	4.97	5.18	4.84	5.12	5284934.00
2004-05-04 15:30:00	:ON	5.24	5.52	5.12	5.46	5329816.00
2004-05-05 15:30:00	:ON	5.50	5.59	5.35	5.48	2605376.00
2004-05-06 15:30:00	:ON	5.50	5.52	5.16	5.36	3193124.00
2004-05-07 15:30:00	:ON	5.39	5.63	5.30	5.60	3046825.00
2004-05-10 15:30:00	:ON	5.60	5.60	5.33	5.47	3053146.00
2004-05-11 15:30:00	:ON	5.59	5.74	5.47	5.74	3056804.00
2004-05-12 15:30:00	:ON	5.69	5.70	5.34	5.58	2117490.00
2004-05-13 15:30:00	:ON	5.59	5.59	5.35	5.40	3814177.00
2004-05-14 15:30:00	:ON	5.40	5.46	4.98	5.10	6423547.00
2004-05-17 15:30:00	:ON	4.83	5.10	4.75	4.97	2803289.00
2004-05-18 15:30:00	:ON	5.01	5.14	4.98	5.13	3566842.00
2004-05-19 15:30:00	:ON	5.28	5.41	5.08	5.15	4770121.00
2004-05-20 15:30:00	:ON	5.20	5.22	5.00	5.04	1990121.00
2004-05-21 15:30:00	:ON	5.04	5.15	4.77	4.85	7891156.00
2004-05-24 15:30:00	:ON	4.90	5.09	4.86	4.93	3292183.00
2004-05-25 15:30:00	:ON	4.94	5.10	4.83	5.10	3115360.00
2004-05-26 15:30:00	:ON	5.05	5.07	4.92	5.01	2683621.00
2004-05-27 15:30:00	:ON	5.15	5.46	5.11	5.39	4435945.00
2004-05-28 15:30:00	:ON	5.61	5.87	5.60	5.79	6414164.00
2004-06-01 15:30:00	:ON	5.76	5.80	5.52	5.63	2617939.00
2004-06-02 15:30:00	:ON	5.56	5.60	5.25	5.37	4148723.00
2004-06-03 15:30:00	:ON	5.44	5.50	5.07	5.12	3128965.00
2004-06-04 15:30:00	:ON	5.25	5.34	5.20	5.29	2411558.00
2004-06-07 15:30:00	:ON	5.37	5.45	5.33	5.41	2739924.00
2004-06-08 15:30:00	:ON	5.35	5.43	5.21	5.41	1759355.00
2004-06-09 15:30:00	:ON	5.35	5.39	5.20	5.28	3165624.00
2004-06-10 15:30:00	:ON	5.35	5.35	5.08	5.14	1729259.00
2004-06-14 15:30:00	:ON	5.13	5.18	5.01	5.14	1622030.00
2004-06-15 15:30:00	:ON	5.25	5.28	5.13	5.25	2001857.00
2004-06-16 15:30:00	:ON	5.27	5.30	4.83	4.88	4222797.00
2004-06-17 15:30:00	:ON	4.90	5.00	4.76	4.95	3244519.00
2004-06-18 15:30:00	:ON	5.00	5.05	4.85	4.91	2203439.00
2004-06-21 15:30:00	:ON	5.01	5.06	4.85	4.88	2101730.00
2004-06-22 15:30:00	:ON	4.95	5.00	4.80	4.99	2026353.00
2004-06-23 15:30:00	:ON	5.00	5.25	4.92	5.22	2706540.00
2004-06-24 15:30:00	:ON	5.20	5.30	4.92	4.93	2558374.00
2004-06-25 15:30:00	:ON	5.07	5.18	4.91	5.15	6894477.00
2004-06-28 15:30:00	:ON	5.24	5.30	5.02	5.08	1856210.00
2004-06-29 15:30:00	:ON	5.13	5.14	5.04	5.10	1098926.00
2004-06-30 15:30:00	:ON	5.12	5.14	4.93	5.02	2276802.00
2004-07-01 15:30:00	:ON	4.95	4.95	4.39	4.47	8094203.00
2004-07-02 15:30:00	:ON	4.51	4.51	4.14	4.22	4723320.00
2004-07-06 15:30:00	:ON	4.15	4.18	3.59	3.59	8471551.00
2004-07-07 15:30:00	:ON	3.62	3.67	3.40	3.62	10716813.00
2004-07-08 15:30:00	:ON	3.60	3.87	3.52	3.74	6374602.00
2004-07-09 15:30:00	:ON	3.83	3.83	3.51	3.61	3969667.00
2004-07-12 15:30:00	:ON	3.58	3.63	3.39	3.47	5754816.00
2004-07-13 15:30:00	:ON	3.47	3.76	3.42	3.51	7179207.00
2004-07-14 15:30:00	:ON	3.45	3.55	3.18	3.27	5354879.00
2004-07-15 15:30:00	:ON	3.35	3.72	3.33	3.55	4406980.00
2004-07-16 15:30:00	:ON	3.60	3.73	3.48	3.54	2258393.00
2004-07-19 15:30:00	:ON	3.58	3.68	3.46	3.56	2596534.00
2004-07-20 15:30:00	:ON	3.66	3.77	3.57	3.67	2361067.00
2004-07-21 15:30:00	:ON	3.70	3.83	3.52	3.53	3142459.00
2004-07-22 15:30:00	:ON	3.53	3.66	3.34	3.59	4309574.00
2004-07-23 15:30:00	:ON	3.62	3.67	3.50	3.55	3205460.00
2004-07-26 15:30:00	:ON	3.67	3.69	3.37	3.41	2660934.00
2004-07-27 15:30:00	:ON	3.45	3.50	3.20	3.35	3428048.00
