datetime	symbol	open	high	low	close	volume
2020-03-19 14:30:00	:OTIS	40.00	46.00	40.00	45.25	7000.00
2020-03-20 14:30:00	:OTIS	45.01	46.01	45.00	45.00	3557.00
2020-03-23 14:30:00	:OTIS	42.00	42.00	39.98	40.00	11888.00
2020-03-24 14:30:00	:OTIS	40.00	40.00	39.00	40.00	77832.00
2020-03-25 14:30:00	:OTIS	40.00	44.80	38.00	41.01	6995.00
2020-03-26 14:30:00	:OTIS	45.00	47.50	44.25	45.00	29072.00
2020-03-27 14:30:00	:OTIS	45.00	47.50	44.99	45.23	263228.00
2020-03-30 15:30:00	:OTIS	44.25	50.00	44.25	50.00	118062.00
2020-03-31 15:30:00	:OTIS	46.50	50.00	44.78	50.00	210314.00
2020-04-01 15:30:00	:OTIS	45.99	48.50	44.00	46.70	1206140.00
2020-04-02 15:30:00	:OTIS	45.02	48.66	43.20	44.00	9264179.00
2020-04-03 15:30:00	:OTIS	43.75	49.30	41.80	47.32	22551644.00
2020-04-06 15:30:00	:OTIS	47.00	47.85	44.70	45.94	10294277.00
2020-04-07 15:30:00	:OTIS	45.15	46.99	42.93	44.28	12146546.00
2020-04-08 15:30:00	:OTIS	42.21	45.20	41.26	44.09	22265782.00
2020-04-09 15:30:00	:OTIS	44.05	50.25	44.00	49.14	17355648.00
2020-04-13 15:30:00	:OTIS	48.55	48.67	45.72	46.00	8545210.00
2020-04-14 15:30:00	:OTIS	45.91	46.30	43.97	45.89	10152133.00
2020-04-15 15:30:00	:OTIS	44.19	44.85	42.80	44.55	7935497.00
2020-04-16 15:30:00	:OTIS	44.08	46.41	43.55	45.62	8740244.00
2020-04-17 15:30:00	:OTIS	47.00	48.56	45.92	46.15	7878054.00
2020-04-20 15:30:00	:OTIS	45.00	46.98	44.90	45.39	5407460.00
2020-04-21 15:30:00	:OTIS	44.50	47.20	44.50	45.90	6939729.00
2020-04-22 15:30:00	:OTIS	47.31	49.55	46.00	47.05	6802088.00
2020-04-23 15:30:00	:OTIS	47.44	48.04	46.48	47.47	5174889.00
2020-04-24 15:30:00	:OTIS	48.02	48.50	46.31	47.85	6447126.00
2020-04-27 15:30:00	:OTIS	48.08	48.60	47.61	48.22	5541214.00
2020-04-28 15:30:00	:OTIS	49.07	50.95	48.65	49.86	5368208.00
2020-04-29 15:30:00	:OTIS	50.77	51.73	49.71	51.15	4343893.00
2020-04-30 15:30:00	:OTIS	50.97	51.60	50.50	50.91	6123786.00
2020-05-01 15:30:00	:OTIS	50.33	50.53	48.31	49.71	3089700.00
2020-05-04 15:30:00	:OTIS	48.85	49.67	47.51	49.53	5676627.00
2020-05-05 15:30:00	:OTIS	49.53	50.64	47.96	48.09	4103610.00
2020-05-06 15:30:00	:OTIS	48.61	49.00	47.89	48.31	2931809.00
2020-05-07 15:30:00	:OTIS	49.02	53.29	48.99	51.81	4803320.00
2020-05-08 15:30:00	:OTIS	52.12	54.17	52.11	52.95	4381849.00
2020-05-11 15:30:00	:OTIS	52.00	52.40	51.06	51.81	3150608.00
2020-05-12 15:30:00	:OTIS	52.19	52.29	49.69	49.72	3059907.00
2020-05-13 15:30:00	:OTIS	49.00	50.30	47.88	48.21	4567104.00
2020-05-14 15:30:00	:OTIS	47.61	48.40	47.23	48.00	4850038.00
2020-05-15 15:30:00	:OTIS	47.32	49.22	47.20	48.89	2981387.00
2020-05-18 15:30:00	:OTIS	50.12	52.34	50.12	52.13	4453655.00
2020-05-19 15:30:00	:OTIS	51.68	52.93	51.05	52.31	2050277.00
2020-05-20 15:30:00	:OTIS	52.55	54.70	52.48	53.18	4755173.00
2020-05-21 15:30:00	:OTIS	52.36	53.55	51.87	52.03	3813099.00
2020-05-22 15:30:00	:OTIS	52.46	52.72	50.92	51.71	2134337.00
2020-05-26 15:30:00	:OTIS	53.03	53.99	50.70	50.89	6247010.00
2020-05-27 15:30:00	:OTIS	51.59	52.65	50.77	52.38	5202304.00
2020-05-28 15:30:00	:OTIS	52.87	52.95	50.93	50.96	4260743.00
2020-05-29 15:30:00	:OTIS	50.44	52.87	50.18	52.65	7522913.00
2020-06-01 15:30:00	:OTIS	52.45	54.44	52.11	54.08	3073320.00
2020-06-02 15:30:00	:OTIS	54.16	54.75	53.29	54.15	2638267.00
2020-06-03 15:30:00	:OTIS	55.00	55.58	54.55	55.47	4134479.00
2020-06-04 15:30:00	:OTIS	55.30	56.66	54.69	55.40	3281334.00
2020-06-05 15:30:00	:OTIS	57.83	58.71	56.00	58.57	4615256.00
2020-06-08 15:30:00	:OTIS	58.68	61.32	58.36	61.26	5966460.00
2020-06-09 15:30:00	:OTIS	60.40	61.46	59.24	60.65	4610216.00
2020-06-10 15:30:00	:OTIS	60.61	60.96	59.02	59.03	2658267.00
2020-06-11 15:30:00	:OTIS	56.00	58.07	55.70	56.25	3294100.00
2020-06-12 15:30:00	:OTIS	57.73	58.98	55.10	56.04	4313079.00
2020-06-15 15:30:00	:OTIS	54.51	57.80	53.83	57.67	4464602.00
2020-06-16 15:30:00	:OTIS	59.50	59.80	57.38	57.85	3510345.00
2020-06-17 15:30:00	:OTIS	58.12	58.19	56.46	56.74	2441582.00
2020-06-18 15:30:00	:OTIS	56.44	57.68	56.24	57.49	2137731.00
2020-06-19 15:30:00	:OTIS	58.96	58.96	55.95	57.00	7095876.00
2020-06-22 15:30:00	:OTIS	56.88	58.18	56.64	57.06	2027002.00
2020-06-23 15:30:00	:OTIS	57.69	57.87	56.59	56.80	2386949.00
2020-06-24 15:30:00	:OTIS	56.15	56.97	55.25	55.54	3022247.00
2020-06-25 15:30:00	:OTIS	55.05	56.50	54.76	56.20	2942920.00
2020-06-26 15:30:00	:OTIS	56.23	56.48	54.44	55.79	6634333.00
2020-06-29 15:30:00	:OTIS	55.89	56.80	55.33	56.57	2257457.00
2020-06-30 15:30:00	:OTIS	55.97	57.10	55.51	56.86	2518132.00
2020-07-01 15:30:00	:OTIS	57.00	57.00	55.75	55.78	2400512.00
2020-07-02 15:30:00	:OTIS	56.43	57.24	55.77	56.50	3162958.00
2020-07-06 15:30:00	:OTIS	57.38	57.58	56.43	56.86	1999186.00
2020-07-07 15:30:00	:OTIS	56.43	57.31	56.12	56.82	2537947.00
2020-07-08 15:30:00	:OTIS	57.03	57.15	56.27	56.92	6694910.00
2020-07-09 15:30:00	:OTIS	56.86	57.94	56.07	56.11	2424202.00
2020-07-10 15:30:00	:OTIS	56.23	57.31	56.04	56.98	2137282.00
2020-07-13 15:30:00	:OTIS	56.56	57.94	56.47	56.89	2882550.00
2020-07-14 15:30:00	:OTIS	56.22	57.45	56.03	57.37	2755365.00
2020-07-15 15:30:00	:OTIS	58.01	59.00	57.86	58.20	2358423.00
2020-07-16 15:30:00	:OTIS	58.00	58.56	57.66	58.32	2628836.00
2020-07-17 15:30:00	:OTIS	58.73	59.03	58.15	58.55	2983181.00
2020-07-20 15:30:00	:OTIS	58.42	59.65	57.99	58.56	2407941.00
2020-07-21 15:30:00	:OTIS	58.38	58.94	58.10	58.44	2314095.00
2020-07-22 15:30:00	:OTIS	57.96	58.93	57.68	58.48	2034327.00
2020-07-23 15:30:00	:OTIS	58.50	59.47	58.34	59.06	2566689.00
2020-07-24 15:30:00	:OTIS	59.18	59.20	57.63	58.13	3142148.00
2020-07-27 15:30:00	:OTIS	57.86	58.44	57.60	58.32	2670339.00
2020-07-28 15:30:00	:OTIS	59.82	61.83	59.70	60.28	4473631.00
2020-07-29 15:30:00	:OTIS	60.96	64.36	60.96	64.30	4885387.00
2020-07-30 15:30:00	:OTIS	63.44	64.52	63.15	63.39	2306996.00
2020-07-31 15:30:00	:OTIS	62.93	63.19	62.18	62.74	3156178.00
2020-08-03 15:30:00	:OTIS	63.02	63.82	62.74	63.21	3200490.00
2020-08-04 15:30:00	:OTIS	62.58	62.90	61.97	62.61	1739425.00
2020-08-05 15:30:00	:OTIS	62.74	63.65	62.34	63.09	2644969.00
2020-08-06 15:30:00	:OTIS	62.89	63.52	62.87	63.48	1557463.00
2020-08-07 15:30:00	:OTIS	63.16	64.47	63.16	64.41	1169123.00
2020-08-10 15:30:00	:OTIS	64.29	65.30	64.29	65.21	1572675.00
2020-08-11 15:30:00	:OTIS	65.52	65.95	64.33	64.37	2787721.00
2020-08-12 15:30:00	:OTIS	64.97	65.47	64.22	64.90	1496578.00
2020-08-13 15:30:00	:OTIS	64.96	64.96	63.83	64.00	1436187.00
2020-08-14 15:30:00	:OTIS	63.71	64.51	63.60	64.07	1633916.00
2020-08-17 15:30:00	:OTIS	64.46	64.53	63.71	63.96	1785590.00
2020-08-18 15:30:00	:OTIS	63.85	64.40	63.38	63.45	1680153.00
2020-08-19 15:30:00	:OTIS	63.48	63.59	62.59	62.92	1549081.00
2020-08-20 15:30:00	:OTIS	62.16	63.25	61.81	62.97	1291462.00
2020-08-21 15:30:00	:OTIS	63.03	63.74	62.59	63.63	2649469.00
2020-08-24 15:30:00	:OTIS	63.61	64.23	63.04	63.80	3199942.00
2020-08-25 15:30:00	:OTIS	64.41	64.81	63.91	64.29	1604343.00
2020-08-26 15:30:00	:OTIS	64.28	64.79	63.75	64.18	1161925.00
2020-08-27 15:30:00	:OTIS	64.47	64.91	63.17	63.23	1341726.00
2020-08-28 15:30:00	:OTIS	63.27	63.63	62.65	63.59	1129890.00
2020-08-31 15:30:00	:OTIS	63.61	63.84	62.84	62.90	1736431.00
2020-09-01 15:30:00	:OTIS	62.52	64.28	62.33	64.05	2334134.00
2020-09-02 15:30:00	:OTIS	63.73	65.56	63.65	65.34	1827188.00
2020-09-03 15:30:00	:OTIS	64.88	65.45	61.06	61.85	3096875.00
2020-09-04 15:30:00	:OTIS	62.50	62.60	60.43	61.49	2697093.00
2020-09-08 15:30:00	:OTIS	61.43	61.75	60.46	60.63	2138023.00
2020-09-09 15:30:00	:OTIS	61.03	62.53	61.00	62.08	1888567.00
2020-09-10 15:30:00	:OTIS	61.98	61.98	59.73	59.90	3828933.00
2020-09-11 15:30:00	:OTIS	60.26	60.71	59.77	60.14	2273409.00
2020-09-14 15:30:00	:OTIS	60.57	60.57	59.07	59.99	2420195.00
2020-09-15 15:30:00	:OTIS	60.03	61.62	60.03	60.30	1629575.00
2020-09-16 15:30:00	:OTIS	60.86	61.01	59.40	59.79	2457021.00
2020-09-17 15:30:00	:OTIS	58.75	61.09	58.04	61.04	2219891.00
2020-09-18 15:30:00	:OTIS	61.16	62.64	60.39	60.88	3806523.00
2020-09-21 15:30:00	:OTIS	60.00	60.22	58.67	59.41	2512107.00
2020-09-22 15:30:00	:OTIS	58.94	61.12	58.86	60.99	1841562.00
2020-09-23 15:30:00	:OTIS	60.77	61.77	60.20	60.41	1733683.00
2020-09-24 15:30:00	:OTIS	60.85	62.75	60.46	62.08	2375112.00
2020-09-25 15:30:00	:OTIS	61.61	62.35	61.19	61.55	1557768.00
2020-09-28 15:30:00	:OTIS	62.27	62.88	61.90	62.51	1233920.00
2020-09-29 15:30:00	:OTIS	62.42	62.76	61.88	62.41	1448947.00
2020-09-30 15:30:00	:OTIS	62.71	63.60	61.95	62.42	2494042.00
2020-10-01 15:30:00	:OTIS	62.87	64.22	61.76	62.37	2342523.00
2020-10-02 15:30:00	:OTIS	61.62	63.44	61.51	63.16	1447863.00
2020-10-05 15:30:00	:OTIS	63.74	64.63	63.23	64.54	1447769.00
2020-10-06 15:30:00	:OTIS	64.43	65.00	63.48	63.83	2106970.00
2020-10-07 15:30:00	:OTIS	64.63	65.62	64.38	65.05	1648100.00
2020-10-08 15:30:00	:OTIS	64.79	65.51	64.48	64.71	1213224.00
2020-10-09 15:30:00	:OTIS	65.02	65.67	64.30	65.35	1187048.00
2020-10-12 15:30:00	:OTIS	65.85	65.98	65.17	65.69	1185859.00
2020-10-13 15:30:00	:OTIS	65.16	65.80	64.62	65.13	1415922.00
2020-10-14 15:30:00	:OTIS	65.50	66.00	64.53	65.61	1633760.00
2020-10-15 15:30:00	:OTIS	64.67	65.44	64.01	65.20	982889.00
2020-10-16 15:30:00	:OTIS	65.30	65.81	64.81	65.03	1047539.00
2020-10-19 15:30:00	:OTIS	64.90	65.44	64.08	64.36	910566.00
2020-10-20 15:30:00	:OTIS	64.68	65.74	64.34	64.39	720056.00
2020-10-21 15:30:00	:OTIS	64.25	64.83	63.71	63.72	1082601.00
2020-10-22 15:30:00	:OTIS	63.99	63.99	62.98	63.24	4980345.00
2020-10-23 15:30:00	:OTIS	63.47	64.02	63.12	63.45	2308615.00
2020-10-26 14:30:00	:OTIS	63.84	63.89	61.37	63.21	3026045.00
2020-10-27 14:30:00	:OTIS	62.91	63.24	61.86	61.97	1973150.00
2020-10-28 14:30:00	:OTIS	61.01	61.26	58.77	58.99	2571050.00
2020-10-29 14:30:00	:OTIS	58.89	61.19	58.80	60.79	2122637.00
2020-10-30 14:30:00	:OTIS	60.35	61.30	59.80	61.28	2036607.00
2020-11-02 15:30:00	:OTIS	62.19	62.77	61.09	62.14	1819091.00
2020-11-03 15:30:00	:OTIS	62.93	63.85	62.08	62.71	1545985.00
2020-11-04 15:30:00	:OTIS	62.68	63.65	61.95	62.30	2042703.00
2020-11-05 15:30:00	:OTIS	63.32	63.95	62.59	62.63	1495660.00
2020-11-06 15:30:00	:OTIS	62.97	63.81	62.67	63.58	1145797.00
2020-11-09 15:30:00	:OTIS	67.00	67.29	63.43	63.50	2420172.00
2020-11-10 15:30:00	:OTIS	63.38	65.92	63.32	65.74	2174604.00
2020-11-11 15:30:00	:OTIS	65.86	66.33	64.74	66.12	1319543.00
2020-11-12 15:30:00	:OTIS	66.18	66.46	65.42	65.99	1774840.00
2020-11-13 15:30:00	:OTIS	66.24	66.74	65.23	65.57	1438545.00
2020-11-16 15:30:00	:OTIS	66.22	67.64	65.68	67.39	2338931.00
2020-11-17 15:30:00	:OTIS	67.16	67.95	66.31	67.20	1464977.00
2020-11-18 15:30:00	:OTIS	67.31	67.98	66.51	66.63	2183046.00
2020-11-19 15:30:00	:OTIS	66.63	67.19	65.60	66.16	1809896.00
2020-11-20 15:30:00	:OTIS	66.09	66.74	66.00	66.32	1811253.00
2020-11-23 15:30:00	:OTIS	66.64	67.53	66.55	67.25	1885919.00
2020-11-24 15:30:00	:OTIS	68.04	68.04	66.88	67.40	4740950.00
2020-11-25 15:30:00	:OTIS	67.44	67.47	66.42	67.38	1125472.00
2020-11-27 15:30:00	:OTIS	67.55	68.21	66.90	67.34	1644981.00
2020-11-30 15:30:00	:OTIS	66.84	67.70	66.38	66.94	1831064.00
2020-12-01 15:30:00	:OTIS	67.42	68.16	66.77	66.83	2928108.00
2020-12-02 15:30:00	:OTIS	66.92	67.27	65.56	65.69	1379830.00
2020-12-03 15:30:00	:OTIS	65.77	66.85	65.36	65.49	1062128.00
2020-12-04 15:30:00	:OTIS	65.65	66.04	64.88	65.16	2054250.00
2020-12-07 15:30:00	:OTIS	64.98	65.31	64.01	64.85	1917602.00
2020-12-08 15:30:00	:OTIS	64.78	66.15	64.68	66.11	2641580.00
2020-12-09 15:30:00	:OTIS	65.75	66.21	65.19	65.49	1668614.00
2020-12-10 15:30:00	:OTIS	65.21	66.14	63.85	64.00	2056714.00
2020-12-11 15:30:00	:OTIS	63.33	63.88	62.95	63.73	2023889.00
2020-12-14 15:30:00	:OTIS	64.49	64.49	62.52	62.78	1377812.00
2020-12-15 15:30:00	:OTIS	63.11	65.59	62.96	64.73	2041202.00
2020-12-16 15:30:00	:OTIS	64.93	65.33	64.34	65.24	1760573.00
2020-12-17 15:30:00	:OTIS	65.75	66.32	65.50	65.79	1873744.00
2020-12-18 15:30:00	:OTIS	65.99	66.20	64.54	65.61	4028791.00
2020-12-21 15:30:00	:OTIS	64.94	66.48	64.60	66.15	2201281.00
2020-12-22 15:30:00	:OTIS	65.84	65.99	65.09	65.41	1151493.00
2020-12-23 15:30:00	:OTIS	65.49	66.24	65.30	65.63	972476.00
2020-12-24 15:30:00	:OTIS	65.45	65.98	65.29	65.79	992052.00
2020-12-28 15:30:00	:OTIS	66.18	66.60	65.54	66.00	786365.00
2020-12-29 15:30:00	:OTIS	66.31	66.60	65.13	65.69	1008403.00
2020-12-30 15:30:00	:OTIS	65.79	66.83	65.79	66.72	1082152.00
2020-12-31 15:30:00	:OTIS	66.86	67.69	66.57	67.55	1238174.00
2021-01-04 15:30:00	:OTIS	67.55	68.02	65.55	65.59	2569651.00
2021-01-05 15:30:00	:OTIS	65.82	66.42	64.76	65.10	1366172.00
2021-01-06 15:30:00	:OTIS	65.82	67.33	65.25	66.91	1595951.00
2021-01-07 15:30:00	:OTIS	67.30	67.95	66.84	67.78	1542465.00
2021-01-08 15:30:00	:OTIS	67.47	67.97	65.85	66.83	1914190.00
2021-01-11 15:30:00	:OTIS	66.22	66.79	65.81	66.36	1506196.00
2021-01-12 15:30:00	:OTIS	66.27	66.80	65.07	65.23	1722042.00
2021-01-13 15:30:00	:OTIS	65.19	65.53	63.85	63.97	3172569.00
2021-01-14 15:30:00	:OTIS	64.20	65.37	63.80	64.94	3088409.00
2021-01-15 15:30:00	:OTIS	64.81	65.69	63.51	65.53	1841095.00
2021-01-19 15:30:00	:OTIS	66.00	66.45	64.92	65.37	2489215.00
2021-01-20 15:30:00	:OTIS	65.80	66.50	64.89	65.19	1737151.00
2021-01-21 15:30:00	:OTIS	65.24	65.24	63.45	63.52	3945603.00
2021-01-22 15:30:00	:OTIS	63.52	65.21	63.20	64.88	3546622.00
2021-01-25 15:30:00	:OTIS	64.00	64.61	62.00	64.22	4500206.00
2021-01-26 15:30:00	:OTIS	64.60	65.09	62.27	63.51	2742223.00
2021-01-27 15:30:00	:OTIS	62.68	63.01	61.28	62.24	3241607.00
2021-01-28 15:30:00	:OTIS	62.60	64.82	62.33	63.83	3235048.00
2021-01-29 15:30:00	:OTIS	65.11	65.99	63.45	64.65	10353184.00
2021-02-01 15:30:00	:OTIS	65.99	66.01	63.00	64.55	3731467.00
2021-02-02 15:30:00	:OTIS	65.05	66.78	64.50	64.64	4327752.00
2021-02-03 15:30:00	:OTIS	64.64	64.87	62.95	64.05	3542163.00
2021-02-04 15:30:00	:OTIS	63.89	64.13	63.00	63.29	2303907.00
2021-02-05 15:30:00	:OTIS	62.74	64.20	62.63	63.93	3697943.00
2021-02-08 15:30:00	:OTIS	63.75	64.53	63.15	63.73	1787087.00
2021-02-09 15:30:00	:OTIS	63.54	64.59	63.21	64.36	2819294.00
2021-02-10 15:30:00	:OTIS	64.94	65.90	64.60	65.31	1934156.00
2021-02-11 15:30:00	:OTIS	65.04	65.21	62.89	63.43	4298887.00
2021-02-12 15:30:00	:OTIS	62.89	64.54	62.89	63.93	2021706.00
2021-02-16 15:30:00	:OTIS	64.31	64.34	62.58	63.19	3228368.00
2021-02-17 15:30:00	:OTIS	63.31	63.37	62.62	62.69	2178566.00
2021-02-18 15:30:00	:OTIS	62.46	63.58	62.31	63.06	2258367.00
2021-02-19 15:30:00	:OTIS	63.32	63.45	62.94	63.04	3852745.00
2021-02-22 15:30:00	:OTIS	62.85	63.59	62.52	63.23	2559972.00
2021-02-23 15:30:00	:OTIS	62.84	63.57	62.56	63.23	2568275.00
2021-02-24 15:30:00	:OTIS	63.09	64.41	63.03	64.35	2257336.00
2021-02-25 15:30:00	:OTIS	64.28	64.91	64.01	64.46	2431957.00
2021-02-26 15:30:00	:OTIS	64.89	64.89	63.59	63.71	3278262.00
2021-03-01 15:30:00	:OTIS	64.12	65.75	64.07	64.93	1897938.00
2021-03-02 15:30:00	:OTIS	64.73	65.84	64.33	65.41	2657493.00
2021-03-03 15:30:00	:OTIS	65.51	67.65	65.07	67.00	3210772.00
2021-03-04 15:30:00	:OTIS	66.83	66.90	63.34	63.95	3634416.00
2021-03-05 15:30:00	:OTIS	64.52	65.11	62.76	64.87	2168100.00
2021-03-08 15:30:00	:OTIS	64.97	66.33	64.59	65.22	1636711.00
2021-03-09 15:30:00	:OTIS	65.69	66.65	64.92	64.93	2547338.00
2021-03-10 15:30:00	:OTIS	64.67	66.50	64.61	66.25	1814937.00
2021-03-11 15:30:00	:OTIS	66.10	67.64	65.89	67.30	2214718.00
2021-03-12 15:30:00	:OTIS	67.65	67.65	65.99	66.00	1938196.00
2021-03-15 14:30:00	:OTIS	65.94	66.64	65.52	66.61	1495730.00
2021-03-16 14:30:00	:OTIS	67.12	67.97	66.58	67.70	2371798.00
2021-03-17 14:30:00	:OTIS	67.99	68.65	67.36	68.58	1729486.00
2021-03-18 14:30:00	:OTIS	68.15	68.64	67.46	68.15	2752857.00
2021-03-19 14:30:00	:OTIS	67.89	67.89	66.52	66.86	3149112.00
2021-03-22 14:30:00	:OTIS	66.81	66.94	65.64	66.82	1532322.00
2021-03-23 14:30:00	:OTIS	66.42	67.71	66.20	66.96	1364553.00
2021-03-24 14:30:00	:OTIS	66.88	67.96	66.88	67.17	1377996.00
2021-03-25 14:30:00	:OTIS	67.41	68.14	66.76	67.86	1738865.00
2021-03-26 14:30:00	:OTIS	68.16	69.38	67.62	69.04	1989386.00
2021-03-29 15:30:00	:OTIS	69.83	70.67	69.50	69.91	2038308.00
2021-03-30 15:30:00	:OTIS	70.07	70.49	69.42	69.74	2604772.00
2021-03-31 15:30:00	:OTIS	70.02	70.02	68.27	68.45	3783130.00
2021-04-01 15:30:00	:OTIS	68.89	69.64	68.32	69.26	1579230.00
2021-04-05 15:30:00	:OTIS	69.08	69.70	68.92	69.23	1126557.00
2021-04-06 15:30:00	:OTIS	69.50	70.47	68.89	69.72	1972828.00
2021-04-07 15:30:00	:OTIS	69.86	70.27	69.41	69.63	7225739.00
2021-04-08 15:30:00	:OTIS	69.49	69.64	68.92	69.41	1881696.00
2021-04-09 15:30:00	:OTIS	69.68	70.95	69.45	70.75	3557765.00
2021-04-12 15:30:00	:OTIS	70.62	71.11	70.32	70.65	1986115.00
2021-04-13 15:30:00	:OTIS	70.45	71.23	70.19	71.12	1513400.00
2021-04-14 15:30:00	:OTIS	71.00	71.08	70.06	70.40	3099760.00
2021-04-15 15:30:00	:OTIS	70.64	71.24	70.11	70.97	1495616.00
2021-04-16 15:30:00	:OTIS	71.41	71.41	69.85	70.58	2548555.00
2021-04-19 15:30:00	:OTIS	70.71	71.39	70.35	71.03	2641319.00
2021-04-20 15:30:00	:OTIS	71.64	71.69	70.33	70.47	3682279.00
2021-04-21 15:30:00	:OTIS	70.45	71.08	69.83	71.04	3080267.00
2021-04-22 15:30:00	:OTIS	71.23	71.75	70.61	70.95	2415568.00
2021-04-23 15:30:00	:OTIS	71.07	71.98	70.74	71.28	2574824.00
2021-04-26 15:30:00	:OTIS	76.44	76.88	74.55	76.27	6077801.00
2021-04-27 15:30:00	:OTIS	76.50	79.26	76.12	79.00	6143915.00
2021-04-28 15:30:00	:OTIS	79.18	79.50	77.99	78.00	3492291.00
2021-04-29 15:30:00	:OTIS	78.02	79.12	78.02	78.69	2492254.00
2021-04-30 15:30:00	:OTIS	78.25	78.67	77.55	77.87	3659512.00
2021-05-03 15:30:00	:OTIS	78.49	79.10	77.91	78.40	2739940.00
2021-05-04 15:30:00	:OTIS	78.38	79.56	78.38	78.72	3402164.00
2021-05-05 15:30:00	:OTIS	78.89	79.24	77.76	78.06	2075478.00
2021-05-06 15:30:00	:OTIS	78.43	78.88	77.70	78.36	2983462.00
2021-05-07 15:30:00	:OTIS	78.08	78.95	77.91	78.19	2780651.00
2021-05-10 15:30:00	:OTIS	78.67	79.10	78.03	78.25	4866832.00
2021-05-11 15:30:00	:OTIS	77.79	78.11	76.85	77.62	2939228.00
2021-05-12 15:30:00	:OTIS	77.76	77.96	76.11	76.13	2392724.00
2021-05-13 15:30:00	:OTIS	75.99	77.53	75.82	77.15	2658311.00
2021-05-14 15:30:00	:OTIS	77.65	79.44	77.41	78.88	3255341.00
2021-05-17 15:30:00	:OTIS	78.73	79.18	78.10	79.01	2233955.00
2021-05-18 15:30:00	:OTIS	79.55	79.69	78.57	78.60	2941248.00
2021-05-19 15:30:00	:OTIS	77.94	78.00	77.03	77.47	5465695.00
2021-05-20 15:30:00	:OTIS	77.12	77.86	76.86	77.36	6751450.00
2021-05-21 15:30:00	:OTIS	77.62	78.30	77.28	77.57	2244986.00
2021-05-24 15:30:00	:OTIS	77.60	78.33	77.21	78.13	1547763.00
2021-05-25 15:30:00	:OTIS	78.28	78.61	77.66	77.69	2288635.00
2021-05-26 15:30:00	:OTIS	77.77	78.23	77.55	77.77	1890137.00
2021-05-27 15:30:00	:OTIS	78.15	79.09	77.69	78.71	2818972.00
2021-05-28 15:30:00	:OTIS	78.48	78.71	77.83	78.33	1914989.00
2021-06-01 15:30:00	:OTIS	79.17	79.83	78.28	78.41	2207648.00
2021-06-02 15:30:00	:OTIS	78.42	78.76	77.77	78.27	1863675.00
2021-06-03 15:30:00	:OTIS	78.25	79.43	77.67	79.14	1949868.00
2021-06-04 15:30:00	:OTIS	79.25	79.92	79.22	79.87	1643993.00
2021-06-07 15:30:00	:OTIS	80.40	80.81	79.47	79.61	1723582.00
2021-06-08 15:30:00	:OTIS	79.76	80.95	79.38	80.85	2647566.00
2021-06-09 15:30:00	:OTIS	80.79	81.18	80.33	80.75	1947285.00
2021-06-10 15:30:00	:OTIS	81.05	81.56	79.79	80.42	1753190.00
2021-06-11 15:30:00	:OTIS	80.85	80.99	79.70	80.54	1527791.00
2021-06-14 15:30:00	:OTIS	80.57	80.80	80.13	80.80	1232805.00
2021-06-15 15:30:00	:OTIS	80.97	81.27	80.42	80.99	1341491.00
2021-06-16 15:30:00	:OTIS	81.01	81.31	80.29	80.63	2578080.00
2021-06-17 15:30:00	:OTIS	80.92	81.19	79.44	80.47	3734755.00
2021-06-18 15:30:00	:OTIS	79.76	80.17	78.92	79.50	4490757.00
2021-06-21 15:30:00	:OTIS	80.09	81.10	79.67	81.04	2582764.00
2021-06-22 15:30:00	:OTIS	81.04	81.81	80.75	81.37	1757790.00
2021-06-23 15:30:00	:OTIS	81.64	81.66	80.74	80.82	1276392.00
2021-06-24 15:30:00	:OTIS	80.89	81.70	80.69	81.37	1679098.00
2021-06-25 15:30:00	:OTIS	81.51	81.91	81.28	81.65	2532070.00
2021-06-28 15:30:00	:OTIS	81.60	81.75	80.74	81.66	1939959.00
2021-06-29 15:30:00	:OTIS	81.69	82.47	81.58	82.08	1843957.00
2021-06-30 15:30:00	:OTIS	81.85	82.41	81.23	81.77	1981789.00
