datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:O	19.46	20.24	19.29	20.01	521696.00
2004-04-08 15:30:00	:O	20.01	20.09	19.57	19.57	350688.00
2004-04-12 15:30:00	:O	19.57	19.58	17.55	18.30	1626427.00
2004-04-13 15:30:00	:O	18.28	18.86	17.62	18.29	834796.00
2004-04-14 15:30:00	:O	17.67	18.42	17.67	17.92	520663.00
2004-04-15 15:30:00	:O	18.04	18.61	18.04	18.49	594188.00
2004-04-16 15:30:00	:O	18.42	19.19	18.42	19.05	602036.00
2004-04-19 15:30:00	:O	19.03	19.14	18.71	19.08	329209.00
2004-04-20 15:30:00	:O	19.08	19.17	18.40	18.40	347797.00
2004-04-21 15:30:00	:O	18.40	18.63	18.38	18.54	281088.00
2004-04-22 15:30:00	:O	18.62	19.08	18.50	18.84	294719.00
2004-04-23 15:30:00	:O	18.91	18.91	18.54	18.54	249075.00
2004-04-26 15:30:00	:O	18.62	18.85	18.60	18.68	469443.00
2004-04-27 15:30:00	:O	18.65	18.93	18.65	18.78	291621.00
2004-04-28 15:30:00	:O	18.86	18.92	18.74	18.79	264565.00
2004-04-29 15:30:00	:O	18.78	18.91	18.50	18.71	338090.00
2004-04-30 15:30:00	:O	18.67	18.86	18.36	18.52	308969.00
2004-05-03 15:30:00	:O	18.40	18.83	18.38	18.81	231727.00
2004-05-04 15:30:00	:O	18.68	19.12	18.68	18.91	495053.00
2004-05-05 15:30:00	:O	19.02	19.03	18.74	18.74	277990.00
2004-05-06 15:30:00	:O	18.69	18.79	18.30	18.75	351514.00
2004-05-07 15:30:00	:O	18.60	18.60	17.87	17.87	627026.00
2004-05-10 15:30:00	:O	17.92	17.93	17.13	17.55	765815.00
2004-05-11 15:30:00	:O	17.46	18.14	17.46	17.91	448997.00
2004-05-12 15:30:00	:O	18.01	18.04	17.72	18.00	216443.00
2004-05-13 15:30:00	:O	17.82	18.23	17.82	18.08	564447.00
2004-05-14 15:30:00	:O	18.28	18.50	18.04	18.37	184638.00
2004-05-17 15:30:00	:O	18.37	18.40	18.03	18.25	499597.00
2004-05-18 15:30:00	:O	18.37	18.72	18.27	18.72	276131.00
2004-05-19 15:30:00	:O	18.84	18.91	18.12	18.12	250934.00
2004-05-20 15:30:00	:O	18.18	18.55	18.18	18.54	201367.00
2004-05-21 15:30:00	:O	18.54	18.76	18.54	18.71	214791.00
2004-05-24 15:30:00	:O	18.64	18.88	18.64	18.88	232140.00
2004-05-25 15:30:00	:O	18.74	19.12	18.72	19.12	229042.00
2004-05-26 15:30:00	:O	19.13	19.39	18.99	19.37	293273.00
2004-05-27 15:30:00	:O	19.46	19.46	19.13	19.25	262913.00
2004-05-28 15:30:00	:O	19.27	19.42	19.21	19.34	254858.00
2004-06-01 15:30:00	:O	19.32	19.32	18.99	19.15	252793.00
2004-06-02 15:30:00	:O	19.13	19.44	19.13	19.32	339329.00
2004-06-03 15:30:00	:O	19.20	19.37	19.20	19.26	182159.00
2004-06-04 15:30:00	:O	19.26	19.46	19.26	19.36	155104.00
2004-06-07 15:30:00	:O	19.00	19.45	19.00	19.42	266630.00
2004-06-08 15:30:00	:O	19.37	19.37	19.22	19.29	247836.00
2004-06-09 15:30:00	:O	19.29	19.40	19.25	19.32	346351.00
2004-06-10 15:30:00	:O	19.34	19.40	19.23	19.34	281914.00
2004-06-14 15:30:00	:O	19.37	19.39	19.09	19.25	348210.00
2004-06-15 15:30:00	:O	19.40	19.48	19.15	19.36	328796.00
2004-06-16 15:30:00	:O	19.42	19.79	19.29	19.68	324872.00
2004-06-17 15:30:00	:O	19.56	20.06	19.56	20.02	302567.00
2004-06-18 15:30:00	:O	20.05	20.27	19.94	20.26	459943.00
2004-06-21 15:30:00	:O	20.17	20.33	20.09	20.32	228216.00
2004-06-22 15:30:00	:O	20.32	20.48	20.20	20.46	420289.00
2004-06-23 15:30:00	:O	20.34	20.45	20.31	20.41	324459.00
2004-06-24 15:30:00	:O	20.40	20.56	20.37	20.45	327763.00
2004-06-25 15:30:00	:O	20.70	20.95	20.48	20.53	2894937.00
2004-06-28 15:30:00	:O	20.72	20.73	20.46	20.67	372581.00
2004-06-29 15:30:00	:O	20.58	20.63	19.79	19.85	541936.00
2004-06-30 15:30:00	:O	19.92	20.21	19.79	20.21	468204.00
2004-07-01 15:30:00	:O	20.21	20.25	19.86	20.09	262293.00
2004-07-02 15:30:00	:O	20.12	20.64	20.08	20.64	270141.00
2004-07-06 15:30:00	:O	20.64	20.67	20.02	20.22	249282.00
2004-07-07 15:30:00	:O	20.23	20.54	20.23	20.54	246597.00
2004-07-08 15:30:00	:O	20.43	20.52	20.14	20.19	365765.00
2004-07-09 15:30:00	:O	20.21	20.41	20.12	20.17	216443.00
2004-07-12 15:30:00	:O	20.29	20.48	20.21	20.45	255891.00
2004-07-13 15:30:00	:O	20.45	20.48	20.31	20.34	320328.00
2004-07-14 15:30:00	:O	20.39	20.46	20.24	20.31	202606.00
2004-07-15 15:30:00	:O	20.43	20.67	20.37	20.46	283772.00
2004-07-16 15:30:00	:O	20.53	20.66	20.37	20.38	166670.00
2004-07-19 15:30:00	:O	20.43	20.72	20.31	20.60	235238.00
2004-07-20 15:30:00	:O	20.61	20.82	20.58	20.80	193932.00
2004-07-21 15:30:00	:O	20.80	20.82	20.19	20.20	476052.00
2004-07-22 15:30:00	:O	20.27	20.27	19.75	19.75	271794.00
2004-07-23 15:30:00	:O	19.75	19.75	19.24	19.34	559078.00
2004-07-26 15:30:00	:O	19.29	19.50	19.06	19.14	285838.00
2004-07-27 15:30:00	:O	19.14	19.49	19.14	19.42	319915.00
2004-07-28 15:30:00	:O	19.49	19.58	19.11	19.50	332514.00
2004-07-29 15:30:00	:O	19.49	19.56	19.25	19.37	262087.00
2004-07-30 15:30:00	:O	19.44	19.67	19.41	19.62	249695.00
2004-08-02 15:30:00	:O	19.56	19.90	19.32	19.87	277370.00
2004-08-03 15:30:00	:O	19.87	19.96	19.69	19.84	206530.00
2004-08-04 15:30:00	:O	19.83	20.14	19.71	20.05	180507.00
2004-08-05 15:30:00	:O	19.97	19.97	19.64	19.64	219748.00
2004-08-06 15:30:00	:O	19.71	19.96	19.52	19.62	297816.00
2004-08-09 15:30:00	:O	19.72	19.78	19.46	19.46	155310.00
2004-08-10 15:30:00	:O	19.58	19.82	19.51	19.66	221813.00
2004-08-11 15:30:00	:O	19.68	19.71	19.54	19.71	210454.00
2004-08-12 15:30:00	:O	19.63	19.70	19.56	19.59	174724.00
2004-08-13 15:30:00	:O	19.71	19.75	19.41	19.60	244738.00
2004-08-16 15:30:00	:O	19.64	20.02	19.64	19.97	176790.00
2004-08-17 15:30:00	:O	20.17	20.19	19.92	20.19	188975.00
2004-08-18 15:30:00	:O	20.26	20.77	20.14	20.77	324665.00
2004-08-19 15:30:00	:O	20.75	20.75	20.24	20.24	241640.00
2004-08-20 15:30:00	:O	20.36	20.93	20.34	20.93	358123.00
2004-08-23 15:30:00	:O	20.89	20.94	20.64	20.78	209834.00
2004-08-24 15:30:00	:O	20.85	21.04	20.77	21.02	286251.00
2004-08-25 15:30:00	:O	20.99	21.13	20.81	21.02	274892.00
2004-08-26 15:30:00	:O	21.21	21.23	20.98	21.13	271381.00
2004-08-27 15:30:00	:O	21.04	21.33	21.04	21.32	179474.00
2004-08-30 15:30:00	:O	21.11	21.35	20.97	21.28	255891.00
2004-08-31 15:30:00	:O	21.40	21.41	21.23	21.36	276337.00
2004-09-01 15:30:00	:O	21.35	21.59	21.18	21.26	311241.00
2004-09-02 15:30:00	:O	21.23	21.43	21.13	21.43	200128.00
2004-09-03 15:30:00	:O	21.42	21.52	21.27	21.45	160887.00
2004-09-07 15:30:00	:O	21.38	21.66	21.35	21.66	227596.00
2004-09-08 15:30:00	:O	21.66	21.67	21.50	21.62	260434.00
2004-09-09 15:30:00	:O	21.62	21.62	21.28	21.43	362047.00
2004-09-10 15:30:00	:O	21.43	21.50	21.13	21.37	276957.00
2004-09-13 15:30:00	:O	21.44	21.54	21.24	21.30	239368.00
2004-09-14 15:30:00	:O	21.30	21.30	21.03	21.13	392614.00
2004-09-15 15:30:00	:O	21.16	21.30	20.97	21.22	204671.00
2004-09-16 15:30:00	:O	21.34	21.67	21.26	21.64	237510.00
2004-09-17 15:30:00	:O	21.76	21.76	21.43	21.55	366385.00
2004-09-20 15:30:00	:O	21.64	21.64	21.39	21.45	207769.00
2004-09-21 15:30:00	:O	21.43	21.57	21.40	21.57	197856.00
2004-09-22 15:30:00	:O	21.50	21.52	21.30	21.43	328796.00
2004-09-23 15:30:00	:O	21.52	21.65	21.41	21.45	201573.00
2004-09-24 15:30:00	:O	21.44	21.61	21.43	21.52	130320.00
2004-09-27 15:30:00	:O	21.55	21.55	21.38	21.48	157169.00
2004-09-28 15:30:00	:O	21.50	21.78	21.49	21.78	251141.00
2004-09-29 15:30:00	:O	21.67	21.74	21.57	21.74	192899.00
2004-09-30 15:30:00	:O	21.78	21.98	21.70	21.80	288936.00
2004-10-01 15:30:00	:O	21.76	22.35	21.76	22.35	435779.00
2004-10-04 15:30:00	:O	22.35	22.39	22.20	22.32	222433.00
2004-10-05 15:30:00	:O	22.22	22.40	22.12	22.30	197443.00
2004-10-06 15:30:00	:O	22.32	22.51	22.31	22.51	178235.00
2004-10-07 15:30:00	:O	22.39	22.51	22.24	22.25	264152.00
2004-10-08 15:30:00	:O	22.25	22.47	22.18	22.39	240194.00
2004-10-11 15:30:00	:O	22.39	22.49	22.29	22.30	119994.00
2004-10-12 15:30:00	:O	22.32	22.73	22.15	22.59	238129.00
2004-10-13 15:30:00	:O	22.64	22.68	22.47	22.56	206117.00
2004-10-14 15:30:00	:O	22.56	22.74	22.54	22.61	334372.00
2004-10-15 15:30:00	:O	22.62	22.89	22.59	22.79	334785.00
2004-10-18 15:30:00	:O	22.83	23.12	22.66	23.00	206323.00
2004-10-19 15:30:00	:O	22.95	23.24	22.78	22.87	223879.00
2004-10-20 15:30:00	:O	22.78	22.95	22.52	22.82	231933.00
2004-10-21 15:30:00	:O	22.92	23.18	22.78	23.10	178855.00
2004-10-22 15:30:00	:O	23.05	23.28	22.65	22.71	206943.00
2004-10-25 15:30:00	:O	22.64	22.94	22.53	22.94	205497.00
2004-10-26 15:30:00	:O	23.06	23.46	22.89	23.46	284599.00
2004-10-27 15:30:00	:O	23.56	23.65	23.34	23.65	232553.00
2004-10-28 15:30:00	:O	23.48	23.58	23.28	23.57	161919.00
2004-10-29 15:30:00	:O	23.48	23.68	23.02	23.24	284392.00
2004-11-01 15:30:00	:O	23.31	23.60	23.17	23.53	210248.00
2004-11-02 15:30:00	:O	23.53	23.64	23.12	23.16	248043.00
2004-11-03 15:30:00	:O	23.28	23.69	23.28	23.64	187529.00
2004-11-04 15:30:00	:O	23.56	23.89	23.53	23.84	275098.00
2004-11-05 15:30:00	:O	23.84	23.84	22.97	23.10	520869.00
2004-11-08 15:30:00	:O	23.10	23.27	23.00	23.10	236477.00
2004-11-09 15:30:00	:O	23.10	23.24	23.01	23.10	173279.00
2004-11-10 15:30:00	:O	23.01	23.73	22.99	23.22	246184.00
2004-11-11 15:30:00	:O	23.24	23.43	23.20	23.36	298643.00
2004-11-12 15:30:00	:O	23.53	23.97	23.40	23.95	250314.00
2004-11-15 15:30:00	:O	23.97	24.16	23.78	23.97	318676.00
2004-11-16 15:30:00	:O	24.02	24.15	23.69	23.69	233585.00
2004-11-17 15:30:00	:O	23.75	24.08	23.27	23.34	295545.00
2004-11-18 15:30:00	:O	23.56	23.74	23.22	23.32	414713.00
2004-11-19 15:30:00	:O	23.39	23.45	23.24	23.24	265804.00
2004-11-22 15:30:00	:O	23.35	23.63	23.30	23.58	362461.00
2004-11-23 15:30:00	:O	23.60	23.94	23.37	23.94	339742.00
2004-11-24 15:30:00	:O	23.85	24.47	23.74	24.45	395299.00
2004-11-26 15:30:00	:O	24.38	24.43	24.21	24.21	105950.00
2004-11-29 15:30:00	:O	24.14	24.23	23.87	24.10	357297.00
2004-11-30 15:30:00	:O	24.11	24.15	23.87	24.13	248869.00
2004-12-01 15:30:00	:O	24.23	24.69	24.20	24.55	397777.00
2004-12-02 15:30:00	:O	24.51	24.56	24.21	24.39	268696.00
2004-12-03 15:30:00	:O	24.31	24.65	24.31	24.65	241434.00
2004-12-06 15:30:00	:O	24.65	24.84	24.46	24.67	265391.00
2004-12-07 15:30:00	:O	24.62	24.65	24.07	24.09	342634.00
2004-12-08 15:30:00	:O	24.16	24.53	24.16	24.49	247630.00
2004-12-09 15:30:00	:O	24.42	24.67	24.19	24.67	249075.00
2004-12-10 15:30:00	:O	24.69	25.18	24.57	25.15	262500.00
2004-12-13 15:30:00	:O	25.18	25.25	25.13	25.25	262500.00
2004-12-14 15:30:00	:O	24.91	25.11	24.60	24.69	424213.00
2004-12-15 15:30:00	:O	24.69	24.92	24.52	24.77	326524.00
2004-12-16 15:30:00	:O	24.72	24.82	24.39	24.45	324872.00
2004-12-17 15:30:00	:O	24.33	24.69	23.92	24.69	456225.00
