datetime	symbol	open	high	low	close	volume
2012-07-20 15:30:00	:PANW	18.38	20.69	17.70	17.71	21048198.00
2012-07-23 15:30:00	:PANW	17.53	18.00	17.03	17.17	2365154.00
2012-07-24 15:30:00	:PANW	17.33	18.67	17.17	18.50	2150111.00
2012-07-25 15:30:00	:PANW	18.83	19.67	18.43	19.65	1798825.00
2012-07-26 15:30:00	:PANW	19.93	20.62	19.36	19.96	1283404.00
2012-07-27 15:30:00	:PANW	20.29	20.29	19.00	19.00	460056.00
2012-07-30 15:30:00	:PANW	18.95	18.95	17.97	18.33	829179.00
2012-07-31 15:30:00	:PANW	18.33	19.05	17.40	19.05	856203.00
2012-08-01 15:30:00	:PANW	19.57	19.57	18.38	18.73	332427.00
2012-08-02 15:30:00	:PANW	18.56	20.00	17.76	18.37	497913.00
2012-08-03 15:30:00	:PANW	18.88	18.97	18.08	18.26	872529.00
2012-08-06 15:30:00	:PANW	18.57	18.64	17.89	18.26	468672.00
2012-08-07 15:30:00	:PANW	18.33	19.15	18.17	18.93	1097197.00
2012-08-08 15:30:00	:PANW	18.73	20.33	18.62	20.31	1511815.00
2012-08-09 15:30:00	:PANW	20.33	20.82	19.95	20.44	879390.00
2012-08-10 15:30:00	:PANW	20.33	21.32	20.16	20.44	855081.00
2012-08-13 15:30:00	:PANW	20.37	21.03	20.00	20.91	665991.00
2012-08-14 15:30:00	:PANW	21.38	21.45	19.78	19.93	1420951.00
2012-08-15 15:30:00	:PANW	19.87	20.97	19.23	20.91	761208.00
2012-08-16 15:30:00	:PANW	21.17	22.30	20.62	22.17	1115590.00
2012-08-17 15:30:00	:PANW	22.37	22.83	21.61	22.43	1153672.00
2012-08-20 15:30:00	:PANW	22.26	22.38	21.66	21.82	809961.00
2012-08-21 15:30:00	:PANW	21.83	22.14	21.09	21.44	742698.00
2012-08-22 15:30:00	:PANW	21.69	21.72	21.04	21.08	373956.00
2012-08-23 15:30:00	:PANW	21.07	21.63	20.83	21.38	645609.00
2012-08-24 15:30:00	:PANW	21.15	21.92	21.08	21.59	608625.00
2012-08-27 15:30:00	:PANW	21.68	21.94	20.87	21.23	530826.00
2012-08-28 15:30:00	:PANW	21.23	21.47	20.97	21.30	312456.00
2012-08-29 15:30:00	:PANW	21.41	21.70	21.03	21.58	485967.00
2012-08-30 15:30:00	:PANW	21.57	22.22	21.09	21.14	689562.00
2012-08-31 15:30:00	:PANW	21.49	21.53	21.03	21.46	276708.00
2012-09-04 15:30:00	:PANW	21.77	23.43	21.30	23.40	2303405.00
2012-09-05 15:30:00	:PANW	24.20	24.20	23.04	23.33	1418926.00
2012-09-06 15:30:00	:PANW	23.57	24.00	23.46	23.80	674199.00
2012-09-07 15:30:00	:PANW	24.05	24.07	23.12	23.58	1770511.00
2012-09-10 15:30:00	:PANW	23.84	24.20	23.71	23.92	4154668.00
2012-09-11 15:30:00	:PANW	22.25	23.25	21.44	22.20	9077511.00
2012-09-12 15:30:00	:PANW	22.56	22.75	21.58	21.62	2067134.00
2012-09-13 15:30:00	:PANW	21.58	22.74	21.58	22.66	2303309.00
2012-09-14 15:30:00	:PANW	22.86	22.99	22.29	22.33	1273990.00
2012-09-17 15:30:00	:PANW	22.24	22.66	22.19	22.64	445113.00
2012-09-18 15:30:00	:PANW	22.34	23.44	22.34	23.06	1297492.00
2012-09-19 15:30:00	:PANW	22.99	22.99	22.50	22.67	1174219.00
2012-09-20 15:30:00	:PANW	22.23	22.47	21.55	21.68	775803.00
2012-09-21 15:30:00	:PANW	21.82	21.83	20.75	21.34	1576126.00
2012-09-24 15:30:00	:PANW	21.33	21.62	20.80	21.55	913878.00
2012-09-25 15:30:00	:PANW	21.80	22.18	21.38	21.39	1135765.00
2012-09-26 15:30:00	:PANW	21.32	21.32	20.85	21.08	1178068.00
2012-09-27 15:30:00	:PANW	21.33	21.74	21.12	21.69	1128286.00
2012-09-28 15:30:00	:PANW	21.67	21.77	20.42	20.52	3194841.00
2012-10-01 15:30:00	:PANW	20.54	21.06	20.08	20.20	1192282.00
2012-10-02 15:30:00	:PANW	20.55	20.80	19.99	20.67	1106974.00
2012-10-03 15:30:00	:PANW	20.95	22.07	20.72	21.95	2493077.00
2012-10-04 15:30:00	:PANW	21.94	21.99	21.52	21.92	528609.00
2012-10-05 15:30:00	:PANW	21.75	21.87	20.29	20.67	2291498.00
2012-10-08 15:30:00	:PANW	20.79	20.95	20.48	20.69	590874.00
2012-10-09 15:30:00	:PANW	20.39	20.96	20.33	20.65	740991.00
2012-10-10 15:30:00	:PANW	20.53	21.17	20.47	20.48	1637539.00
2012-10-11 15:30:00	:PANW	20.69	20.82	20.25	20.32	887169.00
2012-10-12 15:30:00	:PANW	20.83	21.05	20.36	20.99	961194.00
2012-10-15 15:30:00	:PANW	21.04	21.93	20.97	21.85	885180.00
2012-10-16 15:30:00	:PANW	21.96	21.99	21.43	21.86	782601.00
2012-10-17 15:30:00	:PANW	21.74	22.33	21.50	21.83	2237342.00
2012-10-18 15:30:00	:PANW	21.36	21.36	20.56	20.63	12212118.00
2012-10-19 15:30:00	:PANW	20.61	20.93	19.67	20.01	2582234.00
2012-10-22 15:30:00	:PANW	20.04	20.37	20.00	20.00	1546810.00
2012-10-23 15:30:00	:PANW	20.00	20.05	19.18	19.92	2661503.00
2012-10-24 15:30:00	:PANW	20.17	20.18	19.63	19.92	1002028.00
2012-10-25 15:30:00	:PANW	20.04	20.04	19.23	19.35	1332349.00
2012-10-26 15:30:00	:PANW	19.55	19.55	18.73	18.77	2600051.00
2012-10-31 14:30:00	:PANW	18.80	19.06	18.00	18.33	3398418.00
2012-11-01 14:30:00	:PANW	18.58	19.01	18.15	18.73	2414336.00
2012-11-02 14:30:00	:PANW	18.82	18.92	18.09	18.20	1476427.00
2012-11-05 15:30:00	:PANW	18.33	18.90	18.11	18.60	1942498.00
2012-11-06 15:30:00	:PANW	18.60	18.87	18.17	18.47	1080835.00
2012-11-07 15:30:00	:PANW	18.28	18.43	17.95	17.97	454335.00
2012-11-08 15:30:00	:PANW	17.95	18.29	17.21	17.32	1806670.00
2012-11-09 15:30:00	:PANW	17.23	17.78	17.17	17.33	973083.00
2012-11-12 15:30:00	:PANW	17.34	17.62	17.25	17.43	680157.00
2012-11-13 15:30:00	:PANW	17.58	17.90	17.52	17.73	1434610.00
2012-11-14 15:30:00	:PANW	18.00	18.06	17.17	17.46	1110400.00
2012-11-15 15:30:00	:PANW	17.99	17.99	16.85	17.13	678489.00
2012-11-16 15:30:00	:PANW	16.90	17.90	16.67	17.75	2019593.00
2012-11-19 15:30:00	:PANW	17.92	18.67	17.92	18.67	1589254.00
2012-11-20 15:30:00	:PANW	18.58	18.67	18.00	18.14	913251.00
2012-11-21 15:30:00	:PANW	18.06	18.51	17.99	18.48	1191286.00
2012-11-23 15:30:00	:PANW	18.66	18.75	18.41	18.47	194475.00
2012-11-26 15:30:00	:PANW	18.37	18.67	17.98	18.63	1015348.00
2012-11-27 15:30:00	:PANW	18.40	19.11	18.37	18.68	689865.00
2012-11-28 15:30:00	:PANW	18.45	18.53	17.64	18.19	956919.00
2012-11-29 15:30:00	:PANW	18.23	18.75	18.04	18.62	1037740.00
2012-11-30 15:30:00	:PANW	18.68	18.68	17.72	18.14	4418971.00
2012-12-03 15:30:00	:PANW	18.14	18.14	17.12	17.22	1740424.00
2012-12-04 15:30:00	:PANW	17.51	17.90	17.20	17.88	2074433.00
2012-12-05 15:30:00	:PANW	17.80	18.02	17.21	17.37	970329.00
2012-12-06 15:30:00	:PANW	17.48	18.19	16.85	17.10	3367494.00
2012-12-07 15:30:00	:PANW	16.67	17.37	15.88	17.10	6583455.00
2012-12-10 15:30:00	:PANW	17.07	17.16	16.17	16.27	1876492.00
