datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:PAYX	37.60	38.12	37.58	37.93	1487907.00
2004-04-08 15:30:00	:PAYX	37.94	38.25	37.53	37.72	1277609.00
2004-04-12 15:30:00	:PAYX	37.78	38.75	37.78	38.69	1674705.00
2004-04-13 15:30:00	:PAYX	38.75	39.12	37.91	38.15	2375455.00
2004-04-14 15:30:00	:PAYX	37.99	38.68	37.83	38.50	1647568.00
2004-04-15 15:30:00	:PAYX	38.64	39.06	38.53	38.80	3003809.00
2004-04-16 15:30:00	:PAYX	38.98	39.01	38.45	38.64	3079483.00
2004-04-19 15:30:00	:PAYX	38.80	39.04	38.52	38.97	1403914.00
2004-04-20 15:30:00	:PAYX	38.87	38.97	37.91	37.99	1613268.00
2004-04-21 15:30:00	:PAYX	38.05	38.27	37.25	38.02	2108555.00
2004-04-22 15:30:00	:PAYX	37.85	38.81	37.67	38.47	1767929.00
2004-04-23 15:30:00	:PAYX	38.25	38.27	37.75	37.85	1945015.00
2004-04-26 15:30:00	:PAYX	37.89	37.89	36.57	36.86	3084429.00
2004-04-27 15:30:00	:PAYX	37.19	37.78	36.90	37.25	2273976.00
2004-04-28 15:30:00	:PAYX	37.41	37.60	36.64	37.11	1551244.00
2004-04-29 15:30:00	:PAYX	36.65	37.73	36.57	36.86	2109441.00
2004-04-30 15:30:00	:PAYX	37.25	37.70	36.92	37.17	2135132.00
2004-05-03 15:30:00	:PAYX	37.23	37.86	36.93	37.54	1975504.00
2004-05-04 15:30:00	:PAYX	37.38	37.52	36.75	37.03	2402332.00
2004-05-05 15:30:00	:PAYX	36.95	37.15	36.65	36.96	1921868.00
2004-05-06 15:30:00	:PAYX	36.82	37.30	36.80	37.05	2432904.00
2004-05-07 15:30:00	:PAYX	37.22	38.73	37.22	37.60	5321609.00
2004-05-10 15:30:00	:PAYX	37.40	38.32	37.17	37.83	3557543.00
2004-05-11 15:30:00	:PAYX	37.77	37.83	37.25	37.71	2089445.00
2004-05-12 15:30:00	:PAYX	37.22	37.58	36.50	37.39	2645279.00
2004-05-13 15:30:00	:PAYX	37.43	37.87	37.04	37.67	1473215.00
2004-05-14 15:30:00	:PAYX	37.70	38.10	37.00	37.43	1333058.00
2004-05-17 15:30:00	:PAYX	37.50	37.59	36.10	36.42	2600731.00
2004-05-18 15:30:00	:PAYX	36.90	37.13	36.54	36.80	1870060.00
2004-05-19 15:30:00	:PAYX	37.02	37.02	36.48	36.67	2018899.00
2004-05-20 15:30:00	:PAYX	36.57	36.71	35.89	36.16	2218001.00
2004-05-21 15:30:00	:PAYX	36.28	36.47	36.00	36.38	1802117.00
2004-05-24 15:30:00	:PAYX	36.50	36.58	35.98	36.19	1255956.00
2004-05-25 15:30:00	:PAYX	36.06	37.37	36.05	37.13	2716633.00
2004-05-26 15:30:00	:PAYX	37.02	37.52	36.75	37.39	1309159.00
2004-05-27 15:30:00	:PAYX	37.67	37.96	37.15	37.92	1656432.00
2004-05-28 15:30:00	:PAYX	37.86	37.96	37.51	37.51	1027349.00
2004-06-01 15:30:00	:PAYX	37.35	38.19	37.20	38.15	1857115.00
2004-06-02 15:30:00	:PAYX	38.00	38.56	37.88	38.41	1578909.00
2004-06-03 15:30:00	:PAYX	38.15	38.79	38.05	38.17	1543171.00
2004-06-04 15:30:00	:PAYX	38.42	38.42	37.71	37.92	1614069.00
2004-06-07 15:30:00	:PAYX	37.73	38.59	37.73	38.54	1037634.00
2004-06-08 15:30:00	:PAYX	38.68	38.88	38.25	38.84	1822555.00
2004-06-09 15:30:00	:PAYX	38.56	38.76	38.18	38.28	1307540.00
2004-06-10 15:30:00	:PAYX	38.43	38.52	38.00	38.25	1199040.00
2004-06-14 15:30:00	:PAYX	38.04	38.07	37.35	37.51	1411579.00
2004-06-15 15:30:00	:PAYX	37.76	38.19	37.66	37.97	1501823.00
2004-06-16 15:30:00	:PAYX	37.89	38.30	37.86	38.07	1101326.00
2004-06-17 15:30:00	:PAYX	38.15	38.15	37.29	37.38	1699261.00
2004-06-18 15:30:00	:PAYX	37.15	38.40	37.02	37.71	2247441.00
