datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:PCAR	17.47	17.51	17.17	17.31	2865745.00
2004-04-08 15:30:00	:PCAR	17.40	17.45	16.94	17.08	2025226.00
2004-04-12 15:30:00	:PCAR	17.13	17.36	17.02	17.26	1304496.00
2004-04-13 15:30:00	:PCAR	17.29	17.29	16.80	16.86	2100522.00
2004-04-14 15:30:00	:PCAR	16.90	17.10	16.73	16.89	1964090.00
2004-04-15 15:30:00	:PCAR	16.96	16.98	16.73	16.86	2184177.00
2004-04-16 15:30:00	:PCAR	16.95	17.05	16.71	16.88	2238109.00
2004-04-19 15:30:00	:PCAR	16.95	17.21	16.75	17.21	2640828.00
2004-04-20 15:30:00	:PCAR	17.22	17.45	16.80	16.81	2636145.00
2004-04-21 15:30:00	:PCAR	16.79	17.02	16.43	16.95	2957307.00
2004-04-22 15:30:00	:PCAR	16.95	17.77	16.81	17.72	3754213.00
2004-04-23 15:30:00	:PCAR	17.68	17.72	17.43	17.70	3881323.00
2004-04-26 15:30:00	:PCAR	17.60	17.78	17.22	17.40	2770903.00
2004-04-27 15:30:00	:PCAR	17.95	17.99	17.29	17.40	4398711.00
2004-04-28 15:30:00	:PCAR	17.54	17.61	16.78	16.83	5829555.00
2004-04-29 15:30:00	:PCAR	16.90	17.12	16.19	16.35	4489944.00
2004-04-30 15:30:00	:PCAR	16.37	17.13	16.32	16.74	5087520.00
2004-05-03 15:30:00	:PCAR	16.94	16.95	16.51	16.84	3034822.00
2004-05-04 15:30:00	:PCAR	16.61	17.14	16.54	16.82	4685640.00
2004-05-05 15:30:00	:PCAR	16.84	16.92	16.63	16.76	2452341.00
2004-05-06 15:30:00	:PCAR	16.61	16.68	16.22	16.47	3617797.00
2004-05-07 15:30:00	:PCAR	16.30	16.53	16.15	16.18	3884131.00
2004-05-10 15:30:00	:PCAR	16.11	16.16	15.41	15.70	6397537.00
2004-05-11 15:30:00	:PCAR	15.84	16.25	15.67	16.07	3415187.00
