datetime	symbol	open	high	low	close	volume
2019-11-05 15:30:00	:PEAK	34.75	34.82	33.85	34.41	8054269.00
2019-11-06 15:30:00	:PEAK	34.40	34.81	34.22	34.53	6111290.00
2019-11-07 15:30:00	:PEAK	34.18	34.24	33.38	33.64	4003528.00
2019-11-08 15:30:00	:PEAK	33.59	33.83	33.38	33.69	4242895.00
2019-11-11 15:30:00	:PEAK	33.59	33.87	33.41	33.41	2811787.00
2019-11-12 15:30:00	:PEAK	33.40	33.95	33.23	33.25	4136480.00
2019-11-13 15:30:00	:PEAK	33.48	34.11	33.39	33.91	3456729.00
2019-11-14 15:30:00	:PEAK	34.15	34.15	33.76	33.99	2730574.00
2019-11-15 15:30:00	:PEAK	33.96	34.55	33.82	34.45	9046516.00
2019-11-18 15:30:00	:PEAK	34.41	35.04	34.40	34.75	3729014.00
2019-11-19 15:30:00	:PEAK	34.81	35.16	34.59	35.00	3362416.00
2019-11-20 15:30:00	:PEAK	34.95	35.36	34.67	35.09	3701761.00
2019-11-21 15:30:00	:PEAK	34.94	34.99	34.34	34.34	3303128.00
2019-11-22 15:30:00	:PEAK	34.47	34.66	34.12	34.40	3242586.00
2019-11-25 15:30:00	:PEAK	34.30	34.79	34.27	34.41	3931533.00
2019-11-26 15:30:00	:PEAK	34.40	34.91	34.38	34.86	16068068.00
2019-11-27 15:30:00	:PEAK	34.86	35.13	34.70	35.10	2539791.00
2019-11-29 15:30:00	:PEAK	35.10	35.37	34.88	34.88	1965468.00
2019-12-02 15:30:00	:PEAK	34.79	34.88	33.76	33.83	4307410.00
2019-12-03 15:30:00	:PEAK	33.89	34.59	33.89	34.38	3158321.00
2019-12-04 15:30:00	:PEAK	34.17	34.52	34.11	34.39	3668208.00
2019-12-05 15:30:00	:PEAK	34.25	34.54	34.12	34.53	2757062.00
2019-12-06 15:30:00	:PEAK	34.48	34.67	34.28	34.34	2544500.00
2019-12-09 15:30:00	:PEAK	34.36	34.44	34.15	34.19	2396811.00
2019-12-10 15:30:00	:PEAK	34.23	34.23	33.62	33.65	2981197.00
