datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:PEG	23.51	23.51	23.25	23.45	1673000.00
2004-04-08 15:30:00	:PEG	23.45	23.52	23.18	23.30	1655200.00
2004-04-12 15:30:00	:PEG	23.30	23.32	22.93	23.00	2618000.00
2004-04-13 15:30:00	:PEG	22.95	22.95	22.39	22.55	3652000.00
2004-04-14 15:30:00	:PEG	22.32	22.45	22.05	22.30	2895200.00
2004-04-15 15:30:00	:PEG	22.32	22.80	22.31	22.66	4175200.00
2004-04-16 15:30:00	:PEG	22.70	22.79	22.61	22.72	996000.00
2004-04-19 15:30:00	:PEG	22.68	22.68	22.48	22.52	1008400.00
2004-04-20 15:30:00	:PEG	22.52	22.62	22.35	22.35	1307000.00
2004-04-21 15:30:00	:PEG	22.35	22.38	22.09	22.25	1291200.00
2004-04-22 15:30:00	:PEG	22.17	22.61	22.17	22.55	1624400.00
2004-04-23 15:30:00	:PEG	22.55	22.68	22.41	22.43	1865000.00
2004-04-26 15:30:00	:PEG	22.32	22.55	22.29	22.41	1851400.00
2004-04-27 15:30:00	:PEG	22.39	22.45	22.24	22.27	1945000.00
2004-04-28 15:30:00	:PEG	22.32	22.48	22.07	22.30	2414800.00
2004-04-29 15:30:00	:PEG	22.30	22.30	21.40	21.44	4875400.00
2004-04-30 15:30:00	:PEG	21.44	21.77	21.35	21.45	2751400.00
2004-05-03 15:30:00	:PEG	21.50	21.50	21.14	21.38	1207000.00
2004-05-04 15:30:00	:PEG	21.38	21.41	21.11	21.14	1668400.00
2004-05-05 15:30:00	:PEG	21.14	21.21	21.04	21.04	1457600.00
2004-05-06 15:30:00	:PEG	21.00	21.00	20.75	20.91	3069200.00
2004-05-07 15:30:00	:PEG	20.78	20.81	20.12	20.28	3376200.00
2004-05-10 15:30:00	:PEG	20.05	20.30	19.84	20.08	2856000.00
2004-05-11 15:30:00	:PEG	20.15	20.35	19.98	20.07	1927800.00
2004-05-12 15:30:00	:PEG	20.07	20.20	19.83	20.18	1645200.00
2004-05-13 15:30:00	:PEG	20.18	20.39	20.11	20.29	1938000.00
2004-05-14 15:30:00	:PEG	20.30	20.57	20.30	20.43	1774600.00
2004-05-17 15:30:00	:PEG	20.35	20.36	20.09	20.16	1188200.00
2004-05-18 15:30:00	:PEG	20.29	20.45	20.25	20.32	1842000.00
2004-05-19 15:30:00	:PEG	20.45	20.54	20.18	20.20	1057800.00
2004-05-20 15:30:00	:PEG	20.24	20.39	20.16	20.20	1157600.00
2004-05-21 15:30:00	:PEG	20.27	20.35	20.07	20.14	1168800.00
2004-05-24 15:30:00	:PEG	20.20	20.45	20.19	20.43	1395400.00
2004-05-25 15:30:00	:PEG	20.45	20.85	20.29	20.84	1700000.00
2004-05-26 15:30:00	:PEG	20.85	21.05	20.73	20.93	1693600.00
2004-05-27 15:30:00	:PEG	20.99	21.25	20.78	20.85	1859200.00
2004-05-28 15:30:00	:PEG	20.89	21.13	20.85	21.08	1225200.00
2004-06-01 15:30:00	:PEG	21.10	21.16	20.82	20.83	1605400.00
2004-06-02 15:30:00	:PEG	20.88	21.09	20.88	20.95	1009000.00
2004-06-03 15:30:00	:PEG	20.90	20.94	20.78	20.83	1941200.00
2004-06-04 15:30:00	:PEG	20.62	20.69	20.47	20.48	2029000.00
2004-06-07 15:30:00	:PEG	20.50	20.67	20.50	20.67	982800.00
2004-06-08 15:30:00	:PEG	20.60	20.61	20.43	20.50	959200.00
2004-06-09 15:30:00	:PEG	20.50	20.61	20.40	20.46	1426800.00
2004-06-10 15:30:00	:PEG	20.48	20.55	20.25	20.38	1369400.00
2004-06-14 15:30:00	:PEG	20.38	20.39	20.24	20.29	1952600.00
2004-06-15 15:30:00	:PEG	20.36	20.48	20.23	20.29	2022600.00
2004-06-16 15:30:00	:PEG	20.31	20.39	20.26	20.34	1019000.00
2004-06-17 15:30:00	:PEG	20.34	20.34	20.23	20.23	1729000.00
2004-06-18 15:30:00	:PEG	20.23	20.35	20.13	20.27	1238000.00
2004-06-21 15:30:00	:PEG	20.32	20.53	20.27	20.36	1559400.00
2004-06-22 15:30:00	:PEG	20.41	20.45	20.23	20.25	1110800.00
2004-06-23 15:30:00	:PEG	20.32	20.60	20.23	20.30	1563200.00
2004-06-24 15:30:00	:PEG	20.37	20.48	20.33	20.35	1493600.00
2004-06-25 15:30:00	:PEG	20.41	20.41	20.00	20.11	2331600.00
2004-06-28 15:30:00	:PEG	20.12	20.29	20.11	20.20	1624000.00
2004-06-29 15:30:00	:PEG	20.27	20.30	20.14	20.14	2832000.00
2004-06-30 15:30:00	:PEG	20.18	20.18	19.85	20.02	2366200.00
2004-07-01 15:30:00	:PEG	20.02	20.02	19.43	19.52	4396400.00
2004-07-02 15:30:00	:PEG	19.62	19.82	19.61	19.82	2365000.00
2004-07-06 15:30:00	:PEG	19.82	19.96	19.81	19.88	1882200.00
2004-07-07 15:30:00	:PEG	19.89	19.91	19.68	19.83	2033800.00
2004-07-08 15:30:00	:PEG	19.80	19.84	19.68	19.70	2030000.00
2004-07-09 15:30:00	:PEG	19.77	19.77	19.52	19.59	1958600.00
2004-07-12 15:30:00	:PEG	19.61	19.64	19.50	19.56	1474800.00
2004-07-13 15:30:00	:PEG	19.56	19.57	19.41	19.45	2319800.00
