datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:PGR	21.94	21.98	21.75	21.80	2236800.00
2004-04-08 15:30:00	:PGR	22.12	22.46	22.10	22.22	2888400.00
2004-04-12 15:30:00	:PGR	22.29	22.48	22.25	22.33	1529600.00
2004-04-13 15:30:00	:PGR	22.47	22.48	21.96	21.96	3327600.00
2004-04-14 15:30:00	:PGR	21.97	22.25	21.63	21.79	2724400.00
2004-04-15 15:30:00	:PGR	22.12	22.37	22.04	22.30	5371600.00
2004-04-16 15:30:00	:PGR	22.43	22.66	22.42	22.47	3645200.00
2004-04-19 15:30:00	:PGR	22.41	22.62	22.26	22.54	2381600.00
2004-04-20 15:30:00	:PGR	22.60	22.71	22.16	22.16	2417200.00
2004-04-21 15:30:00	:PGR	22.12	22.56	22.04	22.50	3062800.00
2004-04-22 15:30:00	:PGR	22.44	22.99	22.26	22.79	2462000.00
2004-04-23 15:30:00	:PGR	22.56	22.56	22.10	22.19	3500000.00
2004-04-26 15:30:00	:PGR	22.25	22.29	21.80	22.02	2322000.00
2004-04-27 15:30:00	:PGR	22.00	22.20	21.91	21.99	2703600.00
2004-04-28 15:30:00	:PGR	21.89	21.90	21.55	21.62	2518400.00
2004-04-29 15:30:00	:PGR	21.64	21.94	21.56	21.81	3430800.00
2004-04-30 15:30:00	:PGR	21.84	22.04	21.75	21.88	3183600.00
2004-05-03 15:30:00	:PGR	22.00	22.08	21.88	22.06	2783600.00
2004-05-04 15:30:00	:PGR	22.04	22.06	21.53	21.56	3340800.00
2004-05-05 15:30:00	:PGR	21.51	21.89	21.46	21.52	2719200.00
2004-05-06 15:30:00	:PGR	21.40	21.44	21.07	21.22	3199200.00
2004-05-07 15:30:00	:PGR	21.16	21.24	20.80	20.83	2444800.00
2004-05-10 15:30:00	:PGR	20.83	20.83	20.43	20.60	2115600.00
2004-05-11 15:30:00	:PGR	20.54	20.75	20.51	20.65	1941600.00
2004-05-12 15:30:00	:PGR	20.65	20.77	20.32	20.75	2852000.00
2004-05-13 15:30:00	:PGR	20.68	21.25	20.67	20.94	2657200.00
2004-05-14 15:30:00	:PGR	20.94	20.95	20.64	20.75	3096000.00
2004-05-17 15:30:00	:PGR	20.61	20.87	20.39	20.74	3946800.00
2004-05-18 15:30:00	:PGR	20.80	20.99	20.74	20.81	2080800.00
2004-05-19 15:30:00	:PGR	20.93	21.16	20.50	20.56	2277600.00
2004-05-20 15:30:00	:PGR	20.56	20.77	20.55	20.75	2157200.00
2004-05-21 15:30:00	:PGR	20.88	21.21	20.71	20.82	2970000.00
2004-05-24 15:30:00	:PGR	20.97	21.06	20.73	20.80	1535600.00
2004-05-25 15:30:00	:PGR	20.82	21.29	20.70	21.24	3190800.00
2004-05-26 15:30:00	:PGR	21.24	21.28	21.05	21.12	2189200.00
2004-05-27 15:30:00	:PGR	21.22	21.50	21.12	21.41	2582000.00
2004-05-28 15:30:00	:PGR	21.41	21.64	21.35	21.44	2011200.00
2004-06-01 15:30:00	:PGR	21.47	21.56	21.22	21.34	2546400.00
2004-06-02 15:30:00	:PGR	21.40	21.75	21.38	21.57	2080800.00
2004-06-03 15:30:00	:PGR	21.53	21.53	21.24	21.26	1792000.00
2004-06-04 15:30:00	:PGR	21.36	21.54	21.33	21.43	2058400.00
2004-06-07 15:30:00	:PGR	21.54	21.75	21.52	21.70	1192400.00
2004-06-08 15:30:00	:PGR	21.70	21.72	21.40	21.61	1793600.00
2004-06-09 15:30:00	:PGR	21.55	21.80	21.51	21.58	1505200.00
2004-06-10 15:30:00	:PGR	21.76	22.21	21.76	21.88	3167600.00
2004-06-14 15:30:00	:PGR	21.88	21.88	21.38	21.48	3091600.00
2004-06-15 15:30:00	:PGR	21.56	21.80	21.56	21.62	1749600.00
2004-06-16 15:30:00	:PGR	21.62	21.64	21.45	21.46	1957600.00
2004-06-17 15:30:00	:PGR	21.46	21.51	21.32	21.42	1586400.00
2004-06-18 15:30:00	:PGR	21.26	21.50	21.26	21.32	2017600.00
2004-06-21 15:30:00	:PGR	21.32	21.47	21.23	21.26	1641600.00
2004-06-22 15:30:00	:PGR	21.21	21.48	21.21	21.43	4066000.00
2004-06-23 15:30:00	:PGR	21.46	21.56	21.25	21.56	2125200.00
2004-06-24 15:30:00	:PGR	21.54	21.62	21.41	21.41	1794800.00
2004-06-25 15:30:00	:PGR	21.62	21.73	21.41	21.47	5707200.00
2004-06-28 15:30:00	:PGR	21.69	21.69	21.26	21.28	3106400.00
2004-06-29 15:30:00	:PGR	21.34	21.36	21.20	21.23	1469200.00
2004-06-30 15:30:00	:PGR	21.27	21.41	21.19	21.32	1833200.00
2004-07-01 15:30:00	:PGR	21.34	21.34	21.04	21.20	3117200.00
2004-07-02 15:30:00	:PGR	21.25	21.29	21.05	21.12	1314000.00
2004-07-06 15:30:00	:PGR	21.11	21.11	20.90	21.03	2761600.00
2004-07-07 15:30:00	:PGR	21.03	21.03	20.81	20.87	2575600.00
2004-07-08 15:30:00	:PGR	20.77	20.83	20.64	20.64	2778400.00
2004-07-09 15:30:00	:PGR	20.64	20.67	20.48	20.50	3807200.00
2004-07-12 15:30:00	:PGR	20.51	20.63	20.40	20.63	3225200.00
2004-07-13 15:30:00	:PGR	20.68	20.74	20.46	20.46	2560000.00
2004-07-14 15:30:00	:PGR	20.33	20.46	20.20	20.38	3438400.00
2004-07-15 15:30:00	:PGR	20.38	20.38	19.55	19.75	6102000.00
2004-07-16 15:30:00	:PGR	19.87	19.88	19.62	19.64	2671600.00
2004-07-19 15:30:00	:PGR	19.38	19.69	19.36	19.55	4479200.00
2004-07-20 15:30:00	:PGR	19.26	19.45	19.10	19.30	5186800.00
2004-07-21 15:30:00	:PGR	19.11	19.56	19.07	19.17	4392400.00
2004-07-22 15:30:00	:PGR	19.10	19.40	19.09	19.32	5031200.00
2004-07-23 15:30:00	:PGR	19.28	19.28	19.00	19.06	3055200.00
2004-07-26 15:30:00	:PGR	19.06	19.20	18.83	18.96	2981600.00
2004-07-27 15:30:00	:PGR	18.89	19.03	18.82	18.84	2814400.00
2004-07-28 15:30:00	:PGR	18.78	19.01	18.70	18.90	2907200.00
2004-07-29 15:30:00	:PGR	18.90	19.01	18.76	18.95	3048400.00
2004-07-30 15:30:00	:PGR	18.85	19.17	18.84	19.16	3460000.00
2004-08-02 15:30:00	:PGR	19.16	19.22	18.95	19.21	3188800.00
2004-08-03 15:30:00	:PGR	19.22	19.32	19.10	19.24	2558800.00
2004-08-04 15:30:00	:PGR	19.24	19.30	19.04	19.20	2492800.00
2004-08-05 15:30:00	:PGR	19.19	19.22	18.95	18.95	2881200.00
2004-08-06 15:30:00	:PGR	18.90	18.91	18.56	18.67	4044400.00
2004-08-09 15:30:00	:PGR	18.72	18.81	18.62	18.62	4026000.00
2004-08-10 15:30:00	:PGR	18.51	18.66	18.28	18.62	3788000.00
2004-08-11 15:30:00	:PGR	18.71	18.88	18.57	18.88	2737600.00
2004-08-12 15:30:00	:PGR	18.80	18.82	18.69	18.72	2575200.00
2004-08-13 15:30:00	:PGR	18.75	18.79	18.44	18.52	3117600.00
2004-08-16 15:30:00	:PGR	18.58	19.10	18.56	19.10	3046400.00
2004-08-17 15:30:00	:PGR	19.10	19.14	18.94	18.99	2706800.00
2004-08-18 15:30:00	:PGR	18.87	19.31	18.83	19.29	2428000.00
2004-08-19 15:30:00	:PGR	19.22	19.43	19.22	19.36	2507200.00
2004-08-20 15:30:00	:PGR	19.36	19.50	19.34	19.47	1488000.00
2004-08-23 15:30:00	:PGR	19.41	19.57	19.39	19.45	1647200.00
2004-08-24 15:30:00	:PGR	19.47	19.74	19.43	19.68	2373200.00
2004-08-25 15:30:00	:PGR	19.60	19.97	19.60	19.97	2285200.00
2004-08-26 15:30:00	:PGR	19.97	20.16	19.91	20.15	2580400.00
2004-08-27 15:30:00	:PGR	20.11	20.22	20.09	20.20	1736400.00
2004-08-30 15:30:00	:PGR	20.19	20.22	20.09	20.12	1480000.00
2004-08-31 15:30:00	:PGR	20.17	20.18	19.94	20.07	2963200.00
2004-09-01 15:30:00	:PGR	20.08	20.08	19.82	19.88	1844800.00
2004-09-02 15:30:00	:PGR	19.86	20.13	19.76	20.13	1793600.00
2004-09-03 15:30:00	:PGR	20.18	20.35	20.17	20.27	1284800.00
2004-09-07 15:30:00	:PGR	20.25	20.43	20.23	20.38	1954800.00
2004-09-08 15:30:00	:PGR	20.37	20.44	20.12	20.16	1576800.00
2004-09-09 15:30:00	:PGR	20.22	20.22	19.93	19.98	1845200.00
2004-09-10 15:30:00	:PGR	19.98	19.98	19.79	19.81	2547600.00
2004-09-13 15:30:00	:PGR	19.81	20.10	19.81	20.04	3535200.00
2004-09-14 15:30:00	:PGR	20.82	21.32	20.82	21.25	8252000.00
2004-09-15 15:30:00	:PGR	21.20	21.28	21.01	21.11	4769200.00
2004-09-16 15:30:00	:PGR	21.04	21.19	21.04	21.09	1512000.00
2004-09-17 15:30:00	:PGR	21.10	21.40	21.04	21.38	3371200.00
2004-09-20 15:30:00	:PGR	21.26	21.39	21.21	21.24	2572400.00
2004-09-21 15:30:00	:PGR	21.25	21.31	21.15	21.25	1722800.00
2004-09-22 15:30:00	:PGR	21.07	21.19	20.94	20.96	2188800.00
2004-09-23 15:30:00	:PGR	20.93	21.00	20.80	20.93	1848000.00
2004-09-24 15:30:00	:PGR	20.90	20.96	20.80	20.81	1032400.00
2004-09-27 15:30:00	:PGR	20.80	20.81	20.64	20.64	1557600.00
2004-09-28 15:30:00	:PGR	20.77	20.82	20.67	20.78	1734400.00
2004-09-29 15:30:00	:PGR	20.74	20.90	20.69	20.90	1414000.00
2004-09-30 15:30:00	:PGR	20.85	21.36	20.85	21.19	3920000.00
2004-10-01 15:30:00	:PGR	21.21	21.35	21.00	21.12	2516800.00
2004-10-04 15:30:00	:PGR	21.18	21.33	21.11	21.19	2532000.00
2004-10-05 15:30:00	:PGR	21.20	21.25	21.05	21.10	1649600.00
2004-10-06 15:30:00	:PGR	21.16	21.18	20.97	21.12	1835200.00
2004-10-07 15:30:00	:PGR	21.15	21.15	20.98	21.02	1272400.00
2004-10-08 15:30:00	:PGR	21.01	21.09	20.95	21.01	2473200.00
2004-10-11 15:30:00	:PGR	21.05	21.35	21.00	21.33	1832000.00
2004-10-12 15:30:00	:PGR	21.20	21.38	21.20	21.34	3861200.00
2004-10-13 15:30:00	:PGR	21.35	21.50	21.10	21.24	4357600.00
2004-10-14 15:30:00	:PGR	21.38	21.59	21.28	21.31	10844800.00
2004-10-15 15:30:00	:PGR	21.36	21.68	21.24	21.61	11093600.00
2004-10-18 15:30:00	:PGR	22.10	22.40	21.98	22.21	18984796.00
2004-10-19 15:30:00	:PGR	22.18	22.18	21.86	21.90	9487600.00
2004-10-20 15:30:00	:PGR	21.88	22.08	21.70	21.86	6499600.00
2004-10-21 15:30:00	:PGR	21.75	22.18	21.75	22.13	5414400.00
2004-10-22 15:30:00	:PGR	22.12	22.31	22.12	22.18	3871200.00
2004-10-25 15:30:00	:PGR	21.98	22.80	21.95	22.72	5463600.00
2004-10-26 15:30:00	:PGR	22.31	23.18	22.31	23.18	9998800.00
2004-10-27 15:30:00	:PGR	23.14	23.23	22.99	23.23	6947600.00
2004-10-28 15:30:00	:PGR	23.09	23.47	22.94	23.30	3996000.00
2004-10-29 15:30:00	:PGR	23.30	23.44	23.05	23.39	4207600.00
2004-11-01 15:30:00	:PGR	23.06	23.23	22.98	23.20	4794800.00
2004-11-02 15:30:00	:PGR	23.21	23.47	23.13	23.13	2466400.00
2004-11-03 15:30:00	:PGR	23.22	23.56	23.22	23.56	2879200.00
2004-11-04 15:30:00	:PGR	23.45	24.27	23.45	24.24	4865600.00
2004-11-05 15:30:00	:PGR	24.27	24.27	23.50	24.14	4327200.00
2004-11-08 15:30:00	:PGR	24.14	24.32	24.09	24.12	2361200.00
2004-11-09 15:30:00	:PGR	24.00	24.00	23.64	23.78	4324000.00
2004-11-10 15:30:00	:PGR	23.74	24.16	23.68	23.95	3916400.00
2004-11-11 15:30:00	:PGR	23.95	23.96	23.75	23.90	2874400.00
2004-11-12 15:30:00	:PGR	23.75	24.12	23.39	24.12	5061600.00
2004-11-15 15:30:00	:PGR	23.94	24.07	23.48	23.60	4110800.00
2004-11-16 15:30:00	:PGR	23.66	23.67	23.48	23.60	3004000.00
2004-11-17 15:30:00	:PGR	23.60	23.75	23.29	23.38	2760000.00
2004-11-18 15:30:00	:PGR	23.32	23.39	23.26	23.30	1976800.00
2004-11-19 15:30:00	:PGR	23.28	23.32	22.95	23.00	2142000.00
2004-11-22 15:30:00	:PGR	23.03	23.12	22.93	23.12	2319200.00
2004-11-23 15:30:00	:PGR	23.15	23.15	22.71	22.99	2271600.00
2004-11-24 15:30:00	:PGR	23.05	23.12	22.89	22.90	1548400.00
2004-11-26 15:30:00	:PGR	22.91	23.05	22.88	22.96	1150000.00
2004-11-29 15:30:00	:PGR	23.00	23.11	22.80	22.92	2118400.00
2004-11-30 15:30:00	:PGR	22.95	23.00	22.73	22.75	3411600.00
2004-12-01 15:30:00	:PGR	22.77	23.58	22.75	23.56	2694000.00
2004-12-02 15:30:00	:PGR	23.54	23.67	23.37	23.51	1990800.00
2004-12-03 15:30:00	:PGR	23.46	23.46	23.16	23.40	2169600.00
2004-12-06 15:30:00	:PGR	23.32	23.40	22.94	22.95	2561200.00
2004-12-07 15:30:00	:PGR	22.92	23.04	22.70	22.72	3009600.00
2004-12-08 15:30:00	:PGR	22.70	22.80	22.51	22.67	2339200.00
2004-12-09 15:30:00	:PGR	22.62	22.80	22.42	22.80	1840800.00
2004-12-10 15:30:00	:PGR	22.80	22.80	21.78	22.01	5614400.00
2004-12-13 15:30:00	:PGR	22.05	22.06	21.84	21.99	3742000.00
2004-12-14 15:30:00	:PGR	21.99	21.99	21.62	21.68	4177200.00
2004-12-15 15:30:00	:PGR	21.57	21.78	21.38	21.41	6227600.00
2004-12-16 15:30:00	:PGR	21.41	21.43	21.06	21.22	4260000.00
2004-12-17 15:30:00	:PGR	21.22	21.41	20.95	20.95	4076800.00
2004-12-20 15:30:00	:PGR	21.10	21.56	20.75	20.84	4310400.00
2004-12-21 15:30:00	:PGR	20.85	21.20	20.84	21.12	2961200.00
2004-12-22 15:30:00	:PGR	21.26	21.34	20.90	21.01	2956800.00
2004-12-23 15:30:00	:PGR	20.97	21.48	20.97	21.39	2514000.00
2004-12-27 15:30:00	:PGR	21.41	21.41	21.03	21.05	2102800.00
2004-12-28 15:30:00	:PGR	21.00	21.31	20.98	21.29	1606400.00
2004-12-29 15:30:00	:PGR	21.15	21.35	21.12	21.27	1591600.00
2004-12-30 15:30:00	:PGR	21.27	21.34	21.19	21.28	833200.00
2004-12-31 15:30:00	:PGR	21.25	21.36	21.19	21.21	1315200.00
2005-01-03 15:30:00	:PGR	21.49	22.16	21.41	21.89	6858400.00
2005-01-04 15:30:00	:PGR	22.00	22.00	21.60	21.67	3300800.00
2005-01-05 15:30:00	:PGR	21.88	21.98	21.59	21.69	2707600.00
2005-01-06 15:30:00	:PGR	21.72	21.96	21.64	21.80	1868800.00
2005-01-07 15:30:00	:PGR	21.77	21.84	21.53	21.57	1546800.00
2005-01-10 15:30:00	:PGR	21.53	21.77	21.41	21.49	2610000.00
2005-01-11 15:30:00	:PGR	21.43	21.44	21.16	21.19	3991200.00
2005-01-12 15:30:00	:PGR	21.24	21.25	21.01	21.12	2286000.00
2005-01-13 15:30:00	:PGR	21.12	21.29	20.94	20.97	1600000.00
2005-01-14 15:30:00	:PGR	20.98	21.08	20.89	20.97	1597200.00
2005-01-18 15:30:00	:PGR	21.00	21.77	20.93	21.68	2614000.00
2005-01-19 15:30:00	:PGR	21.56	21.65	21.28	21.36	3842000.00
2005-01-20 15:30:00	:PGR	21.50	21.53	20.91	20.91	6499600.00
2005-01-21 15:30:00	:PGR	20.91	20.98	20.57	20.70	4123200.00
2005-01-24 15:30:00	:PGR	20.82	21.13	20.68	20.89	3412400.00
2005-01-25 15:30:00	:PGR	20.90	21.20	20.82	20.90	2621600.00
2005-01-26 15:30:00	:PGR	21.05	21.16	20.90	20.95	2871600.00
2005-01-27 15:30:00	:PGR	20.82	20.87	20.34	20.62	6278000.00
2005-01-28 15:30:00	:PGR	20.64	20.77	20.43	20.63	2692800.00
2005-01-31 15:30:00	:PGR	20.79	20.97	20.62	20.91	2227200.00
2005-02-01 15:30:00	:PGR	20.99	21.48	20.90	21.34	3895600.00
2005-02-02 15:30:00	:PGR	21.24	21.34	20.92	21.01	3034800.00
2005-02-03 15:30:00	:PGR	20.95	21.17	20.86	21.12	2555200.00
2005-02-04 15:30:00	:PGR	21.06	21.35	21.00	21.35	2216000.00
2005-02-07 15:30:00	:PGR	21.35	21.45	21.19	21.42	2192800.00
2005-02-08 15:30:00	:PGR	21.40	21.52	21.16	21.32	1516800.00
2005-02-09 15:30:00	:PGR	21.29	21.54	21.01	21.01	1854800.00
2005-02-10 15:30:00	:PGR	21.09	21.28	20.97	21.25	1874800.00
2005-02-11 15:30:00	:PGR	21.22	21.75	21.20	21.58	2247600.00
2005-02-14 15:30:00	:PGR	21.61	21.96	21.61	21.85	2602400.00
2005-02-15 15:30:00	:PGR	21.84	22.04	21.77	21.84	2468800.00
2005-02-16 15:30:00	:PGR	21.78	21.85	21.57	21.61	2808400.00
2005-02-17 15:30:00	:PGR	21.84	22.29	21.83	21.88	5050800.00
2005-02-18 15:30:00	:PGR	21.89	21.99	21.62	21.63	4032400.00
2005-02-22 15:30:00	:PGR	21.60	21.83	21.47	21.47	2808800.00
2005-02-23 15:30:00	:PGR	21.53	21.87	21.53	21.76	2492800.00
2005-02-24 15:30:00	:PGR	21.82	22.00	21.78	21.95	2507200.00
2005-02-25 15:30:00	:PGR	21.95	22.00	21.83	21.91	2829200.00
2005-02-28 15:30:00	:PGR	21.91	21.98	21.75	21.78	3086400.00
2005-03-01 15:30:00	:PGR	21.83	22.29	21.45	21.86	8851200.00
2005-03-02 15:30:00	:PGR	21.86	22.14	21.78	21.96	3483200.00
2005-03-03 15:30:00	:PGR	22.01	22.10	21.76	21.82	2190000.00
2005-03-04 15:30:00	:PGR	21.91	22.24	21.89	22.19	2835200.00
2005-03-07 15:30:00	:PGR	22.31	22.54	22.26	22.44	3275200.00
2005-03-08 15:30:00	:PGR	22.46	22.46	22.11	22.16	1834800.00
2005-03-09 15:30:00	:PGR	22.15	22.22	21.99	22.02	1467200.00
2005-03-10 15:30:00	:PGR	21.97	22.38	21.97	22.32	2170800.00
2005-03-11 15:30:00	:PGR	22.32	22.36	22.06	22.13	1703600.00
2005-03-14 15:30:00	:PGR	22.31	22.62	22.12	22.62	3016400.00
2005-03-15 15:30:00	:PGR	22.62	22.91	22.61	22.66	4208800.00
2005-03-16 15:30:00	:PGR	22.51	22.59	22.32	22.52	3373600.00
2005-03-17 15:30:00	:PGR	22.47	22.49	22.17	22.23	2610400.00
2005-03-18 15:30:00	:PGR	22.25	22.59	22.11	22.55	5494000.00
2005-03-21 15:30:00	:PGR	22.51	22.65	22.24	22.28	3838400.00
2005-03-22 15:30:00	:PGR	22.28	22.54	22.00	22.00	3285200.00
2005-03-23 15:30:00	:PGR	22.06	22.54	22.06	22.34	3524800.00
