datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:PG	53.38	53.50	53.12	53.23	6257000.00
2004-04-08 15:30:00	:PG	53.35	53.59	53.02	53.20	4189400.00
2004-04-12 15:30:00	:PG	53.44	53.70	53.32	53.56	4611600.00
2004-04-13 15:30:00	:PG	53.56	53.70	52.87	52.96	7595600.00
2004-04-14 15:30:00	:PG	52.52	53.04	52.50	52.91	7354800.00
2004-04-15 15:30:00	:PG	52.99	53.38	52.86	53.06	5313000.00
2004-04-16 15:30:00	:PG	53.32	53.34	52.95	52.98	5455600.00
2004-04-19 15:30:00	:PG	53.27	53.32	52.81	53.01	5014600.00
2004-04-20 15:30:00	:PG	53.01	53.19	52.30	52.30	4959600.00
2004-04-21 15:30:00	:PG	52.05	52.27	51.77	51.77	7359800.00
2004-04-22 15:30:00	:PG	51.64	52.59	51.64	52.31	7722000.00
2004-04-23 15:30:00	:PG	52.21	52.56	52.04	52.50	4196800.00
2004-04-26 15:30:00	:PG	52.75	52.81	52.39	52.62	4065400.00
2004-04-27 15:30:00	:PG	52.62	53.15	52.52	52.81	5568000.00
2004-04-28 15:30:00	:PG	52.50	52.67	52.04	52.09	5748600.00
2004-04-29 15:30:00	:PG	52.27	53.25	52.14	52.98	7064200.00
2004-04-30 15:30:00	:PG	53.30	53.66	52.88	52.88	9758000.00
2004-05-03 15:30:00	:PG	52.73	53.39	52.58	53.39	6974400.00
2004-05-04 15:30:00	:PG	53.16	53.50	52.80	53.15	6938800.00
2004-05-05 15:30:00	:PG	53.20	53.55	53.14	53.41	5604800.00
2004-05-06 15:30:00	:PG	53.23	53.92	53.16	53.89	6762400.00
2004-05-07 15:30:00	:PG	53.75	54.43	53.36	53.36	8948000.00
2004-05-10 15:30:00	:PG	53.36	53.75	52.77	52.84	7718600.00
2004-05-11 15:30:00	:PG	53.10	53.20	52.37	53.04	7315400.00
2004-05-12 15:30:00	:PG	52.99	53.16	52.44	53.07	6926800.00
2004-05-13 15:30:00	:PG	53.07	53.25	52.43	52.66	5916200.00
2004-05-14 15:30:00	:PG	52.78	53.35	52.43	53.20	6617600.00
2004-05-17 15:30:00	:PG	52.94	53.57	52.91	53.14	6971200.00
2004-05-18 15:30:00	:PG	53.11	53.25	52.80	53.03	6523600.00
