datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:PNC	55.19	55.33	54.76	55.10	499900.00
2004-04-08 15:30:00	:PNC	55.26	55.29	54.72	54.89	607600.00
2004-04-12 15:30:00	:PNC	54.65	54.98	54.42	54.72	436600.00
2004-04-13 15:30:00	:PNC	54.75	54.83	53.19	53.33	806400.00
2004-04-14 15:30:00	:PNC	52.99	53.10	51.60	51.91	1371600.00
2004-04-15 15:30:00	:PNC	51.97	51.97	50.75	51.44	1764200.00
2004-04-16 15:30:00	:PNC	51.95	52.12	51.47	51.94	1269900.00
2004-04-19 15:30:00	:PNC	51.80	51.81	50.86	51.06	765700.00
2004-04-20 15:30:00	:PNC	51.34	51.73	50.99	50.99	1183400.00
2004-04-21 15:30:00	:PNC	50.99	51.67	50.70	51.01	1544900.00
2004-04-22 15:30:00	:PNC	51.52	52.95	51.35	52.54	1268300.00
2004-04-23 15:30:00	:PNC	52.39	52.55	51.90	52.49	783400.00
2004-04-26 15:30:00	:PNC	52.77	52.98	52.10	52.40	1018200.00
2004-04-27 15:30:00	:PNC	52.75	53.41	52.63	52.75	852300.00
2004-04-28 15:30:00	:PNC	52.72	52.74	52.02	52.15	900000.00
2004-04-29 15:30:00	:PNC	52.05	53.05	51.99	52.45	1165700.00
2004-04-30 15:30:00	:PNC	52.90	53.12	52.40	53.10	1456300.00
2004-05-03 15:30:00	:PNC	53.05	54.04	52.85	54.04	2067100.00
2004-05-04 15:30:00	:PNC	54.04	54.47	53.85	54.06	1317400.00
2004-05-05 15:30:00	:PNC	54.60	54.90	54.39	54.46	1384200.00
2004-05-06 15:30:00	:PNC	54.35	54.35	53.48	54.12	743900.00
2004-05-07 15:30:00	:PNC	53.90	54.04	52.89	52.89	1013900.00
2004-05-10 15:30:00	:PNC	52.89	53.05	51.93	52.75	1092800.00
2004-05-11 15:30:00	:PNC	52.85	53.41	52.65	53.02	817600.00
2004-05-12 15:30:00	:PNC	52.77	53.32	52.36	53.26	811000.00
2004-05-13 15:30:00	:PNC	52.96	54.00	52.82	53.66	734400.00
2004-05-14 15:30:00	:PNC	53.66	54.20	53.06	53.60	1002400.00
2004-05-17 15:30:00	:PNC	53.60	53.97	52.89	53.38	873600.00
2004-05-18 15:30:00	:PNC	53.53	54.08	53.52	53.97	485100.00
2004-05-19 15:30:00	:PNC	54.22	55.09	54.13	54.50	1073100.00
2004-05-20 15:30:00	:PNC	54.50	54.86	54.35	54.65	695100.00
2004-05-21 15:30:00	:PNC	54.90	55.18	54.62	54.95	749400.00
2004-05-24 15:30:00	:PNC	55.40	55.59	55.15	55.45	1132600.00
2004-05-25 15:30:00	:PNC	55.45	55.49	54.69	55.34	1570000.00
2004-05-26 15:30:00	:PNC	55.28	55.78	55.06	55.48	1140400.00
2004-05-27 15:30:00	:PNC	55.98	56.00	55.00	55.38	1001100.00
2004-05-28 15:30:00	:PNC	55.42	55.48	54.92	55.21	936700.00
