datetime	symbol	open	high	low	close	volume
2007-05-15 15:30:00	:PODD	17.00	17.00	15.77	15.96	4851359.00
2007-05-16 15:30:00	:PODD	15.95	15.97	15.03	15.45	357578.00
2007-05-17 15:30:00	:PODD	15.29	15.59	15.05	15.13	426648.00
2007-05-18 15:30:00	:PODD	15.05	15.29	15.05	15.18	140549.00
2007-05-21 15:30:00	:PODD	15.23	15.63	15.10	15.63	157104.00
2007-05-22 15:30:00	:PODD	15.59	15.75	15.32	15.62	141901.00
2007-05-23 15:30:00	:PODD	15.75	15.75	15.05	15.25	103366.00
2007-05-24 15:30:00	:PODD	15.34	15.34	14.85	15.22	199633.00
2007-05-25 15:30:00	:PODD	15.23	15.23	15.10	15.17	43782.00
2007-05-29 15:30:00	:PODD	15.15	15.30	15.05	15.27	138427.00
2007-05-30 15:30:00	:PODD	15.00	15.14	14.99	15.10	120193.00
2007-05-31 15:30:00	:PODD	14.90	15.01	14.57	14.82	151563.00
2007-06-01 15:30:00	:PODD	15.00	15.04	14.80	15.00	81634.00
2007-06-04 15:30:00	:PODD	14.99	15.00	14.80	15.00	101030.00
2007-06-05 15:30:00	:PODD	15.00	15.03	14.62	14.76	120078.00
2007-06-06 15:30:00	:PODD	14.60	14.60	14.25	14.28	88812.00
2007-06-07 15:30:00	:PODD	14.03	14.36	13.88	14.00	99714.00
2007-06-08 15:30:00	:PODD	13.92	14.12	13.90	14.10	61327.00
2007-06-11 15:30:00	:PODD	14.14	14.72	14.10	14.49	47657.00
2007-06-12 15:30:00	:PODD	14.48	14.61	14.25	14.25	39680.00
2007-06-13 15:30:00	:PODD	14.26	14.50	14.24	14.25	70230.00
2007-06-14 15:30:00	:PODD	14.25	14.33	14.05	14.17	60899.00
2007-06-15 15:30:00	:PODD	14.16	14.16	13.91	13.91	36890.00
2007-06-18 15:30:00	:PODD	13.78	14.00	13.70	13.85	40549.00
2007-06-19 15:30:00	:PODD	13.70	14.11	13.63	13.84	42702.00
2007-06-20 15:30:00	:PODD	14.07	14.24	13.80	14.06	108727.00
2007-06-21 15:30:00	:PODD	14.40	14.50	13.96	14.12	50915.00
2007-06-22 15:30:00	:PODD	13.90	14.67	13.85	13.85	790476.00
2007-06-25 15:30:00	:PODD	14.24	14.24	13.90	14.06	184675.00
2007-06-26 15:30:00	:PODD	14.09	14.10	13.88	13.99	83335.00
2007-06-27 15:30:00	:PODD	13.89	14.24	13.87	14.21	51978.00
2007-06-28 15:30:00	:PODD	14.26	14.30	13.88	14.01	235693.00
2007-06-29 15:30:00	:PODD	14.17	14.28	13.94	14.20	166033.00
2007-07-02 15:30:00	:PODD	14.30	14.56	14.08	14.45	82827.00
2007-07-03 15:30:00	:PODD	14.05	14.54	14.05	14.50	7086.00
2007-07-05 15:30:00	:PODD	15.00	15.00	14.60	14.97	41773.00
2007-07-06 15:30:00	:PODD	14.86	15.09	14.85	15.05	30778.00
2007-07-09 15:30:00	:PODD	14.88	14.99	14.50	14.87	10194.00
2007-07-10 15:30:00	:PODD	14.70	15.05	14.70	15.01	30081.00
2007-07-11 15:30:00	:PODD	14.98	15.05	14.80	14.82	13174.00
2007-07-12 15:30:00	:PODD	14.94	14.97	14.89	14.93	15157.00
2007-07-13 15:30:00	:PODD	15.05	15.05	14.66	14.79	13920.00
2007-07-16 15:30:00	:PODD	14.83	14.83	13.88	14.04	28321.00
2007-07-17 15:30:00	:PODD	14.13	14.21	13.99	13.99	15552.00
2007-07-18 15:30:00	:PODD	14.00	14.06	13.84	14.00	97168.00
2007-07-19 15:30:00	:PODD	14.00	14.34	13.68	14.00	156165.00
2007-07-20 15:30:00	:PODD	14.00	14.07	13.91	14.01	31992.00
2007-07-23 15:30:00	:PODD	14.05	14.28	13.88	13.98	12234.00
2007-07-24 15:30:00	:PODD	13.77	13.97	13.28	13.68	44988.00
2007-07-25 15:30:00	:PODD	13.76	14.13	13.74	14.13	61868.00
2007-07-26 15:30:00	:PODD	13.86	14.70	13.86	14.57	58375.00
2007-07-27 15:30:00	:PODD	14.46	14.48	13.96	14.11	72499.00
2007-07-30 15:30:00	:PODD	14.04	14.19	13.94	14.00	9669.00
2007-07-31 15:30:00	:PODD	14.09	14.09	13.96	14.02	19135.00
2007-08-01 15:30:00	:PODD	13.98	14.21	13.85	14.21	54310.00
2007-08-02 15:30:00	:PODD	14.11	14.40	13.85	14.39	15242.00
2007-08-03 15:30:00	:PODD	14.00	14.23	13.89	13.97	65788.00
2007-08-06 15:30:00	:PODD	13.95	14.27	13.95	13.99	78158.00
2007-08-07 15:30:00	:PODD	14.01	14.45	13.75	14.23	573965.00
2007-08-08 15:30:00	:PODD	14.42	15.57	14.42	15.02	72718.00
2007-08-09 15:30:00	:PODD	15.25	16.00	14.50	14.50	66098.00
2007-08-10 15:30:00	:PODD	14.50	15.01	13.86	14.48	82676.00
2007-08-13 15:30:00	:PODD	14.85	15.75	14.69	15.19	65611.00
2007-08-14 15:30:00	:PODD	15.34	15.49	14.55	15.00	47216.00
2007-08-15 15:30:00	:PODD	15.00	15.59	14.54	15.00	92938.00
2007-08-16 15:30:00	:PODD	15.01	16.98	14.92	16.98	80715.00
2007-08-17 15:30:00	:PODD	17.30	17.80	16.68	16.97	164047.00
2007-08-20 15:30:00	:PODD	16.98	17.37	16.85	17.00	39911.00
2007-08-21 15:30:00	:PODD	17.06	17.06	16.81	16.87	118622.00
2007-08-22 15:30:00	:PODD	17.07	17.13	16.75	16.99	151557.00
2007-08-23 15:30:00	:PODD	17.26	17.50	16.96	17.06	60531.00
2007-08-24 15:30:00	:PODD	17.18	17.24	16.81	17.10	18854.00
2007-08-27 15:30:00	:PODD	17.13	17.16	16.79	16.97	158683.00
2007-08-28 15:30:00	:PODD	16.85	17.64	16.79	17.57	62776.00
2007-08-29 15:30:00	:PODD	17.75	19.00	17.75	18.56	47152.00
2007-08-30 15:30:00	:PODD	18.26	18.51	17.69	18.19	47507.00
2007-08-31 15:30:00	:PODD	18.45	18.45	17.35	17.62	21833.00
2007-09-04 15:30:00	:PODD	17.61	18.04	17.61	18.00	101353.00
2007-09-05 15:30:00	:PODD	17.90	18.00	17.24	17.43	30748.00
2007-09-06 15:30:00	:PODD	17.45	18.00	17.45	17.99	21931.00
2007-09-07 15:30:00	:PODD	18.00	18.00	17.33	17.49	26354.00
2007-09-10 15:30:00	:PODD	17.63	18.06	17.14	17.82	36813.00
2007-09-11 15:30:00	:PODD	18.06	20.24	18.06	19.08	268811.00
2007-09-12 15:30:00	:PODD	19.09	20.29	18.97	20.29	175861.00
2007-09-13 15:30:00	:PODD	20.17	21.49	19.76	20.98	231629.00
2007-09-14 15:30:00	:PODD	20.94	21.64	20.94	21.50	116497.00
2007-09-17 15:30:00	:PODD	21.56	22.55	21.50	22.49	135299.00
2007-09-18 15:30:00	:PODD	22.60	24.00	22.25	22.60	347073.00
2007-09-19 15:30:00	:PODD	22.76	23.00	21.70	22.58	90294.00
2007-09-20 15:30:00	:PODD	22.47	22.60	21.79	21.90	50243.00
2007-09-21 15:30:00	:PODD	21.90	22.25	20.61	21.37	148407.00
2007-09-24 15:30:00	:PODD	21.43	21.99	20.86	21.90	151095.00
2007-09-25 15:30:00	:PODD	21.72	21.79	21.30	21.69	86569.00
2007-09-26 15:30:00	:PODD	21.75	21.75	21.07	21.33	39689.00
2007-09-27 15:30:00	:PODD	21.45	21.75	20.97	21.34	79993.00
2007-09-28 15:30:00	:PODD	21.45	21.87	21.12	21.75	249836.00
2007-10-01 15:30:00	:PODD	21.70	22.51	21.09	21.25	83018.00
2007-10-02 15:30:00	:PODD	21.54	23.18	21.54	22.50	133804.00
2007-10-03 15:30:00	:PODD	22.47	23.03	22.37	22.68	130660.00
2007-10-04 15:30:00	:PODD	22.81	23.97	22.31	23.46	175386.00
2007-10-05 15:30:00	:PODD	23.70	24.29	23.45	23.51	234893.00
2007-10-08 15:30:00	:PODD	23.40	23.76	22.75	22.98	60896.00
2007-10-09 15:30:00	:PODD	23.14	24.52	22.99	24.26	88660.00
2007-10-10 15:30:00	:PODD	24.29	25.10	23.39	24.60	100195.00
2007-10-11 15:30:00	:PODD	24.78	25.77	24.25	25.06	281122.00
2007-10-12 15:30:00	:PODD	25.11	25.83	25.11	25.77	90911.00
2007-10-15 15:30:00	:PODD	25.82	25.99	24.37	24.89	125036.00
2007-10-16 15:30:00	:PODD	24.75	25.33	24.56	25.15	146816.00
