datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:PPG	29.96	29.96	29.55	29.66	936600.00
2004-04-08 15:30:00	:PPG	30.18	30.25	29.71	29.86	1090800.00
2004-04-12 15:30:00	:PPG	29.90	30.18	29.90	29.99	568800.00
2004-04-13 15:30:00	:PPG	30.24	30.25	29.65	29.65	874600.00
2004-04-14 15:30:00	:PPG	29.57	29.91	29.33	29.71	1179600.00
2004-04-15 15:30:00	:PPG	30.43	31.12	30.25	30.36	2753000.00
2004-04-16 15:30:00	:PPG	30.40	30.97	30.18	30.63	1731600.00
2004-04-19 15:30:00	:PPG	30.74	31.06	30.62	30.96	1728000.00
2004-04-20 15:30:00	:PPG	31.07	31.23	30.48	30.50	1281600.00
2004-04-21 15:30:00	:PPG	30.62	30.70	30.24	30.67	1159200.00
2004-04-22 15:30:00	:PPG	30.50	31.44	30.50	31.26	1146200.00
2004-04-23 15:30:00	:PPG	31.20	31.20	30.52	31.04	1533200.00
2004-04-26 15:30:00	:PPG	31.04	31.27	30.88	30.96	826400.00
2004-04-27 15:30:00	:PPG	31.12	31.37	30.91	31.09	1143000.00
2004-04-28 15:30:00	:PPG	31.00	31.00	30.12	30.17	1560400.00
2004-04-29 15:30:00	:PPG	30.27	30.48	29.52	29.81	2470600.00
2004-04-30 15:30:00	:PPG	29.95	30.11	29.64	29.66	1246800.00
2004-05-03 15:30:00	:PPG	29.85	29.89	29.36	29.59	1660400.00
2004-05-04 15:30:00	:PPG	29.58	29.84	29.34	29.55	1954000.00
2004-05-05 15:30:00	:PPG	29.62	29.77	29.36	29.68	1154200.00
2004-05-06 15:30:00	:PPG	29.45	29.64	29.34	29.58	1338000.00
2004-05-07 15:30:00	:PPG	29.57	29.60	28.77	28.80	1390800.00
2004-05-10 15:30:00	:PPG	28.60	28.74	28.10	28.40	1452600.00
2004-05-11 15:30:00	:PPG	28.39	28.77	28.39	28.70	861600.00
2004-05-12 15:30:00	:PPG	28.55	28.73	28.07	28.68	1154000.00
2004-05-13 15:30:00	:PPG	28.68	29.25	28.59	29.04	1795400.00
2004-05-14 15:30:00	:PPG	28.95	29.23	28.68	29.05	1210800.00
2004-05-17 15:30:00	:PPG	29.05	29.05	28.39	28.49	1406600.00
2004-05-18 15:30:00	:PPG	28.68	28.75	28.41	28.54	1102400.00
2004-05-19 15:30:00	:PPG	28.88	29.20	28.36	28.45	1492400.00
2004-05-20 15:30:00	:PPG	28.55	28.75	28.34	28.45	872800.00
2004-05-21 15:30:00	:PPG	28.85	29.41	28.79	29.14	1590400.00
2004-05-24 15:30:00	:PPG	29.26	29.58	28.86	29.05	830800.00
2004-05-25 15:30:00	:PPG	29.05	29.66	28.70	29.63	1019200.00
2004-05-26 15:30:00	:PPG	29.63	29.86	29.43	29.71	659400.00
2004-05-27 15:30:00	:PPG	29.98	30.31	29.86	29.93	1032800.00
2004-05-28 15:30:00	:PPG	30.02	30.04	29.60	29.90	970000.00
2004-06-01 15:30:00	:PPG	29.80	30.00	29.73	29.89	721400.00
2004-06-02 15:30:00	:PPG	30.12	30.20	29.77	30.12	610600.00
2004-06-03 15:30:00	:PPG	30.12	30.12	29.65	29.65	757000.00
2004-06-04 15:30:00	:PPG	29.95	30.28	29.92	30.09	912200.00
2004-06-07 15:30:00	:PPG	30.32	30.60	30.25	30.55	754600.00
2004-06-08 15:30:00	:PPG	30.54	30.55	30.31	30.54	808800.00
2004-06-09 15:30:00	:PPG	30.54	30.66	30.36	30.41	811800.00
2004-06-10 15:30:00	:PPG	30.62	30.64	30.39	30.49	475200.00
2004-06-14 15:30:00	:PPG	30.50	30.50	29.93	29.95	875200.00
2004-06-15 15:30:00	:PPG	30.23	30.40	29.90	30.01	1118200.00
2004-06-16 15:30:00	:PPG	30.05	30.20	29.77	30.14	1168800.00
2004-06-17 15:30:00	:PPG	30.14	30.18	29.95	30.13	418600.00
2004-06-18 15:30:00	:PPG	30.14	30.99	30.12	30.75	1173000.00
2004-06-21 15:30:00	:PPG	30.98	30.98	30.61	30.65	794000.00
2004-06-22 15:30:00	:PPG	30.60	30.86	30.37	30.77	758800.00
2004-06-23 15:30:00	:PPG	30.80	31.23	30.18	31.09	766400.00
2004-06-24 15:30:00	:PPG	31.02	31.13	30.81	30.81	823600.00
2004-06-25 15:30:00	:PPG	30.82	31.05	30.64	30.90	1467800.00
2004-06-28 15:30:00	:PPG	31.00	31.03	30.62	30.73	869200.00
2004-06-29 15:30:00	:PPG	30.77	31.45	30.73	31.43	1153200.00
2004-06-30 15:30:00	:PPG	31.32	31.41	31.09	31.25	898800.00
2004-07-01 15:30:00	:PPG	31.25	31.38	30.31	30.62	1319200.00
2004-07-02 15:30:00	:PPG	30.50	30.54	30.05	30.27	663800.00
2004-07-06 15:30:00	:PPG	30.21	30.49	30.11	30.42	1323600.00
2004-07-07 15:30:00	:PPG	30.25	30.46	30.18	30.29	742800.00
2004-07-08 15:30:00	:PPG	30.16	30.70	29.98	30.21	804000.00
2004-07-09 15:30:00	:PPG	30.27	30.80	30.27	30.57	1047400.00
2004-07-12 15:30:00	:PPG	30.64	30.82	30.38	30.75	634000.00
2004-07-13 15:30:00	:PPG	30.64	30.86	30.55	30.71	489200.00
