datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:PRU	46.30	46.43	45.95	46.00	2107400.00
2004-04-08 15:30:00	:PRU	46.40	46.68	45.79	45.89	1620400.00
2004-04-12 15:30:00	:PRU	46.30	46.55	46.16	46.22	1189400.00
2004-04-13 15:30:00	:PRU	46.33	46.50	45.00	45.03	1838600.00
2004-04-14 15:30:00	:PRU	44.80	45.26	44.20	44.59	1278400.00
2004-04-15 15:30:00	:PRU	44.59	45.07	43.82	44.18	1249400.00
2004-04-16 15:30:00	:PRU	44.50	44.59	43.96	44.25	1733200.00
2004-04-19 15:30:00	:PRU	44.16	44.27	43.92	44.04	952100.00
2004-04-20 15:30:00	:PRU	44.15	44.46	42.94	42.96	1604400.00
2004-04-21 15:30:00	:PRU	43.06	43.35	42.69	43.02	1784800.00
2004-04-22 15:30:00	:PRU	43.05	44.94	42.95	44.75	2253200.00
2004-04-23 15:30:00	:PRU	44.76	44.95	44.35	44.62	1380000.00
2004-04-26 15:30:00	:PRU	44.80	44.98	44.40	44.54	1387900.00
2004-04-27 15:30:00	:PRU	44.52	45.16	43.91	44.50	1571400.00
2004-04-28 15:30:00	:PRU	44.50	44.61	43.80	44.05	2223700.00
2004-04-29 15:30:00	:PRU	44.05	44.50	43.70	43.76	1616100.00
2004-04-30 15:30:00	:PRU	43.98	44.45	43.90	43.94	1764500.00
2004-05-03 15:30:00	:PRU	44.13	44.21	43.54	43.54	1722800.00
2004-05-04 15:30:00	:PRU	43.89	45.00	43.70	44.51	2062200.00
2004-05-05 15:30:00	:PRU	44.30	44.30	43.24	43.73	3143100.00
2004-05-06 15:30:00	:PRU	43.50	43.50	42.64	43.00	1628200.00
2004-05-07 15:30:00	:PRU	42.75	42.97	41.58	41.76	1702800.00
2004-05-10 15:30:00	:PRU	41.02	41.35	40.14	41.05	2503300.00
2004-05-11 15:30:00	:PRU	41.05	41.72	41.05	41.72	1660700.00
2004-05-12 15:30:00	:PRU	41.87	42.64	41.40	42.60	2274800.00
2004-05-13 15:30:00	:PRU	42.50	43.19	42.20	43.00	2391500.00
2004-05-14 15:30:00	:PRU	42.95	43.33	42.37	43.00	1387800.00
2004-05-17 15:30:00	:PRU	42.50	42.75	41.70	42.18	1505700.00
2004-05-18 15:30:00	:PRU	42.28	42.74	42.20	42.60	1705300.00
2004-05-19 15:30:00	:PRU	43.15	43.40	42.50	42.52	1604700.00
2004-05-20 15:30:00	:PRU	42.52	42.84	42.30	42.66	1032600.00
2004-05-21 15:30:00	:PRU	42.80	43.15	42.28	42.38	1343500.00
2004-05-24 15:30:00	:PRU	42.55	42.88	42.30	42.30	1665700.00
2004-05-25 15:30:00	:PRU	42.40	42.91	41.71	42.81	2404900.00
2004-05-26 15:30:00	:PRU	42.76	43.65	42.76	43.55	1674200.00
2004-05-27 15:30:00	:PRU	44.00	44.46	43.80	44.32	1954000.00
2004-05-28 15:30:00	:PRU	44.07	44.55	43.96	44.30	1438400.00
2004-06-01 15:30:00	:PRU	44.34	44.53	43.63	44.09	1346700.00
2004-06-02 15:30:00	:PRU	44.09	44.38	43.94	44.34	1365300.00
2004-06-03 15:30:00	:PRU	44.29	44.48	44.12	44.39	1397500.00
2004-06-04 15:30:00	:PRU	44.85	45.19	44.61	44.66	1436700.00
2004-06-07 15:30:00	:PRU	45.25	45.40	45.05	45.05	1610900.00
2004-06-08 15:30:00	:PRU	45.06	45.67	45.00	45.63	2021900.00
2004-06-09 15:30:00	:PRU	45.64	45.84	45.04	45.13	1813600.00
2004-06-10 15:30:00	:PRU	45.24	45.54	45.07	45.21	1096900.00
2004-06-14 15:30:00	:PRU	45.22	45.28	44.59	44.70	1464400.00
2004-06-15 15:30:00	:PRU	44.70	44.95	44.54	44.70	1744300.00
2004-06-16 15:30:00	:PRU	44.70	45.16	44.70	45.10	1029500.00
2004-06-17 15:30:00	:PRU	45.10	45.59	44.75	45.57	1778900.00
2004-06-18 15:30:00	:PRU	45.10	45.60	45.05	45.40	3054500.00
2004-06-21 15:30:00	:PRU	45.32	45.80	45.19	45.35	1369500.00
2004-06-22 15:30:00	:PRU	45.19	45.81	44.94	45.74	1664300.00
2004-06-23 15:30:00	:PRU	45.68	46.09	45.33	45.98	1927000.00
2004-06-24 15:30:00	:PRU	45.96	46.45	45.94	46.09	1752900.00
2004-06-25 15:30:00	:PRU	46.09	46.34	45.65	45.66	2488200.00
2004-06-28 15:30:00	:PRU	45.80	46.07	45.38	45.45	1021900.00
2004-06-29 15:30:00	:PRU	45.45	46.63	45.42	46.22	1399300.00
2004-06-30 15:30:00	:PRU	46.37	46.70	45.99	46.47	1407500.00
2004-07-01 15:30:00	:PRU	46.60	46.94	45.86	46.40	1346200.00
2004-07-02 15:30:00	:PRU	46.45	46.47	46.10	46.15	690700.00
2004-07-06 15:30:00	:PRU	45.95	45.96	45.34	45.60	1300300.00
2004-07-07 15:30:00	:PRU	45.42	45.63	44.99	45.08	1352100.00
2004-07-08 15:30:00	:PRU	44.75	45.06	44.46	44.47	1422000.00
2004-07-09 15:30:00	:PRU	44.60	44.93	44.55	44.81	1080500.00
2004-07-12 15:30:00	:PRU	44.82	46.16	44.82	45.90	2099700.00
2004-07-13 15:30:00	:PRU	46.05	46.33	45.43	45.64	1546900.00
2004-07-14 15:30:00	:PRU	45.44	46.12	45.27	45.70	1090300.00
2004-07-15 15:30:00	:PRU	45.55	45.65	45.09	45.36	910400.00
2004-07-16 15:30:00	:PRU	46.15	46.27	45.90	45.96	1567700.00
2004-07-19 15:30:00	:PRU	46.05	46.58	46.05	46.27	1519200.00
2004-07-20 15:30:00	:PRU	46.40	46.52	46.06	46.40	1835800.00
2004-07-21 15:30:00	:PRU	46.44	46.70	45.91	46.00	1649700.00
2004-07-22 15:30:00	:PRU	45.95	45.99	45.25	45.90	2426700.00
2004-07-23 15:30:00	:PRU	45.90	45.90	45.17	45.39	1380200.00
2004-07-26 15:30:00	:PRU	45.38	45.78	45.38	45.66	877400.00
2004-07-27 15:30:00	:PRU	45.69	46.01	45.57	45.93	1349900.00
2004-07-28 15:30:00	:PRU	45.92	46.15	45.17	45.71	1245100.00
2004-07-29 15:30:00	:PRU	46.18	46.67	45.95	46.31	1063300.00
2004-07-30 15:30:00	:PRU	46.05	46.65	46.00	46.56	1121800.00
2004-08-02 15:30:00	:PRU	46.00	46.25	45.52	46.10	1678700.00
2004-08-03 15:30:00	:PRU	45.90	46.19	45.69	45.76	1012900.00
2004-08-04 15:30:00	:PRU	45.55	46.74	45.33	46.36	1928200.00
2004-08-05 15:30:00	:PRU	46.45	46.52	45.67	45.67	985800.00
2004-08-06 15:30:00	:PRU	45.35	45.46	44.85	45.08	1526200.00
2004-08-09 15:30:00	:PRU	45.20	45.36	44.67	44.91	1440700.00
2004-08-10 15:30:00	:PRU	45.00	45.08	44.62	45.08	1931300.00
2004-08-11 15:30:00	:PRU	44.77	45.58	44.26	44.90	2063600.00
2004-08-12 15:30:00	:PRU	44.60	44.96	44.46	44.55	1310900.00
2004-08-13 15:30:00	:PRU	44.67	44.67	43.87	44.30	1575100.00
2004-08-16 15:30:00	:PRU	44.41	44.98	44.36	44.86	1586600.00
2004-08-17 15:30:00	:PRU	45.08	45.25	44.67	44.95	2511500.00
2004-08-18 15:30:00	:PRU	44.95	45.52	44.65	45.52	2259000.00
2004-08-19 15:30:00	:PRU	45.52	45.72	45.02	45.47	1775100.00
2004-08-20 15:30:00	:PRU	45.47	45.97	45.41	45.96	1478900.00
2004-08-23 15:30:00	:PRU	45.95	46.17	45.04	45.32	2223700.00
2004-08-24 15:30:00	:PRU	45.57	45.86	45.06	45.55	2442400.00
2004-08-25 15:30:00	:PRU	45.70	46.06	45.08	45.80	2102400.00
2004-08-26 15:30:00	:PRU	45.81	46.32	45.60	46.22	1687300.00
2004-08-27 15:30:00	:PRU	46.25	46.65	45.98	46.12	2126600.00
2004-08-30 15:30:00	:PRU	46.13	46.35	45.86	45.94	1717700.00
2004-08-31 15:30:00	:PRU	46.05	46.18	45.50	46.18	2301200.00
2004-09-01 15:30:00	:PRU	46.18	46.49	45.74	46.02	2624000.00
2004-09-02 15:30:00	:PRU	46.00	47.06	45.96	47.03	2369400.00
2004-09-03 15:30:00	:PRU	47.03	47.45	46.95	47.25	2125900.00
