datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:PTC	11.72	12.47	11.50	12.12	682511.00
2004-04-08 15:30:00	:PTC	13.18	13.57	12.65	13.00	2007460.00
2004-04-12 15:30:00	:PTC	13.12	13.47	12.75	13.35	677824.00
2004-04-13 15:30:00	:PTC	13.47	13.57	12.75	12.82	554690.00
2004-04-14 15:30:00	:PTC	12.57	13.35	12.50	13.28	729927.00
2004-04-15 15:30:00	:PTC	13.03	13.45	12.72	12.78	334588.00
2004-04-16 15:30:00	:PTC	13.18	13.35	12.40	12.93	527544.00
2004-04-19 15:30:00	:PTC	12.78	13.15	12.65	13.03	355577.00
2004-04-20 15:30:00	:PTC	13.07	13.38	12.37	12.47	390069.00
2004-04-21 15:30:00	:PTC	12.82	13.10	12.00	12.95	755980.00
2004-04-22 15:30:00	:PTC	12.62	13.12	12.62	12.88	439456.00
2004-04-23 15:30:00	:PTC	12.90	13.25	12.75	13.22	592691.00
2004-04-26 15:30:00	:PTC	13.18	13.75	12.78	12.80	580660.00
2004-04-27 15:30:00	:PTC	13.22	13.38	12.65	13.00	695159.00
2004-04-28 15:30:00	:PTC	12.88	12.88	12.05	12.12	600278.00
2004-04-29 15:30:00	:PTC	12.12	12.57	11.47	11.62	432060.00
2004-04-30 15:30:00	:PTC	12.25	12.38	11.25	11.50	647887.00
2004-05-03 15:30:00	:PTC	11.57	12.12	11.43	11.85	978940.00
2004-05-04 15:30:00	:PTC	12.00	12.68	11.72	12.12	418305.00
2004-05-05 15:30:00	:PTC	12.07	12.40	11.22	11.28	572034.00
2004-05-06 15:30:00	:PTC	11.15	11.68	10.80	11.47	689784.00
2004-05-07 15:30:00	:PTC	11.18	12.25	11.03	11.65	729555.00
2004-05-10 15:30:00	:PTC	11.40	12.03	11.30	11.75	701760.00
2004-05-11 15:30:00	:PTC	11.78	12.03	11.40	11.50	528699.00
2004-05-12 15:30:00	:PTC	11.47	11.65	10.75	10.97	724679.00
2004-05-13 15:30:00	:PTC	11.03	11.15	10.62	11.10	736824.00
2004-05-14 15:30:00	:PTC	11.10	11.18	10.45	10.50	585488.00
2004-05-17 15:30:00	:PTC	10.50	11.03	10.25	10.70	525961.00
2004-05-18 15:30:00	:PTC	10.90	11.07	10.75	10.75	394924.00
2004-05-19 15:30:00	:PTC	11.18	11.25	10.72	10.90	502459.00
2004-05-20 15:30:00	:PTC	10.82	11.10	10.70	10.88	537872.00
2004-05-21 15:30:00	:PTC	11.07	11.30	10.93	11.28	368190.00
2004-05-24 15:30:00	:PTC	11.53	11.88	11.28	11.88	656615.00
2004-05-25 15:30:00	:PTC	11.57	12.03	11.53	11.88	609074.00
2004-05-26 15:30:00	:PTC	11.88	12.12	11.82	12.03	567293.00
2004-05-27 15:30:00	:PTC	12.25	12.32	11.82	12.20	577745.00
2004-05-28 15:30:00	:PTC	12.00	12.32	11.90	12.12	397324.00
2004-06-01 15:30:00	:PTC	12.12	12.47	11.93	12.38	377836.00
2004-06-02 15:30:00	:PTC	12.47	12.50	11.97	12.15	408309.00
2004-06-03 15:30:00	:PTC	12.00	12.07	11.60	11.70	349947.00
2004-06-04 15:30:00	:PTC	11.88	11.97	11.65	11.88	390426.00
2004-06-07 15:30:00	:PTC	12.15	12.28	11.85	12.10	453428.00
2004-06-08 15:30:00	:PTC	11.85	12.25	11.78	12.12	340918.00
2004-06-09 15:30:00	:PTC	12.07	12.18	11.72	11.72	432179.00
2004-06-10 15:30:00	:PTC	11.88	12.05	11.75	11.88	304422.00
2004-06-14 15:30:00	:PTC	11.93	11.95	11.25	11.25	521728.00
2004-06-15 15:30:00	:PTC	11.43	11.90	11.38	11.68	432746.00
2004-06-16 15:30:00	:PTC	11.78	11.97	11.43	11.43	303108.00
2004-06-17 15:30:00	:PTC	11.43	11.62	11.35	11.40	488246.00
2004-06-18 15:30:00	:PTC	11.25	11.50	11.05	11.30	755291.00
2004-06-21 15:30:00	:PTC	11.50	11.68	11.25	11.50	332238.00
2004-06-22 15:30:00	:PTC	11.55	11.90	11.28	11.88	486046.00
2004-06-23 15:30:00	:PTC	11.78	12.00	11.53	11.97	407306.00
2004-06-24 15:30:00	:PTC	11.93	12.12	11.65	11.85	400192.00
2004-06-25 15:30:00	:PTC	11.90	12.18	11.20	12.15	1593955.00
2004-06-28 15:30:00	:PTC	12.25	12.45	12.07	12.20	623295.00
2004-06-29 15:30:00	:PTC	12.10	12.50	12.05	12.45	332720.00
2004-06-30 15:30:00	:PTC	12.50	12.55	12.00	12.50	507174.00
2004-07-01 15:30:00	:PTC	12.50	12.57	12.03	12.35	682679.00
2004-07-02 15:30:00	:PTC	12.50	12.50	12.15	12.25	247224.00
2004-07-06 15:30:00	:PTC	12.22	12.28	11.32	11.40	511703.00
2004-07-07 15:30:00	:PTC	11.40	11.70	11.12	11.20	497608.00
2004-07-08 15:30:00	:PTC	11.15	11.32	10.55	10.55	674108.00
2004-07-09 15:30:00	:PTC	10.60	11.22	10.55	11.05	525104.00
2004-07-12 15:30:00	:PTC	11.05	11.20	10.72	10.90	213161.00
2004-07-13 15:30:00	:PTC	10.85	11.22	10.65	10.72	282912.00
2004-07-14 15:30:00	:PTC	10.65	10.97	10.47	10.90	516981.00
2004-07-15 15:30:00	:PTC	10.93	11.45	10.68	10.80	924252.00
2004-07-16 15:30:00	:PTC	10.95	11.03	10.03	10.15	658384.00
2004-07-19 15:30:00	:PTC	10.18	10.60	10.00	10.35	552906.00
2004-07-20 15:30:00	:PTC	10.22	10.97	10.20	10.95	349787.00
2004-07-21 15:30:00	:PTC	10.97	11.35	10.28	10.40	680015.00
2004-07-22 15:30:00	:PTC	10.60	11.07	10.28	10.90	1088146.00
2004-07-23 15:30:00	:PTC	10.97	11.15	10.53	10.65	727760.00
2004-07-26 15:30:00	:PTC	10.62	10.90	10.50	10.68	488892.00
2004-07-27 15:30:00	:PTC	10.70	11.30	10.65	11.20	770028.00
2004-07-28 15:30:00	:PTC	11.20	11.32	10.75	10.95	673432.00
2004-07-29 15:30:00	:PTC	11.10	11.22	10.85	11.10	645763.00
2004-07-30 15:30:00	:PTC	11.10	11.43	10.88	11.35	414171.00
2004-08-02 15:30:00	:PTC	10.93	11.32	10.82	10.97	704672.00
2004-08-03 15:30:00	:PTC	10.97	11.15	10.25	10.25	740180.00
2004-08-04 15:30:00	:PTC	10.22	10.95	10.12	10.70	478623.00
2004-08-05 15:30:00	:PTC	10.57	11.12	10.47	10.60	760296.00
2004-08-06 15:30:00	:PTC	10.47	10.62	10.20	10.22	425964.00
2004-08-09 15:30:00	:PTC	10.28	10.62	10.20	10.62	379374.00
2004-08-10 15:30:00	:PTC	10.62	11.03	10.53	11.00	773529.00
2004-08-11 15:30:00	:PTC	11.03	11.15	10.68	10.97	728496.00
2004-08-12 15:30:00	:PTC	10.95	11.03	10.88	10.95	418319.00
2004-08-13 15:30:00	:PTC	11.12	11.12	10.82	10.95	434966.00
2004-08-16 15:30:00	:PTC	10.93	11.25	10.62	11.05	641884.00
2004-08-17 15:30:00	:PTC	11.22	11.35	11.05	11.12	486520.00
2004-08-18 15:30:00	:PTC	11.03	11.80	11.00	11.78	498166.00
2004-08-19 15:30:00	:PTC	11.62	11.88	11.38	11.75	579932.00
2004-08-20 15:30:00	:PTC	11.75	12.12	11.62	12.03	542336.00
