datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:RCL	45.74	45.88	45.25	45.54	1098500.00
2004-04-08 15:30:00	:RCL	45.95	45.95	45.00	45.28	356000.00
2004-04-12 15:30:00	:RCL	45.28	45.99	45.15	45.69	766700.00
2004-04-13 15:30:00	:RCL	45.75	45.78	44.52	44.55	544500.00
2004-04-14 15:30:00	:RCL	44.15	44.83	44.04	44.80	1115800.00
2004-04-15 15:30:00	:RCL	44.78	44.78	43.73	44.25	1821100.00
2004-04-16 15:30:00	:RCL	44.31	45.29	44.31	45.17	984800.00
2004-04-19 15:30:00	:RCL	45.17	45.71	45.03	45.29	643100.00
2004-04-20 15:30:00	:RCL	45.29	45.41	43.81	44.04	1543700.00
2004-04-21 15:30:00	:RCL	44.15	44.34	41.90	43.86	4181301.00
2004-04-22 15:30:00	:RCL	43.92	44.45	43.65	44.18	1303000.00
2004-04-23 15:30:00	:RCL	43.86	44.49	43.55	44.17	671300.00
2004-04-26 15:30:00	:RCL	44.11	44.11	43.40	43.71	1638600.00
2004-04-27 15:30:00	:RCL	43.40	43.47	41.78	42.00	2358300.00
2004-04-28 15:30:00	:RCL	42.20	42.35	40.80	41.36	2800800.00
2004-04-29 15:30:00	:RCL	41.26	41.35	40.24	40.76	909000.00
2004-04-30 15:30:00	:RCL	40.86	41.20	40.16	40.53	717000.00
2004-05-03 15:30:00	:RCL	40.30	40.89	39.87	40.80	1235700.00
2004-05-04 15:30:00	:RCL	41.15	42.02	40.95	41.65	2276600.00
2004-05-05 15:30:00	:RCL	41.65	43.13	41.60	42.60	2505500.00
2004-05-06 15:30:00	:RCL	42.60	42.80	41.63	41.93	1601200.00
2004-05-07 15:30:00	:RCL	41.80	41.80	40.67	40.80	1473300.00
2004-05-10 15:30:00	:RCL	39.88	40.29	39.19	39.70	1760800.00
2004-05-11 15:30:00	:RCL	39.83	39.88	39.17	39.40	1633100.00
2004-05-12 15:30:00	:RCL	39.02	39.35	37.80	38.94	3009300.00
2004-05-13 15:30:00	:RCL	38.95	38.95	38.32	38.87	690400.00
2004-05-14 15:30:00	:RCL	38.87	39.64	38.60	39.28	1412000.00
2004-05-17 15:30:00	:RCL	39.05	39.05	38.02	38.37	1084500.00
2004-05-18 15:30:00	:RCL	38.55	39.00	38.33	38.40	1432700.00
2004-05-19 15:30:00	:RCL	38.75	39.23	38.29	38.55	1112200.00
2004-05-20 15:30:00	:RCL	38.70	39.02	38.11	38.96	979700.00
2004-05-21 15:30:00	:RCL	39.00	39.75	39.00	39.48	1071200.00
2004-05-24 15:30:00	:RCL	39.75	40.00	39.32	39.64	990900.00
2004-05-25 15:30:00	:RCL	39.64	40.19	39.20	40.08	928600.00
2004-05-26 15:30:00	:RCL	40.28	40.55	39.36	39.36	1077200.00
2004-05-27 15:30:00	:RCL	39.90	40.19	39.47	39.69	1053900.00
2004-05-28 15:30:00	:RCL	39.67	39.67	39.11	39.12	602100.00
2004-06-01 15:30:00	:RCL	39.15	39.24	38.74	39.04	594000.00
2004-06-02 15:30:00	:RCL	39.04	39.32	38.42	38.72	1484700.00
2004-06-03 15:30:00	:RCL	38.60	38.61	37.92	38.17	2096100.00
2004-06-04 15:30:00	:RCL	38.49	39.10	38.46	39.10	849000.00
2004-06-07 15:30:00	:RCL	39.75	41.00	39.72	40.93	1992200.00
2004-06-08 15:30:00	:RCL	41.23	41.65	41.15	41.64	1226400.00
2004-06-09 15:30:00	:RCL	41.65	42.11	41.37	41.41	1331800.00
2004-06-10 15:30:00	:RCL	41.42	41.92	41.15	41.31	635300.00
