datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:ROK	35.93	35.93	35.02	35.20	1652900.00
2004-04-08 15:30:00	:ROK	35.70	35.85	34.93	35.14	881200.00
2004-04-12 15:30:00	:ROK	35.39	35.46	35.07	35.16	510500.00
2004-04-13 15:30:00	:ROK	35.26	35.75	34.35	34.51	646500.00
2004-04-14 15:30:00	:ROK	34.50	34.50	33.74	34.00	1643100.00
2004-04-15 15:30:00	:ROK	34.21	34.27	33.26	33.69	1252400.00
2004-04-16 15:30:00	:ROK	33.92	34.57	33.32	34.49	1098000.00
2004-04-19 15:30:00	:ROK	34.30	34.80	34.30	34.59	582000.00
2004-04-20 15:30:00	:ROK	34.38	34.81	34.00	34.07	842400.00
2004-04-21 15:30:00	:ROK	34.06	34.53	33.95	34.51	556500.00
2004-04-22 15:30:00	:ROK	34.35	35.01	34.18	34.90	639500.00
2004-04-23 15:30:00	:ROK	34.70	34.86	34.22	34.46	818600.00
2004-04-26 15:30:00	:ROK	34.35	34.90	34.22	34.41	1004600.00
2004-04-27 15:30:00	:ROK	35.10	35.40	33.95	34.02	1641300.00
2004-04-28 15:30:00	:ROK	34.02	34.02	33.08	33.22	865200.00
2004-04-29 15:30:00	:ROK	33.30	33.68	32.62	33.12	1021000.00
2004-04-30 15:30:00	:ROK	33.35	33.44	32.52	32.69	965500.00
2004-05-03 15:30:00	:ROK	32.92	33.08	32.62	33.00	961300.00
2004-05-04 15:30:00	:ROK	32.93	34.50	32.86	33.89	1145500.00
2004-05-05 15:30:00	:ROK	33.88	34.26	33.64	33.90	819300.00
2004-05-06 15:30:00	:ROK	33.75	33.97	33.50	33.65	863000.00
2004-05-07 15:30:00	:ROK	33.60	33.91	33.21	33.34	631700.00
2004-05-10 15:30:00	:ROK	33.24	33.24	30.89	31.61	2190000.00
2004-05-11 15:30:00	:ROK	31.53	32.68	31.52	32.60	913500.00
2004-05-12 15:30:00	:ROK	32.40	33.10	31.82	33.02	926000.00
2004-05-13 15:30:00	:ROK	32.64	32.90	32.25	32.51	669200.00
2004-05-14 15:30:00	:ROK	32.45	33.00	32.04	32.95	737100.00
2004-05-17 15:30:00	:ROK	32.70	32.70	31.62	31.66	1009900.00
2004-05-18 15:30:00	:ROK	31.66	32.25	31.65	32.15	1004800.00
2004-05-19 15:30:00	:ROK	32.40	33.21	32.40	32.65	916800.00
2004-05-20 15:30:00	:ROK	32.50	32.76	32.15	32.45	814600.00
2004-05-21 15:30:00	:ROK	32.60	32.70	32.36	32.48	736200.00
2004-05-24 15:30:00	:ROK	32.70	33.05	32.22	32.74	701900.00
2004-05-25 15:30:00	:ROK	32.70	33.17	32.18	33.02	519500.00
2004-05-26 15:30:00	:ROK	33.00	33.54	32.86	33.44	673600.00
2004-05-27 15:30:00	:ROK	33.77	34.75	33.63	33.89	1221700.00
2004-05-28 15:30:00	:ROK	33.89	33.99	33.53	33.86	826200.00
2004-06-01 15:30:00	:ROK	33.85	34.10	33.64	34.08	508700.00
2004-06-02 15:30:00	:ROK	34.09	34.32	33.88	34.06	582900.00
2004-06-03 15:30:00	:ROK	33.94	33.94	33.26	33.26	567400.00
2004-06-04 15:30:00	:ROK	33.60	33.67	33.03	33.13	842500.00
2004-06-07 15:30:00	:ROK	33.35	33.85	33.25	33.84	933900.00
2004-06-08 15:30:00	:ROK	33.86	34.28	33.82	34.25	645800.00
2004-06-09 15:30:00	:ROK	34.25	34.40	33.62	33.68	521900.00
2004-06-10 15:30:00	:ROK	33.66	33.96	33.63	33.94	504700.00
2004-06-14 15:30:00	:ROK	33.55	34.36	33.52	34.04	830500.00
2004-06-15 15:30:00	:ROK	34.20	35.15	34.20	34.84	995700.00
2004-06-16 15:30:00	:ROK	34.75	35.08	34.70	34.91	899900.00
2004-06-17 15:30:00	:ROK	34.70	35.21	34.55	35.02	643500.00
