datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:RVTY	21.33	21.86	21.20	21.81	797800.00
2004-04-08 15:30:00	:RVTY	21.81	22.32	21.81	22.32	830500.00
2004-04-12 15:30:00	:RVTY	22.32	22.59	22.10	22.25	608600.00
2004-04-13 15:30:00	:RVTY	22.35	22.39	21.69	21.87	801500.00
2004-04-14 15:30:00	:RVTY	21.77	21.99	21.45	21.55	636700.00
2004-04-15 15:30:00	:RVTY	21.57	22.09	21.33	21.49	479800.00
2004-04-16 15:30:00	:RVTY	21.60	21.60	20.84	20.85	768800.00
2004-04-19 15:30:00	:RVTY	20.79	21.23	20.78	21.17	504500.00
2004-04-20 15:30:00	:RVTY	21.17	21.30	20.27	20.31	462100.00
2004-04-21 15:30:00	:RVTY	20.35	20.77	20.33	20.45	595600.00
2004-04-22 15:30:00	:RVTY	20.50	20.91	20.31	20.85	868900.00
2004-04-23 15:30:00	:RVTY	20.85	21.30	20.16	20.45	800000.00
2004-04-26 15:30:00	:RVTY	20.55	20.65	19.99	20.10	830900.00
2004-04-27 15:30:00	:RVTY	20.31	20.31	19.50	19.65	1853600.00
2004-04-28 15:30:00	:RVTY	19.62	19.66	18.95	19.10	737000.00
2004-04-29 15:30:00	:RVTY	19.18	19.54	18.92	19.45	1455200.00
2004-04-30 15:30:00	:RVTY	19.44	19.44	19.07	19.25	1094900.00
2004-05-03 15:30:00	:RVTY	19.22	19.86	19.18	19.86	1113000.00
2004-05-04 15:30:00	:RVTY	19.80	20.05	19.46	19.74	785800.00
2004-05-05 15:30:00	:RVTY	19.65	19.75	19.29	19.40	954000.00
2004-05-06 15:30:00	:RVTY	19.25	19.48	18.89	19.42	398700.00
2004-05-07 15:30:00	:RVTY	19.30	19.60	19.18	19.23	840500.00
2004-05-10 15:30:00	:RVTY	18.50	18.90	17.95	18.25	1051000.00
2004-05-11 15:30:00	:RVTY	18.48	18.80	18.31	18.59	517300.00
2004-05-12 15:30:00	:RVTY	18.59	18.59	17.90	18.38	664300.00
2004-05-13 15:30:00	:RVTY	18.18	18.56	18.07	18.40	538400.00
2004-05-14 15:30:00	:RVTY	18.40	18.50	18.01	18.33	430700.00
2004-05-17 15:30:00	:RVTY	18.00	18.20	17.60	17.82	473400.00
2004-05-18 15:30:00	:RVTY	17.92	18.18	17.88	17.94	420300.00
2004-05-19 15:30:00	:RVTY	18.19	18.90	18.18	18.27	922200.00
2004-05-20 15:30:00	:RVTY	18.35	18.60	18.18	18.35	619800.00
2004-05-21 15:30:00	:RVTY	18.50	18.58	18.17	18.26	421500.00
2004-05-24 15:30:00	:RVTY	18.50	18.60	18.17	18.49	525600.00
2004-05-25 15:30:00	:RVTY	18.50	19.23	18.34	19.21	765700.00
2004-05-26 15:30:00	:RVTY	19.21	19.70	19.17	19.70	673900.00
2004-05-27 15:30:00	:RVTY	19.85	19.95	19.38	19.48	555700.00
2004-05-28 15:30:00	:RVTY	19.55	19.62	19.25	19.51	272900.00
2004-06-01 15:30:00	:RVTY	19.51	19.51	19.07	19.30	647400.00
2004-06-02 15:30:00	:RVTY	19.40	19.40	19.07	19.19	360400.00
2004-06-03 15:30:00	:RVTY	19.50	20.09	19.09	19.86	1449900.00
2004-06-04 15:30:00	:RVTY	19.87	20.11	19.70	19.75	407700.00
2004-06-07 15:30:00	:RVTY	19.85	20.64	19.85	20.62	505800.00
2004-06-08 15:30:00	:RVTY	20.63	20.84	20.62	20.81	556600.00
2004-06-09 15:30:00	:RVTY	20.80	20.80	20.12	20.12	598100.00
2004-06-10 15:30:00	:RVTY	20.18	20.25	19.96	20.08	711000.00
2004-06-14 15:30:00	:RVTY	19.80	19.85	19.56	19.65	513700.00
2004-06-15 15:30:00	:RVTY	19.80	19.90	19.54	19.78	522800.00
2004-06-16 15:30:00	:RVTY	19.78	19.81	19.61	19.71	442000.00
2004-06-17 15:30:00	:RVTY	19.70	19.73	19.30	19.64	793900.00
2004-06-18 15:30:00	:RVTY	19.60	19.90	19.50	19.50	477000.00
2004-06-21 15:30:00	:RVTY	19.53	19.68	19.22	19.24	322600.00
2004-06-22 15:30:00	:RVTY	19.30	19.47	19.20	19.42	595700.00
2004-06-23 15:30:00	:RVTY	19.50	19.95	19.45	19.88	488800.00
2004-06-24 15:30:00	:RVTY	19.85	20.90	19.85	20.29	692500.00
2004-06-25 15:30:00	:RVTY	20.30	20.70	20.30	20.64	670800.00
2004-06-28 15:30:00	:RVTY	20.67	20.77	19.82	19.94	484500.00
2004-06-29 15:30:00	:RVTY	20.00	20.13	19.90	20.03	768100.00
2004-06-30 15:30:00	:RVTY	20.09	20.30	19.88	20.04	712500.00
2004-07-01 15:30:00	:RVTY	20.00	20.00	19.25	19.37	726300.00
2004-07-02 15:30:00	:RVTY	19.40	19.40	18.82	19.14	647600.00
2004-07-06 15:30:00	:RVTY	19.14	19.15	18.50	18.54	698000.00
2004-07-07 15:30:00	:RVTY	18.54	18.75	18.39	18.53	952500.00
2004-07-08 15:30:00	:RVTY	18.30	18.37	17.80	17.84	933400.00
2004-07-09 15:30:00	:RVTY	17.95	18.04	17.74	17.78	749900.00
2004-07-12 15:30:00	:RVTY	17.85	17.88	17.02	17.14	1268000.00
2004-07-13 15:30:00	:RVTY	17.18	17.38	17.03	17.15	901500.00
2004-07-14 15:30:00	:RVTY	17.10	17.30	16.87	16.99	701700.00
2004-07-15 15:30:00	:RVTY	17.10	17.39	16.92	17.24	1368000.00
2004-07-16 15:30:00	:RVTY	17.48	17.49	16.78	16.84	718300.00
2004-07-19 15:30:00	:RVTY	16.97	17.05	16.67	16.90	783700.00
2004-07-20 15:30:00	:RVTY	16.99	17.37	16.83	17.36	828200.00
2004-07-21 15:30:00	:RVTY	17.54	17.71	16.51	16.53	529300.00
2004-07-22 15:30:00	:RVTY	16.53	16.88	16.45	16.78	474300.00
2004-07-23 15:30:00	:RVTY	16.78	16.78	16.32	16.52	628900.00
2004-07-26 15:30:00	:RVTY	16.49	16.51	15.67	15.74	597000.00
2004-07-27 15:30:00	:RVTY	15.70	15.87	15.05	15.76	1573500.00
2004-07-28 15:30:00	:RVTY	15.80	17.31	15.75	17.14	1503500.00
2004-07-29 15:30:00	:RVTY	17.41	17.95	17.00	17.15	1027400.00
2004-07-30 15:30:00	:RVTY	17.20	17.58	17.15	17.58	647800.00
2004-08-02 15:30:00	:RVTY	17.40	17.49	17.23	17.40	501400.00
2004-08-03 15:30:00	:RVTY	17.38	17.38	17.09	17.13	447800.00
2004-08-04 15:30:00	:RVTY	17.13	17.70	16.96	17.66	761300.00
2004-08-05 15:30:00	:RVTY	17.58	17.65	16.92	16.97	645300.00
2004-08-06 15:30:00	:RVTY	16.90	16.95	16.21	16.31	780200.00
2004-08-09 15:30:00	:RVTY	16.26	16.61	16.10	16.31	521300.00
2004-08-10 15:30:00	:RVTY	16.48	17.05	16.44	17.04	538900.00
2004-08-11 15:30:00	:RVTY	16.98	16.98	16.44	16.64	672200.00
2004-08-12 15:30:00	:RVTY	16.65	16.71	16.39	16.42	682600.00
2004-08-13 15:30:00	:RVTY	16.45	16.60	15.98	16.12	528500.00
2004-08-16 15:30:00	:RVTY	16.13	16.68	16.08	16.62	940900.00
2004-08-17 15:30:00	:RVTY	16.62	17.06	16.62	16.98	395300.00
2004-08-18 15:30:00	:RVTY	16.85	17.75	16.85	17.74	744200.00
2004-08-19 15:30:00	:RVTY	17.60	17.70	17.39	17.50	516300.00
2004-08-20 15:30:00	:RVTY	17.42	17.97	17.42	17.89	535400.00
2004-08-23 15:30:00	:RVTY	17.85	18.10	17.48	17.65	707400.00
2004-08-24 15:30:00	:RVTY	17.69	17.98	17.68	17.73	477100.00
2004-08-25 15:30:00	:RVTY	17.83	18.10	17.50	18.08	500500.00
2004-08-26 15:30:00	:RVTY	17.98	18.05	17.66	17.83	422100.00
2004-08-27 15:30:00	:RVTY	17.80	17.96	17.70	17.94	193800.00
2004-08-30 15:30:00	:RVTY	17.71	17.86	17.51	17.55	420600.00
2004-08-31 15:30:00	:RVTY	17.48	17.61	17.23	17.48	393100.00
2004-09-01 15:30:00	:RVTY	17.49	17.84	17.43	17.55	293600.00
2004-09-02 15:30:00	:RVTY	17.55	17.89	17.43	17.88	216100.00
2004-09-03 15:30:00	:RVTY	17.85	17.90	17.43	17.54	327200.00
2004-09-07 15:30:00	:RVTY	17.54	17.69	17.38	17.58	424900.00
2004-09-08 15:30:00	:RVTY	17.58	17.75	17.33	17.38	399500.00
2004-09-09 15:30:00	:RVTY	17.38	18.14	17.28	18.03	806800.00
2004-09-10 15:30:00	:RVTY	18.03	18.45	17.85	18.43	515400.00
2004-09-13 15:30:00	:RVTY	18.40	18.67	18.18	18.67	651600.00
2004-09-14 15:30:00	:RVTY	18.67	18.88	18.60	18.73	390800.00
2004-09-15 15:30:00	:RVTY	18.74	18.80	18.15	18.17	797500.00
2004-09-16 15:30:00	:RVTY	18.20	18.41	18.09	18.13	406100.00
2004-09-17 15:30:00	:RVTY	18.05	18.42	18.00	18.24	714700.00
2004-09-20 15:30:00	:RVTY	18.25	18.25	17.83	17.88	784500.00
2004-09-21 15:30:00	:RVTY	17.95	18.17	17.83	18.03	948400.00
2004-09-22 15:30:00	:RVTY	18.01	18.06	17.33	17.35	766100.00
2004-09-23 15:30:00	:RVTY	17.43	17.48	17.18	17.19	698800.00
2004-09-24 15:30:00	:RVTY	17.19	17.30	16.87	16.89	1032800.00
2004-09-27 15:30:00	:RVTY	16.90	16.96	16.70	16.82	1031500.00
2004-09-28 15:30:00	:RVTY	16.75	17.06	16.70	17.06	1260900.00
2004-09-29 15:30:00	:RVTY	16.86	17.28	16.86	17.22	689300.00
2004-09-30 15:30:00	:RVTY	17.05	17.33	17.05	17.22	596400.00
2004-10-01 15:30:00	:RVTY	17.35	18.05	17.18	18.05	788300.00
2004-10-04 15:30:00	:RVTY	18.20	18.42	18.16	18.29	548700.00
2004-10-05 15:30:00	:RVTY	18.20	18.34	17.65	17.70	952700.00
2004-10-06 15:30:00	:RVTY	17.70	18.09	17.69	18.01	465800.00
2004-10-07 15:30:00	:RVTY	17.85	18.32	17.70	18.13	922900.00
2004-10-08 15:30:00	:RVTY	18.30	18.36	17.98	18.15	1573700.00
2004-10-11 15:30:00	:RVTY	18.20	18.29	17.97	18.01	306700.00
2004-10-12 15:30:00	:RVTY	17.99	18.09	17.80	17.85	521000.00
2004-10-13 15:30:00	:RVTY	17.90	18.05	17.56	17.57	416800.00
2004-10-14 15:30:00	:RVTY	17.51	17.55	17.17	17.26	529100.00
2004-10-15 15:30:00	:RVTY	17.30	17.75	17.21	17.68	624000.00
2004-10-18 15:30:00	:RVTY	17.55	17.95	17.55	17.92	752200.00
2004-10-19 15:30:00	:RVTY	17.88	18.11	17.75	17.85	600200.00
2004-10-20 15:30:00	:RVTY	17.75	17.76	17.20	17.57	560700.00
2004-10-21 15:30:00	:RVTY	17.57	17.94	17.37	17.88	445100.00
2004-10-22 15:30:00	:RVTY	17.98	17.99	17.40	17.60	589100.00
2004-10-25 15:30:00	:RVTY	17.50	17.62	17.16	17.52	581300.00
2004-10-26 15:30:00	:RVTY	17.52	17.91	17.20	17.88	815200.00
2004-10-27 15:30:00	:RVTY	17.80	19.37	17.79	18.96	1234400.00
2004-10-28 15:30:00	:RVTY	18.90	19.33	18.80	19.20	1052400.00
2004-10-29 15:30:00	:RVTY	19.20	21.00	19.14	20.54	2828600.00
2004-11-01 15:30:00	:RVTY	20.00	21.16	19.99	20.72	2457200.00
2004-11-02 15:30:00	:RVTY	20.50	21.90	20.20	20.95	1950800.00
2004-11-03 15:30:00	:RVTY	21.50	22.24	20.95	21.05	2205300.00
2004-11-04 15:30:00	:RVTY	21.05	21.57	21.03	21.35	1368900.00
2004-11-05 15:30:00	:RVTY	21.40	21.70	21.01	21.31	1149300.00
2004-11-08 15:30:00	:RVTY	21.40	21.47	21.21	21.37	854000.00
2004-11-09 15:30:00	:RVTY	21.30	21.78	21.29	21.63	1006800.00
2004-11-10 15:30:00	:RVTY	21.85	21.88	21.58	21.65	784700.00
2004-11-11 15:30:00	:RVTY	21.60	21.93	21.44	21.86	1122600.00
2004-11-12 15:30:00	:RVTY	21.75	22.14	21.68	22.14	1017500.00
2004-11-15 15:30:00	:RVTY	22.14	22.31	22.07	22.19	486900.00
2004-11-16 15:30:00	:RVTY	22.00	22.14	21.69	21.80	587500.00
2004-11-17 15:30:00	:RVTY	21.95	22.18	21.63	21.79	536000.00
2004-11-18 15:30:00	:RVTY	21.79	21.85	21.21	21.45	745900.00
2004-11-19 15:30:00	:RVTY	21.44	21.45	20.97	21.05	580000.00
2004-11-22 15:30:00	:RVTY	21.00	21.00	20.79	20.80	1187300.00
2004-11-23 15:30:00	:RVTY	20.80	21.00	20.62	20.69	847000.00
2004-11-24 15:30:00	:RVTY	20.80	21.06	20.75	20.78	1500200.00
2004-11-26 15:30:00	:RVTY	20.85	21.02	20.65	20.82	446700.00
2004-11-29 15:30:00	:RVTY	20.85	21.26	20.64	21.19	845800.00
2004-11-30 15:30:00	:RVTY	21.20	21.40	21.13	21.33	688900.00
2004-12-01 15:30:00	:RVTY	21.55	21.88	21.45	21.85	744500.00
2004-12-02 15:30:00	:RVTY	21.85	22.06	21.55	21.76	481300.00
2004-12-03 15:30:00	:RVTY	21.85	22.09	21.71	21.92	441000.00
2004-12-06 15:30:00	:RVTY	22.00	22.21	21.77	22.12	572900.00
2004-12-07 15:30:00	:RVTY	22.10	22.19	21.35	21.35	672700.00
2004-12-08 15:30:00	:RVTY	21.45	21.65	21.36	21.61	446900.00
2004-12-09 15:30:00	:RVTY	21.40	21.73	21.34	21.65	555900.00
2004-12-10 15:30:00	:RVTY	21.60	21.79	21.44	21.63	741800.00
2004-12-13 15:30:00	:RVTY	21.75	21.90	21.52	21.89	657700.00
