datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:SBAC	3.96	4.00	3.78	3.80	387418.00
2004-04-08 15:30:00	:SBAC	3.91	3.98	3.87	3.92	1268017.00
2004-04-12 15:30:00	:SBAC	3.95	4.06	3.90	3.98	406802.00
2004-04-13 15:30:00	:SBAC	4.00	4.10	3.82	3.85	822060.00
2004-04-14 15:30:00	:SBAC	3.86	4.00	3.77	3.95	457410.00
2004-04-15 15:30:00	:SBAC	3.95	4.31	3.95	4.06	871640.00
2004-04-16 15:30:00	:SBAC	4.28	4.40	4.18	4.30	627862.00
2004-04-19 15:30:00	:SBAC	4.17	4.43	4.17	4.41	435536.00
2004-04-20 15:30:00	:SBAC	4.41	4.61	4.11	4.25	2472648.00
2004-04-21 15:30:00	:SBAC	4.30	4.41	4.12	4.32	348849.00
2004-04-22 15:30:00	:SBAC	4.34	4.61	4.20	4.60	849977.00
2004-04-23 15:30:00	:SBAC	4.64	4.75	4.33	4.45	631933.00
2004-04-26 15:30:00	:SBAC	4.48	4.53	4.34	4.50	569112.00
2004-04-27 15:30:00	:SBAC	4.45	4.53	4.16	4.30	479822.00
2004-04-28 15:30:00	:SBAC	4.32	4.32	4.03	4.10	316914.00
2004-04-29 15:30:00	:SBAC	4.09	4.15	3.97	4.06	311405.00
2004-04-30 15:30:00	:SBAC	4.05	4.12	3.86	3.97	498551.00
2004-05-03 15:30:00	:SBAC	3.96	4.01	3.85	3.90	1133119.00
2004-05-04 15:30:00	:SBAC	3.92	4.03	3.74	3.86	578560.00
2004-05-05 15:30:00	:SBAC	3.86	4.00	3.78	3.78	330430.00
2004-05-06 15:30:00	:SBAC	3.77	3.82	3.62	3.70	347252.00
2004-05-07 15:30:00	:SBAC	3.61	3.80	3.30	3.39	999746.00
2004-05-10 15:30:00	:SBAC	3.32	3.40	3.10	3.22	683165.00
2004-05-11 15:30:00	:SBAC	3.27	3.38	3.21	3.28	517241.00
2004-05-12 15:30:00	:SBAC	3.40	3.40	3.20	3.34	437143.00
2004-05-13 15:30:00	:SBAC	3.33	3.51	3.21	3.39	188693.00
2004-05-14 15:30:00	:SBAC	3.36	3.44	3.23	3.36	278981.00
2004-05-17 15:30:00	:SBAC	3.33	3.36	3.20	3.27	162372.00
2004-05-18 15:30:00	:SBAC	3.33	3.44	3.23	3.37	162608.00
2004-05-19 15:30:00	:SBAC	3.39	3.54	3.18	3.43	252346.00
2004-05-20 15:30:00	:SBAC	3.40	3.49	3.30	3.40	236262.00
2004-05-21 15:30:00	:SBAC	3.43	3.53	3.32	3.45	569932.00
2004-05-24 15:30:00	:SBAC	3.53	3.59	3.38	3.56	157450.00
2004-05-25 15:30:00	:SBAC	3.57	3.78	3.57	3.78	1558425.00
2004-05-26 15:30:00	:SBAC	3.79	3.90	3.71	3.88	398180.00
2004-05-27 15:30:00	:SBAC	3.93	4.00	3.79	3.92	751520.00
2004-05-28 15:30:00	:SBAC	3.97	4.01	3.85	3.86	859262.00
2004-06-01 15:30:00	:SBAC	3.80	4.10	3.80	3.92	367056.00
2004-06-02 15:30:00	:SBAC	4.00	4.02	3.78	4.00	667752.00
2004-06-03 15:30:00	:SBAC	3.93	3.98	3.77	3.90	553881.00
2004-06-04 15:30:00	:SBAC	3.92	4.08	3.81	3.90	2261197.00
2004-06-07 15:30:00	:SBAC	3.95	4.15	3.89	4.15	1752798.00
2004-06-08 15:30:00	:SBAC	4.08	4.20	4.07	4.20	425460.00
2004-06-09 15:30:00	:SBAC	4.08	4.21	4.00	4.12	281498.00
2004-06-10 15:30:00	:SBAC	4.26	4.26	4.11	4.24	418249.00
2004-06-14 15:30:00	:SBAC	4.12	4.25	4.00	4.09	461223.00
2004-06-15 15:30:00	:SBAC	4.14	4.25	4.06	4.15	821925.00
2004-06-16 15:30:00	:SBAC	4.19	4.19	3.92	4.07	609770.00
2004-06-17 15:30:00	:SBAC	4.09	4.10	3.87	4.07	269562.00
2004-06-18 15:30:00	:SBAC	4.01	4.19	3.88	4.14	241608.00
2004-06-21 15:30:00	:SBAC	4.17	4.19	3.90	3.97	284695.00
2004-06-22 15:30:00	:SBAC	3.90	4.18	3.90	4.15	853031.00
2004-06-23 15:30:00	:SBAC	4.25	4.34	4.08	4.30	710707.00
2004-06-24 15:30:00	:SBAC	4.35	4.49	4.25	4.41	1333231.00
2004-06-25 15:30:00	:SBAC	4.37	4.72	4.19	4.50	1571421.00
2004-06-28 15:30:00	:SBAC	4.55	4.55	4.27	4.27	352641.00
2004-06-29 15:30:00	:SBAC	4.32	4.41	4.25	4.33	804789.00
2004-06-30 15:30:00	:SBAC	4.33	4.49	4.28	4.45	439889.00
2004-07-01 15:30:00	:SBAC	4.36	4.49	4.30	4.43	203914.00
2004-07-02 15:30:00	:SBAC	4.38	4.49	4.27	4.39	145836.00
2004-07-06 15:30:00	:SBAC	4.35	4.35	4.16	4.29	225949.00
2004-07-07 15:30:00	:SBAC	4.27	4.39	4.20	4.36	217540.00
2004-07-08 15:30:00	:SBAC	4.34	4.36	4.16	4.30	175784.00
2004-07-09 15:30:00	:SBAC	4.35	4.48	4.17	4.27	260787.00
