datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:SNPS	29.91	30.00	29.23	29.72	740416.00
2004-04-08 15:30:00	:SNPS	29.99	30.10	29.41	29.42	1141818.00
2004-04-12 15:30:00	:SNPS	29.44	29.76	29.26	29.63	696416.00
2004-04-13 15:30:00	:SNPS	29.74	29.75	29.21	29.30	711151.00
2004-04-14 15:30:00	:SNPS	29.20	29.63	28.84	29.05	912680.00
2004-04-15 15:30:00	:SNPS	29.24	29.52	28.82	29.15	1002576.00
2004-04-16 15:30:00	:SNPS	28.95	29.40	28.60	28.68	1485006.00
2004-04-19 15:30:00	:SNPS	30.10	30.50	27.55	29.40	3142867.00
2004-04-20 15:30:00	:SNPS	29.40	29.73	28.60	28.60	1365835.00
2004-04-21 15:30:00	:SNPS	28.66	28.90	28.02	28.36	1391655.00
2004-04-22 15:30:00	:SNPS	28.10	28.52	27.92	28.40	2317220.00
2004-04-23 15:30:00	:SNPS	28.38	29.01	28.16	28.77	2502119.00
2004-04-26 15:30:00	:SNPS	28.90	28.97	28.25	28.28	953978.00
2004-04-27 15:30:00	:SNPS	28.50	28.55	27.96	28.28	889286.00
2004-04-28 15:30:00	:SNPS	28.10	28.25	27.45	27.66	738686.00
2004-04-29 15:30:00	:SNPS	27.67	27.69	26.90	26.93	1305886.00
2004-04-30 15:30:00	:SNPS	27.10	27.27	26.57	26.73	2789153.00
2004-05-03 15:30:00	:SNPS	26.95	27.11	26.55	26.79	2396397.00
2004-05-04 15:30:00	:SNPS	26.56	27.20	26.55	27.10	1505165.00
2004-05-05 15:30:00	:SNPS	27.22	27.29	26.52	27.17	1155022.00
2004-05-06 15:30:00	:SNPS	26.71	27.01	26.61	26.82	1104270.00
2004-05-07 15:30:00	:SNPS	26.85	27.35	26.58	26.70	1096312.00
2004-05-10 15:30:00	:SNPS	26.44	26.88	26.44	26.62	1151355.00
2004-05-11 15:30:00	:SNPS	26.90	26.90	26.35	26.57	1511764.00
2004-05-12 15:30:00	:SNPS	26.10	26.56	26.02	26.43	1896354.00
2004-05-13 15:30:00	:SNPS	26.05	26.59	25.61	25.87	1816095.00
2004-05-14 15:30:00	:SNPS	25.78	25.98	25.42	25.77	1127894.00
2004-05-17 15:30:00	:SNPS	25.40	25.70	25.00	25.19	1617276.00
2004-05-18 15:30:00	:SNPS	25.50	25.57	25.20	25.30	1228240.00
2004-05-19 15:30:00	:SNPS	25.71	25.76	25.17	25.32	1741164.00
2004-05-20 15:30:00	:SNPS	26.96	28.66	26.90	28.27	4785301.00
2004-05-21 15:30:00	:SNPS	28.69	29.80	28.17	29.72	2909375.00
2004-05-24 15:30:00	:SNPS	29.81	30.45	29.14	29.37	2241548.00
2004-05-25 15:30:00	:SNPS	29.47	29.60	28.92	29.51	1348514.00
2004-05-26 15:30:00	:SNPS	29.40	29.89	29.19	29.87	1056827.00
2004-05-27 15:30:00	:SNPS	29.92	29.94	29.11	29.63	900145.00
2004-05-28 15:30:00	:SNPS	29.46	29.63	29.30	29.60	746856.00
2004-06-01 15:30:00	:SNPS	29.25	29.84	29.25	29.73	1097025.00
2004-06-02 15:30:00	:SNPS	29.61	29.80	29.25	29.65	1070358.00
2004-06-03 15:30:00	:SNPS	29.42	29.95	29.40	29.55	1111523.00
2004-06-04 15:30:00	:SNPS	30.00	30.25	29.67	29.77	1165309.00
2004-06-07 15:30:00	:SNPS	30.08	30.51	29.85	30.50	1029489.00
2004-06-08 15:30:00	:SNPS	30.40	30.70	30.25	30.45	1957104.00
2004-06-09 15:30:00	:SNPS	30.31	30.35	29.48	29.67	1416941.00
2004-06-10 15:30:00	:SNPS	29.83	30.45	29.73	30.12	1592681.00
2004-06-14 15:30:00	:SNPS	30.00	30.00	29.46	29.56	768509.00
2004-06-15 15:30:00	:SNPS	29.65	30.32	29.61	30.15	1295788.00
2004-06-16 15:30:00	:SNPS	30.00	30.33	29.97	30.33	1081917.00
2004-06-17 15:30:00	:SNPS	30.20	30.25	29.50	29.94	1088427.00
2004-06-18 15:30:00	:SNPS	29.58	30.34	29.53	29.89	2023456.00
2004-06-21 15:30:00	:SNPS	29.85	29.95	29.36	29.36	1047439.00
2004-06-22 15:30:00	:SNPS	29.40	29.59	29.09	29.48	820522.00
2004-06-23 15:30:00	:SNPS	29.48	29.56	29.17	29.56	988544.00
2004-06-24 15:30:00	:SNPS	29.51	29.70	29.00	29.37	984316.00
2004-06-25 15:30:00	:SNPS	29.30	29.39	28.62	29.31	1353823.00
2004-06-28 15:30:00	:SNPS	29.03	29.11	28.01	28.27	1987086.00
2004-06-29 15:30:00	:SNPS	28.15	28.90	28.15	28.46	1352837.00
2004-06-30 15:30:00	:SNPS	28.26	28.73	28.21	28.43	1690896.00
2004-07-01 15:30:00	:SNPS	28.27	28.51	27.62	28.11	1208236.00
2004-07-02 15:30:00	:SNPS	27.83	28.18	27.14	27.64	811113.00
2004-07-06 15:30:00	:SNPS	27.87	28.08	26.53	26.61	1030470.00
2004-07-07 15:30:00	:SNPS	26.83	27.20	26.49	26.54	866312.00
2004-07-08 15:30:00	:SNPS	26.55	26.76	26.17	26.30	802649.00
2004-07-09 15:30:00	:SNPS	26.31	27.01	26.26	26.61	1107602.00
2004-07-12 15:30:00	:SNPS	26.31	26.75	26.07	26.32	985158.00
2004-07-13 15:30:00	:SNPS	26.50	27.05	26.35	26.70	1142851.00
2004-07-14 15:30:00	:SNPS	26.36	27.11	26.11	26.16	805642.00
2004-07-15 15:30:00	:SNPS	26.10	26.44	25.65	25.66	1739016.00
2004-07-16 15:30:00	:SNPS	25.70	25.75	24.89	24.92	992515.00
2004-07-19 15:30:00	:SNPS	25.14	25.64	24.99	25.21	964835.00
2004-07-20 15:30:00	:SNPS	25.21	25.69	25.02	25.69	858235.00
2004-07-21 15:30:00	:SNPS	25.73	26.14	24.53	24.65	1341850.00
2004-07-22 15:30:00	:SNPS	24.95	25.02	24.23	24.70	1788718.00
2004-07-23 15:30:00	:SNPS	24.48	24.61	23.91	24.12	1202161.00
2004-07-26 15:30:00	:SNPS	24.15	24.55	23.65	23.91	2258678.00
2004-07-27 15:30:00	:SNPS	24.06	24.17	23.69	24.01	1751324.00
2004-07-28 15:30:00	:SNPS	24.00	24.93	23.85	24.85	1363717.00
2004-07-29 15:30:00	:SNPS	25.17	25.35	24.69	24.99	855353.00
2004-07-30 15:30:00	:SNPS	25.02	25.58	24.73	25.25	1534684.00
2004-08-02 15:30:00	:SNPS	21.93	23.00	18.67	21.05	12594395.00
2004-08-03 15:30:00	:SNPS	20.53	21.17	20.50	20.83	5184246.00
2004-08-04 15:30:00	:SNPS	20.94	21.45	20.74	21.25	1984055.00
2004-08-05 15:30:00	:SNPS	21.29	21.31	20.61	20.62	1169649.00
2004-08-06 15:30:00	:SNPS	20.53	20.87	20.19	20.20	1051581.00
2004-08-09 15:30:00	:SNPS	20.21	20.57	19.95	20.55	1396203.00
2004-08-10 15:30:00	:SNPS	20.60	20.78	20.40	20.77	1107916.00
2004-08-11 15:30:00	:SNPS	20.19	20.49	19.90	20.26	1147821.00
2004-08-12 15:30:00	:SNPS	20.05	20.28	19.90	19.96	1096275.00
2004-08-13 15:30:00	:SNPS	20.00	20.21	19.93	20.02	742968.00
2004-08-16 15:30:00	:SNPS	20.03	20.64	20.02	20.43	1037640.00
2004-08-17 15:30:00	:SNPS	20.42	20.77	20.03	20.30	1030822.00
2004-08-18 15:30:00	:SNPS	20.18	21.30	20.16	21.28	5082074.00
2004-08-19 15:30:00	:SNPS	14.96	15.75	14.45	14.65	30420912.00
2004-08-20 15:30:00	:SNPS	14.55	15.03	14.34	14.80	11186258.00
2004-08-23 15:30:00	:SNPS	14.94	15.29	14.89	15.18	4773383.00
2004-08-24 15:30:00	:SNPS	15.37	15.37	14.97	15.06	3190224.00
2004-08-25 15:30:00	:SNPS	14.89	15.67	14.84	15.41	4189055.00
2004-08-26 15:30:00	:SNPS	15.42	15.72	15.40	15.61	2463297.00
2004-08-27 15:30:00	:SNPS	15.69	15.89	15.51	15.83	2464373.00
2004-08-30 15:30:00	:SNPS	15.79	15.90	15.60	15.87	1898637.00
2004-08-31 15:30:00	:SNPS	15.90	15.98	15.62	15.96	1883332.00
2004-09-01 15:30:00	:SNPS	15.57	16.00	15.50	15.80	2542285.00
2004-09-02 15:30:00	:SNPS	16.03	16.16	15.79	16.10	2818153.00
2004-09-03 15:30:00	:SNPS	16.02	16.36	15.91	16.00	2428739.00
2004-09-07 15:30:00	:SNPS	15.97	16.16	15.93	16.10	1897854.00
2004-09-08 15:30:00	:SNPS	15.99	16.30	15.90	16.19	1448182.00
2004-09-09 15:30:00	:SNPS	16.47	16.54	16.25	16.46	1496348.00
2004-09-10 15:30:00	:SNPS	16.45	16.88	16.45	16.85	2060873.00
2004-09-13 15:30:00	:SNPS	17.15	17.20	16.73	16.83	1775452.00
2004-09-14 15:30:00	:SNPS	16.94	17.07	16.76	16.92	1500720.00
2004-09-15 15:30:00	:SNPS	16.86	16.99	16.54	16.60	1593707.00
2004-09-16 15:30:00	:SNPS	16.79	17.00	16.73	16.88	1378172.00
2004-09-17 15:30:00	:SNPS	17.04	17.20	16.82	17.01	1818277.00
2004-09-20 15:30:00	:SNPS	16.97	17.01	16.67	16.72	1629528.00
2004-09-21 15:30:00	:SNPS	16.89	16.98	16.51	16.66	1634158.00
2004-09-22 15:30:00	:SNPS	16.62	16.66	16.07	16.21	1473233.00
2004-09-23 15:30:00	:SNPS	16.33	16.33	15.96	15.98	1993877.00
2004-09-24 15:30:00	:SNPS	15.95	16.15	15.53	15.61	2073228.00
2004-09-27 15:30:00	:SNPS	15.79	15.84	15.48	15.57	1804348.00
2004-09-28 15:30:00	:SNPS	15.65	15.65	15.42	15.56	1066439.00
2004-09-29 15:30:00	:SNPS	15.62	15.77	15.46	15.63	1395957.00
2004-09-30 15:30:00	:SNPS	15.73	15.83	15.54	15.76	1158623.00
2004-10-01 15:30:00	:SNPS	16.09	16.56	16.05	16.56	1619219.00
2004-10-04 15:30:00	:SNPS	16.60	16.88	16.48	16.59	1729103.00
2004-10-05 15:30:00	:SNPS	16.54	16.80	16.23	16.32	1433016.00
2004-10-06 15:30:00	:SNPS	16.14	16.84	16.07	16.83	2884125.00
2004-10-07 15:30:00	:SNPS	16.49	16.80	16.30	16.67	2155536.00
2004-10-08 15:30:00	:SNPS	16.67	16.74	15.96	16.07	793339.00
2004-10-11 15:30:00	:SNPS	16.24	16.37	16.01	16.26	1432793.00
2004-10-12 15:30:00	:SNPS	16.05	16.27	15.80	16.19	1361026.00
2004-10-13 15:30:00	:SNPS	16.31	16.33	15.99	16.23	1433031.00
2004-10-14 15:30:00	:SNPS	16.43	16.43	15.94	16.06	1216790.00
2004-10-15 15:30:00	:SNPS	15.90	16.38	15.82	16.00	1370161.00
2004-10-18 15:30:00	:SNPS	16.01	16.31	15.83	16.18	1086384.00
2004-10-19 15:30:00	:SNPS	16.43	16.50	15.90	15.91	1298698.00
2004-10-20 15:30:00	:SNPS	15.80	16.23	15.65	16.06	1027797.00
2004-10-21 15:30:00	:SNPS	16.23	16.69	15.99	16.53	1906925.00
2004-10-22 15:30:00	:SNPS	16.41	16.53	15.65	15.72	1336965.00
2004-10-25 15:30:00	:SNPS	15.55	16.00	15.51	15.70	1259651.00
2004-10-26 15:30:00	:SNPS	15.84	15.98	15.60	15.86	1037193.00
2004-10-27 15:30:00	:SNPS	15.98	16.31	15.81	16.20	1766060.00
2004-10-28 15:30:00	:SNPS	16.20	16.22	15.96	16.15	673353.00
2004-10-29 15:30:00	:SNPS	16.07	16.24	15.99	16.24	1444912.00
2004-11-01 15:30:00	:SNPS	16.10	16.50	16.05	16.49	2151372.00
2004-11-02 15:30:00	:SNPS	16.48	16.98	16.45	16.54	1553194.00
2004-11-03 15:30:00	:SNPS	17.00	17.04	16.60	16.76	1008154.00
2004-11-04 15:30:00	:SNPS	16.80	16.94	16.70	16.91	1224638.00
2004-11-05 15:30:00	:SNPS	17.32	17.35	16.81	17.07	1314412.00
2004-11-08 15:30:00	:SNPS	17.20	17.20	16.90	16.98	1027361.00
2004-11-09 15:30:00	:SNPS	17.00	17.05	16.49	16.60	1613800.00
