datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:SPG	50.39	51.89	49.60	50.77	3182756.00
2004-04-08 15:30:00	:SPG	50.72	50.95	49.59	49.73	1184585.00
2004-04-12 15:30:00	:SPG	49.11	49.11	45.32	46.67	5526295.00
2004-04-13 15:30:00	:SPG	46.26	47.07	44.85	46.10	4523806.00
2004-04-14 15:30:00	:SPG	45.62	46.77	45.36	46.11	2210900.00
2004-04-15 15:30:00	:SPG	46.34	47.24	46.02	47.24	1560372.00
2004-04-16 15:30:00	:SPG	47.48	48.31	47.31	47.88	1278186.00
2004-04-19 15:30:00	:SPG	47.62	48.17	46.81	47.90	1055990.00
2004-04-20 15:30:00	:SPG	47.90	48.00	46.07	46.07	1152995.00
2004-04-21 15:30:00	:SPG	46.21	46.39	45.74	46.14	1473259.00
2004-04-22 15:30:00	:SPG	46.02	46.93	45.79	46.53	1155760.00
2004-04-23 15:30:00	:SPG	47.04	47.04	45.98	46.48	1033760.00
2004-04-26 15:30:00	:SPG	46.51	47.37	46.27	46.77	669673.00
2004-04-27 15:30:00	:SPG	46.87	47.50	46.82	47.37	856449.00
2004-04-28 15:30:00	:SPG	47.37	47.53	46.82	46.96	622766.00
2004-04-29 15:30:00	:SPG	46.94	47.34	45.25	45.65	1010998.00
2004-04-30 15:30:00	:SPG	45.74	46.20	45.03	45.33	1301693.00
2004-05-03 15:30:00	:SPG	45.32	46.07	44.78	46.07	1113746.00
2004-05-04 15:30:00	:SPG	46.07	46.43	45.52	45.62	1289674.00
2004-05-05 15:30:00	:SPG	45.83	45.96	44.47	44.47	1267231.00
2004-05-06 15:30:00	:SPG	44.47	45.10	43.90	44.96	1160228.00
2004-05-07 15:30:00	:SPG	44.19	44.42	42.97	43.04	1477727.00
2004-05-10 15:30:00	:SPG	43.01	43.50	41.73	43.11	1861810.00
2004-05-11 15:30:00	:SPG	43.06	44.24	42.85	43.27	1475706.00
2004-05-12 15:30:00	:SPG	43.25	43.25	42.20	42.95	1455177.00
2004-05-13 15:30:00	:SPG	42.21	43.11	41.88	42.41	1090239.00
2004-05-14 15:30:00	:SPG	42.54	43.94	42.34	43.57	1134700.00
2004-05-17 15:30:00	:SPG	43.44	44.92	42.92	44.31	1124914.00
2004-05-18 15:30:00	:SPG	44.38	45.01	44.23	44.96	759232.00
2004-05-19 15:30:00	:SPG	44.94	45.60	43.43	43.45	1531866.00
2004-05-20 15:30:00	:SPG	43.67	44.73	43.63	44.65	856449.00
2004-05-21 15:30:00	:SPG	44.66	45.36	44.31	44.57	997702.00
2004-05-24 15:30:00	:SPG	45.03	45.46	44.78	45.33	743065.00
2004-05-25 15:30:00	:SPG	45.41	46.79	45.27	46.79	973664.00
2004-05-26 15:30:00	:SPG	46.79	47.85	46.27	47.21	1254467.00
2004-05-27 15:30:00	:SPG	47.57	47.92	47.23	47.92	976535.00
2004-05-28 15:30:00	:SPG	47.94	48.68	47.85	48.48	1411142.00
2004-06-01 15:30:00	:SPG	48.48	48.48	46.88	47.20	1160972.00
2004-06-02 15:30:00	:SPG	47.48	48.42	47.31	48.42	885487.00
2004-06-03 15:30:00	:SPG	48.49	48.65	47.85	48.00	612342.00
2004-06-04 15:30:00	:SPG	48.42	48.85	48.14	48.32	549374.00
2004-06-07 15:30:00	:SPG	48.49	48.89	48.23	48.75	407058.00
2004-06-08 15:30:00	:SPG	48.76	48.89	48.15	48.18	576072.00
2004-06-09 15:30:00	:SPG	48.19	48.68	47.84	47.85	881232.00
2004-06-10 15:30:00	:SPG	48.04	48.11	47.50	47.66	867405.00
2004-06-14 15:30:00	:SPG	47.48	47.48	46.55	46.89	963133.00
2004-06-15 15:30:00	:SPG	47.07	48.31	47.07	48.08	940371.00
2004-06-16 15:30:00	:SPG	48.05	48.30	47.51	48.18	741363.00
2004-06-17 15:30:00	:SPG	48.18	48.78	47.89	48.73	706369.00
2004-06-18 15:30:00	:SPG	48.52	49.29	48.51	49.17	1154909.00
2004-06-21 15:30:00	:SPG	48.65	48.89	48.03	48.87	4266933.00
2004-06-22 15:30:00	:SPG	48.87	48.95	48.26	48.73	1688861.00
2004-06-23 15:30:00	:SPG	48.73	48.95	48.56	48.84	1792886.00
2004-06-24 15:30:00	:SPG	48.83	49.05	48.41	48.51	1038014.00
2004-06-25 15:30:00	:SPG	48.61	48.98	48.53	48.98	1518358.00
2004-06-28 15:30:00	:SPG	48.94	49.36	48.56	49.28	934096.00
2004-06-29 15:30:00	:SPG	49.28	49.28	47.86	47.87	1371043.00
2004-06-30 15:30:00	:SPG	48.09	48.42	47.49	48.34	1182883.00
2004-07-01 15:30:00	:SPG	48.34	48.56	47.62	48.09	898464.00
2004-07-02 15:30:00	:SPG	48.32	49.09	48.14	49.09	1291482.00
2004-07-06 15:30:00	:SPG	49.09	49.10	48.28	48.94	840601.00
2004-07-07 15:30:00	:SPG	49.01	49.39	48.79	49.28	856449.00
2004-07-08 15:30:00	:SPG	49.41	49.45	48.42	48.42	819541.00
2004-07-09 15:30:00	:SPG	48.61	48.75	48.10	48.40	874319.00
2004-07-12 15:30:00	:SPG	48.53	49.22	48.09	49.01	644358.00
2004-07-13 15:30:00	:SPG	49.01	49.07	48.47	48.51	525336.00
2004-07-14 15:30:00	:SPG	48.52	49.02	48.52	49.02	512465.00
2004-07-15 15:30:00	:SPG	49.08	49.57	49.01	49.41	758381.00
