datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:STLD	7.06	7.06	6.73	6.81	3361608.00
2004-04-08 15:30:00	:STLD	6.95	6.97	6.79	6.82	1944840.00
2004-04-12 15:30:00	:STLD	6.91	7.02	6.85	6.97	1922444.00
2004-04-13 15:30:00	:STLD	7.03	7.04	6.77	6.85	1462696.00
2004-04-14 15:30:00	:STLD	6.82	6.94	6.69	6.80	6101880.00
2004-04-15 15:30:00	:STLD	6.96	7.11	6.56	6.83	9402652.00
2004-04-16 15:30:00	:STLD	6.84	6.99	6.77	6.87	2334780.00
2004-04-19 15:30:00	:STLD	6.90	6.94	6.75	6.83	1089240.00
2004-04-20 15:30:00	:STLD	6.87	6.95	6.66	6.67	1627256.00
2004-04-21 15:30:00	:STLD	6.64	6.65	6.44	6.53	2669384.00
2004-04-22 15:30:00	:STLD	6.60	6.75	6.59	6.72	1666272.00
2004-04-23 15:30:00	:STLD	6.72	6.72	6.46	6.50	1621056.00
2004-04-26 15:30:00	:STLD	6.54	6.60	6.46	6.52	975944.00
2004-04-27 15:30:00	:STLD	6.55	6.62	6.39	6.45	1747416.00
2004-04-28 15:30:00	:STLD	6.54	6.56	6.14	6.21	3534936.00
2004-04-29 15:30:00	:STLD	6.14	6.33	6.02	6.05	3216024.00
2004-04-30 15:30:00	:STLD	6.01	6.16	6.00	6.02	1278784.00
2004-05-03 15:30:00	:STLD	6.06	6.06	5.56	5.89	6957444.00
2004-05-04 15:30:00	:STLD	5.83	6.19	5.83	6.08	3258616.00
2004-05-05 15:30:00	:STLD	6.14	6.17	5.97	6.05	1636784.00
2004-05-06 15:30:00	:STLD	5.99	6.02	5.81	5.94	1921256.00
2004-05-07 15:30:00	:STLD	5.74	5.94	5.59	5.60	4241424.00
2004-05-10 15:30:00	:STLD	5.51	5.58	5.40	5.47	4645460.00
2004-05-11 15:30:00	:STLD	5.55	5.67	5.48	5.56	1346104.00
2004-05-12 15:30:00	:STLD	5.54	5.54	5.36	5.49	2799544.00
2004-05-13 15:30:00	:STLD	5.51	5.52	5.42	5.49	1835524.00
2004-05-14 15:30:00	:STLD	5.44	5.51	5.33	5.41	1371980.00
2004-05-17 15:30:00	:STLD	5.31	5.38	5.19	5.23	2931796.00
2004-05-18 15:30:00	:STLD	5.20	5.79	5.20	5.79	4701260.00
2004-05-19 15:30:00	:STLD	5.83	6.01	5.79	5.93	4902376.00
2004-05-20 15:30:00	:STLD	5.91	6.35	5.82	6.33	7654720.00
2004-05-21 15:30:00	:STLD	6.38	6.39	6.15	6.20	2427584.00
2004-05-24 15:30:00	:STLD	6.21	6.33	6.17	6.25	4232588.00
2004-05-25 15:30:00	:STLD	6.21	6.49	6.17	6.47	3076848.00
2004-05-26 15:30:00	:STLD	6.49	6.50	6.35	6.38	1770812.00
2004-05-27 15:30:00	:STLD	6.44	6.47	6.37	6.44	1885120.00
2004-05-28 15:30:00	:STLD	6.40	6.47	6.33	6.40	1102724.00
2004-06-01 15:30:00	:STLD	6.40	6.50	6.36	6.46	1980736.00
2004-06-02 15:30:00	:STLD	6.47	6.50	6.30	6.42	963576.00
2004-06-03 15:30:00	:STLD	6.41	6.45	6.21	6.25	916872.00
2004-06-04 15:30:00	:STLD	6.22	6.38	6.22	6.29	1020364.00
2004-06-07 15:30:00	:STLD	6.38	6.62	6.27	6.53	4171828.00
2004-06-08 15:30:00	:STLD	6.49	6.78	6.45	6.70	3924260.00
2004-06-09 15:30:00	:STLD	6.65	6.75	6.53	6.55	2829576.00
2004-06-10 15:30:00	:STLD	6.58	6.70	6.57	6.68	1748900.00
2004-06-14 15:30:00	:STLD	6.70	6.70	6.53	6.57	2684084.00
2004-06-15 15:30:00	:STLD	6.60	6.86	6.59	6.72	4382320.00
2004-06-16 15:30:00	:STLD	6.69	6.72	6.58	6.61	2157212.00
2004-06-17 15:30:00	:STLD	6.65	6.70	6.59	6.69	2086272.00
2004-06-18 15:30:00	:STLD	6.62	6.81	6.54	6.81	2928800.00
2004-06-21 15:30:00	:STLD	6.81	6.88	6.75	6.77	1424288.00
2004-06-22 15:30:00	:STLD	6.72	6.95	6.72	6.95	1733716.00
2004-06-23 15:30:00	:STLD	6.99	7.13	6.91	7.12	1731308.00
2004-06-24 15:30:00	:STLD	7.12	7.27	7.10	7.13	3502956.00
2004-06-25 15:30:00	:STLD	7.12	7.24	7.06	7.12	3500968.00
2004-06-28 15:30:00	:STLD	7.14	7.22	7.03	7.05	1615196.00
2004-06-29 15:30:00	:STLD	7.12	7.14	7.03	7.05	2407864.00
2004-06-30 15:30:00	:STLD	7.04	7.20	7.04	7.16	1435256.00
2004-07-01 15:30:00	:STLD	7.10	7.21	7.04	7.12	2066636.00
2004-07-02 15:30:00	:STLD	7.10	7.10	6.98	7.01	1539952.00
2004-07-06 15:30:00	:STLD	7.24	7.38	7.18	7.18	8664660.00
2004-07-07 15:30:00	:STLD	7.15	7.34	7.15	7.28	4149040.00
2004-07-08 15:30:00	:STLD	7.14	7.28	7.11	7.22	2490392.00
2004-07-09 15:30:00	:STLD	7.29	7.33	7.08	7.22	1392592.00
2004-07-12 15:30:00	:STLD	7.29	7.30	7.15	7.21	1879040.00
2004-07-13 15:30:00	:STLD	7.31	7.38	7.23	7.33	4064160.00
2004-07-14 15:30:00	:STLD	7.39	7.88	7.35	7.81	9228868.00
2004-07-15 15:30:00	:STLD	7.84	8.12	7.76	8.06	6344324.00
2004-07-16 15:30:00	:STLD	8.11	8.29	8.05	8.28	3302416.00
2004-07-19 15:30:00	:STLD	8.15	8.32	7.76	7.83	5809400.00
2004-07-20 15:30:00	:STLD	7.93	8.10	7.56	8.08	8846792.00
2004-07-21 15:30:00	:STLD	8.14	8.15	7.84	7.86	4151144.00
2004-07-22 15:30:00	:STLD	7.76	7.94	7.61	7.77	2940688.00
2004-07-23 15:30:00	:STLD	7.83	7.83	7.49	7.61	2273312.00
2004-07-26 15:30:00	:STLD	7.62	7.65	7.46	7.53	2125064.00
2004-07-27 15:30:00	:STLD	7.55	7.91	7.45	7.88	3907180.00
2004-07-28 15:30:00	:STLD	7.92	8.11	7.88	8.02	3598952.00
2004-07-29 15:30:00	:STLD	8.09	8.17	7.71	8.15	2531180.00
2004-07-30 15:30:00	:STLD	8.18	8.25	8.07	8.19	1983136.00
2004-08-02 15:30:00	:STLD	8.14	8.19	7.95	8.06	2631204.00
2004-08-03 15:30:00	:STLD	8.02	8.08	7.94	8.00	2045240.00
2004-08-04 15:30:00	:STLD	7.96	8.01	7.86	7.92	1791140.00
2004-08-05 15:30:00	:STLD	7.95	8.12	7.60	7.71	2671940.00
2004-08-06 15:30:00	:STLD	7.56	7.69	7.23	7.26	2744316.00
2004-08-09 15:30:00	:STLD	7.30	7.58	7.29	7.46	2298672.00
2004-08-10 15:30:00	:STLD	7.51	7.76	7.49	7.74	2812992.00
2004-08-11 15:30:00	:STLD	7.64	7.76	7.48	7.74	2506376.00
2004-08-12 15:30:00	:STLD	7.71	7.71	7.48	7.50	1814408.00
2004-08-13 15:30:00	:STLD	7.48	7.75	7.44	7.51	1640932.00
2004-08-16 15:30:00	:STLD	7.58	8.05	7.57	8.01	3219968.00
2004-08-17 15:30:00	:STLD	8.07	8.22	7.93	7.97	3603608.00
2004-08-18 15:30:00	:STLD	8.04	8.04	7.86	8.00	1581176.00
2004-08-19 15:30:00	:STLD	7.97	8.15	7.86	7.95	1856364.00
2004-08-20 15:30:00	:STLD	7.96	8.03	7.85	7.96	2232484.00
2004-08-23 15:30:00	:STLD	8.02	8.05	7.45	7.51	8769084.00
