datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:STX	13.10	15.31	13.00	14.98	28541808.00
2004-04-08 15:30:00	:STX	15.05	15.20	14.76	15.20	3698900.00
2004-04-12 15:30:00	:STX	15.10	15.15	14.90	15.15	2269400.00
2004-04-13 15:30:00	:STX	15.28	15.65	15.21	15.42	3843200.00
2004-04-14 15:30:00	:STX	15.32	15.45	15.25	15.30	1391600.00
2004-04-15 15:30:00	:STX	15.22	15.30	14.81	15.13	1845400.00
2004-04-16 15:30:00	:STX	15.13	15.13	14.85	14.93	1143500.00
2004-04-19 15:30:00	:STX	14.93	14.94	14.70	14.79	1447800.00
2004-04-20 15:30:00	:STX	14.75	14.78	14.33	14.52	5006102.00
2004-04-21 15:30:00	:STX	14.00	14.40	13.55	13.83	8012801.00
2004-04-22 15:30:00	:STX	13.65	13.65	12.50	12.70	11342602.00
2004-04-23 15:30:00	:STX	12.60	12.95	12.35	12.73	6650102.00
2004-04-26 15:30:00	:STX	12.71	12.85	12.50	12.56	2491900.00
2004-04-27 15:30:00	:STX	12.60	12.65	12.47	12.54	2794000.00
2004-04-28 15:30:00	:STX	12.54	12.85	12.45	12.84	3474500.00
2004-04-29 15:30:00	:STX	12.85	13.00	12.51	12.67	3824900.00
2004-04-30 15:30:00	:STX	12.61	12.75	12.50	12.51	2485100.00
2004-05-03 15:30:00	:STX	12.47	12.80	12.25	12.40	2380800.00
2004-05-04 15:30:00	:STX	12.48	12.59	12.15	12.29	1844400.00
2004-05-05 15:30:00	:STX	12.33	12.50	12.11	12.17	1862800.00
2004-05-06 15:30:00	:STX	12.10	12.16	11.50	11.73	4196699.00
2004-05-07 15:30:00	:STX	11.73	12.17	11.73	12.04	2711700.00
2004-05-10 15:30:00	:STX	11.94	12.07	11.80	11.99	1689300.00
2004-05-11 15:30:00	:STX	12.25	12.58	12.21	12.40	2956200.00
2004-05-12 15:30:00	:STX	12.46	12.46	12.21	12.31	1112000.00
2004-05-13 15:30:00	:STX	12.31	12.33	12.06	12.33	1890500.00
2004-05-14 15:30:00	:STX	12.25	12.30	11.70	12.00	1976800.00
2004-05-17 15:30:00	:STX	11.80	12.00	11.70	11.80	1691300.00
2004-05-18 15:30:00	:STX	11.90	12.06	11.89	12.04	1610000.00
2004-05-19 15:30:00	:STX	12.04	12.30	12.04	12.08	2905200.00
2004-05-20 15:30:00	:STX	12.08	12.21	12.00	12.06	1988200.00
2004-05-21 15:30:00	:STX	12.01	12.21	12.01	12.20	930400.00
2004-05-24 15:30:00	:STX	12.40	12.54	12.29	12.53	1289500.00
2004-05-25 15:30:00	:STX	12.45	13.10	12.38	13.01	2288700.00
2004-05-26 15:30:00	:STX	13.06	13.70	13.00	13.34	2635600.00
2004-05-27 15:30:00	:STX	13.34	13.34	12.32	12.84	4248102.00
2004-05-28 15:30:00	:STX	12.83	12.95	12.30	12.30	4191199.00
2004-06-01 15:30:00	:STX	12.35	12.76	12.35	12.68	3016900.00
2004-06-02 15:30:00	:STX	12.60	12.60	12.16	12.21	4413500.00
2004-06-03 15:30:00	:STX	12.52	13.30	12.25	12.60	5288801.00
2004-06-04 15:30:00	:STX	12.85	13.10	12.75	12.81	2070800.00
2004-06-07 15:30:00	:STX	12.95	13.10	12.85	13.05	1230000.00
2004-06-08 15:30:00	:STX	13.06	13.19	12.93	13.08	1517000.00
2004-06-09 15:30:00	:STX	13.14	13.15	12.87	13.04	1394800.00
2004-06-10 15:30:00	:STX	13.45	13.92	13.42	13.57	4299301.00
2004-06-14 15:30:00	:STX	13.57	13.79	13.41	13.61	3003600.00
2004-06-15 15:30:00	:STX	13.73	13.98	13.71	13.90	2198500.00
2004-06-16 15:30:00	:STX	13.85	13.98	13.81	13.85	1713200.00
2004-06-17 15:30:00	:STX	13.85	14.00	13.62	13.95	3064400.00
2004-06-18 15:30:00	:STX	13.89	14.09	13.80	14.02	2242300.00
2004-06-21 15:30:00	:STX	13.99	14.01	13.80	14.00	1326900.00
2004-06-22 15:30:00	:STX	14.00	14.00	13.75	13.94	2938600.00
2004-06-23 15:30:00	:STX	13.88	14.31	13.85	14.31	1318500.00
2004-06-24 15:30:00	:STX	14.25	14.44	14.01	14.03	1491400.00
2004-06-25 15:30:00	:STX	14.04	14.09	13.94	13.98	633200.00
2004-06-28 15:30:00	:STX	13.93	14.05	13.80	13.81	1647600.00
