datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:STZ	16.64	16.79	16.45	16.72	858400.00
2004-04-08 15:30:00	:STZ	16.77	16.82	16.45	16.48	1170200.00
2004-04-12 15:30:00	:STZ	16.57	16.93	16.57	16.68	779200.00
2004-04-13 15:30:00	:STZ	16.66	16.77	16.43	16.53	845600.00
2004-04-14 15:30:00	:STZ	16.43	16.50	16.18	16.21	697000.00
2004-04-15 15:30:00	:STZ	16.15	16.30	16.11	16.23	685200.00
2004-04-16 15:30:00	:STZ	16.23	16.45	16.21	16.39	754600.00
2004-04-19 15:30:00	:STZ	16.27	16.44	16.27	16.38	876800.00
2004-04-20 15:30:00	:STZ	16.38	16.45	16.15	16.16	932600.00
2004-04-21 15:30:00	:STZ	16.15	16.20	16.00	16.16	466400.00
2004-04-22 15:30:00	:STZ	16.16	16.43	16.15	16.43	1259000.00
2004-04-23 15:30:00	:STZ	16.45	16.75	16.32	16.65	1193600.00
2004-04-26 15:30:00	:STZ	16.71	16.87	16.66	16.70	1100400.00
2004-04-27 15:30:00	:STZ	16.80	16.98	16.75	16.80	930000.00
2004-04-28 15:30:00	:STZ	16.70	16.71	16.35	16.46	713400.00
2004-04-29 15:30:00	:STZ	16.43	16.55	16.39	16.45	430600.00
2004-04-30 15:30:00	:STZ	16.52	16.79	16.45	16.57	605400.00
2004-05-03 15:30:00	:STZ	16.54	16.70	16.41	16.51	763600.00
2004-05-04 15:30:00	:STZ	16.75	16.93	16.65	16.82	788600.00
2004-05-05 15:30:00	:STZ	16.82	16.88	16.62	16.66	824600.00
2004-05-06 15:30:00	:STZ	16.53	16.80	16.51	16.70	543800.00
2004-05-07 15:30:00	:STZ	16.70	17.00	16.69	16.71	575600.00
2004-05-10 15:30:00	:STZ	16.80	17.02	16.62	16.68	1249400.00
2004-05-11 15:30:00	:STZ	16.77	16.93	16.68	16.84	873400.00
2004-05-12 15:30:00	:STZ	16.75	17.05	16.48	16.96	1207200.00
2004-05-13 15:30:00	:STZ	16.97	17.32	16.90	17.26	1628000.00
2004-05-14 15:30:00	:STZ	17.06	17.36	17.05	17.29	737800.00
2004-05-17 15:30:00	:STZ	17.29	17.41	17.17	17.36	1075000.00
2004-05-18 15:30:00	:STZ	17.34	17.48	17.31	17.45	923600.00
2004-05-19 15:30:00	:STZ	17.45	17.60	17.36	17.51	949400.00
2004-05-20 15:30:00	:STZ	17.50	17.62	17.48	17.55	787200.00
2004-05-21 15:30:00	:STZ	17.55	17.55	17.43	17.49	867200.00
2004-05-24 15:30:00	:STZ	17.50	17.50	17.36	17.50	505200.00
2004-05-25 15:30:00	:STZ	17.50	17.79	17.43	17.79	792200.00
2004-05-26 15:30:00	:STZ	17.71	18.07	17.71	18.07	641400.00
2004-05-27 15:30:00	:STZ	18.06	18.12	17.73	18.00	1341600.00
2004-05-28 15:30:00	:STZ	18.00	18.12	17.98	18.00	606800.00
2004-06-01 15:30:00	:STZ	18.00	18.21	18.00	18.12	748800.00
2004-06-02 15:30:00	:STZ	18.10	18.49	18.09	18.45	1121000.00
2004-06-03 15:30:00	:STZ	18.43	18.57	18.35	18.45	1003000.00
2004-06-04 15:30:00	:STZ	18.50	18.62	18.43	18.59	586000.00
2004-06-07 15:30:00	:STZ	18.60	18.85	18.50	18.85	632400.00
2004-06-08 15:30:00	:STZ	18.75	18.79	18.66	18.74	1014000.00
2004-06-09 15:30:00	:STZ	18.75	18.75	18.36	18.61	1263400.00
2004-06-10 15:30:00	:STZ	18.58	18.62	18.40	18.50	716800.00
2004-06-14 15:30:00	:STZ	18.25	18.67	18.25	18.64	657000.00
2004-06-15 15:30:00	:STZ	18.73	18.75	18.59	18.70	572200.00
2004-06-16 15:30:00	:STZ	18.75	18.88	18.71	18.80	1193400.00
2004-06-17 15:30:00	:STZ	18.70	18.82	18.68	18.75	534000.00
2004-06-18 15:30:00	:STZ	18.75	18.75	18.59	18.62	1028600.00
2004-06-21 15:30:00	:STZ	18.52	18.66	18.35	18.45	758800.00
2004-06-22 15:30:00	:STZ	18.30	18.57	18.09	18.50	1075200.00
