datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:SWK	44.50	44.50	43.18	43.40	1007000.00
2004-04-08 15:30:00	:SWK	43.65	43.85	43.24	43.38	483900.00
2004-04-12 15:30:00	:SWK	43.38	44.40	43.16	43.89	688200.00
2004-04-13 15:30:00	:SWK	43.95	44.03	43.36	43.60	608900.00
2004-04-14 15:30:00	:SWK	43.60	43.74	42.86	43.67	891100.00
2004-04-15 15:30:00	:SWK	43.67	44.47	43.67	44.26	671700.00
2004-04-16 15:30:00	:SWK	44.70	44.85	44.40	44.84	550000.00
2004-04-19 15:30:00	:SWK	44.78	44.92	44.26	44.78	507800.00
2004-04-20 15:30:00	:SWK	44.98	45.35	43.78	43.83	670000.00
2004-04-21 15:30:00	:SWK	43.68	44.71	43.55	44.59	865000.00
2004-04-22 15:30:00	:SWK	44.54	45.56	44.34	45.55	671000.00
2004-04-23 15:30:00	:SWK	45.55	45.55	44.58	44.80	506700.00
2004-04-26 15:30:00	:SWK	44.76	45.78	44.18	44.53	917600.00
2004-04-27 15:30:00	:SWK	44.46	44.46	43.60	44.26	717600.00
2004-04-28 15:30:00	:SWK	43.92	44.00	43.22	43.36	525800.00
2004-04-29 15:30:00	:SWK	43.36	43.36	42.27	42.63	525300.00
2004-04-30 15:30:00	:SWK	42.63	42.80	42.30	42.51	389500.00
2004-05-03 15:30:00	:SWK	42.52	43.49	41.70	43.32	603800.00
2004-05-04 15:30:00	:SWK	43.42	43.80	43.07	43.32	579900.00
2004-05-05 15:30:00	:SWK	43.35	43.55	42.82	43.52	276900.00
2004-05-06 15:30:00	:SWK	43.52	43.52	42.54	42.85	390600.00
2004-05-07 15:30:00	:SWK	42.85	42.85	40.54	41.16	1288000.00
2004-05-10 15:30:00	:SWK	40.95	40.95	39.50	40.34	762000.00
2004-05-11 15:30:00	:SWK	40.58	41.19	40.50	41.00	413900.00
2004-05-12 15:30:00	:SWK	40.85	41.16	39.84	41.01	700500.00
2004-05-13 15:30:00	:SWK	41.02	41.28	40.64	41.16	349800.00
2004-05-14 15:30:00	:SWK	41.21	41.75	40.77	41.54	466700.00
2004-05-17 15:30:00	:SWK	41.54	41.54	40.73	41.31	532200.00
2004-05-18 15:30:00	:SWK	41.61	42.30	41.25	42.10	507700.00
2004-05-19 15:30:00	:SWK	42.35	43.52	41.93	41.95	686100.00
2004-05-20 15:30:00	:SWK	41.96	41.99	41.53	41.65	600500.00
2004-05-21 15:30:00	:SWK	41.90	42.17	41.47	41.56	349500.00
2004-05-24 15:30:00	:SWK	41.57	42.07	41.53	41.70	444100.00
2004-05-25 15:30:00	:SWK	41.75	43.00	41.26	42.96	381200.00
2004-05-26 15:30:00	:SWK	43.15	43.15	42.30	42.37	453700.00
2004-05-27 15:30:00	:SWK	42.62	43.22	42.50	43.22	488000.00
2004-05-28 15:30:00	:SWK	43.15	43.64	42.90	43.55	356300.00
2004-06-01 15:30:00	:SWK	43.65	44.10	43.55	44.01	495100.00
2004-06-02 15:30:00	:SWK	43.60	44.06	43.60	43.88	622100.00
2004-06-03 15:30:00	:SWK	43.63	44.00	43.16	43.54	534700.00
2004-06-04 15:30:00	:SWK	43.95	43.95	43.34	43.36	547100.00
2004-06-07 15:30:00	:SWK	43.70	44.22	43.52	44.22	432700.00
2004-06-08 15:30:00	:SWK	44.40	44.40	43.64	44.07	670800.00
2004-06-09 15:30:00	:SWK	43.99	43.99	42.32	43.16	1259300.00
2004-06-10 15:30:00	:SWK	43.17	43.60	42.73	42.82	432400.00
2004-06-14 15:30:00	:SWK	42.83	42.94	42.35	42.74	535900.00
2004-06-15 15:30:00	:SWK	43.19	43.43	42.90	43.20	477600.00
2004-06-16 15:30:00	:SWK	43.24	43.52	42.69	43.05	446600.00
2004-06-17 15:30:00	:SWK	43.00	43.36	42.59	42.98	440700.00
2004-06-18 15:30:00	:SWK	43.03	43.74	42.93	43.12	390000.00
2004-06-21 15:30:00	:SWK	43.05	43.50	42.80	43.33	355400.00
2004-06-22 15:30:00	:SWK	43.38	44.28	43.32	44.20	519300.00
2004-06-23 15:30:00	:SWK	44.10	45.00	44.05	44.96	501300.00
2004-06-24 15:30:00	:SWK	44.99	45.70	44.89	45.02	426900.00
2004-06-25 15:30:00	:SWK	45.02	45.39	44.87	45.39	571100.00
2004-06-28 15:30:00	:SWK	45.55	46.08	45.27	45.40	523800.00
2004-06-29 15:30:00	:SWK	45.40	45.41	44.90	44.95	530700.00
2004-06-30 15:30:00	:SWK	45.03	45.58	44.82	45.58	504600.00
2004-07-01 15:30:00	:SWK	45.58	45.59	44.12	44.60	550400.00
2004-07-02 15:30:00	:SWK	44.50	44.81	43.74	44.50	507500.00
2004-07-06 15:30:00	:SWK	44.20	44.27	43.32	43.79	551800.00
2004-07-07 15:30:00	:SWK	43.79	44.32	43.45	43.75	424700.00
2004-07-08 15:30:00	:SWK	43.73	43.73	42.37	42.51	877400.00
2004-07-09 15:30:00	:SWK	42.66	42.82	42.37	42.81	403000.00
2004-07-12 15:30:00	:SWK	42.81	42.81	41.96	42.55	349900.00
