datetime	symbol	open	high	low	close	volume
2014-07-31 15:30:00	:SYF	23.00	24.00	22.60	23.00	56483860.00
2014-08-01 15:30:00	:SYF	22.90	23.00	22.67	23.00	6458897.00
2014-08-04 15:30:00	:SYF	23.10	23.13	22.90	23.00	3455893.00
2014-08-05 15:30:00	:SYF	22.99	23.01	22.67	23.00	4450212.00
2014-08-06 15:30:00	:SYF	22.80	22.98	22.67	22.98	6993351.00
2014-08-07 15:30:00	:SYF	22.89	23.00	22.80	22.93	3190375.00
2014-08-08 15:30:00	:SYF	22.93	23.03	22.80	22.95	2855023.00
2014-08-11 15:30:00	:SYF	22.90	22.93	22.80	22.93	1767541.00
2014-08-12 15:30:00	:SYF	22.89	23.00	22.83	23.00	1549684.00
2014-08-13 15:30:00	:SYF	23.00	23.23	22.88	23.18	1659478.00
2014-08-14 15:30:00	:SYF	23.20	23.22	22.95	23.01	1391857.00
2014-08-15 15:30:00	:SYF	23.02	23.08	23.00	23.00	1948218.00
2014-08-18 15:30:00	:SYF	23.06	23.17	23.02	23.17	1073659.00
2014-08-19 15:30:00	:SYF	23.20	24.43	23.20	24.41	2852039.00
2014-08-20 15:30:00	:SYF	24.30	25.59	24.26	25.19	3549452.00
2014-08-21 15:30:00	:SYF	25.47	25.52	24.92	25.39	2358073.00
2014-08-22 15:30:00	:SYF	25.25	25.43	25.10	25.36	892137.00
2014-08-25 15:30:00	:SYF	25.37	25.40	24.88	25.12	1185585.00
2014-08-26 15:30:00	:SYF	25.00	25.10	24.94	25.05	951035.00
2014-08-27 15:30:00	:SYF	25.00	25.54	24.95	25.47	1230580.00
2014-08-28 15:30:00	:SYF	25.40	25.84	25.31	25.69	982632.00
2014-08-29 15:30:00	:SYF	25.81	25.94	25.45	25.79	982178.00
2014-09-02 15:30:00	:SYF	25.70	25.90	25.52	25.79	1873183.00
2014-09-03 15:30:00	:SYF	25.99	26.00	25.63	25.79	996517.00
2014-09-04 15:30:00	:SYF	25.53	25.75	25.51	25.70	1117454.00
