datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TECH	10.13	10.35	10.06	10.29	568392.00
2004-04-08 15:30:00	:TECH	10.30	10.46	10.18	10.19	669460.00
2004-04-12 15:30:00	:TECH	10.16	10.35	10.16	10.28	393196.00
2004-04-13 15:30:00	:TECH	10.28	10.34	9.80	9.92	638908.00
2004-04-14 15:30:00	:TECH	9.91	10.10	9.83	9.90	524496.00
2004-04-15 15:30:00	:TECH	9.91	10.01	9.72	9.82	604240.00
2004-04-16 15:30:00	:TECH	9.86	10.06	9.85	9.97	704368.00
2004-04-19 15:30:00	:TECH	9.97	10.09	9.94	10.03	533552.00
2004-04-20 15:30:00	:TECH	10.05	10.12	9.97	10.00	767828.00
2004-04-21 15:30:00	:TECH	10.03	10.23	9.97	10.17	722784.00
2004-04-22 15:30:00	:TECH	10.23	10.35	10.11	10.31	1121596.00
2004-04-23 15:30:00	:TECH	10.32	10.38	10.16	10.29	554452.00
2004-04-26 15:30:00	:TECH	10.30	10.47	10.09	10.21	752328.00
2004-04-27 15:30:00	:TECH	10.27	10.30	9.90	10.06	959524.00
2004-04-28 15:30:00	:TECH	10.01	10.23	10.01	10.11	1173824.00
2004-04-29 15:30:00	:TECH	10.09	10.42	9.94	9.94	973396.00
2004-04-30 15:30:00	:TECH	9.94	10.15	9.74	9.78	909584.00
2004-05-03 15:30:00	:TECH	9.74	10.30	9.74	10.20	1823844.00
2004-05-04 15:30:00	:TECH	10.27	10.27	9.96	10.05	1128468.00
2004-05-05 15:30:00	:TECH	10.06	10.27	10.00	10.18	689984.00
2004-05-06 15:30:00	:TECH	10.18	10.25	9.86	10.14	953916.00
2004-05-07 15:30:00	:TECH	10.06	10.20	9.63	9.77	1642972.00
2004-05-10 15:30:00	:TECH	9.73	9.75	9.35	9.37	1265372.00
2004-05-11 15:30:00	:TECH	9.48	9.77	9.45	9.70	632652.00
2004-05-12 15:30:00	:TECH	9.68	9.95	9.43	9.95	706488.00
2004-05-13 15:30:00	:TECH	9.85	9.97	9.69	9.81	686848.00
2004-05-14 15:30:00	:TECH	9.75	9.88	9.60	9.68	828432.00
2004-05-17 15:30:00	:TECH	9.54	9.62	9.28	9.54	933632.00
2004-05-18 15:30:00	:TECH	9.58	9.78	9.58	9.78	572096.00
2004-05-19 15:30:00	:TECH	9.79	9.87	9.55	9.61	727240.00
2004-05-20 15:30:00	:TECH	9.61	9.72	9.50	9.54	505492.00
2004-05-21 15:30:00	:TECH	9.57	9.76	9.54	9.73	370404.00
2004-05-24 15:30:00	:TECH	9.77	9.91	9.69	9.75	573732.00
2004-05-25 15:30:00	:TECH	9.77	10.00	9.68	10.00	587280.00
2004-05-26 15:30:00	:TECH	9.90	10.00	9.75	10.00	667668.00
2004-05-27 15:30:00	:TECH	10.00	10.03	9.81	10.01	716340.00
2004-05-28 15:30:00	:TECH	9.95	10.04	9.66	9.69	1181092.00
2004-06-01 15:30:00	:TECH	9.65	9.84	9.65	9.76	1292688.00
2004-06-02 15:30:00	:TECH	9.84	10.11	9.81	10.11	1255940.00
2004-06-03 15:30:00	:TECH	10.12	10.12	9.81	9.81	689128.00
2004-06-04 15:30:00	:TECH	9.81	9.97	9.78	9.91	598028.00
2004-06-07 15:30:00	:TECH	9.97	10.00	9.74	9.98	373284.00
2004-06-08 15:30:00	:TECH	9.99	10.02	9.85	9.93	292924.00
2004-06-09 15:30:00	:TECH	9.94	10.04	9.72	9.77	694064.00
2004-06-10 15:30:00	:TECH	9.72	9.85	9.72	9.84	948892.00
2004-06-14 15:30:00	:TECH	9.86	9.88	9.75	9.81	667900.00
2004-06-15 15:30:00	:TECH	9.91	9.99	9.86	9.92	907424.00
2004-06-16 15:30:00	:TECH	9.90	10.20	9.90	10.16	902052.00
2004-06-17 15:30:00	:TECH	10.17	10.28	9.97	10.17	964996.00
2004-06-18 15:30:00	:TECH	10.12	10.30	9.96	10.11	1259692.00
2004-06-21 15:30:00	:TECH	10.10	10.19	9.95	10.07	438716.00
2004-06-22 15:30:00	:TECH	10.05	10.30	9.97	10.30	859320.00
2004-06-23 15:30:00	:TECH	10.22	10.46	10.17	10.43	708056.00
2004-06-24 15:30:00	:TECH	10.38	10.43	10.25	10.38	675176.00
2004-06-25 15:30:00	:TECH	10.30	10.86	10.26	10.47	2373380.00
2004-06-28 15:30:00	:TECH	10.52	10.75	10.35	10.67	1251296.00
2004-06-29 15:30:00	:TECH	10.67	10.90	10.57	10.82	1171428.00
2004-06-30 15:30:00	:TECH	10.88	10.99	10.74	10.86	810880.00
2004-07-01 15:30:00	:TECH	10.82	10.89	10.69	10.78	782336.00
2004-07-02 15:30:00	:TECH	10.75	10.77	10.58	10.58	821640.00
2004-07-06 15:30:00	:TECH	10.56	10.56	10.20	10.23	1668312.00
2004-07-07 15:30:00	:TECH	10.30	10.40	10.20	10.23	1011252.00
2004-07-08 15:30:00	:TECH	10.20	10.40	10.15	10.21	868624.00
2004-07-09 15:30:00	:TECH	10.27	10.27	10.10	10.12	321616.00
2004-07-12 15:30:00	:TECH	10.12	10.37	10.10	10.24	616636.00
2004-07-13 15:30:00	:TECH	10.29	10.58	10.15	10.54	1019084.00
2004-07-14 15:30:00	:TECH	10.52	10.69	10.33	10.35	826936.00
2004-07-15 15:30:00	:TECH	10.32	10.46	10.25	10.38	429544.00
2004-07-16 15:30:00	:TECH	10.37	10.51	10.17	10.19	521368.00
2004-07-19 15:30:00	:TECH	10.15	10.23	9.88	10.10	690504.00
2004-07-20 15:30:00	:TECH	10.18	10.36	10.03	10.36	446860.00
2004-07-21 15:30:00	:TECH	10.40	10.40	9.78	9.85	1023460.00
2004-07-22 15:30:00	:TECH	9.85	10.02	9.75	9.89	1144740.00
2004-07-23 15:30:00	:TECH	9.95	10.01	9.75	9.81	780936.00
2004-07-26 15:30:00	:TECH	9.93	9.95	9.43	9.54	1226836.00
2004-07-27 15:30:00	:TECH	9.53	10.03	9.53	9.92	888584.00
2004-07-28 15:30:00	:TECH	9.83	9.84	9.55	9.71	1392152.00
2004-07-29 15:30:00	:TECH	9.75	9.92	9.57	9.91	559956.00
2004-07-30 15:30:00	:TECH	9.93	10.02	9.86	9.95	708320.00
2004-08-02 15:30:00	:TECH	9.85	9.85	9.53	9.69	843516.00
2004-08-03 15:30:00	:TECH	9.65	9.83	9.59	9.59	602860.00
2004-08-04 15:30:00	:TECH	9.55	9.78	9.45	9.60	496792.00
2004-08-05 15:30:00	:TECH	9.55	9.67	9.31	9.40	786616.00
2004-08-06 15:30:00	:TECH	9.32	9.34	8.95	9.00	1547388.00
2004-08-09 15:30:00	:TECH	8.99	9.06	8.97	9.04	850404.00
2004-08-10 15:30:00	:TECH	8.73	9.25	8.73	9.21	1170808.00
2004-08-11 15:30:00	:TECH	9.04	9.56	8.92	9.47	1106616.00
2004-08-12 15:30:00	:TECH	9.32	9.62	9.29	9.40	778264.00
2004-08-13 15:30:00	:TECH	9.51	9.51	8.84	9.08	1305324.00
2004-08-16 15:30:00	:TECH	9.16	9.44	9.01	9.43	908532.00
2004-08-17 15:30:00	:TECH	9.48	9.60	9.39	9.49	379836.00
2004-08-18 15:30:00	:TECH	9.40	9.86	9.40	9.86	659392.00
2004-08-19 15:30:00	:TECH	9.88	9.97	9.78	9.91	628172.00
2004-08-20 15:30:00	:TECH	9.94	10.13	9.79	10.07	609980.00
2004-08-23 15:30:00	:TECH	10.18	10.20	9.72	9.81	739924.00
2004-08-24 15:30:00	:TECH	9.83	9.91	9.71	9.89	413784.00
2004-08-25 15:30:00	:TECH	9.90	10.09	9.80	10.04	393636.00
2004-08-26 15:30:00	:TECH	9.96	10.25	9.96	10.05	752364.00
2004-08-27 15:30:00	:TECH	10.03	10.24	10.03	10.19	428656.00
2004-08-30 15:30:00	:TECH	10.09	10.10	9.78	9.79	471060.00
2004-08-31 15:30:00	:TECH	9.75	9.99	9.63	9.69	905240.00
2004-09-01 15:30:00	:TECH	9.68	10.00	9.64	9.80	814256.00
2004-09-02 15:30:00	:TECH	9.78	9.92	9.73	9.88	729916.00
2004-09-03 15:30:00	:TECH	9.95	10.05	9.78	9.88	574992.00
2004-09-07 15:30:00	:TECH	9.93	10.06	9.83	9.96	515420.00
2004-09-08 15:30:00	:TECH	9.97	10.09	9.84	9.84	416524.00
2004-09-09 15:30:00	:TECH	9.93	10.14	9.87	10.13	959016.00
2004-09-10 15:30:00	:TECH	10.15	10.24	9.95	10.24	383432.00
2004-09-13 15:30:00	:TECH	10.24	10.27	10.14	10.27	698700.00
2004-09-14 15:30:00	:TECH	10.28	10.28	10.06	10.15	556272.00
2004-09-15 15:30:00	:TECH	10.10	10.18	9.98	10.08	492616.00
2004-09-16 15:30:00	:TECH	10.12	10.19	10.03	10.18	653748.00
2004-09-17 15:30:00	:TECH	10.22	10.39	9.97	10.12	1345796.00
2004-09-20 15:30:00	:TECH	10.21	10.21	9.93	10.03	515484.00
2004-09-21 15:30:00	:TECH	10.05	10.10	9.92	10.10	547224.00
2004-09-22 15:30:00	:TECH	9.97	9.97	9.70	9.71	531232.00
2004-09-23 15:30:00	:TECH	9.64	9.88	9.48	9.73	728276.00
2004-09-24 15:30:00	:TECH	9.78	9.90	9.68	9.79	246860.00
2004-09-27 15:30:00	:TECH	9.74	9.89	9.53	9.54	389112.00
2004-09-28 15:30:00	:TECH	9.61	9.71	9.43	9.59	603248.00
2004-09-29 15:30:00	:TECH	9.65	9.79	9.59	9.79	442808.00
2004-09-30 15:30:00	:TECH	9.68	9.78	9.54	9.54	577020.00
2004-10-01 15:30:00	:TECH	9.72	9.97	9.51	9.87	871540.00
2004-10-04 15:30:00	:TECH	9.97	10.04	9.81	9.96	586116.00
2004-10-05 15:30:00	:TECH	9.95	10.05	9.88	9.93	546840.00
2004-10-06 15:30:00	:TECH	9.96	10.02	9.82	10.02	597456.00
2004-10-07 15:30:00	:TECH	9.91	9.98	9.79	9.80	608940.00
2004-10-08 15:30:00	:TECH	9.93	9.93	9.54	9.54	1160000.00
2004-10-11 15:30:00	:TECH	9.59	9.62	9.36	9.50	921816.00
2004-10-12 15:30:00	:TECH	9.47	9.50	9.25	9.25	840760.00
2004-10-13 15:30:00	:TECH	9.31	9.31	9.07	9.18	881588.00
2004-10-14 15:30:00	:TECH	9.16	9.25	9.03	9.14	618472.00
2004-10-15 15:30:00	:TECH	9.14	9.34	9.09	9.23	456988.00
2004-10-18 15:30:00	:TECH	9.26	9.54	9.16	9.43	374820.00
2004-10-19 15:30:00	:TECH	9.50	9.50	9.21	9.25	523260.00
2004-10-20 15:30:00	:TECH	9.21	9.30	9.06	9.21	651932.00
2004-10-21 15:30:00	:TECH	9.24	9.47	9.10	9.28	678856.00
2004-10-22 15:30:00	:TECH	9.36	9.38	8.91	8.91	794856.00
2004-10-25 15:30:00	:TECH	8.90	8.95	8.56	8.74	1451168.00
2004-10-26 15:30:00	:TECH	8.78	8.93	8.69	8.91	679872.00
2004-10-27 15:30:00	:TECH	8.78	9.17	8.77	9.11	979928.00
2004-10-28 15:30:00	:TECH	9.03	9.22	8.94	9.12	608508.00
2004-10-29 15:30:00	:TECH	9.03	9.20	8.90	9.01	621116.00
2004-11-01 15:30:00	:TECH	8.93	9.15	8.91	9.02	760780.00
2004-11-02 15:30:00	:TECH	8.95	9.15	8.84	8.92	573388.00
2004-11-03 15:30:00	:TECH	9.05	9.37	8.97	9.28	637380.00
2004-11-04 15:30:00	:TECH	9.25	9.49	9.20	9.48	666440.00
2004-11-05 15:30:00	:TECH	9.55	9.81	9.44	9.57	739556.00
2004-11-08 15:30:00	:TECH	9.50	9.64	9.46	9.64	801488.00
2004-11-09 15:30:00	:TECH	9.62	9.72	9.46	9.60	663756.00
2004-11-10 15:30:00	:TECH	9.50	9.72	9.44	9.59	661848.00
2004-11-11 15:30:00	:TECH	9.55	9.75	9.51	9.72	489356.00
2004-11-12 15:30:00	:TECH	9.63	9.72	9.44	9.69	460856.00
2004-11-15 15:30:00	:TECH	9.50	9.55	9.30	9.55	518484.00
2004-11-16 15:30:00	:TECH	9.57	9.57	9.40	9.40	270236.00
2004-11-17 15:30:00	:TECH	9.46	9.67	9.38	9.46	425888.00
2004-11-18 15:30:00	:TECH	9.38	9.61	9.36	9.52	590092.00
2004-11-19 15:30:00	:TECH	9.31	9.50	9.24	9.25	1164376.00
2004-11-22 15:30:00	:TECH	9.22	9.50	9.07	9.50	558664.00
2004-11-23 15:30:00	:TECH	9.51	9.53	9.26	9.42	575108.00
2004-11-24 15:30:00	:TECH	9.72	9.92	9.64	9.75	1549952.00
2004-11-26 15:30:00	:TECH	9.77	9.78	9.63	9.63	218344.00
2004-11-29 15:30:00	:TECH	9.76	9.77	9.44	9.56	1316780.00
2004-11-30 15:30:00	:TECH	9.52	9.65	9.29	9.35	12703944.00
