datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TFC	35.25	35.32	34.86	35.04	985800.00
2004-04-08 15:30:00	:TFC	35.03	35.17	34.93	35.07	778500.00
2004-04-12 15:30:00	:TFC	35.17	35.20	34.85	34.90	877900.00
2004-04-13 15:30:00	:TFC	34.93	35.30	34.51	34.53	1436900.00
2004-04-14 15:30:00	:TFC	34.15	34.68	33.50	33.81	1582300.00
2004-04-15 15:30:00	:TFC	33.83	34.06	33.30	33.95	2012600.00
2004-04-16 15:30:00	:TFC	34.36	34.47	33.98	34.14	1700800.00
2004-04-19 15:30:00	:TFC	34.05	34.15	33.71	33.76	1009000.00
2004-04-20 15:30:00	:TFC	33.81	34.15	33.32	33.33	1171000.00
2004-04-21 15:30:00	:TFC	33.34	33.65	33.28	33.51	1453800.00
2004-04-22 15:30:00	:TFC	33.02	34.50	33.02	34.44	1401100.00
2004-04-23 15:30:00	:TFC	34.30	34.74	34.19	34.72	1516000.00
2004-04-26 15:30:00	:TFC	34.80	35.00	34.59	34.70	1096100.00
2004-04-27 15:30:00	:TFC	34.85	35.48	34.71	34.92	1287000.00
2004-04-28 15:30:00	:TFC	35.00	35.01	34.52	34.55	1214800.00
2004-04-29 15:30:00	:TFC	34.50	35.09	34.18	34.35	1175900.00
2004-04-30 15:30:00	:TFC	34.61	34.81	34.43	34.49	971700.00
2004-05-03 15:30:00	:TFC	34.89	35.00	34.36	34.96	1647200.00
2004-05-04 15:30:00	:TFC	35.07	35.16	34.73	34.95	1067600.00
2004-05-05 15:30:00	:TFC	35.08	35.28	35.07	35.10	1051700.00
2004-05-06 15:30:00	:TFC	34.90	35.03	34.41	34.67	719100.00
2004-05-07 15:30:00	:TFC	34.50	34.69	33.99	34.00	1191000.00
2004-05-10 15:30:00	:TFC	33.55	33.98	33.31	33.54	1329200.00
2004-05-11 15:30:00	:TFC	33.47	33.88	33.47	33.73	833500.00
2004-05-12 15:30:00	:TFC	33.80	34.25	33.45	34.16	1064900.00
2004-05-13 15:30:00	:TFC	34.11	34.81	34.00	34.53	1022200.00
2004-05-14 15:30:00	:TFC	34.38	34.76	34.11	34.57	962000.00
2004-05-17 15:30:00	:TFC	34.20	34.40	33.95	34.25	900400.00
2004-05-18 15:30:00	:TFC	34.25	34.69	34.25	34.55	801700.00
2004-05-19 15:30:00	:TFC	34.55	35.09	34.46	34.47	1138900.00
2004-05-20 15:30:00	:TFC	34.50	34.99	34.46	34.94	986000.00
2004-05-21 15:30:00	:TFC	35.00	35.33	34.84	35.13	1001300.00
2004-05-24 15:30:00	:TFC	35.20	35.37	34.84	35.34	966400.00
2004-05-25 15:30:00	:TFC	35.34	36.06	35.11	36.00	1564100.00
2004-05-26 15:30:00	:TFC	36.00	37.77	36.00	37.77	5399000.00
2004-05-27 15:30:00	:TFC	37.00	37.13	36.41	36.85	3387100.00
2004-05-28 15:30:00	:TFC	36.96	37.91	36.95	37.68	7751199.00
2004-06-01 15:30:00	:TFC	37.40	37.41	36.66	37.16	2062600.00
2004-06-02 15:30:00	:TFC	37.17	37.40	36.80	37.28	1710100.00
2004-06-03 15:30:00	:TFC	37.28	37.28	36.71	37.09	1804500.00
2004-06-04 15:30:00	:TFC	37.24	37.46	37.01	37.14	1078300.00
2004-06-07 15:30:00	:TFC	37.22	37.44	37.02	37.37	1051200.00
2004-06-08 15:30:00	:TFC	37.27	37.53	37.10	37.53	1003000.00
2004-06-09 15:30:00	:TFC	37.53	37.56	36.93	37.05	913000.00
2004-06-10 15:30:00	:TFC	37.05	37.14	36.84	36.99	775700.00
2004-06-14 15:30:00	:TFC	36.96	36.96	36.47	36.54	1137000.00
2004-06-15 15:30:00	:TFC	36.82	37.00	36.49	36.54	1048600.00
2004-06-16 15:30:00	:TFC	36.54	36.66	36.32	36.55	569800.00
2004-06-17 15:30:00	:TFC	36.53	37.06	36.47	36.99	1323300.00
2004-06-18 15:30:00	:TFC	37.19	37.59	37.00	37.14	2881300.00
2004-06-21 15:30:00	:TFC	37.50	37.65	37.14	37.27	1628600.00
2004-06-22 15:30:00	:TFC	37.27	37.54	37.01	37.34	887200.00
2004-06-23 15:30:00	:TFC	37.22	37.55	37.07	37.45	877500.00
2004-06-24 15:30:00	:TFC	37.45	37.65	37.22	37.26	596700.00
2004-06-25 15:30:00	:TFC	37.22	37.39	36.87	36.87	1252700.00
2004-06-28 15:30:00	:TFC	36.97	37.44	36.94	37.04	941200.00
2004-06-29 15:30:00	:TFC	37.00	37.09	36.83	36.91	751200.00
2004-06-30 15:30:00	:TFC	36.92	37.08	36.73	36.97	1523500.00
2004-07-01 15:30:00	:TFC	36.96	37.10	36.38	36.62	1169900.00
2004-07-02 15:30:00	:TFC	36.74	37.15	36.68	37.00	742600.00
2004-07-06 15:30:00	:TFC	36.95	37.10	36.63	36.63	1089800.00
2004-07-07 15:30:00	:TFC	36.55	36.81	36.46	36.56	903500.00
2004-07-08 15:30:00	:TFC	36.56	36.94	36.49	36.60	760700.00
2004-07-09 15:30:00	:TFC	36.80	36.80	36.61	36.68	1113300.00
2004-07-12 15:30:00	:TFC	36.61	37.38	36.60	37.38	1644900.00
2004-07-13 15:30:00	:TFC	37.97	38.15	37.02	37.26	2805000.00
2004-07-14 15:30:00	:TFC	36.91	37.18	36.62	36.99	1020600.00
2004-07-15 15:30:00	:TFC	37.17	37.44	37.07	37.18	1911200.00
2004-07-16 15:30:00	:TFC	37.55	37.65	37.26	37.44	1413700.00
2004-07-19 15:30:00	:TFC	37.59	38.01	37.43	37.87	1348500.00
2004-07-20 15:30:00	:TFC	37.83	38.16	37.67	38.16	1490500.00
2004-07-21 15:30:00	:TFC	38.16	38.70	38.15	38.22	1822300.00
2004-07-22 15:30:00	:TFC	38.08	38.37	37.77	38.30	1127100.00
2004-07-23 15:30:00	:TFC	38.06	38.46	38.06	38.37	1240900.00
2004-07-26 15:30:00	:TFC	38.32	38.60	38.20	38.60	1548100.00
2004-07-27 15:30:00	:TFC	38.48	39.04	38.44	38.89	1957600.00
2004-07-28 15:30:00	:TFC	38.89	38.94	38.36	38.66	1318000.00
2004-07-29 15:30:00	:TFC	38.69	38.76	38.42	38.72	990900.00
2004-07-30 15:30:00	:TFC	38.83	38.98	38.50	38.73	1168600.00
2004-08-02 15:30:00	:TFC	38.77	39.50	38.34	39.35	2181800.00
2004-08-03 15:30:00	:TFC	39.54	39.54	38.69	38.70	1463100.00
2004-08-04 15:30:00	:TFC	38.69	38.82	38.30	38.72	1341900.00
2004-08-05 15:30:00	:TFC	38.66	38.70	38.00	38.00	1023400.00
2004-08-06 15:30:00	:TFC	37.85	38.26	37.44	37.47	1811100.00
2004-08-09 15:30:00	:TFC	37.80	37.96	37.73	37.78	738200.00
2004-08-10 15:30:00	:TFC	38.00	38.48	37.73	38.35	933500.00
2004-08-11 15:30:00	:TFC	38.10	38.67	37.91	38.62	1042700.00
2004-08-12 15:30:00	:TFC	38.24	38.57	38.16	38.44	952500.00
2004-08-13 15:30:00	:TFC	38.37	38.61	38.26	38.57	849600.00
2004-08-16 15:30:00	:TFC	38.46	39.07	38.42	38.99	921000.00
2004-08-17 15:30:00	:TFC	38.91	39.09	38.78	38.97	824300.00
2004-08-18 15:30:00	:TFC	38.97	39.25	38.91	39.14	1008600.00
2004-08-19 15:30:00	:TFC	39.00	39.14	38.83	39.11	1311900.00
2004-08-20 15:30:00	:TFC	39.16	39.49	39.00	39.43	774300.00
2004-08-23 15:30:00	:TFC	39.35	39.51	39.02	39.22	598800.00
2004-08-24 15:30:00	:TFC	39.22	39.36	39.03	39.29	735000.00
2004-08-25 15:30:00	:TFC	39.38	39.75	39.27	39.73	747600.00
2004-08-26 15:30:00	:TFC	39.63	39.88	39.55	39.72	544500.00
