datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TGT	45.28	45.39	44.75	44.81	3185800.00
2004-04-08 15:30:00	:TGT	45.18	45.18	43.60	44.17	4707398.00
2004-04-12 15:30:00	:TGT	44.40	45.00	44.35	44.85	2405900.00
2004-04-13 15:30:00	:TGT	44.80	45.16	43.60	43.71	3224300.00
2004-04-14 15:30:00	:TGT	42.50	43.52	42.44	42.86	5383699.00
2004-04-15 15:30:00	:TGT	43.05	43.82	42.95	43.69	3680900.00
2004-04-16 15:30:00	:TGT	43.99	44.35	43.75	44.28	3404700.00
2004-04-19 15:30:00	:TGT	44.00	44.18	43.60	43.80	2606800.00
2004-04-20 15:30:00	:TGT	44.15	44.60	43.71	43.71	2791900.00
2004-04-21 15:30:00	:TGT	43.90	44.11	43.25	44.10	2807800.00
2004-04-22 15:30:00	:TGT	44.00	44.96	43.96	44.96	3601200.00
2004-04-23 15:30:00	:TGT	44.75	45.00	44.54	44.74	2033200.00
2004-04-26 15:30:00	:TGT	44.89	44.90	44.17	44.22	2207900.00
2004-04-27 15:30:00	:TGT	44.25	44.97	44.25	44.54	2687700.00
2004-04-28 15:30:00	:TGT	44.50	44.87	44.13	44.22	3201700.00
2004-04-29 15:30:00	:TGT	44.22	44.80	42.89	43.40	3661000.00
2004-04-30 15:30:00	:TGT	43.61	44.15	43.37	43.37	3080400.00
2004-05-03 15:30:00	:TGT	43.33	44.18	43.18	44.07	4259000.00
2004-05-04 15:30:00	:TGT	44.09	44.38	43.77	44.10	3413900.00
2004-05-05 15:30:00	:TGT	44.35	44.79	44.22	44.71	3141700.00
2004-05-06 15:30:00	:TGT	44.46	44.46	43.75	44.15	4554801.00
2004-05-07 15:30:00	:TGT	43.81	44.37	43.03	43.26	6491699.00
2004-05-10 15:30:00	:TGT	43.26	44.00	43.01	43.55	4808801.00
2004-05-11 15:30:00	:TGT	44.00	44.44	43.92	44.29	4040500.00
2004-05-12 15:30:00	:TGT	44.30	44.38	43.35	44.35	5353500.00
2004-05-13 15:30:00	:TGT	44.00	44.25	43.10	43.17	6661199.00
2004-05-14 15:30:00	:TGT	43.18	43.49	42.80	43.00	3768200.00
2004-05-17 15:30:00	:TGT	42.50	42.52	41.72	42.21	4279301.00
