datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TJX	6.34	6.37	6.29	6.33	13093200.00
2004-04-08 15:30:00	:TJX	6.37	6.37	6.22	6.25	11994400.00
2004-04-12 15:30:00	:TJX	6.25	6.33	6.24	6.30	13742400.00
2004-04-13 15:30:00	:TJX	6.33	6.34	6.21	6.23	7594000.00
2004-04-14 15:30:00	:TJX	6.23	6.27	6.21	6.26	9864000.00
2004-04-15 15:30:00	:TJX	6.28	6.33	6.26	6.29	6883600.00
2004-04-16 15:30:00	:TJX	6.34	6.35	6.23	6.33	5982000.00
2004-04-19 15:30:00	:TJX	6.29	6.32	6.25	6.27	9997200.00
2004-04-20 15:30:00	:TJX	6.31	6.43	6.31	6.34	11676400.00
2004-04-21 15:30:00	:TJX	6.31	6.33	6.19	6.29	6215200.00
2004-04-22 15:30:00	:TJX	6.28	6.35	6.23	6.33	8747200.00
2004-04-23 15:30:00	:TJX	6.33	6.43	6.29	6.42	7750800.00
2004-04-26 15:30:00	:TJX	6.42	6.45	6.37	6.41	7572800.00
2004-04-27 15:30:00	:TJX	6.41	6.53	6.40	6.43	9704400.00
2004-04-28 15:30:00	:TJX	6.43	6.44	6.26	6.28	8898800.00
2004-04-29 15:30:00	:TJX	6.28	6.33	6.15	6.20	13336000.00
2004-04-30 15:30:00	:TJX	6.22	6.26	6.12	6.14	9523600.00
2004-05-03 15:30:00	:TJX	6.14	6.25	6.14	6.23	8253200.00
2004-05-04 15:30:00	:TJX	6.25	6.25	6.08	6.14	8230400.00
2004-05-05 15:30:00	:TJX	6.15	6.24	6.09	6.21	6603600.00
2004-05-06 15:30:00	:TJX	6.17	6.18	5.91	6.01	13418400.00
2004-05-07 15:30:00	:TJX	6.01	6.09	5.87	5.88	10589600.00
2004-05-10 15:30:00	:TJX	5.86	5.98	5.83	5.89	10001600.00
2004-05-11 15:30:00	:TJX	5.91	5.97	5.84	5.87	5957600.00
2004-05-12 15:30:00	:TJX	5.85	5.95	5.79	5.92	8549200.00
2004-05-13 15:30:00	:TJX	5.93	5.97	5.83	5.86	9362400.00
2004-05-14 15:30:00	:TJX	5.86	5.98	5.83	5.96	10984800.00
2004-05-17 15:30:00	:TJX	5.93	6.02	5.88	5.96	11357200.00
2004-05-18 15:30:00	:TJX	5.99	6.10	5.99	6.00	10656800.00
2004-05-19 15:30:00	:TJX	6.08	6.17	6.01	6.05	13502400.00
2004-05-20 15:30:00	:TJX	6.05	6.08	5.97	6.03	11066000.00
2004-05-21 15:30:00	:TJX	6.05	6.14	6.04	6.10	7197600.00
2004-05-24 15:30:00	:TJX	6.12	6.16	5.99	6.08	11672000.00
2004-05-25 15:30:00	:TJX	6.04	6.22	6.01	6.20	10022000.00
2004-05-26 15:30:00	:TJX	6.20	6.25	6.16	6.25	6660400.00
2004-05-27 15:30:00	:TJX	6.25	6.37	6.22	6.26	9115600.00
2004-05-28 15:30:00	:TJX	6.27	6.28	6.20	6.23	5977600.00
2004-06-01 15:30:00	:TJX	6.23	6.35	6.21	6.33	8767600.00
2004-06-02 15:30:00	:TJX	6.33	6.40	6.29	6.38	6504400.00
2004-06-03 15:30:00	:TJX	6.38	6.42	6.33	6.34	5894400.00
2004-06-04 15:30:00	:TJX	6.39	6.42	6.33	6.37	6909200.00
2004-06-07 15:30:00	:TJX	6.39	6.45	6.35	6.45	3625200.00
2004-06-08 15:30:00	:TJX	6.41	6.44	6.38	6.41	5242000.00
2004-06-09 15:30:00	:TJX	6.37	6.40	6.31	6.33	6918400.00
2004-06-10 15:30:00	:TJX	6.36	6.40	6.29	6.35	5550400.00
2004-06-14 15:30:00	:TJX	6.31	6.34	6.26	6.29	4338800.00
2004-06-15 15:30:00	:TJX	6.35	6.39	6.25	6.28	7842000.00
2004-06-16 15:30:00	:TJX	6.27	6.38	6.25	6.37	6549200.00
2004-06-17 15:30:00	:TJX	6.31	6.31	6.25	6.27	6503200.00
2004-06-18 15:30:00	:TJX	6.28	6.35	6.26	6.31	6960000.00
2004-06-21 15:30:00	:TJX	6.29	6.44	6.29	6.39	5624400.00
2004-06-22 15:30:00	:TJX	6.39	6.45	6.34	6.43	9776000.00
2004-06-23 15:30:00	:TJX	6.44	6.58	6.41	6.58	11450800.00
2004-06-24 15:30:00	:TJX	6.55	6.62	6.55	6.59	8166400.00
2004-06-25 15:30:00	:TJX	6.59	6.71	6.48	6.48	16152800.00
2004-06-28 15:30:00	:TJX	6.48	6.49	6.31	6.33	11730000.00
2004-06-29 15:30:00	:TJX	6.01	6.13	5.92	6.00	32114000.00
2004-06-30 15:30:00	:TJX	5.99	6.06	5.96	6.04	11514800.00
2004-07-01 15:30:00	:TJX	6.07	6.08	6.00	6.04	7168400.00
2004-07-02 15:30:00	:TJX	6.04	6.11	5.97	6.00	9040000.00
2004-07-06 15:30:00	:TJX	6.00	6.06	5.95	6.02	7802400.00
2004-07-07 15:30:00	:TJX	6.00	6.09	5.96	6.03	8309600.00
2004-07-08 15:30:00	:TJX	5.79	5.81	5.51	5.56	42193204.00
2004-07-09 15:30:00	:TJX	5.57	5.65	5.57	5.64	20550000.00
2004-07-12 15:30:00	:TJX	5.58	5.67	5.56	5.64	9158800.00
2004-07-13 15:30:00	:TJX	5.63	5.69	5.63	5.65	12438800.00
2004-07-14 15:30:00	:TJX	5.62	5.66	5.54	5.57	10187200.00
2004-07-15 15:30:00	:TJX	5.57	5.60	5.50	5.53	7485200.00
2004-07-16 15:30:00	:TJX	5.57	5.57	5.45	5.47	14143200.00
2004-07-19 15:30:00	:TJX	5.48	5.53	5.38	5.45	8608800.00
2004-07-20 15:30:00	:TJX	5.44	5.54	5.44	5.52	10199600.00
2004-07-21 15:30:00	:TJX	5.54	5.58	5.48	5.51	6501600.00
2004-07-22 15:30:00	:TJX	5.45	5.54	5.38	5.50	9187200.00
2004-07-23 15:30:00	:TJX	5.50	5.60	5.49	5.57	10629600.00
2004-07-26 15:30:00	:TJX	5.60	5.64	5.55	5.59	11771200.00
2004-07-27 15:30:00	:TJX	5.59	5.85	5.59	5.84	14930400.00
2004-07-28 15:30:00	:TJX	5.83	5.83	5.69	5.79	9656000.00
2004-07-29 15:30:00	:TJX	5.83	5.88	5.81	5.84	6199200.00
2004-07-30 15:30:00	:TJX	5.81	5.87	5.78	5.87	8432400.00
2004-08-02 15:30:00	:TJX	5.84	5.90	5.83	5.85	8496000.00
2004-08-03 15:30:00	:TJX	5.83	5.85	5.79	5.83	6245600.00
2004-08-04 15:30:00	:TJX	5.79	5.79	5.63	5.71	8110000.00
2004-08-05 15:30:00	:TJX	5.63	5.63	5.33	5.37	24732796.00
2004-08-06 15:30:00	:TJX	5.36	5.36	5.25	5.31	11633200.00
2004-08-09 15:30:00	:TJX	5.31	5.36	5.28	5.34	9256800.00
2004-08-10 15:30:00	:TJX	5.35	5.44	5.31	5.41	6670400.00
2004-08-11 15:30:00	:TJX	5.41	5.41	5.30	5.41	5132000.00
2004-08-12 15:30:00	:TJX	5.39	5.44	5.33	5.38	11808000.00
2004-08-13 15:30:00	:TJX	5.45	5.46	5.35	5.40	6553600.00
2004-08-16 15:30:00	:TJX	5.39	5.51	5.37	5.51	8429200.00
2004-08-17 15:30:00	:TJX	5.74	5.74	5.42	5.42	14307600.00
2004-08-18 15:30:00	:TJX	5.35	5.35	5.16	5.31	25837204.00
2004-08-19 15:30:00	:TJX	5.31	5.36	5.27	5.33	8669600.00
2004-08-20 15:30:00	:TJX	5.33	5.33	5.27	5.33	5669200.00
2004-08-23 15:30:00	:TJX	5.32	5.34	5.28	5.29	7749200.00
2004-08-24 15:30:00	:TJX	5.34	5.36	5.27	5.30	8725600.00
2004-08-25 15:30:00	:TJX	5.31	5.33	5.25	5.32	11534400.00
2004-08-26 15:30:00	:TJX	5.33	5.35	5.30	5.30	4373600.00
2004-08-27 15:30:00	:TJX	5.30	5.31	5.25	5.28	8038000.00
2004-08-30 15:30:00	:TJX	5.25	5.28	5.21	5.25	4167200.00
2004-08-31 15:30:00	:TJX	5.25	5.30	5.23	5.29	14746400.00
2004-09-01 15:30:00	:TJX	5.29	5.32	5.20	5.24	7714000.00
2004-09-02 15:30:00	:TJX	5.30	5.44	5.30	5.44	16590408.00
2004-09-03 15:30:00	:TJX	5.42	5.52	5.41	5.51	7356800.00
2004-09-07 15:30:00	:TJX	5.51	5.54	5.45	5.46	8645600.00
2004-09-08 15:30:00	:TJX	5.49	5.52	5.43	5.44	6505600.00
2004-09-09 15:30:00	:TJX	5.42	5.44	5.33	5.36	7247200.00
2004-09-10 15:30:00	:TJX	5.36	5.50	5.35	5.47	4332400.00
2004-09-13 15:30:00	:TJX	5.46	5.56	5.44	5.55	5931200.00
2004-09-14 15:30:00	:TJX	5.56	5.67	5.54	5.62	8955200.00
2004-09-15 15:30:00	:TJX	5.62	5.67	5.59	5.62	7405200.00
2004-09-16 15:30:00	:TJX	5.64	5.65	5.58	5.62	8245200.00
2004-09-17 15:30:00	:TJX	5.63	5.64	5.51	5.53	8434400.00
2004-09-20 15:30:00	:TJX	5.53	5.55	5.48	5.50	6653600.00
2004-09-21 15:30:00	:TJX	5.50	5.66	5.50	5.61	8894800.00
2004-09-22 15:30:00	:TJX	5.60	5.60	5.51	5.53	16374000.00
2004-09-23 15:30:00	:TJX	5.53	5.59	5.50	5.50	11390400.00
2004-09-24 15:30:00	:TJX	5.50	5.53	5.47	5.47	11269600.00
2004-09-27 15:30:00	:TJX	5.48	5.50	5.46	5.46	5990000.00
2004-09-28 15:30:00	:TJX	5.46	5.49	5.43	5.44	7873600.00
2004-09-29 15:30:00	:TJX	5.44	5.50	5.43	5.46	9265600.00
