datetime	symbol	open	high	low	close	volume
2007-04-19 15:30:00	:TMUS	34.45	37.87	33.63	37.61	23154456.00
2007-04-20 15:30:00	:TMUS	37.61	39.53	37.19	39.18	4451476.00
2007-04-23 15:30:00	:TMUS	39.25	39.72	38.83	39.46	2734348.00
2007-04-24 15:30:00	:TMUS	39.13	40.35	39.13	40.08	2233862.00
2007-04-25 15:30:00	:TMUS	40.56	40.83	39.13	39.27	1786492.00
2007-04-26 15:30:00	:TMUS	40.14	40.20	37.47	38.70	932190.00
2007-04-27 15:30:00	:TMUS	38.70	39.12	37.95	38.98	259605.00
2007-04-30 15:30:00	:TMUS	39.09	39.75	38.43	38.50	265944.00
2007-05-01 15:30:00	:TMUS	38.43	39.12	38.15	38.29	669160.00
2007-05-02 15:30:00	:TMUS	38.15	39.28	38.10	38.65	624423.00
2007-05-03 15:30:00	:TMUS	38.63	39.43	38.51	39.32	270462.00
2007-05-04 15:30:00	:TMUS	39.49	39.94	38.99	39.53	203793.00
2007-05-07 15:30:00	:TMUS	39.39	39.94	39.12	39.90	427405.00
2007-05-08 15:30:00	:TMUS	40.05	40.35	39.80	40.21	378297.00
2007-05-09 15:30:00	:TMUS	40.45	42.92	40.20	42.34	866760.00
2007-05-10 15:30:00	:TMUS	42.34	42.34	40.80	41.74	828654.00
2007-05-11 15:30:00	:TMUS	42.34	43.38	42.13	42.42	941735.00
2007-05-14 15:30:00	:TMUS	43.23	43.92	42.55	43.81	569704.00
2007-05-15 15:30:00	:TMUS	46.66	47.62	46.24	46.95	1784743.00
2007-05-16 15:30:00	:TMUS	47.69	47.89	46.87	47.16	349079.00
2007-05-17 15:30:00	:TMUS	47.28	50.34	47.26	49.96	865886.00
2007-05-18 15:30:00	:TMUS	50.10	51.12	49.07	50.20	1319085.00
2007-05-21 15:30:00	:TMUS	50.34	50.63	46.03	47.40	1033009.00
2007-05-22 15:30:00	:TMUS	47.76	48.04	43.70	46.27	2842547.00
2007-05-23 15:30:00	:TMUS	47.01	47.86	45.98	46.09	904867.00
2007-05-24 15:30:00	:TMUS	46.36	47.35	46.25	46.57	874411.00
2007-05-25 15:30:00	:TMUS	46.57	48.31	46.46	48.05	556079.00
2007-05-29 15:30:00	:TMUS	49.60	49.60	46.05	46.53	645699.00
2007-05-30 15:30:00	:TMUS	46.62	49.23	46.20	49.16	628940.00
2007-05-31 15:30:00	:TMUS	49.34	50.78	48.45	48.94	791567.00
2007-06-01 15:30:00	:TMUS	48.83	50.42	48.79	50.22	592582.00
2007-06-04 15:30:00	:TMUS	50.00	50.34	48.24	50.34	418298.00
2007-06-05 15:30:00	:TMUS	50.22	50.71	48.34	48.39	628212.00
2007-06-06 15:30:00	:TMUS	47.64	47.76	45.52	46.51	952081.00
2007-06-07 15:30:00	:TMUS	47.01	47.10	44.61	44.65	895985.00
2007-06-08 15:30:00	:TMUS	44.88	45.29	44.08	44.67	377204.00
2007-06-11 15:30:00	:TMUS	45.32	47.01	45.15	46.35	716957.00
2007-06-12 15:30:00	:TMUS	45.84	46.28	44.61	45.46	846039.00
2007-06-13 15:30:00	:TMUS	44.61	46.46	44.61	46.38	530650.00
2007-06-14 15:30:00	:TMUS	46.66	46.90	44.69	45.20	798271.00
2007-06-15 15:30:00	:TMUS	45.29	49.20	45.15	48.86	1364113.00
2007-06-18 15:30:00	:TMUS	49.15	50.58	47.78	48.89	1179264.00
2007-06-19 15:30:00	:TMUS	49.13	49.13	46.49	46.65	626390.00
2007-06-20 15:30:00	:TMUS	46.54	46.76	44.69	44.80	872298.00
2007-06-21 15:30:00	:TMUS	45.11	46.64	44.67	46.14	554330.00
2007-06-22 15:30:00	:TMUS	45.80	46.66	44.99	46.43	1936659.00
2007-06-25 15:30:00	:TMUS	46.35	48.10	45.90	48.04	439428.00
2007-06-26 15:30:00	:TMUS	47.78	47.97	46.32	47.71	385801.00
2007-06-27 15:30:00	:TMUS	47.71	48.46	46.88	47.83	411886.00
2007-06-28 15:30:00	:TMUS	47.94	47.94	46.18	46.18	310827.00
2007-06-29 15:30:00	:TMUS	46.21	46.77	45.09	45.35	559430.00
2007-07-02 15:30:00	:TMUS	45.37	45.98	45.24	45.33	301938.00
2007-07-03 15:30:00	:TMUS	45.33	47.56	45.33	47.13	261500.00
2007-07-05 15:30:00	:TMUS	47.32	47.38	46.05	46.92	174430.00
2007-07-06 15:30:00	:TMUS	47.14	48.31	46.88	48.27	479501.00
2007-07-09 15:30:00	:TMUS	48.08	49.11	47.03	48.28	452688.00
2007-07-10 15:30:00	:TMUS	47.97	49.41	47.87	48.87	287657.00
2007-07-11 15:30:00	:TMUS	49.18	50.08	48.71	49.64	515495.00
2007-07-12 15:30:00	:TMUS	49.78	51.74	49.78	51.00	471268.00
2007-07-13 15:30:00	:TMUS	49.82	51.56	49.68	51.07	275416.00
2007-07-16 15:30:00	:TMUS	51.56	54.08	51.07	52.65	546753.00
2007-07-17 15:30:00	:TMUS	52.13	55.45	52.09	55.35	1101010.00
2007-07-18 15:30:00	:TMUS	53.54	54.67	52.29	53.97	890003.00
2007-07-19 15:30:00	:TMUS	54.18	54.93	53.73	54.28	385146.00
2007-07-20 15:30:00	:TMUS	54.35	56.09	53.59	54.03	405401.00
2007-07-23 15:30:00	:TMUS	54.49	55.30	53.10	53.54	281537.00
2007-07-24 15:30:00	:TMUS	52.91	53.13	51.29	51.81	568757.00
2007-07-25 15:30:00	:TMUS	51.93	52.63	48.75	48.91	668140.00
2007-07-26 15:30:00	:TMUS	48.91	49.82	47.30	48.65	1515520.00
2007-07-27 15:30:00	:TMUS	48.50	49.81	46.83	48.31	743697.00
2007-07-30 15:30:00	:TMUS	49.75	52.59	49.44	51.18	829601.00
2007-07-31 15:30:00	:TMUS	52.43	52.66	49.45	50.26	636372.00
2007-08-01 15:30:00	:TMUS	50.67	51.56	48.83	50.58	470248.00
2007-08-02 15:30:00	:TMUS	50.37	53.80	50.05	53.55	910696.00
2007-08-03 15:30:00	:TMUS	43.69	46.38	39.94	42.77	4740773.00
2007-08-06 15:30:00	:TMUS	43.37	45.84	41.34	41.98	2231603.00
2007-08-07 15:30:00	:TMUS	42.27	44.41	42.05	43.92	1762156.00
2007-08-08 15:30:00	:TMUS	39.80	44.26	33.97	43.59	5309495.00
2007-08-09 15:30:00	:TMUS	41.17	42.79	37.40	38.42	1040462.00
2007-08-10 15:30:00	:TMUS	38.43	39.98	34.65	37.74	1394934.00
2007-08-13 15:30:00	:TMUS	38.69	40.49	38.69	39.57	710545.00
2007-08-14 15:30:00	:TMUS	39.57	39.65	37.91	38.07	604095.00
2007-08-15 15:30:00	:TMUS	38.51	38.51	34.79	35.40	638217.00
2007-08-16 15:30:00	:TMUS	35.41	35.41	31.91	33.15	1459635.00
2007-08-17 15:30:00	:TMUS	35.68	38.47	34.70	35.93	1353767.00
2007-08-20 15:30:00	:TMUS	36.03	36.29	32.95	35.27	496842.00
2007-08-21 15:30:00	:TMUS	35.16	35.68	33.98	35.12	759217.00
2007-08-22 15:30:00	:TMUS	35.27	35.94	34.70	35.05	557245.00
2007-08-23 15:30:00	:TMUS	35.34	35.34	33.56	35.04	757250.00
2007-08-24 15:30:00	:TMUS	34.93	39.33	34.91	38.91	1192452.00
2007-08-27 15:30:00	:TMUS	38.43	42.53	38.40	42.09	885275.00
2007-08-28 15:30:00	:TMUS	41.52	42.48	40.03	41.08	830475.00
2007-08-29 15:30:00	:TMUS	41.26	41.30	38.04	38.84	992082.00
2007-08-30 15:30:00	:TMUS	38.26	38.70	36.47	36.96	860349.00
2007-08-31 15:30:00	:TMUS	37.63	38.26	37.39	37.45	416622.00
2007-09-04 15:30:00	:TMUS	39.12	40.46	37.54	39.32	5259283.00
2007-09-05 15:30:00	:TMUS	39.94	40.46	38.43	39.65	1435809.00
2007-09-06 15:30:00	:TMUS	40.08	40.17	38.43	38.55	898455.00
2007-09-07 15:30:00	:TMUS	38.57	38.63	35.96	37.36	1307719.00
