datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TPR	21.29	21.49	20.78	21.02	1852000.00
2004-04-08 15:30:00	:TPR	21.40	21.40	20.52	20.59	2037000.00
2004-04-12 15:30:00	:TPR	20.64	20.98	20.51	20.82	1787000.00
2004-04-13 15:30:00	:TPR	20.90	21.04	20.32	20.38	1280600.00
2004-04-14 15:30:00	:TPR	20.25	20.49	19.94	20.07	1830200.00
2004-04-15 15:30:00	:TPR	20.20	20.37	20.09	20.20	2160400.00
2004-04-16 15:30:00	:TPR	20.29	20.30	19.86	19.93	2776200.00
2004-04-19 15:30:00	:TPR	20.10	20.16	19.60	19.75	3532800.00
2004-04-20 15:30:00	:TPR	20.52	21.23	20.29	20.69	9321602.00
2004-04-21 15:30:00	:TPR	20.80	21.21	20.53	21.16	3211600.00
2004-04-22 15:30:00	:TPR	21.10	22.66	21.10	22.24	5343400.00
2004-04-23 15:30:00	:TPR	22.48	22.51	22.00	22.00	3127200.00
2004-04-26 15:30:00	:TPR	22.12	22.20	21.87	22.04	1584800.00
2004-04-27 15:30:00	:TPR	22.04	22.73	22.04	22.50	4420000.00
2004-04-28 15:30:00	:TPR	22.52	22.53	21.72	21.94	3256000.00
2004-04-29 15:30:00	:TPR	21.89	22.13	21.38	21.54	3566400.00
2004-04-30 15:30:00	:TPR	21.40	21.70	21.19	21.30	3105400.00
2004-05-03 15:30:00	:TPR	21.53	22.08	21.45	21.88	2876400.00
2004-05-04 15:30:00	:TPR	21.88	22.15	21.50	21.75	2836400.00
2004-05-05 15:30:00	:TPR	21.75	22.03	21.62	21.93	1515200.00
2004-05-06 15:30:00	:TPR	21.52	21.60	20.66	20.91	3833400.00
2004-05-07 15:30:00	:TPR	20.92	21.43	20.65	20.65	3472600.00
2004-05-10 15:30:00	:TPR	20.50	20.63	20.18	20.49	2540000.00
2004-05-11 15:30:00	:TPR	20.65	21.12	20.57	21.04	2147600.00
2004-05-12 15:30:00	:TPR	20.98	20.98	20.05	20.82	3046600.00
2004-05-13 15:30:00	:TPR	20.81	20.81	20.30	20.56	3155200.00
2004-05-14 15:30:00	:TPR	20.56	20.83	20.18	20.62	2321600.00
2004-05-17 15:30:00	:TPR	20.38	20.38	19.66	19.81	2423800.00
2004-05-18 15:30:00	:TPR	19.95	20.38	19.95	20.30	2953000.00
2004-05-19 15:30:00	:TPR	20.43	20.99	20.31	20.39	2134200.00
2004-05-20 15:30:00	:TPR	20.39	20.41	19.48	19.80	3576600.00
2004-05-21 15:30:00	:TPR	19.99	20.07	19.82	20.05	2646600.00
2004-05-24 15:30:00	:TPR	20.50	20.90	20.35	20.90	2341800.00
2004-05-25 15:30:00	:TPR	20.90	21.33	20.61	21.27	2423800.00
2004-05-26 15:30:00	:TPR	21.27	21.32	21.06	21.27	1420800.00
2004-05-27 15:30:00	:TPR	21.39	21.64	21.35	21.55	1758400.00
2004-05-28 15:30:00	:TPR	21.55	21.82	21.47	21.80	1580200.00
2004-06-01 15:30:00	:TPR	21.80	21.95	21.64	21.95	1668200.00
2004-06-02 15:30:00	:TPR	22.00	22.04	21.75	21.96	2218000.00
2004-06-03 15:30:00	:TPR	21.77	22.12	21.52	21.80	1650600.00
2004-06-04 15:30:00	:TPR	22.05	22.07	21.59	21.70	1009000.00
2004-06-07 15:30:00	:TPR	21.68	22.20	21.68	22.20	1069200.00
2004-06-08 15:30:00	:TPR	22.15	22.55	22.07	22.49	1849600.00
2004-06-09 15:30:00	:TPR	22.49	22.59	22.36	22.49	2417000.00
2004-06-10 15:30:00	:TPR	22.55	22.90	22.48	22.85	2277000.00
2004-06-14 15:30:00	:TPR	22.80	22.80	22.04	22.06	2274600.00
2004-06-15 15:30:00	:TPR	22.09	22.10	21.45	21.55	3648400.00
2004-06-16 15:30:00	:TPR	21.62	21.82	21.41	21.70	2336800.00
2004-06-17 15:30:00	:TPR	21.68	21.70	21.43	21.50	2070000.00
2004-06-18 15:30:00	:TPR	21.30	21.50	21.30	21.41	1743600.00
2004-06-21 15:30:00	:TPR	21.41	21.55	21.18	21.43	1342400.00
2004-06-22 15:30:00	:TPR	21.35	21.98	21.27	21.95	2860200.00
2004-06-23 15:30:00	:TPR	21.94	22.48	21.91	22.43	2702600.00
2004-06-24 15:30:00	:TPR	22.49	22.84	22.35	22.70	2641400.00
2004-06-25 15:30:00	:TPR	22.73	23.00	22.59	22.66	1454400.00
2004-06-28 15:30:00	:TPR	22.90	23.05	22.50	22.63	2587400.00
2004-06-29 15:30:00	:TPR	22.70	22.75	22.20	22.34	2654400.00
2004-06-30 15:30:00	:TPR	22.57	22.62	22.25	22.59	2634400.00
2004-07-01 15:30:00	:TPR	22.87	23.21	22.43	23.09	4505600.00
2004-07-02 15:30:00	:TPR	23.73	23.73	22.98	23.05	2533400.00
2004-07-06 15:30:00	:TPR	22.77	22.85	22.36	22.55	3299800.00
2004-07-07 15:30:00	:TPR	22.73	23.09	22.71	23.04	2134800.00
2004-07-08 15:30:00	:TPR	22.98	22.98	22.23	22.59	2686400.00
2004-07-09 15:30:00	:TPR	22.65	23.00	22.48	22.93	2015000.00
2004-07-12 15:30:00	:TPR	22.95	23.07	22.75	22.98	1733800.00
2004-07-13 15:30:00	:TPR	22.89	23.00	22.76	22.96	1121200.00
2004-07-14 15:30:00	:TPR	22.76	22.80	22.50	22.61	2297800.00
2004-07-15 15:30:00	:TPR	22.65	22.68	22.07	22.18	2556400.00
2004-07-16 15:30:00	:TPR	22.18	22.38	21.07	21.27	3942400.00
2004-07-19 15:30:00	:TPR	21.32	21.75	20.91	21.10	2493400.00
2004-07-20 15:30:00	:TPR	21.15	21.95	21.15	21.88	2064400.00
2004-07-21 15:30:00	:TPR	22.10	22.10	21.43	21.43	1866000.00
2004-07-22 15:30:00	:TPR	21.25	21.25	20.00	20.91	4634000.00
2004-07-23 15:30:00	:TPR	20.90	20.90	20.32	20.39	2743200.00
2004-07-26 15:30:00	:TPR	20.45	20.84	20.11	20.22	1782600.00
2004-07-27 15:30:00	:TPR	20.20	21.23	20.20	21.07	1990400.00
2004-07-28 15:30:00	:TPR	21.07	21.25	20.55	21.18	2240000.00
2004-07-29 15:30:00	:TPR	21.27	22.05	21.27	21.64	2883600.00
2004-07-30 15:30:00	:TPR	21.68	21.84	21.16	21.39	2374000.00
2004-08-02 15:30:00	:TPR	21.40	21.71	21.00	21.52	3856000.00
