datetime	symbol	open	high	low	close	volume
2004-04-07 15:30:00	:TRV	41.75	41.90	41.50	41.70	4519898.00
2004-04-08 15:30:00	:TRV	42.30	43.03	42.23	42.75	4825102.00
2004-04-12 15:30:00	:TRV	42.85	43.31	42.62	42.99	3496100.00
2004-04-13 15:30:00	:TRV	43.09	43.24	41.90	41.90	3191700.00
2004-04-14 15:30:00	:TRV	42.18	42.18	40.96	41.22	3275400.00
2004-04-15 15:30:00	:TRV	41.30	41.86	40.90	41.85	3354300.00
2004-04-16 15:30:00	:TRV	41.85	42.99	41.78	42.70	3631200.00
2004-04-19 15:30:00	:TRV	42.59	42.89	42.25	42.85	2163300.00
2004-04-20 15:30:00	:TRV	42.86	42.88	42.00	42.32	2898700.00
2004-04-21 15:30:00	:TRV	42.40	42.40	41.85	42.20	2664000.00
2004-04-22 15:30:00	:TRV	42.25	43.24	42.00	42.90	3015700.00
2004-04-23 15:30:00	:TRV	42.91	42.91	42.27	42.60	2891200.00
2004-04-26 15:30:00	:TRV	42.58	42.80	42.15	42.55	2339300.00
2004-04-27 15:30:00	:TRV	42.85	43.15	42.70	42.81	2084100.00
2004-04-28 15:30:00	:TRV	42.70	42.76	42.00	42.25	2727000.00
2004-04-29 15:30:00	:TRV	41.85	42.54	40.88	41.86	6098602.00
2004-04-30 15:30:00	:TRV	41.89	42.13	40.67	40.67	2102900.00
2004-05-03 15:30:00	:TRV	40.50	41.32	40.50	41.21	2704600.00
2004-05-04 15:30:00	:TRV	41.33	41.75	40.64	41.00	3107700.00
2004-05-05 15:30:00	:TRV	41.40	41.40	40.77	40.98	3537600.00
2004-05-06 15:30:00	:TRV	40.80	41.07	40.34	40.37	2354400.00
2004-05-07 15:30:00	:TRV	40.00	40.48	39.98	40.23	2660900.00
2004-05-10 15:30:00	:TRV	39.75	40.00	39.19	39.80	3180100.00
2004-05-11 15:30:00	:TRV	39.80	40.45	39.80	40.27	2284600.00
2004-05-12 15:30:00	:TRV	39.96	40.90	39.88	40.80	3873200.00
2004-05-13 15:30:00	:TRV	40.20	40.65	40.00	40.15	2594400.00
2004-05-14 15:30:00	:TRV	40.15	40.48	39.82	40.23	1835200.00
2004-05-17 15:30:00	:TRV	39.75	40.63	39.26	39.81	1438200.00
2004-05-18 15:30:00	:TRV	39.80	40.04	39.71	39.90	1747000.00
2004-05-19 15:30:00	:TRV	39.96	40.15	39.15	39.53	2775100.00
2004-05-20 15:30:00	:TRV	39.53	39.53	38.98	39.18	1601600.00
2004-05-21 15:30:00	:TRV	39.43	39.97	39.35	39.76	1773700.00
2004-05-24 15:30:00	:TRV	39.94	39.94	39.36	39.52	1235300.00
2004-05-25 15:30:00	:TRV	39.34	39.97	39.14	39.88	1602500.00
2004-05-26 15:30:00	:TRV	39.75	39.97	39.50	39.73	3263800.00
2004-05-27 15:30:00	:TRV	39.72	40.05	39.56	39.72	1932400.00
2004-05-28 15:30:00	:TRV	39.70	39.85	39.45	39.68	2420500.00
2004-06-01 15:30:00	:TRV	39.70	40.00	39.43	39.97	2025700.00
2004-06-02 15:30:00	:TRV	40.00	40.61	40.00	40.55	2177400.00
2004-06-03 15:30:00	:TRV	40.45	40.75	40.13	40.71	2134400.00
2004-06-04 15:30:00	:TRV	40.75	40.88	40.30	40.46	1646500.00
2004-06-07 15:30:00	:TRV	40.55	41.25	40.54	41.24	2454300.00
2004-06-08 15:30:00	:TRV	40.77	40.99	40.66	40.80	2157000.00
2004-06-09 15:30:00	:TRV	40.75	40.86	40.34	40.41	1356200.00
2004-06-10 15:30:00	:TRV	40.70	41.38	40.68	41.30	2813900.00
2004-06-14 15:30:00	:TRV	41.21	41.40	40.51	40.79	1612700.00
2004-06-15 15:30:00	:TRV	40.99	41.39	40.98	41.27	1919900.00
2004-06-16 15:30:00	:TRV	41.38	41.50	41.10	41.15	1556000.00
2004-06-17 15:30:00	:TRV	41.02	41.23	40.56	41.10	2014600.00
2004-06-18 15:30:00	:TRV	40.70	41.53	40.67	41.27	2055700.00
2004-06-21 15:30:00	:TRV	41.25	41.40	40.69	40.87	1350600.00
2004-06-22 15:30:00	:TRV	40.65	40.99	40.25	40.90	2009000.00
2004-06-23 15:30:00	:TRV	40.90	41.00	40.29	40.95	3532600.00
2004-06-24 15:30:00	:TRV	40.90	41.10	40.56	40.90	2620200.00
2004-06-25 15:30:00	:TRV	40.75	41.59	40.75	41.59	5987602.00
2004-06-28 15:30:00	:TRV	41.59	41.75	40.77	40.80	3022100.00
2004-06-29 15:30:00	:TRV	40.85	40.88	40.36	40.45	1649500.00
2004-06-30 15:30:00	:TRV	40.35	40.60	40.09	40.54	1992300.00
2004-07-01 15:30:00	:TRV	40.70	40.70	39.58	39.70	3168700.00
2004-07-02 15:30:00	:TRV	39.52	39.71	39.10	39.61	2964600.00
2004-07-06 15:30:00	:TRV	39.02	39.41	38.81	39.34	3510400.00
2004-07-07 15:30:00	:TRV	39.10	39.23	38.94	39.19	3277600.00
2004-07-08 15:30:00	:TRV	39.19	39.19	38.56	38.68	1957000.00
2004-07-09 15:30:00	:TRV	38.69	38.97	38.62	38.72	1747700.00
2004-07-12 15:30:00	:TRV	38.82	39.00	38.55	38.82	1565000.00
2004-07-13 15:30:00	:TRV	38.99	39.12	38.88	39.11	1074300.00
2004-07-14 15:30:00	:TRV	39.11	39.23	38.77	38.95	1591800.00
2004-07-15 15:30:00	:TRV	38.95	39.11	38.63	38.83	4196500.00
2004-07-16 15:30:00	:TRV	38.95	39.00	38.30	38.30	2557800.00
2004-07-19 15:30:00	:TRV	38.31	38.49	37.77	38.00	2152700.00
2004-07-20 15:30:00	:TRV	38.00	38.00	36.71	37.73	3558400.00
